"","species","scientificname","rank","kingdom","phylum","order","family","genus","kingdomkey","phylumkey","classkey","orderkey","familykey","genuskey","specieskey","class"
"16","Allocareproctus kallaion","Allocareproctus kallaion Orr & Busby, 2006","species","Animalia","Chordata","Scorpaeniformes","Liparidae","Allocareproctus",1,44,204,590,8627,2336100,2336104,"Actinopterygii"
"17","Allocareproctus tanix","Allocareproctus tanix Orr & Busby, 2006","species","Animalia","Chordata","Scorpaeniformes","Liparidae","Allocareproctus",1,44,204,590,8627,2336100,2336102,"Actinopterygii"
"18","Allocareproctus unangas","Allocareproctus unangas Orr & Busby, 2006","species","Animalia","Chordata","Scorpaeniformes","Liparidae","Allocareproctus",1,44,204,590,8627,2336100,2336101,"Actinopterygii"
"19","Allocareproctus ungak","Allocareproctus ungak Orr & Busby, 2006","species","Animalia","Chordata","Scorpaeniformes","Liparidae","Allocareproctus",1,44,204,590,8627,2336100,2336108,"Actinopterygii"
"20","Allocyttus folletti","Allocyttus folletti Myers, 1960","species","Animalia","Chordata","Zeiformes","Oreosomatidae","Allocyttus",1,44,204,888,2216,2415341,2415342,"Actinopterygii"
"21","Allosmerus elongatus","Allosmerus elongatus (Ayres, 1854)","species","Animalia","Chordata","Osmeriformes","Osmeridae","Allosmerus",1,44,204,1068,8480,2410864,2410865,"Actinopterygii"
"22","Alopias superciliosus","Alopias superciliosus Lowe, 1841","species","Animalia","Chordata","Lamniformes","Alopiidae","Alopias",1,44,121,885,2203,2420796,2420813,"Elasmobranchii"
"23","Alopias vulpinus","Alopias vulpinus (Bonnaterre, 1788)","species","Animalia","Chordata","Lamniformes","Alopiidae","Alopias",1,44,121,885,2203,2420796,2420797,"Elasmobranchii"
"24","Alosa sapidissima","Alosa sapidissima (Wilson, 1811)","species","Animalia","Chordata","Clupeiformes","Clupeidae","Alosa",1,44,204,538,7332,2412615,2412661,"Actinopterygii"
"25","Amblyraja badia","Amblyraja badia (Garman, 1899)","species","Animalia","Chordata","Rajiformes","Rajidae","Amblyraja",1,44,121,884,5877,2420436,2420442,"Elasmobranchii"
"26","Ammodytes hexapterus","Ammodytes hexapterus Pallas, 1814","species","Animalia","Chordata","Perciformes","Ammodytidae","Ammodytes",1,44,204,587,8487,2389989,2389995,"Actinopterygii"
"27","Ammodytes personatus","Ammodytes personatus Girard, 1856","species","Animalia","Chordata","Perciformes","Ammodytidae","Ammodytes",1,44,204,587,8487,2389989,2389997,"Actinopterygii"
"28","Amphistichus koelzi","Amphistichus koelzi (Hubbs, 1933)","species","Animalia","Chordata","Perciformes","Embiotocidae","Amphistichus",1,44,204,587,4269,2389247,2389258,"Actinopterygii"
"29","Amphistichus rhodoterus","Amphistichus rhodoterus (Agassiz, 1854)","species","Animalia","Chordata","Perciformes","Embiotocidae","Amphistichus",1,44,204,587,4269,2389247,2389252,"Actinopterygii"
