"","x"
"1","Acantholiparis caecus"
"2","Agonomalus mozinoi"
"3","Alectridium aurantiacum"
"4","Archistes biseriatus"
"5","Artediellichthys nigripinnis"
"6","Artediellus pacificus"
"7","Artedius asperulus"
"8","Aspidophoroides olrikii"
"9","Bajacalifornia erimoensis"
"10","Bassozetus elongatus"
"11","Bathycongrus varidens"
"12","Beringraja inornata"
"13","Beringraja rhina"
"14","Beringraja stellulata"
"15","Bolinia euryptera"
"16","Bothrocara nyx"
"17","Bothrocara pusillum"
"18","Bryozoichthys marjorius"
"19","Careproctus abbreviatus"
"20","Careproctus ectenes"
"21","Careproctus filamentosus"
"22","Careproctus longifilis"
"23","Careproctus lycopersicus"
"24","Careproctus microstomus"
"25","Careproctus mollis"
"26","Careproctus oregonensis"
"27","Careproctus ovigerus"
"28","Careproctus pycnosoma"
"29","Careproctus spectrum"
"30","Chirolophis tarsodes"
"31","Coryphaenoides liocephalus"
"32","Coryphaenoides spinulosus"
"33","Crystallichthys cameliae"
"34","Crystallichthys mirabilis"
"35","Dicrolene gregoryi"
"36","Dicrolene pullata"
"37","Dolichopteryx parini"
"38","Entosphenus tridentatus"
"39","Eptatretus deani"
"40","Eptatretus stoutii"
"41","Eustomias woollardi"
"42","Gasterosteus microcephalus"
"43","Genioliparis ferox"
"44","Gigantactis gargantua"
"45","Gigantactis macronema"
"46","Gymnelus obscurus"
"47","Gymnelus popovi"
"48","Gyrinichthys minytremus"
"49","Holcomycteronus profundissimus"
"50","Icelinus strabo"
"51","Icelus euryops"
"52","Icelus uncinalis"
"53","Lampetra ayresii"
"54","Lepidopus fitchi"
"55","Leptocephalus giganteus"
"56","Lethenteron camtschaticum"
"57","Leucicorus lusciosus"
"58","Leuroglossus callorhini"
"59","Limanda proboscidea"
"60","Linophryne coronata"
"61","Liparis adiastolus"
"62","Liparis bristolensis"
"63","Liparis catharus"
"64","Liparis marmoratus"
"65","Liparis megacephalus"
"66","Liparis micraspidophorus"
"67","Lumpenopsis hypochroma"
"68","Lycenchelys alta"
"69","Lycenchelys callista"
"70","Lycenchelys micropora"
"71","Lycenchelys pearcyi"
"72","Lycenchelys ratmanovi"
"73","Lycenchelys rosea"
"74","Lycodapus dermatinus"
"75","Lycodapus poecilus"
"76","Lycodapus psarostomatus"
"77","Lycodes akuugun"
"78","Lycodes albolineatus"
"79","Lycodes beringi"
"80","Lycodes pacificus"
"81","Malacocottus aleuticus"
"82","Melamphaes polylepis"
"83","Mentodus eubranchus"
"84","Monopterus cuchia"
"85","Myoxocephalus niger"
"86","Nalbantichthys elongatus"
"87","Nansenia crassa"
"88","Notophycis fitchi"
"89","Oligocottus borealis"
"90","Opaeophacus acrogeneius"
"91","Osmerus dentex"
"92","Osteodiscus cascadiae"
"93","Pachycara bulbiceps"
"94","Paraliparis bullacephalus"
"95","Paraliparis deani"
"96","Paraliparis holomelas"
"97","Paraliparis latifrons"
"98","Paraliparis megalopus"
"99","Paraliparis mento"
"100","Paraliparis operculosus"
"101","Paricelinus hopliticus"
"102","Pentaceros richardsoni"
"103","Pholis schultzi"
"104","Plectroglyphidodon sindonis"
"105","Porocottus mednius"
"106","Porocottus quadrifilis"
"107","Porogadus longiceps"
"108","Poromitra rugosa"
"109","Sarda lineolata"
"110","Scopelosaurus adleri"
"111","Scytalina cerdale"
"112","Sebastes diaconus"
"113","Soldatovia polyactocephala"
"114","Spectrunculus crassus"
"115","Taranetzella lyoderma"
"116","Thalassenchelys coheni"
"117","Thyriscus anoplus"
"118","Triglops metopias"
"119","Triglops xenostethus"
"120","Ulvicola sanctaerosae"
"121","Xeneretmus triacanthus"
