query,phylum,family,ottid_species,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,class,order,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type
Cyercegricans,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Turrisdaensis,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dermomurexglecta,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solariellidae clade,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minoliassonus,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melampus bidentatus cryptic,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonisakaza,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thylacodesabilis,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arcavicularis,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptostele elgonensisabugabo,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gonaxis cressyisambara,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gonaxis gibbonsiar esalaam,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tayloria amaniensissambara,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptaxis tumulusrazil,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oxysteleegata,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baeolidiadosa,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phyllocaulisegatus,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ficusegataoding,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Naranjia burmana,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gibbulavosa,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alopiafasta,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alopiaxa,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nassariusger,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adamsiellaabilis,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bursinabilis,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nototeredorvagica,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arcaae,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agathyllautra,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Norrisiarrisii,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pisidiumtidum,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Musculusger,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noumeavalis,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ptychobeladulosa,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyercegra,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phyllidiacosa,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Conuscleus,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Conusmocanus,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Conusmbosus,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Conusptunus,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roboastrakolae,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abratida,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albinariavea,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chilinacolasi,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Xerocrassaeli,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brachidontesabilis,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Conusbilis,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zelentianel,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Conusvarroi,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Borealeabilis,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oreohelixabilis,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alasmidontacosa,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyclonaiascki,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Donaxabilis,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Notonykiasisi,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charoniaegata,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iotyrristata,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montfortulaegata,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eubaicaliaesculpta,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Veprichlamys empressae,Mollusca,Pectinidae,354889,213,Pectinidae,"Rafinesque, 1815",accepted,NA,Family,213,Pectinidae,"Rafinesque, 1815",151320,Animalia,Bivalvia,Pectinida,NA,1,0,0,0,0,exact
Eltopera sanguinea,Mollusca,Spondylidae,404621,23121,Spondylidae,"Gray, 1826",accepted,NA,Family,23121,Spondylidae,"Gray, 1826",151320,Animalia,Bivalvia,Pectinida,NA,1,NA,NA,NA,NA,exact
Acanthopleura tenuispinosa,Mollusca,Chitonidae,1000214,64,Chitonidae,"Rafinesque, 1815",accepted,NA,Family,64,Chitonidae,"Rafinesque, 1815",385404,Animalia,Polyplacophora,Chitonida,NA,1,NA,NA,NA,NA,exact
Acanthopleura gaimardi,Mollusca,Chitonidae,499347,64,Chitonidae,"Rafinesque, 1815",accepted,NA,Family,64,Chitonidae,"Rafinesque, 1815",385404,Animalia,Polyplacophora,Chitonida,NA,1,NA,NA,NA,NA,exact
Nipponarca bistrigata,Mollusca,Arcidae,50695,208,Arcidae,"Lamarck, 1809",accepted,NA,Family,208,Arcidae,"Lamarck, 1809",489054,Animalia,Bivalvia,Arcida,NA,1,1,1,NA,NA,exact
Leiosolenus curtus,Mollusca,Mytilidae,321580,211,Mytilidae,"Rafinesque, 1815",accepted,NA,Family,211,Mytilidae,"Rafinesque, 1815",491766,Animalia,Bivalvia,Mytilida,NA,1,1,1,0,0,exact
Episiphon yamakawai,Mollusca,Gadilinidae,1028244,23043,Gadilinidae,"Chistikov, 1975",accepted,NA,Family,23043,Gadilinidae,"Chistikov, 1975",200,Animalia,Scaphopoda,Dentaliida,NA,1,NA,NA,NA,NA,exact
Vesicomya kaikoi,Mollusca,Vesicomyidae,887187,23140,Vesicomyidae,"Dall & Simpson, 1901",accepted,NA,Family,23140,Vesicomyidae,"Dall & Simpson, 1901",14637,Animalia,Bivalvia,Venerida,NA,1,0,0,0,0,exact
Calyptogena tsubasa,Mollusca,Vesicomyidae,362541,23140,Vesicomyidae,"Dall & Simpson, 1901",accepted,NA,Family,23140,Vesicomyidae,"Dall & Simpson, 1901",14637,Animalia,Bivalvia,Venerida,NA,1,0,0,0,0,exact
Calyptogena kaikoi,Mollusca,Vesicomyidae,1051937,23140,Vesicomyidae,"Dall & Simpson, 1901",accepted,NA,Family,23140,Vesicomyidae,"Dall & Simpson, 1901",14637,Animalia,Bivalvia,Venerida,NA,1,0,0,0,0,exact
Sepiadarium kochi,Mollusca,Sepiadariidae,527585,153041,Sepiadariidae,"P. Fischer, 1882",accepted,NA,Family,153041,Sepiadariidae,"P. Fischer, 1882",1454580,Animalia,Cephalopoda,Sepiida,NA,1,0,0,0,NA,exact
Patelloida albonotata,Mollusca,Lottiidae,982424,7173,Lottiidae,"Gray, 1840",accepted,NA,Family,7173,Lottiidae,"Gray, 1840",391063,Animalia,Gastropoda,NA,NA,1,0,0,0,0,exact
Patelloida omanensis,Mollusca,Lottiidae,356471,7173,Lottiidae,"Gray, 1840",accepted,NA,Family,7173,Lottiidae,"Gray, 1840",391063,Animalia,Gastropoda,NA,NA,1,0,0,0,0,exact
Patelloida mauritiana,Mollusca,Lottiidae,128458,7173,Lottiidae,"Gray, 1840",accepted,NA,Family,7173,Lottiidae,"Gray, 1840",391063,Animalia,Gastropoda,NA,NA,1,0,0,0,0,exact
Liotina semiclathratula,Mollusca,Liotiidae,281559,196896,Liotiidae,"Gray, 1850",accepted,NA,Family,196896,Liotiidae,"Gray, 1850",156489,Animalia,Gastropoda,Trochida,NA,1,NA,NA,NA,NA,exact
Vesicomya stearnsii,Mollusca,Vesicomyidae,472965,23140,Vesicomyidae,"Dall & Simpson, 1901",accepted,NA,Family,23140,Vesicomyidae,"Dall & Simpson, 1901",14637,Animalia,Bivalvia,Venerida,NA,1,0,0,0,0,exact
Golikovia ennae,Mollusca,Buccinidae,313530,149,Buccinidae,"Rafinesque, 1815",accepted,NA,Family,149,Buccinidae,"Rafinesque, 1815",382214,Animalia,Gastropoda,Neogastropoda,NA,1,1,NA,NA,NA,exact
Golikovia fukueae,Mollusca,Buccinidae,95231,149,Buccinidae,"Rafinesque, 1815",accepted,NA,Family,149,Buccinidae,"Rafinesque, 1815",382214,Animalia,Gastropoda,Neogastropoda,NA,1,1,NA,NA,NA,exact
Calliostoma shinagawaensis,Mollusca,Calliostomatidae,249393,382180,Calliostomatidae,"Thiele, 1924 (1847)",accepted,NA,Family,382180,Calliostomatidae,"Thiele, 1924 (1847)",156489,Animalia,Gastropoda,Trochida,NA,1,NA,NA,NA,NA,exact
Diloma piperinus,Mollusca,Trochidae,721820,443,Trochidae,"Rafinesque, 1815",accepted,NA,Family,443,Trochidae,"Rafinesque, 1815",156489,Animalia,Gastropoda,Trochida,NA,1,1,1,NA,NA,exact
Clione limacina anatarctica,Mollusca,Clionidae,1081241,166,Clionidae,"Rafinesque, 1815",accepted,NA,Family,166,Clionidae,"Rafinesque, 1815",411912,Animalia,Gastropoda,Pteropoda,NA,1,NA,NA,NA,NA,exact
Clione limacina anatarctica,Porifera,Clionidae,1081241,131669,Clionidae,"d'Orbigny, 1851",unaccepted,junior homonym of Clionidae: Mollusca,Family,170417,Clionaidae,"d'Orbigny, 1851",845506,Animalia,Demospongiae,Clionaida,NA,1,0,0,0,0,exact
Merelina tokunagai,Mollusca,Lironobidae,5720901,877986,Lironobidae,"Ponder, 1967",accepted,NA,Family,877986,Lironobidae,"Ponder, 1967",14767,Animalia,Gastropoda,Littorinimorpha,NA,1,NA,NA,NA,0,exact
Cheilea pileopsis,Mollusca,Hipponicidae,7950503,23057,Hipponicidae,"Troschel, 1861",accepted,NA,Family,23057,Hipponicidae,"Troschel, 1861",14771,Animalia,Gastropoda,Littorinimorpha,NA,1,NA,0,0,0,exact
