"","accession_1","accession_2","taxonID","phylum"
"69","ANGBF14059-18","KY936739",7898,"Chordata"
"70","ANGBF14060-18","KY936740",7898,"Chordata"
"71","ANGBF14063-18","KY936745",7898,"Chordata"
"72","ANGBF14066-18","KY936752",7898,"Chordata"
"73","ANGBF14069-18","KY936758",7898,"Chordata"
"74","ANGBF14073-18","KY936767",7898,"Chordata"
"75","ANGBF14074-18","KY936769",7898,"Chordata"
"76","ANGBF14084-18","KY936789",7898,"Chordata"
"77","ANGBF14085-18","KY936790",7898,"Chordata"
"78","ANGBF14094-18","KY936802",7898,"Chordata"
"79","ANGBF14097-18","KY936805",7898,"Chordata"
"80","ANGBF14098-18","KY936806",7898,"Chordata"
"81","ANGBF14100-18","KY936813",7898,"Chordata"
"82","ANGBF14104-18","KY936819",7898,"Chordata"
"83","ANGBF29594-19","KP136549",7898,"Chordata"
"84","ANGBF29596-19","KP331705",7898,"Chordata"
"85","ANGBF29598-19","KY936460",7898,"Chordata"
"86","ANGBF29603-19","KY936476",7898,"Chordata"
"87","ANGBF29605-19","KY936479",7898,"Chordata"
"88","ANGBF29607-19","KY936492",7898,"Chordata"
"89","ANGBF29611-19","KY936505",7898,"Chordata"
"90","ANGBF29620-19","KY936536",7898,"Chordata"
"91","ANGBF29622-19","KY936545",7898,"Chordata"
"92","ANGBF29625-19","KY936552",7898,"Chordata"
"93","ANGBF29629-19","KY936562",7898,"Chordata"
"94","ANGBF29631-19","KY936566",7898,"Chordata"
"95","ANGBF29634-19","KY936570",7898,"Chordata"
"96","ANGBF29635-19","KY936572",7898,"Chordata"
"97","ANGBF29636-19","KY936574",7898,"Chordata"
"98","ANGBF29638-19","KY936578",7898,"Chordata"
"99","ANGBF29639-19","KY936580",7898,"Chordata"
"100","ANGBF29640-19","KY936582",7898,"Chordata"
"101","ANGBF29641-19","KY936583",7898,"Chordata"
"102","ANGBF29643-19","KY936587",7898,"Chordata"
"103","ANGBF29644-19","KY936589",7898,"Chordata"
"104","ANGBF29645-19","KY936591",7898,"Chordata"
"105","ANGBF29646-19","KY936593",7898,"Chordata"
"106","ANGBF29647-19","KY936597",7898,"Chordata"
"107","ANGBF29652-19","KY936614",7898,"Chordata"
