"","accession_1","accession_2","taxonID","phylum"
"583","BSCDL264-12",NA,7711,"Chordata"
"584","BSCDL265-12",NA,7711,"Chordata"
"585","BSCRM001-09",NA,7711,"Chordata"
"586","BSCRM002-09",NA,7711,"Chordata"
"587","BSCRM003-09",NA,7711,"Chordata"
"588","BSCRM006-09",NA,7711,"Chordata"
"589","BSCRM007-09",NA,7711,"Chordata"
"590","BSCRM008-09",NA,7711,"Chordata"
"591","BSCRM011-09",NA,7711,"Chordata"
"592","BSCRM012-09",NA,7711,"Chordata"
"593","BSCRM016-09",NA,7711,"Chordata"
"594","BSCRM017-09",NA,7711,"Chordata"
