query,phylum,family,ottid_species,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,class,order,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type
Ichtyobronema hamulatum,Nematoda,Rhabdochonidae,7074180,22902,Rhabdochonidae,"Skrjabin, 1946",accepted,NA,Family,22902,Rhabdochonidae,"Skrjabin, 1946",834793,Animalia,Chromadorea,Rhabditida,NA,1,1,1,NA,NA,exact
Baylisascaris devosi,Nematoda,Ascarididae,4168102,22862,Ascarididae,"Baird, 1853",accepted,NA,Family,22862,Ascarididae,"Baird, 1853",22816,Animalia,Chromadorea,Rhabditida,NA,1,NA,1,1,NA,exact
Calicophoron phillerouxi,Platyhelminthes,Paramphistomidae,7505295,238054,Paramphistomidae,"Fischoeder, 1901",accepted,NA,Family,238054,Paramphistomidae,"Fischoeder, 1901",108406,Animalia,Trematoda,Plagiorchiida,NA,1,NA,NA,NA,0,exact
Calicophoron raja,Platyhelminthes,Paramphistomidae,7505296,238054,Paramphistomidae,"Fischoeder, 1901",accepted,NA,Family,238054,Paramphistomidae,"Fischoeder, 1901",108406,Animalia,Trematoda,Plagiorchiida,NA,1,NA,NA,NA,0,exact
Calicophoron clavula,Platyhelminthes,Paramphistomidae,7505294,238054,Paramphistomidae,"Fischoeder, 1901",accepted,NA,Family,238054,Paramphistomidae,"Fischoeder, 1901",108406,Animalia,Trematoda,Plagiorchiida,NA,1,NA,NA,NA,0,exact
Paragonimus ohirai,Platyhelminthes,Troglotrematidae,581956,468969,Troglotrematidae,"Odhner, 1914",accepted,NA,Family,468969,Troglotrematidae,"Odhner, 1914",1578386,Animalia,Trematoda,Plagiorchiida,NA,1,NA,1,1,NA,exact
Mansonella mariae,Nematoda,Onchocercidae,570886,22876,Onchocercidae,"Leiper, 1911",accepted,NA,Family,22876,Onchocercidae,"Leiper, 1911",22875,Animalia,Chromadorea,Rhabditida,NA,1,NA,NA,1,NA,exact
Australapatemon burti,Platyhelminthes,Strigeidae,5262721,108460,Strigeidae,"Railliet, 1919",accepted,NA,Family,108460,Strigeidae,"Railliet, 1919",108416,Animalia,Trematoda,Diplostomida,NA,1,1,1,1,NA,exact
Australapatemon mclaughlini,Platyhelminthes,Strigeidae,7506035,108460,Strigeidae,"Railliet, 1919",accepted,NA,Family,108460,Strigeidae,"Railliet, 1919",108416,Animalia,Trematoda,Diplostomida,NA,1,1,1,1,NA,exact
Synhimantus laticeps,Nematoda,Acuariidae,122731,22851,Acuariidae,"Railliet, Henry & Sisoff, 1912",accepted,NA,Family,22851,Acuariidae,"Railliet, Henry & Sisoff, 1912",22850,Animalia,Chromadorea,Rhabditida,NA,1,1,1,1,NA,exact
Perostrongylus falciformis,Nematoda,Filaroididae,3587396,153291,Filaroididae,"Schulz, 1951",accepted,NA,Family,153291,Filaroididae,"Schulz, 1951",834868,Animalia,Chromadorea,Rhabditida,NA,1,NA,NA,1,NA,exact
Diphyllobothrium schistochilos,Platyhelminthes,Diphyllobothriidae,7503116,104937,Diphyllobothriidae,"Lühe, 1910",accepted,NA,Family,104937,Diphyllobothriidae,"Lühe, 1910",515793,Animalia,Cestoda,Diphyllobothriidea,NA,1,1,1,1,NA,exact
