"","species_verbatim","query","domain","kingdom","phylum","class","subclass","order","family","genus","species","ottid_species","rank"
"342","Tachysurus vachellii","Tachysurus vachellii","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Siluriformes","Bagridae","Tachysurus","Tachysurus vachellii",203399,NA
"343","Taeniamia dispilus","Taeniamia dispilus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Apogonidae","Taeniamia","Taeniamia dispilus",5924761,NA
"344","Takifugu chinensis x Takifugu rubripes","Takifugu chinensis x Takifugu rubripes","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Tetraodontidae","Takifugu","Takifugu chinensis x Takifugu rubripes",7062446,NA
"345","Takifugu fasciatus x Takifugu flavidus","Takifugu fasciatus x Takifugu flavidus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Tetraodontidae","Takifugu","Takifugu fasciatus x Takifugu flavidus",7062447,NA
"346","Takifugu fasciatus","Takifugu fasciatus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Tetraodontidae","Takifugu","Takifugu fasciatus",598737,NA
"347","Takifugu flavidus x Takifugu rubripes","Takifugu flavidus x Takifugu rubripes","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Tetraodontidae","Takifugu","Takifugu flavidus x Takifugu rubripes",5860597,NA
"348","Takifugu obscurus x Takifugu rubripes","Takifugu obscurus x Takifugu rubripes","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Tetraodontidae","Takifugu","Takifugu obscurus x Takifugu rubripes",7062448,NA
"349","Takifugu rubripes x Takifugu flavidus","Takifugu rubripes x Takifugu flavidus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Tetraodontidae","Takifugu","Takifugu rubripes x Takifugu flavidus",4948743,NA
"350","Tanakia limbata x Tanakia lanceolata","Tanakia limbata x Tanakia lanceolata","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Acheilognathidae","Tanakia","Tanakia limbata x Tanakia lanceolata",5838933,NA
"351","Tariqilabeo latius","Tariqilabeo latius","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Tariqilabeo","Tariqilabeo latius",7066987,NA
"352","Tariqilabeo burmanicus","Tariqilabeo burmanicus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Tariqilabeo","Tariqilabeo burmanicus",844375,NA
"353",NA,"Nemadoras leporhinus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Siluriformes","Doradidae","Nemadoras","Nemadoras leporhinus",3622456,NA
"354",NA,"Nemadoras ternetzi","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Siluriformes","Doradidae","Nemadoras","Nemadoras ternetzi",317867,NA
"355",NA,"Nemadoras trimaculatus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Siluriformes","Doradidae","Nemadoras","Nemadoras trimaculatus",317869,NA
"356","Thymallus aeliani","Thymallus aeliani","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Salmoniformes","Salmonidae","Thymallus","Thymallus aeliani",3642569,NA
"357","Tigrigobius inornatus","Tigrigobius inornatus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Gobiidae","Tigrigobius","Tigrigobius inornatus",601604,NA
"358","Trichosomus trachinoides","Trichosomus trachinoides","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Tetrarogidae","Trichosomus","Trichosomus trachinoides",7062199,NA
"359","Typhleotris madagascariensis x Typhleotris pauliani","Typhleotris madagascariensis x Typhleotris pauliani","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Eleotridae","Typhleotris","Typhleotris madagascariensis x Typhleotris pauliani",7062480,NA
"360","Typhleotris mararybe x Typhleotris pauliani","Typhleotris mararybe x Typhleotris pauliani","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Eleotridae","Typhleotris","Typhleotris mararybe x Typhleotris pauliani",7062481,NA
"361",NA,"Homalosoma hainanensis","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Balitoridae","Homalosoma","Homalosoma hainanensis",974749,NA
"362","Vieja melanura","Vieja melanura","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Cichlidae","Vieja","Vieja melanura",293230,NA
"363","Xenojulis margaritaceus","Xenojulis margaritaceus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Labridae","Xenojulis","Xenojulis margaritaceus",3636776,NA
"364","Xystreurys rasile","Xystreurys rasile","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Paralichthyidae","Xystreurys","Xystreurys rasile",97102,NA
"365","Zebrias craticula","Zebrias craticula","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Soleidae","Zebrias","Zebrias craticula",3640698,NA
"366","diploid Megalobrama amblycephala x Xenocypris davidi","diploid Megalobrama amblycephala x Xenocypris davidi","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae",NA,"diploid Megalobrama amblycephala x Xenocypris davidi",4949331,NA
"367","diploid Xenocypris davidi x Megalobrama amblycephala","diploid Xenocypris davidi x Megalobrama amblycephala","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae",NA,"diploid Xenocypris davidi x Megalobrama amblycephala",4949306,NA
"368",NA,"natural gynogenetic Carassius auratus red var.","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae",NA,"natural gynogenetic Carassius auratus red var.",785385,NA
"369","triploid Megalobrama amblycephala x Xenocypris davidi","triploid Megalobrama amblycephala x Xenocypris davidi","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae",NA,"triploid Megalobrama amblycephala x Xenocypris davidi",4949332,NA
"370",NA,"Arctoraja sexoculata",NA,"Animalia","Chordata","Elasmobranchii",NA,"Rajiformes","Arhynchobatidae","Bathyraja","Arctoraja sexoculata",NA,"species"
"371","Scymnus paradoxus","Scymnus paradoxus",NA,"Animalia","Chordata","Elasmobranchii",NA,"Squaliformes","Dalatiidae","Dalatias","Scymnus paradoxus",NA,"species"
