"","taxa","phylum"
"1","Bathycongrusdens","Chordata"
"2","Lipariscusnus","Chordata"
"3","Fowleriaegata","Chordata"
"4","Coiliasus","Chordata"
"5","Allocyttusger","Chordata"
"6","Xenomystusgri","Chordata"
"7","Brevimyrusger","Chordata"
"8","Odonusger","Chordata"
"9","Rinoctessutus","Chordata"
"10","Lefuakkonis","Chordata"
"11","Rexeakamurai","Chordata"
"12","Esoxger","Chordata"
"13","Labeosus","Chordata"
"14","Monacoager","Chordata"
"15","Plesiopskaharae","Chordata"
"16","Nandusndus","Chordata"
"17","Acaroniassa","Chordata"
"18","Xenotocaata","Chordata"
"19","Kribiana","Chordata"
"20","Latesloticus","Chordata"
"21","Verasperegatus","Chordata"
"22","Oreochromis aureus xreochromisloticus","Chordata"
"23","Oreochromisloticus xreochromis mossambicus","Chordata"
"24","Nangrangra","Chordata"
"25","Chrosomus eos xhrosomusogaeus","Chordata"
"26","Petroscirtesabilis","Chordata"
"27","Cynoscionthus","Chordata"
"28","Synodusegatus","Chordata"
"29","Aetomylaeuschofii","Chordata"
"30","Ameiurustalis","Chordata"
"31","Coregonussus","Chordata"
"32","Fundulustatus","Chordata"
"33","Ictiobusger","Chordata"
"34","Cobitis hugowolfeldi","Chordata"
"35","Lycodeskamurae","Chordata"
"36","Astyanaxsutus","Chordata"
"37","Ctenopsbilis","Chordata"
"38","Distomusolosus","Chordata"
"39","Echidnabulosa","Chordata"
"40","Macolorger","Chordata"
"41","Melichthysger","Chordata"
"42","Ostracionsus","Chordata"
"43","Oxydorasger","Chordata"
"44","Cyprinodonegatus","Chordata"
"45","Scorpaenatata","Chordata"
"46","Aculeolagra","Chordata"
"47","Conodonbilis","Chordata"
"48","Kalirmani","Chordata"
"49","Scarusger","Chordata"
"50","Bryconttereri","Chordata"
"51","Xiphophorusatus","Chordata"
"52","Cyprinodonzas","Chordata"
"53","Etiauti","Chordata"
"54","Kuhliatabunda","Chordata"
"55","Acanthurusgricauda","Chordata"
"56","Leucorajaevus","Chordata"
"57","Pholisbulosa","Chordata"
"58","Tatiaivai","Chordata"
"59","Sauridabulosa","Chordata"
"60","Brycinusrse","Chordata"
"61","Starksianodes","Chordata"
"62","Gilagrescens","Chordata"
"63","Bolinichthyskolayi","Chordata"
"64","Chiasmodonger","Chordata"
"65","Notropisbilus","Chordata"
"66","Trimmasa","Chordata"
"67","Chondrostomaarense","Chordata"
"68","Cheimeriusfar","Chordata"
"69","Sebastesabilis","Chordata"
"70","Oneirodestius","Chordata"
"71","Askoldiaegata","Chordata"
"72","Gobiusger","Chordata"
"73","Plotosusunga","Chordata"
"74","Scorpaenodespinnis","Chordata"
"75","Pegusasuta","Chordata"
"76","Tosanawae","Chordata"
"77","Cyprinellavea","Chordata"
"78","Etheostomaatum","Chordata"
"79","Notropiszas","Chordata"
"80","Triacanthuseuhofii","Chordata"
"81","Stegastesabilis","Chordata"
"82","Paraliparis longipectoralis","Chordata"
"83","unidentified shark fin","Chordata"
"84","Ecseniuslolo","Chordata"
"85","Cirripectesolosus","Chordata"
"86","Pristigenysphonia","Chordata"
"87","Microchirusegatus","Chordata"
"88","Homatulaegata","Chordata"
"89","Sauridarmani","Chordata"
"90","Mystusasep","Chordata"
"91","Stichaeuszawae","Chordata"
"92","Pseudocalliurichthysegatus","Chordata"
"93","Bariliusawa","Chordata"
"94","Calamusdosus","Chordata"
"95","Arcosdus","Chordata"
"96","Pavorajatida","Chordata"
"97","Oreochromisabilis","Chordata"
"98","Eviotabulosa","Chordata"
"99","Lophiodesresi","Chordata"
"100","Tatiagra","Chordata"
"101","Clariallabesabilis","Chordata"
"102","Gobiosomadum","Chordata"
"103","Mystusgriceps","Chordata"
"104","Ambassislua","Chordata"
"105","Phallusiagra","Chordata"
"106","Salvelinusiva","Chordata"
"107","Cambeva diatropoporos","Chordata"
"108","Oryziasgrimas","Chordata"
"109","Dipturussutus","Chordata"
"110","Anthiascholsi","Chordata"
"111","Cynoscionnnus","Chordata"
"112","Lestidiopsles","Chordata"
"113","Bovichtusegatus","Chordata"
"114","Acnodonrmani","Chordata"
"115","Gilagra","Chordata"
"116","Crossoloricariaegata","Chordata"
"117","Labeogrescens","Chordata"
