"","query","usagekey","scientificname","rank","status","matchtype","canonicalname","confidence","kingdom","phylum","order","family","genus","species","kingdomkey","phylumkey","classkey","orderkey","familykey","genuskey","specieskey","synonym","class","acceptedusagekey","note"
"349","Cubiceps squamiceps",2381913,"Cubiceps squamiceps (Lloyd, 1909)","species","SYNONYM","EXACT","Cubiceps squamiceps",98,"Animalia","Chordata","Perciformes","Nomeidae","Cubiceps","Cubiceps whiteleggii",1,44,204,587,8548,2381898,2381911,TRUE,"Actinopterygii",2381911,NA
"387","Acantopsis choirorhynchos",2368327,"Acantopsis choirorhynchos (Bleeker, 1854)","species","SYNONYM","EXACT","Acantopsis choirorhynchos",98,"Animalia","Chordata","Cypriniformes","Cobitidae","Acantopsis","Acantopsis dialuzona",1,44,204,1153,3385,2368324,2368334,TRUE,"Actinopterygii",2368334,NA
"397","Leptobotia mantschurica",2368282,"Leptobotia mantschurica Berg, 1907","species","SYNONYM","EXACT","Leptobotia mantschurica",98,"Animalia","Chordata","Cypriniformes","Cobitidae","Parabotia","Parabotia mantschurica",1,44,204,1153,3385,2367842,5962920,TRUE,"Actinopterygii",5962920,NA
"506","Dasyatis akajei",2419518,"Dasyatis akajei (Müller & Henle, 1841)","species","SYNONYM","EXACT","Dasyatis akajei",98,"Animalia","Chordata","Myliobatiformes","Dasyatidae","Hemitrygon","Hemitrygon akajei",1,44,121,8214029,2195,2419708,9541869,TRUE,"Elasmobranchii",9541869,NA
"507","Dasyatis akajei",2419520,"Dasyatis akajel (Müller & Henle, 1841)","species","SYNONYM","FUZZY","Dasyatis akajel",90,"Animalia","Chordata","Myliobatiformes","Dasyatidae","Hemitrygon","Hemitrygon akajei",1,44,121,8214029,2195,2419708,9541869,TRUE,"Elasmobranchii",9541869,"Similarity: name=90; authorship=0; classification=-2; rank=5; status=0"
"508","Dasyatis izuensis",2419451,"Dasyatis izuensis Nishida & Nakaya, 1988","species","SYNONYM","EXACT","Dasyatis izuensis",98,"Animalia","Chordata","Myliobatiformes","Dasyatidae","Hemitrygon","Hemitrygon izuensis",1,44,121,8214029,2195,2419708,9524086,TRUE,"Elasmobranchii",9524086,NA
"510","Dasyatis laevigata",2419516,"Dasyatis laevigata Chu, 1960","species","SYNONYM","EXACT","Dasyatis laevigata",98,"Animalia","Chordata","Myliobatiformes","Dasyatidae","Hemitrygon","Hemitrygon laevigata",1,44,121,8214029,2195,2419708,9583556,TRUE,"Elasmobranchii",9583556,NA
"511","Dasyatis laevigata",2419517,"Dasyatis laevigatus Chu, 1960","species","SYNONYM","FUZZY","Dasyatis laevigatus",94,"Animalia","Chordata","Myliobatiformes","Dasyatidae","Hemitrygon","Hemitrygon laevigata",1,44,121,8214029,2195,2419708,9583556,TRUE,"Elasmobranchii",9583556,"Similarity: name=100; authorship=0; classification=-2; rank=5; status=0"
"512","Dasyatis brevicaudata",2419487,"Dasyatis brevicaudata (Hutton, 1875)","species","SYNONYM","EXACT","Dasyatis brevicaudata",98,"Animalia","Chordata","Myliobatiformes","Dasyatidae","Bathytoshia","Bathytoshia brevicaudata",1,44,121,8214029,2195,2419434,2419488,TRUE,"Elasmobranchii",2419488,NA
"513","Dasyatis brevicaudata",2419490,"Dasyatis brevicaudatus (Hutton, 1875)","species","SYNONYM","FUZZY","Dasyatis brevicaudatus",94,"Animalia","Chordata","Myliobatiformes","Dasyatidae","Bathytoshia","Bathytoshia brevicaudata",1,44,121,8214029,2195,2419434,2419488,TRUE,"Elasmobranchii",2419488,"Similarity: name=100; authorship=0; classification=-2; rank=5; status=0"
"576","Phoxinus oxycephalus",5207377,"Phoxinus oxycephalus (Sauvage & Dabry de Thiersant, 1874)","species","SYNONYM","EXACT","Phoxinus oxycephalus",98,"Animalia","Chordata","Cypriniformes","Cyprinidae","Rhynchocypris","Rhynchocypris oxycephalus",1,44,204,1153,7336,2361885,5851441,TRUE,"Actinopterygii",5851441,NA
"597","Pseudopentaceros richardsoni",2375210,"Pseudopentaceros richardsoni (Smith, 1844)","species","SYNONYM","EXACT","Pseudopentaceros richardsoni",98,"Animalia","Chordata","Perciformes","Pentacerotidae","Pentaceros","Pentaceros richardsoni",1,44,204,587,4480,2375230,5208735,TRUE,"Actinopterygii",5208735,NA
