"","query","usagekey","scientificname","rank","status","matchtype","canonicalname","confidence","kingdom","phylum","order","family","genus","species","kingdomkey","phylumkey","classkey","orderkey","familykey","genuskey","specieskey","synonym","class","note","acceptedusagekey"
"3288","Phyllophorus kohkutiensis",5721310,"Phyllophorus kohkutiensis Heding & Panning, 1954","species","SYNONYM","EXACT","Phyllophorus kohkutiensis",98,"Animalia","Echinodermata","Dendrochirotida","Phyllophoridae","Phyllophorella","Phyllophorella kohkutiensis",1,50,222,1482,9550,6756419,7507977,TRUE,"Holothuroidea",NA,7507977
"3291","Cenolia benhami",2274667,"Cenolia benhami (AH Clark, 1916)","species","SYNONYM","EXACT","Cenolia benhami",98,"Animalia","Echinodermata","Comatulida","Comatulidae","Anneissia","Anneissia benhami",1,50,215,812,7521278,7946336,10832520,TRUE,"Crinoidea",NA,10832520
"3305","Recurva postrema",9377462,"Recurva Sluys, 2013","genus","DOUBTFUL","HIGHERRANK","Recurva",92,"Animalia","Platyhelminthes","Tricladida","Dugesiidae","Recurva",NA,1,108,NA,427,6365,9377462,NA,FALSE,NA,NA,NA
"3331","Salenia nudispina",5964622,"Salenia nudispina Markov, 1988","species","SYNONYM","EXACT","Salenia nudispina",98,"Animalia","Echinodermata","Salenioida","Saleniidae","Salenocidaris","Salenocidaris nudispina",1,50,221,817,9527,2278824,8141279,TRUE,"Echinoidea",NA,8141279
"3344","Anonchotaenia prolixa",4407390,"Anonchotaenia Cohn, 1900","genus","ACCEPTED","HIGHERRANK","Anonchotaenia",94,"Animalia","Platyhelminthes","Cyclophyllidea","Paruterinidae","Anonchotaenia",NA,1,108,144,780,3268455,4407390,NA,FALSE,"Cestoda",NA,NA
"3345","Anonchotaenia macrocephala",4407390,"Anonchotaenia Cohn, 1900","genus","ACCEPTED","HIGHERRANK","Anonchotaenia",94,"Animalia","Platyhelminthes","Cyclophyllidea","Paruterinidae","Anonchotaenia",NA,1,108,144,780,3268455,4407390,NA,FALSE,"Cestoda",NA,NA
"3346","Anonchotaenia brasiliensis",4407390,"Anonchotaenia Cohn, 1900","genus","ACCEPTED","HIGHERRANK","Anonchotaenia",94,"Animalia","Platyhelminthes","Cyclophyllidea","Paruterinidae","Anonchotaenia",NA,1,108,144,780,3268455,4407390,NA,FALSE,"Cestoda",NA,NA
"3353","Ascocotyle pindoramensis",2505556,"Ascocotyle Looss, 1899","genus","ACCEPTED","HIGHERRANK","Ascocotyle",94,"Animalia","Platyhelminthes","Plagiorchiida","Heterophyidae","Ascocotyle",NA,1,108,345,434,3202,2505556,NA,FALSE,"Trematoda",NA,NA
"3360","Bentholebouria georgenascimentoi",8085077,"Bentholebouria Andres, Pulis & Overstreet, 2014","genus","ACCEPTED","HIGHERRANK","Bentholebouria",94,"Animalia","Platyhelminthes","Plagiorchiida","Opecoelidae","Bentholebouria",NA,1,108,345,434,6412,8085077,NA,FALSE,"Trematoda",NA,NA
"3365","Capillaria aerophila",5798256,"Capillaria aerophila (Creplin, 1839)","species","SYNONYM","EXACT","Capillaria aerophila",98,"Animalia","Nematoda","Enoplida","Capillariidae","Eucoleus","Eucoleus aerophilus",1,5967481,251,976,3249126,4554156,4554166,TRUE,"Adenophorea",NA,4554166
"3366","Spirometra decipiens",4407605,"Spirometra Faust, Campbell & Kellogg, 1929","genus","ACCEPTED","HIGHERRANK","Spirometra",92,"Animalia","Platyhelminthes","Diphyllobothriidea","Diphyllobothriidae","Spirometra",NA,1,108,144,7885371,6460,4407605,NA,FALSE,"Cestoda",NA,NA
"3374","Coronacanthus magnihamatus",3268468,"Coronacanthus Spasskii, 1954","genus","ACCEPTED","HIGHERRANK","Coronacanthus",92,"Animalia","Platyhelminthes","Cyclophyllidea","Hymenolepididae","Coronacanthus",NA,1,108,144,780,2246,3268468,NA,FALSE,"Cestoda",NA,NA
"3377","Coronacanthus omissus",7903960,"Coronacanthus omissa Baer & Joyeux, 1943","species","ACCEPTED","FUZZY","Coronacanthus omissa",96,"Animalia","Platyhelminthes","Cyclophyllidea","Hymenolepididae","Coronacanthus","Coronacanthus omissa",1,108,144,780,2246,3268468,7903960,FALSE,"Cestoda",NA,NA
"3380","Enterobius shriveri",10686933,"Enterobius Baird, 1853","genus","ACCEPTED","HIGHERRANK","Enterobius",92,"Animalia","Nematoda","Ascaridida","Oxyuridae","Enterobius",NA,1,5967481,250,442,6488,10686933,NA,FALSE,"Secernentea",NA,NA
"3382","Cookiella ondatrae",8569823,"Cookiella Haukisalmi, Hardman, Hoberg & Henttonen, 2014","genus","DOUBTFUL","HIGHERRANK","Cookiella",92,"Animalia","Platyhelminthes","Cyclophyllidea","Anoplocephalidae","Cookiella",NA,1,108,144,780,5964,8569823,NA,FALSE,"Cestoda",NA,NA
"3383","Douthittia nearctica",8548369,"Douthittia Haukisalmi, Hardman, Hoberg & Henttonen, 2014","genus","DOUBTFUL","HIGHERRANK","Douthittia",92,"Animalia","Platyhelminthes","Cyclophyllidea","Anoplocephalidae","Douthittia",NA,1,108,144,780,5964,8548369,NA,FALSE,"Cestoda",NA,NA
"3384","Rodentocestus freemani",8628701,"Rodentocestus Haukisalmi, Hardman, Hoberg & Henttonen, 2014","genus","DOUBTFUL","HIGHERRANK","Rodentocestus",92,"Animalia","Platyhelminthes","Cyclophyllidea","Anoplocephalidae","Rodentocestus",NA,1,108,144,780,5964,8628701,NA,FALSE,"Cestoda",NA,NA
"3385","Tenoraia janickii",8447631,"Tenoraia Haukisalmi, Hardman, Hoberg & Henttonen, 2014","genus","DOUBTFUL","HIGHERRANK","Tenoraia",92,"Animalia","Platyhelminthes","Cyclophyllidea","Anoplocephalidae","Tenoraia",NA,1,108,144,780,5964,8447631,NA,FALSE,"Cestoda",NA,NA
"3396","Mesocriconema inaratum",2284057,"Mesocriconema Andrássy, 1965","genus","ACCEPTED","HIGHERRANK","Mesocriconema",94,"Animalia","Nematoda","Tylenchida","Criconematidae","Mesocriconema",NA,1,5967481,250,972,2552,2284057,NA,FALSE,"Secernentea",NA,NA
"3398","Hemicycliophora gracilis",2284049,"Hemicyclophora gracilis","species","ACCEPTED","FUZZY","Hemicyclophora gracilis",84,"Animalia","Nematoda","Tylenchida","Criconematidae","Hemicyclophora","Hemicyclophora gracilis",1,5967481,250,972,2552,2284047,2284049,FALSE,"Secernentea",NA,NA
"3429","Gephyrocrinus messingi",7960413,"Gephyrocrinus messingi Roux & Lambert, 2011","species","SYNONYM","EXACT","Gephyrocrinus messingi",98,"Animalia","Echinodermata","Millericrinida","Hyocrinidae","Lamberticrinus","Lamberticrinus messingi",1,50,215,901,3250080,9958772,10329484,TRUE,"Crinoidea",NA,10329484
