found_taxa,rank,phylum,class,order,family,genus,worms_aphiaid,bold_id,gbif_key,ott_id,taxa_query,status,unacceptreason,is_synonym,flags,valid_authority,worms_sciname,tol_sciname,bold_taxon,gbif_sciname,freshwater_only,terrestrial_only
Haemopis grandis,species,Annelida,Clitellata,Arhynchobdellida,Haemopidae,Haemopis,1451152,29717,2308819,89385,Haemopis grandis,accepted,NA,FALSE,NA,"(Verrill, 1874)",Haemopis grandis,Haemopis grandis,Haemopis grandis,"Haemopis grandis (Verrill, 1874)",1,NA
Placobdella ornata,species,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,Placobdella,160288,26113,2307929,870767,Placobdella ornata,accepted,NA,FALSE,sibling_higher,"(Verrill, 1872)",Placobdella ornata,Placobdella ornata,Placobdella ornata,"Placobdella ornata (Verrill, 1872)",1,NA
Eiseniella tetraedra,species,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Eiseniella,994671,127165,2307762,2845389,Eiseniella tetraedra,accepted,NA,FALSE,NA,"(Savigny in Cuvier, 1826)",Eiseniella tetraedra,Eiseniella tetraedra,Eiseniella tetraedra,"Eiseniella tetraedra (Savigny, 1826)",0,1
Lumbricus terrestris,species,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Lumbricus,1069627,25197,4410657,316441,Lumbricus terrestris,accepted,NA,FALSE,NA,"Linnaeus, 1758",Lumbricus terrestris,Lumbricus terrestris,Lumbricus terrestris,"Lumbricus terrestris Linnaeus, 1758",0,1
Aporrectodea,genus,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodea,994659,25204,2307755,1039469,Aporrectodea,accepted,NA,FALSE,NA,"Orley, 1885",Aporrectodea,Aporrectodea,Aporrectodea,"Aporrectodea Orley, 1885",0,1
Lumbricus rubellus,species,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Lumbricus,994658,25199,4410669,115614,Lumbricus rubellus,accepted,NA,FALSE,NA,"Hoffmeister, 1843",Lumbricus rubellus,Lumbricus rubellus,Lumbricus rubellus,"Lumbricus rubellus Hoffmeister, 1843",0,1
Helobdella,genus,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,Helobdella,160018,25448,2307934,870779,Helobdella,accepted,NA,FALSE,NA,"Blanchard, 1896",Helobdella,Helobdella,Helobdella,"Helobdella Blanchard, 1896",1,1
Aporrectodea caliginosa,species,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Aporrectodea,1041019,183649,2307756,915040,Aporrectodea tuberculata,unaccepted,NA,FALSE,NA,"(Savigny in Cuvier, 1826)",Aporrectodea caliginosa,Aporrectodea tuberculata,Aporrectodea tuberculata,"Aporrectodea tuberculata (Eisen, 1874)",0,1
Dendrobaena octaedra,species,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Dendrobaena,1041023,25203,7772922,390576,Dendrobaena octaedra,accepted,NA,FALSE,NA,"(Savigny in Cuvier, 1826)",Dendrobaena octaedra,Dendrobaena octaedra,Dendrobaena octaedra,"Dendrobaena octaedra (Savigny, 1826)",1,0
Bimastos rubidus,species,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Dendrodrilus,1056838,25201,9715336,1098821,Dendrodrilus rubidus,unaccepted,superseded subsequent combination,FALSE,NA,"(Savigny in Cuvier, 1826)",Bimastos rubidus,Dendrodrilus rubidus,Dendrodrilus rubidus,"Dendrodrilus rubidus (Savigny, 1826)",0,1
Helobdella stagnalis,species,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,Helobdella,160019,26096,2307936,621686,Helobdella stagnalis,accepted,NA,FALSE,NA,"(Linnaeus, 1758)",Helobdella stagnalis,Helobdella stagnalis,Helobdella stagnalis,"Helobdella stagnalis (Linnaeus, 1758)",1,NA
Octolasion cyaneum,species,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Octolasion,1551551,127147,2307766,128736,Octolasion cyaneum,accepted,NA,FALSE,NA,"(Savigny in Cuvier, 1826)",Octolasion cyaneum,Octolasion cyaneum,Octolasion cyaneum,"Octolasion cyaneum (Savigny, 1826)",NA,1
Sparganophilus,genus,Annelida,Clitellata,Crassiclitellata,Sparganophilidae,Sparganophilus,992683,127254,2308257,531296,Sparganophilus,accepted,NA,FALSE,NA,"Benham, 1892",Sparganophilus,Sparganophilus,Sparganophilus,"Sparganophilus Benham, 1892",1,1
Dichogaster bolaui,species,Annelida,Clitellata,Crassiclitellata,Octochaetidae,Dichogaster,1041015,183703,4410238,4974331,Dichogaster bolaui,accepted,NA,FALSE,NA,"(Michaelsen, 1891)",Dichogaster bolaui,Dichogaster bolaui,Dichogaster bolaui,"Dichogaster bolaui (Michaelsen, 1891)",1,0
Ampharete,genus,Annelida,Polychaeta,Terebellida,Ampharetidae,Asabellides,129155,156485,2325850,646141,Asabellides,unaccepted,subjective synonym,FALSE,sibling_higher,"Malmgren, 1866",Ampharete,Asabellides,Asabellides,"Asabellides Annenkova, 1929",0,0
Golfingiidae,family,Annelida,NA,Sipuncula,Golfingiidae,NA,2032,79163,7339,76597,Golfingiidae,accepted,NA,FALSE,sibling_higher,"Stephen & Edmonds, 1972",Golfingiidae,Golfingiidae,Golfingiidae,Golfingiidae,0,0
Bradabyssa villosa,species,Annelida,Polychaeta,Terebellida,Flabelligeridae,Brada,1355594,190347,5199150,805996,Brada villosa,unaccepted,superseded subsequent combination,FALSE,NA,"(Rathke, 1843)",Bradabyssa villosa,Brada villosa,Brada villosa,"Brada villosa (Rathke, 1843)",0,0
Mesenchytraeus solifugus,species,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Mesenchytraeus,1073933,171067,9060483,378300,Mesenchytraeus solifugus,accepted,NA,FALSE,NA,"(Emery, 1898)",Mesenchytraeus solifugus,Mesenchytraeus solifugus,Mesenchytraeus solifugus,"Mesenchytraeus solifugus (Emery, 1898)",NA,1
