query,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,family,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type,freshwater_only,terrestrial_only
Limnodrilus silvani,1038996,Limnodrilus silvani,"Eisen, 1879",accepted,NA,Species,1038996,Limnodrilus silvani,"Eisen, 1879",137388,Animalia,Annelida,Clitellata,Tubificida,Naididae,Limnodrilus,NA,NA,1,NA,NA,exact,1,NA
Limnodrilus udekemianus,157593,Limnodrilus udekemianus,"Claparède, 1862",accepted,NA,Species,157593,Limnodrilus udekemianus,"Claparède, 1862",137388,Animalia,Annelida,Clitellata,Tubificida,Naididae,Limnodrilus,0,0,1,0,0,exact,1,0
Alexandrovia onegensis,1041124,Alexandrovia onegensis,"Hrabĕ, 1962",unaccepted,NA,Species,1040934,Alexandrovia ringulata,"(Sokolskaya, 1961)",1040104,Animalia,Annelida,Clitellata,Tubificida,Naididae,Alexandrovia,0,NA,1,0,NA,exact,1,0
Aulodrilus acutus,1040639,Aulodrilus acutus,"Ohtaka & Usman, 1997",accepted,NA,Species,1040639,Aulodrilus acutus,"Ohtaka & Usman, 1997",990656,Animalia,Annelida,Clitellata,Tubificida,Naididae,Aulodrilus,0,NA,1,0,NA,exact,1,0
Bothrioneurum vejdovskyanum,1040573,Bothrioneurum vejdovskyanum,"Štolc, 1886",accepted,NA,Species,1040573,Bothrioneurum vejdovskyanum,"Štolc, 1886",1040093,Animalia,Annelida,Clitellata,Tubificida,Naididae,Bothrioneurum,0,0,1,0,0,exact,1,0
Epirodrilus pygmaeus,1040913,Epirodrilus pygmaeus,"(Hrabĕ, 1935)",accepted,NA,Species,1040913,Epirodrilus pygmaeus,"(Hrabĕ, 1935)",1040096,Animalia,Annelida,Clitellata,Tubificida,Naididae,Epirodrilus,0,NA,1,0,0,exact,1,0
Spirosperma ferox,1038999,Spirosperma ferox,"Eisen, 1879",accepted,NA,Species,1038999,Spirosperma ferox,"Eisen, 1879",475530,Animalia,Annelida,Clitellata,Tubificida,Naididae,Spirosperma,0,NA,1,0,0,exact,1,0
Tubifex newaensis,992858,Tubifex newaensis,"(Michaelsen, 1903)",accepted,NA,Species,992858,Tubifex newaensis,"(Michaelsen, 1903)",137392,Animalia,Annelida,Clitellata,Tubificida,Naididae,Tubifex,0,0,1,0,NA,exact,1,0
Pisione bulbifera,330717,Pisione bulbifera,"Yamanishi, 1998",accepted,NA,Species,330717,Pisione bulbifera,"Yamanishi, 1998",129469,Animalia,Annelida,Polychaeta,Phyllodocida,Sigalionidae,Pisione,1,0,0,0,0,exact,0,0
Pisione guanche,330722,Pisione guanche,"San Martín, López & Núñez, 1999",accepted,NA,Species,330722,Pisione guanche,"San Martín, López & Núñez, 1999",129469,Animalia,Annelida,Polychaeta,Phyllodocida,Sigalionidae,Pisione,1,0,0,0,0,exact,0,0
Pisione hartmannschroederae,330724,Pisione hartmannschroederae,"Westheide, 1995",accepted,NA,Species,330724,Pisione hartmannschroederae,"Westheide, 1995",129469,Animalia,Annelida,Polychaeta,Phyllodocida,Sigalionidae,Pisione,1,0,0,0,0,exact,0,0
Pisione papuensis,330735,Pisione papuensis,"Govaere & De Wilde, 1993",accepted,NA,Species,330735,Pisione papuensis,"Govaere & De Wilde, 1993",129469,Animalia,Annelida,Polychaeta,Phyllodocida,Sigalionidae,Pisione,1,0,0,0,0,exact,0,0
Pisione puzae,130706,Pisione puzae,"Siewing, 1953",accepted,NA,Species,130706,Pisione puzae,"Siewing, 1953",129469,Animalia,Annelida,Polychaeta,Phyllodocida,Sigalionidae,Pisione,1,0,0,0,0,exact,0,0
Pisione remota,130707,Pisione remota,"(Southern, 1914)",accepted,NA,Species,130707,Pisione remota,"(Southern, 1914)",129469,Animalia,Annelida,Polychaeta,Phyllodocida,Sigalionidae,Pisione,1,0,0,0,0,exact,0,0
Pisione wolfi,330743,Pisione wolfi,"San Martín, López & Núñez, 1999",accepted,NA,Species,330743,Pisione wolfi,"San Martín, López & Núñez, 1999",129469,Animalia,Annelida,Polychaeta,Phyllodocida,Sigalionidae,Pisione,1,0,0,0,0,exact,0,0
Vanadis crystallina,129764,Vanadis crystallina,"Greeff, 1876",accepted,NA,Species,129764,Vanadis crystallina,"Greeff, 1876",129150,Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Vanadis,1,0,0,0,0,exact,0,0
Branchiobdella italica,1562921,Branchiobdella italica,"Canegallo, 1928",accepted,NA,Species,1562921,Branchiobdella italica,"Canegallo, 1928",1427908,Animalia,Annelida,Clitellata,Oligochaeta incertae sedis,Branchiobdellidae,Branchiobdella,0,0,1,0,0,exact,1,0
Ozobranchus jantseanus,370655,Ozobranchus jantseanus,"Oka, 1912",accepted,NA,Species,370655,Ozobranchus jantseanus,"Oka, 1912",116924,Animalia,Annelida,Clitellata,Rhynchobdellida,Ozobranchidae,Ozobranchus,0,NA,1,NA,NA,exact,1,NA
Melinna maculata,157486,Melinna maculata,"Webster, 1879",accepted,NA,Species,157486,Melinna maculata,"Webster, 1879",129168,Animalia,Annelida,Polychaeta,Terebellida,Melinnidae,Melinna,1,0,1,0,0,exact,0,0
Trilobodrilus nipponicus,332208,Trilobodrilus nipponicus,"Uchida & Okuda, 1943",accepted,NA,Species,332208,Trilobodrilus nipponicus,"Uchida & Okuda, 1943",129275,Animalia,Annelida,Polychaeta,NA,Dinophilidae,Trilobodrilus,1,0,0,0,0,exact,0,0
