query,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,family,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type,freshwater_only,terrestrial_only
Tegella horrida,469377,Tegella horrida,"(Hincks, 1880)",accepted,NA,Species,469377,Tegella horrida,"(Hincks, 1880)",110863,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Calloporidae,Tegella,1,0,0,0,NA,exact,0,0
Urticina lofotensis,240768,Urticina lofotensis,"(Danielssen, 1890)",unaccepted,NA,Species,100833,Urticina eques,"(Gosse, 1858)",100706,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Urticina,1,NA,NA,NA,NA,exact,0,0
Balanophyllia elegans,1288908,Balanophyllia elegans,"Verrill, 1864",alternate representation,NA,Species,286920,Balanophyllia (Balanophyllia) elegans,"Verrill, 1864",135108,Animalia,Cnidaria,Anthozoa,Scleractinia,Dendrophylliidae,Balanophyllia,1,0,0,0,NA,exact,0,0
Bougainvillia glorietta,284235,Bougainvillia glorietta,"Torrey, 1904",taxon inquirendum,NA,Species,284235,Bougainvillia glorietta,"Torrey, 1904",117015,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Bougainvilliidae,Bougainvillia,1,NA,NA,0,NA,exact,0,0
Abietinaria greenei,285366,Abietinaria greenei,"(Murray, 1860)",unaccepted,genus transfer,Species,1358362,Amphisbetia greenei,"(Murray, 1860)",117225,Animalia,Cnidaria,Hydrozoa,Leptothecata,Sertulariidae,Abietinaria,1,0,0,0,0,exact,0,0
Haliclystus sanjuanensis,287228,Haliclystus sanjuanensis,"Hyman, 1940",nomen nudum,NA,Species,NA,NA,NA,135275,Animalia,Cnidaria,Staurozoa,Stauromedusae,Haliclystidae,Haliclystus,1,NA,NA,0,NA,exact,0,0
Quasitetrastemma nigrifrons,573314,Quasitetrastemma nigrifrons,"(Coe, 1904)",accepted,NA,Species,573314,Quasitetrastemma nigrifrons,"(Coe, 1904)",573311,Animalia,Nemertea,Hoplonemertea,Monostilifera,NA,Quasitetrastemma,1,NA,0,0,NA,exact,0,0
Haliclona cinerea,231816,Haliclona cinerea,"(Grant, 1826)",alternate representation,subgenus assignment,Species,166605,Haliclona (Reniera) cinerea,"(Grant, 1826)",131834,Animalia,Porifera,Demospongiae,Haplosclerida,Chalinidae,Haliclona,1,0,0,0,NA,exact,0,0
Halichondria bowerbanki,132588,Halichondria bowerbanki,"Burton, 1930",alternate representation,subgenus assignment,Species,165801,Halichondria (Halichondria) bowerbanki,"Burton, 1930",131807,Animalia,Porifera,Demospongiae,Suberitida,Halichondriidae,Halichondria,1,0,0,0,0,exact,0,0
Halichondria panicea,132627,Halichondria panicea,"(Pallas, 1766)",alternate representation,subgenus assignment,Species,165853,Halichondria (Halichondria) panicea,"(Pallas, 1766)",131807,Animalia,Porifera,Demospongiae,Suberitida,Halichondriidae,Halichondria,1,0,0,0,0,exact,0,0
Hydra circumcincta,290131,Hydra circumcincta,"Schulze, 1914",accepted,NA,Species,290131,Hydra circumcincta,"Schulze, 1914",267491,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Hydridae,Hydra,NA,NA,1,0,NA,exact,1,0
