found_taxa,rank,phylum,class,order,family,genus,worms_aphiaid,bold_id,gbif_key,ott_id,taxa_query,status,unacceptreason,is_synonym,flags,valid_authority,worms_sciname,tol_sciname,bold_taxon,gbif_sciname,freshwater_only,terrestrial_only
Scutellonema bradys,species,Nematoda,Chromadorea,Rhabditida,Hoplolaimidae,Scutellonema,1295441,173073,2284133,450039,Scutellonema bradys,accepted,NA,FALSE,NA,"(Steiner & LeHew, 1933)",Scutellonema bradys,Scutellonema bradys,Scutellonema bradys,"Scutellonema bradys (Steiner & LeHew, 1933)",1,NA
Caudina arenicola,species,Echinodermata,Holothuroidea,Molpadida,Molpadiidae,Molpadia,1495289,852449,5188300,398503,Molpadia arenicola,unaccepted,NA,FALSE,sibling_higher,"(Stimpson, 1857)",Caudina arenicola,Molpadia arenicola,Molpadia arenicola,"Molpadia arenicola (Stimpson, 1857)",0,0
Luidia sarsii,species,Echinodermata,Asteroidea,Paxillosida,Luidiidae,Luidia,123922,220816,2270626,24895,Luidia sarsi,unaccepted,misspelling,FALSE,NA,"Düben & Koren in Düben, 1844",Luidia sarsii,Luidia sarsi,Luidia sarsi,"Luidia sarsi Düben & Koren, 1844",0,0
Leptasterias (Leptasterias) muelleri,species,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Leptasterias,125158,104587,2273912,960218,Leptasterias muelleri,alternate representation,NA,FALSE,sibling_higher,"(M. Sars, 1846)",Leptasterias (Leptasterias) muelleri,Leptasterias muelleri,Leptasterias muelleri,"Leptasterias muelleri (M.Sars, 1846)",0,0
Trichostrongylidae,family,Nematoda,Chromadorea,Rhabditida,Trichostrongylidae,NA,834872,493731,5969,1057357,Trichostrongylidae,accepted,NA,FALSE,NA,"Leiper, 1912",Trichostrongylidae,Trichostrongylidae,Trichostrongylidae,Trichostrongylidae,NA,1
Silax daleus,species,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphioplus,1507520,218520,2277461,3654163,Amphioplus daleus,alternate representation,transferred to Unioplus by A.M. Clark (1970),FALSE,sibling_higher,"(Lyman, 1879)",Silax daleus,Amphioplus daleus,Amphioplus daleus,"Amphioplus daleus (Lyman, 1879)",0,0
Heterorhabditis bacteriophora,species,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Heterorhabditis,1537590,81259,4558802,493867,Heterorhabditis bacteriophora,accepted,NA,FALSE,NA,"Poinar, 1976",Heterorhabditis bacteriophora,Heterorhabditis bacteriophora,Heterorhabditis bacteriophora,"Heterorhabditis bacteriophora Poinar, 1976",0,1
Lobocriconema,genus,Nematoda,Chromadorea,Rhabditida,Criconematidae,Lobocriconema,1427565,738444,4407268,14267,Lobocriconema,accepted,NA,FALSE,NA,"De Grisse & Loof, 1965",Lobocriconema,Lobocriconema,Lobocriconema,"Lobocriconema De Grisse & Loof, 1965",NA,1
Mesocriconema,genus,Nematoda,Chromadorea,Rhabditida,Criconematidae,Mesocriconema,1061007,652238,2284057,1084275,Mesocriconema,accepted,NA,FALSE,NA,"Andrássy, 1965",Mesocriconema,Mesocriconema,Mesocriconema,"Mesocriconema Andrássy, 1965",1,1
Xenocriconemella macrodora,species,Nematoda,Chromadorea,Rhabditida,Criconematidae,Xenocriconemella,1428510,738447,4556619,58371,Xenocriconemella macrodora,accepted,NA,FALSE,NA,"(Taylor, 1936) De Grisse & Loof, 1965",Xenocriconemella macrodora,Xenocriconemella macrodora,Xenocriconemella macrodora,"Xenocriconemella macrodora (Taylor, 1936) De Grisse & Loof, 1965",NA,1
Criconema crotaloides,species,Nematoda,Chromadorea,Rhabditida,Criconematidae,Criconema,1428620,738449,4556591,3585850,Criconema crotaloides,accepted,NA,FALSE,NA,"(Cobb, 1924) Schuurmans-Stekhoven & Teunissen, 1938",Criconema crotaloides,Criconema crotaloides,Criconema crotaloides,"Criconema crotaloides (Cobb, 1924) Schuurmans-Stekhoven & Teunissen, 1938",NA,1
Ogma octangularis,species,Nematoda,Chromadorea,Rhabditida,Criconematidae,Ogma,1295328,738451,10395050,7074933,Ogma octangularis,accepted,NA,FALSE,NA,"(Cobb, 1914) Schuurmans Stekhoven & Teunissen, 1938",Ogma octangularis,Ogma octangularis,Ogma octangularis,"Ogma octangularis (Cobb, 1914) Schuurmans Stekhoven & Teunissen, 1938",NA,1
Mesocriconema rusticum,species,Nematoda,Chromadorea,Rhabditida,Criconematidae,Mesocriconema,1295326,652243,2284058,967185,Mesocriconema rusticum,accepted,NA,FALSE,NA,"(Micoletzky, 1915) Loof & De Grisse, 1989",Mesocriconema rusticum,Mesocriconema rusticum,Mesocriconema rusticum,"Mesocriconema rusticum (Micoletzky, 1915) Loof & De Grisse, 1989",NA,1
Mesocriconema curvatum,species,Nematoda,Chromadorea,Rhabditida,Criconematidae,Mesocriconema,1294364,752530,4556709,967182,Mesocriconema curvatum,accepted,NA,FALSE,NA,"(Raski, 1952) Loof & De Grisse, 1989",Mesocriconema curvatum,Mesocriconema curvatum,Mesocriconema curvatum,"Mesocriconema curvatum (Raski, 1952) Loof & De Grisse, 1989",NA,1
Ogma serratus,species,Nematoda,Chromadorea,Rhabditida,Criconematidae,Neolobocriconema,1428714,738453,11104285,490570,Neolobocriconema serratum,unaccepted,NA,FALSE,NA,"(Khan & Siddiqi, 1963) Siddiqi, 1986",Ogma serratus,Neolobocriconema serratum,Neolobocriconema serratum,"Neolobocriconema serratum (Khan & Siddiqi, 1963) Mehta & Raski, 1971",NA,1
Crossonema,genus,Nematoda,Chromadorea,Rhabditida,Criconematidae,Crossonema,1427563,738459,2284072,205249,Crossonema,accepted,NA,FALSE,NA,"Mehta & Raski, 1971",Crossonema,Crossonema,Crossonema,"Crossonema Mehta & Raski, 1971",NA,1
Criconemoides,genus,Nematoda,Chromadorea,Rhabditida,Criconematidae,Criconemoides,428348,296581,2284060,579305,Criconemoides,accepted,NA,FALSE,NA,"Taylor, 1936",Criconemoides,Criconemoides,Criconemoides,"Criconemoides Taylor, 1936",1,1
Bakernema inaequale,species,Nematoda,Chromadorea,Rhabditida,Criconematidae,Bakernema,1428511,738456,7022475,1016815,Bakernema inaequale,accepted,NA,FALSE,NA,"(Taylor, 1936) Mehta & Raski, 1971",Bakernema inaequale,Bakernema inaequale,Bakernema inaequale,"Bakernema inaequale (Taylor, 1936) Mehta & Raski, 1971",NA,1
Paratylenchus projectus,species,Nematoda,Chromadorea,Rhabditida,Tylenchulidae,Paratylenchus,1294687,740605,5798290,3585760,Paratylenchus projectus,accepted,NA,FALSE,NA,"Jenkins, 1956",Paratylenchus projectus,Paratylenchus projectus,Paratylenchus projectus,"Paratylenchus projectus Jenkins, 1956",0,1
Ogma murrayi,species,Nematoda,Chromadorea,Rhabditida,Criconematidae,Ogma,1295327,738478,4556638,3585876,Ogma murrayi,accepted,NA,FALSE,NA,"Southern, 1914",Ogma murrayi,Ogma murrayi,Ogma murrayi,"Ogma murrayi Southern, 1914",NA,1
Ogma seymouri,species,Nematoda,Chromadorea,Rhabditida,Criconematidae,Ogma,1428715,738458,10868301,909676,Ogma seymouri,accepted,NA,FALSE,NA,"(Wu, 1965) Siddiqi, 1986",Ogma seymouri,Ogma seymouri,Ogma seymouri,"Ogma seymouri (Wu, 1965) Siddiqi, 1986",NA,1
Crossonema fimbriatum,species,Nematoda,Chromadorea,Rhabditida,Criconematidae,Crossonema,1428163,738460,4556724,886675,Crossonema fimbriatum,accepted,NA,FALSE,NA,"(Cobb in Taylor, 1936) Mehta & Raski, 1971",Crossonema fimbriatum,Crossonema fimbriatum,Crossonema fimbriatum,"Crossonema fimbriatum (Cobb, 1936) Mehta & Raski, 1971",NA,1
Mesocriconema discus,species,Nematoda,Chromadorea,Rhabditida,Criconematidae,Mesocriconema,1428551,652239,10874052,490574,Mesocriconema discus,accepted,NA,FALSE,NA,"(Thorne & Malek, 1968) Loof & De Grisse, 1989",Mesocriconema discus,Mesocriconema discus,Mesocriconema discus,"Mesocriconema discus (Thorne & Malek, 1968) Loof & De Grisse, 1989",NA,1
Hemicycliophora,genus,Nematoda,Chromadorea,Rhabditida,Hemicycliophoridae,Hemicycliophora,582938,655567,7692463,579302,Hemicycliophora,accepted,NA,FALSE,NA,"de Man, 1921",Hemicycliophora,Hemicycliophora,Hemicycliophora,"Hemicycliophora de Man, 1921",1,1
Mesocriconema ornatum,species,Nematoda,Chromadorea,Rhabditida,Criconematidae,Mesocriconema,1428572,738461,4556697,190566,Mesocriconema ornatum,accepted,NA,FALSE,NA,"(Raski, 1958) Loof & De Grisse, 1989",Mesocriconema ornatum,Mesocriconema ornatum,Mesocriconema ornatum,"Mesocriconema ornatum (Raski, 1958) Loof & De Grisse, 1989",NA,1
Criconemoides annulatus,species,Nematoda,Chromadorea,Rhabditida,Criconematidae,Criconemoides,1428350,738462,4556651,524611,Criconemoides annulatus,accepted,NA,FALSE,NA,"Cobb in Taylor, 1936",Criconemoides annulatus,Criconemoides annulatus,Criconemoides annulatus,"Criconemoides annulatus Cobb, 1936",NA,1
Mesocriconema nebraskense,species,Nematoda,Chromadorea,Rhabditida,Criconematidae,Mesocriconema,1586982,802637,NA,5716827,Mesocriconema nebraskense,accepted,NA,FALSE,NA,"Olson, Harris, Higgins, Mullin, Powers, Olson & Powers, 2017",Mesocriconema nebraskense,Mesocriconema nebraskense,Mesocriconema nebraskense,NA,1,1
Ogma decalineatus,species,Nematoda,Chromadorea,Rhabditida,Criconematidae,Ogma,583245,738463,8857179,3585835,Ogma decalineatus,accepted,NA,FALSE,NA,"(Chitwood, 1957) Andrássy, 1979",Ogma decalineatus,Ogma decalineatus,Ogma decalineatus,"Ogma decalineatus (Chitwood, 1957) Andrássy, 1979",0,1
Criconema,genus,Nematoda,Chromadorea,Rhabditida,Criconematidae,Criconema,431787,738448,2284086,922074,Criconema,accepted,NA,FALSE,NA,"Hofmänner & Menzel, 1914",Criconema,Criconema,Criconema,"Criconema Hofmänner & Menzel, 1914",1,1
Criconema sphagni,species,Nematoda,Chromadorea,Rhabditida,Criconematidae,Criconema,1294808,738467,4556599,524609,Criconema sphagni,accepted,NA,FALSE,NA,"Micoletzky, 1925",Criconema sphagni,Criconema sphagni,Criconema sphagni,"Criconema sphagni Micoletzky, 1925",NA,1
Criconemoides informis,species,Nematoda,Chromadorea,Rhabditida,Criconematidae,Criconemoides,1294358,296582,4556655,579304,Criconemoides informis,accepted,NA,FALSE,NA,"(Micoletzky, 1922) Taylor, 1936",Criconemoides informis,Criconemoides informis,Criconemoides informis,"Criconemoides informis (Micoletzky, 1922) Taylor, 1936",NA,1
Hemicriconemoides,genus,Nematoda,Chromadorea,Rhabditida,Criconematidae,Hemicriconemoides,582937,738480,2284045,385923,Hemicriconemoides,accepted,NA,FALSE,NA,"Chitwood & Birchfield, 1957",Hemicriconemoides,Hemicriconemoides,Hemicriconemoides,"Hemicriconemoides Chitwood & Birchfield, 1957",1,1
Criconema loofi,species,Nematoda,Chromadorea,Rhabditida,Criconematidae,Criconema,431788,738474,4556605,3585844,Criconema loofi,accepted,NA,FALSE,NA,"(De Grisse, 1967) Raski & Luc, 1985",Criconema loofi,Criconema loofi,Criconema loofi,"Criconema loofi (De Grisse, 1967) Raski & Luc, 1985",0,1
Criconema permistum,species,Nematoda,Chromadorea,Rhabditida,Criconematidae,Criconema,1428645,738465,10884969,5926701,Criconema permistum,accepted,NA,FALSE,NA,"(Raski & Golden, 1966) Raski & Luc, 1985",Criconema permistum,Criconema permistum,Criconema permistum,"Criconema permistum (Raski & Golden, 1966) Raski & Luc, 1985",NA,1
Paratylenchus,genus,Nematoda,Chromadorea,Rhabditida,Tylenchulidae,Gracilacus,583003,738502,2284213,93738,Gracilacus,unaccepted,NA,FALSE,NA,"Micoletzky, 1922",Paratylenchus,Gracilacus,Gracilacus,"Gracilacus Raski, 1962",0,1
Mesocriconema ericaceum,species,Nematoda,Chromadorea,Rhabditida,Criconematidae,Mesocriconema,1461396,804886,10853017,7074952,Mesocriconema ericaceum,accepted,NA,FALSE,NA,"Powers, Mullin, Higgins, Harris & Powers, 2016",Mesocriconema ericaceum,Mesocriconema ericaceum,Mesocriconema ericaceum,"Mesocriconema ericaceum Powers, Mullin, Higgins, Harris & Powers, 2016",NA,1
Criconema acriculum,species,Nematoda,Chromadorea,Rhabditida,Criconematidae,Criconema,1428609,804808,10765349,7074879,Criconema acriculum,accepted,NA,FALSE,NA,"(Raski & Pinochet, 1976) Raski & Luc, 1985",Criconema acriculum,Criconema acriculum,Criconema acriculum,"Criconema acriculum (Raski & Pinochet, 1976) Raski & Luc, 1985",NA,1
Mesocriconema xenoplax,species,Nematoda,Chromadorea,Rhabditida,Criconematidae,Mesocriconema,1428180,652248,2284059,441448,Mesocriconema xenoplax,accepted,NA,FALSE,NA,"(Raski, 1952) Loof & De Grisse, 1989",Mesocriconema xenoplax,Mesocriconema xenoplax,Mesocriconema xenoplax,"Mesocriconema xenoplax (Raski, 1952) Loof & De Grisse, 1989",NA,1
Nothocriconemoides,genus,Nematoda,Chromadorea,Rhabditida,Criconematidae,Nothocriconemoides,1427596,652584,4405035,909671,Nothocriconemoides,accepted,NA,FALSE,NA,"Maas, Loof & De Grisse, 1971",Nothocriconemoides,Nothocriconemoides,Nothocriconemoides,"Nothocriconemoides Maas, Loof & De Grisse, 1971",NA,1
Discocriconemella limitanea,species,Nematoda,Chromadorea,Rhabditida,Criconematidae,Discocriconemella,1428504,650699,10797849,4999276,Discocriconemella limitanea,accepted,NA,FALSE,NA,"(Luc, 1959) De Grisse & Loof, 1965",Discocriconemella limitanea,Discocriconemella limitanea,Discocriconemella limitanea,"Discocriconemella limitanea (Luc, 1959) De Grisse & Loof, 1965",NA,1
Ogma,genus,Nematoda,Chromadorea,Rhabditida,Criconematidae,Ogma,582990,738450,2284074,1068160,Ogma,accepted,NA,FALSE,NA,"Southern, 1914",Ogma,Ogma,Ogma,"Ogma Southern, 1914",1,1
Paratylenchus,genus,Nematoda,Chromadorea,Rhabditida,Tylenchulidae,Paratylenchus,583003,740296,6756644,643380,Paratylenchus,accepted,NA,FALSE,NA,"Micoletzky, 1922",Paratylenchus,Paratylenchus,Paratylenchus,"Paratylenchus Micoletzky, 1922",0,1
Criconema petasum,species,Nematoda,Chromadorea,Rhabditida,Criconematidae,Criconema,1428646,738477,10847423,4168321,Criconema petasum,accepted,NA,FALSE,NA,"(Wu, 1965) Raski & Luc, 1985",Criconema petasum,Criconema petasum,Criconema petasum,"Criconema petasum (Wu, 1965) Raski & Luc, 1985",NA,1
Criconemoides inusitatus,species,Nematoda,Chromadorea,Rhabditida,Criconematidae,Criconemoides,1428358,804846,7022284,4999375,Criconemoides inusitatus,accepted,NA,FALSE,NA,"Hofmann, 1974",Criconemoides inusitatus,Criconemoides inusitatus,Criconemoides inusitatus,"Criconemoides inusitatus Hofmann, 1974",NA,1
Trophotylenchulus,genus,Nematoda,Chromadorea,Rhabditida,Tylenchulidae,Trophotylenchulus,1294171,804853,2284210,321889,Trophotylenchulus,accepted,NA,FALSE,NA,"Raski, 1957",Trophotylenchulus,Trophotylenchulus,Trophotylenchulus,"Trophotylenchulus Raski, 1957",0,1
Mesocriconema onoense,species,Nematoda,Chromadorea,Rhabditida,Criconematidae,Mesocriconema,1295322,652242,10230396,4168324,Mesocriconema onoense,accepted,NA,FALSE,NA,"(Luc, 1959) Loof & De Grisse, 1989",Mesocriconema onoense,Mesocriconema onoense,Mesocriconema onoense,"Mesocriconema onoense (Luc, 1959) Loof & De Grisse, 1989",NA,1
Criconema mutabile,species,Nematoda,Chromadorea,Rhabditida,Criconematidae,Criconema,1428636,738471,4556615,764863,Criconema mutabile,accepted,NA,FALSE,NA,"(Taylor, 1936) Raski & Luc, 1985",Criconema mutabile,Criconema mutabile,Criconema mutabile,"Criconema mutabile (Taylor, 1936) Raski & Luc, 1985",NA,1
Criconema longulum,species,Nematoda,Chromadorea,Rhabditida,Criconematidae,Criconema,1294806,738479,4556595,3585838,Criconema longulum,accepted,NA,FALSE,NA,"Gunhold, 1953",Criconema longulum,Criconema longulum,Criconema longulum,"Criconema longulum Gunhold, 1953",NA,1
Hemicriconemoides chitwoodi,species,Nematoda,Chromadorea,Rhabditida,Criconematidae,Hemicriconemoides,1428288,738481,7022546,4168316,Hemicriconemoides chitwoodi,accepted,NA,FALSE,NA,"Esser, 1960",Hemicriconemoides chitwoodi,Hemicriconemoides chitwoodi,Hemicriconemoides chitwoodi,"Hemicriconemoides chitwoodi Esser, 1960",NA,1
Discocriconemella,genus,Nematoda,Chromadorea,Rhabditida,Criconematidae,Discocriconemella,1427590,650698,4630730,14264,Discocriconemella,accepted,NA,FALSE,NA,"De Griesse & Loof, 1965",Discocriconemella,Discocriconemella,Discocriconemella,"Discocriconemella De Griesse & Loof, 1965",NA,1
Ophioderma panamense,species,Echinodermata,Ophiuroidea,Ophiacanthida,Ophiodermatidae,Ophioderma,245239,219606,5187987,3654767,Ophioderma panamensis,unaccepted,wrong ending due to confusion about gender of Ophioderma,FALSE,NA,"Lütken, 1859",Ophioderma panamense,Ophioderma panamensis,Ophioderma panamensis,"Ophioderma panamensis Lütken, 1859",0,0
Caenorhabditis,genus,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Caenorhabditis,582871,27259,2283681,395055,Caenorhabditis,accepted,NA,FALSE,NA,"Osche, 1952",Caenorhabditis,Caenorhabditis,Caenorhabditis,"Caenorhabditis Osche, 1952",1,1
Glaciacantha dubium,species,Echinodermata,Ophiuroidea,Ophiurida,Ophiuridae,Ophiocten,173540,220232,2276709,3654741,Ophiocten dubium,unaccepted,NA,FALSE,NA,"(Koehler, 1901)",Glaciacantha dubium,Ophiocten dubium,Ophiocten dubium,"Ophiocten dubium Koehler, 1901",0,0
Ophiuroglypha lymani,species,Echinodermata,Ophiuroidea,Ophiurida,Ophiuridae,Ophiura,173682,220449,8372735,3654616,Ophiura lymani,unaccepted,type species of Ophiuroglypha,FALSE,sibling_higher,"(Ljungman, 1871)",Ophiuroglypha lymani,Ophiura lymani,Ophiura lymani,"Ophiura lymani (Ljungman, 1871)",0,0
Ophiosphalma glabrum,species,Echinodermata,Ophiuroidea,Ophiurida,Ophiosphalmidae,Ophiomusium,244923,140250,2275708,875656,Ophiomusium glabrum,unaccepted,transferred to Ophiosphalma,FALSE,NA,"(Lütken & Mortensen, 1899)",Ophiosphalma glabrum,Ophiomusium glabrum,Ophiomusium glabrum,"Ophiomusium glabrum Lütken & Mortensen, 1899",0,0
Pseudocnus lubricus,species,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Cucumaria,529633,13330,5188254,213561,Cucumaria lubrica,unaccepted,NA,FALSE,sibling_higher,"(Clark, 1901)",Pseudocnus lubricus,Cucumaria lubrica,Cucumaria lubrica,"Cucumaria lubrica Clark, 1901",0,0
Amphiodia (Amphispina) urtica,species,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphiodia,245665,160325,2277736,3654257,Amphiodia urtica,alternate representation,subgeneric placement,FALSE,NA,"(Lyman, 1860)",Amphiodia (Amphispina) urtica,Amphiodia urtica,Amphiodia urtica,"Amphiodia urtica (Lyman, 1860)",0,0
Amphiura (Amphiura) magellanica,species,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphiura,243045,99935,2277836,339927,Amphiura magellanica,alternate representation,NA,FALSE,sibling_higher,"Ljungman, 1867",Amphiura (Amphiura) magellanica,Amphiura magellanica,Amphiura magellanica,"Amphiura magellanica Ljungman, 1867",0,0
Ophiothrix (Ophiothrix) aristulata,species,Echinodermata,Ophiuroidea,Amphilepidida,Ophiotrichidae,Ophiothrix,244163,99942,5187780,926179,Ophiothrix aristulata,alternate representation,NA,FALSE,sibling_higher,"Lyman, 1879",Ophiothrix (Ophiothrix) aristulata,Ophiothrix aristulata,Ophiothrix aristulata,"Ophiothrix aristulata Lyman, 1879",0,0
Ophiosabine rosea,species,Echinodermata,Ophiuroidea,Ophiacanthida,Ophiacanthidae,Ophiacantha,1574966,99946,2275196,914724,Ophiacantha rosea,unaccepted,transferred to Ophiosabine by O'Hara & Thuy (2022),FALSE,sibling_higher,"(Lyman, 1878)",Ophiosabine rosea,Ophiacantha rosea,Ophiacantha rosea,"Ophiacantha rosea Lyman, 1878",0,0
Echinidea,order,Echinodermata,Echinoidea,Echinoida,NA,NA,510534,NA,NA,43570,Echinoida,unaccepted,Not in use,FALSE,NA,"Kroh & Smith, 2010",Echinidea,Echinoida,NA,NA,0,0
Astropecten polyacanthus phragmorus,species,Echinodermata,Asteroidea,Paxillosida,Astropectinidae,Astropecten,224121,125347,5818347,914731,Astropecten phragmorus,unaccepted,Subspecies according to A.M. Clark (1974),FALSE,NA,"Fisher, 1913",Astropecten polyacanthus phragmorus,Astropecten phragmorus,Astropecten phragmorus,"Astropecten phragmorus Fisher, 1913",0,0
Ophiothela mirabilis,species,Echinodermata,Ophiuroidea,Amphilepidida,Ophiotrichidae,Ophiothela,244093,219999,2276038,3654474,Ophiothela danae,unaccepted,synonymized by Alitto et al. 2020,FALSE,NA,"Verrill, 1867",Ophiothela mirabilis,Ophiothela danae,Ophiothela danae,"Ophiothela danae Verrill, 1869",0,0
Lanthonia grantii,species,Echinodermata,Echinoidea,Echinolampadacea,Mellitidae,Mellita,880817,671238,5965224,3651013,Mellita grantii,unaccepted,NA,FALSE,NA,"(Mortensen, 1948)",Lanthonia grantii,Mellita grantii,Mellita grantii,"Mellita grantii Mortensen, 1948",0,0
