found_taxa,rank,phylum,class,order,family,genus,worms_aphiaid,bold_id,gbif_key,ott_id,taxa_query,status,unacceptreason,is_synonym,flags,valid_authority,worms_sciname,tol_sciname,bold_taxon,gbif_sciname,freshwater_only,terrestrial_only
Macrobrachium gracilirostre,species,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,587235,169724,2224744,573976,Macrobrachium gracilirostre,accepted,NA,FALSE,NA,"(Miers, 1875)",Macrobrachium gracilirostre,Macrobrachium gracilirostre,Macrobrachium gracilirostre,"Macrobrachium gracilirostre (Miers, 1875)",1,0
Macrobrachium inflatum,species,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,587286,169720,2224579,573985,Macrobrachium inflatum,accepted,NA,FALSE,NA,"Liang & Yan, 1985",Macrobrachium inflatum,Macrobrachium inflatum,Macrobrachium inflatum,"Macrobrachium inflatum Liang & Yan, 1985",1,0
Macrobrachium japonicum,species,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,587291,169719,2224699,339285,Macrobrachium japonicum,accepted,NA,FALSE,NA,"(De Haan, 1849)",Macrobrachium japonicum,Macrobrachium japonicum,Macrobrachium japonicum,"Macrobrachium japonicum (De Haan, 1849)",1,0
Macrobrachium jaroense,species,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,587294,169718,2224647,339286,Macrobrachium jaroense,accepted,NA,FALSE,NA,"(Cowles, 1914)",Macrobrachium jaroense,Macrobrachium jaroense,Macrobrachium jaroense,"Macrobrachium jaroense (Cowles, 1914)",1,0
Macrobrachium lar,species,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,220135,169717,2224565,889836,Macrobrachium lar,accepted,NA,FALSE,NA,"(Fabricius, 1798)",Macrobrachium lar,Macrobrachium lar,Macrobrachium lar,"Macrobrachium lar (Fabricius, 1798)",1,0
Macrobrachium latidactylus,species,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,587340,169716,2224822,616621,Macrobrachium latidactylus,accepted,NA,FALSE,NA,"(Thallwitz, 1891)",Macrobrachium latidactylus,Macrobrachium latidactylus,Macrobrachium latidactylus,"Macrobrachium latidactylus (Thallwitz, 1891)",1,0
Macrobrachium latimanus,species,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,587344,169715,2224717,616615,Macrobrachium latimanus,accepted,NA,FALSE,NA,"(von Martens, 1868)",Macrobrachium latimanus,Macrobrachium latimanus,Macrobrachium latimanus,"Macrobrachium latimanus (von Martens, 1868)",1,0
Macrobrachium lepidactyloides,species,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,587348,169714,2224586,469220,Macrobrachium lepidactyloides,accepted,NA,FALSE,NA,"(De Man, 1892)",Macrobrachium lepidactyloides,Macrobrachium lepidactyloides,Macrobrachium lepidactyloides,"Macrobrachium lepidactyloides (de Man, 1892)",1,0
Macrobrachium maculatum,species,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,587367,169713,2224696,421459,Macrobrachium maculatum,accepted,NA,FALSE,NA,"Liang & Yan, 1980",Macrobrachium maculatum,Macrobrachium maculatum,Macrobrachium maculatum,"Macrobrachium maculatum Liang & Yan, 1980",1,0
Macrobrachium meridionale,species,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,587385,NA,2224642,339271,Macrobrachium meridionalis,unaccepted,NA,FALSE,NA,"Liang & Yan, 1983",Macrobrachium meridionale,Macrobrachium meridionalis,NA,"Macrobrachium meridionalis Liang & Yan, 1983",1,0
Macrobrachium naso,species,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,587394,169709,2224799,421457,Macrobrachium naso,accepted,NA,FALSE,NA,"(Kemp, 1918)",Macrobrachium naso,Macrobrachium naso,Macrobrachium naso,"Macrobrachium naso (Kemp, 1918)",1,0
Macrobrachium asperulum,species,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,587100,NA,2224557,421453,Macrobrachium pinguis,junior subjective synonym,NA,FALSE,NA,"(von Martens, 1868)",Macrobrachium asperulum,Macrobrachium pinguis,NA,"Macrobrachium pinguis Dai, 1984",1,0
Macrobrachium placidulum,species,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,587444,169706,2224530,339270,Macrobrachium placidulum,accepted,NA,FALSE,NA,"(De Man, 1892)",Macrobrachium placidulum,Macrobrachium placidulum,Macrobrachium placidulum,"Macrobrachium placidulum (de Man, 1892)",1,0
Macrobrachium placidum,species,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,587447,169705,2224510,91276,Macrobrachium placidum,accepted,NA,FALSE,NA,"(De Man, 1892)",Macrobrachium placidum,Macrobrachium placidum,Macrobrachium placidum,"Macrobrachium placidum (de Man, 1892)",1,0
Macrobrachium shokitai,species,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,587550,169703,2224673,421451,Macrobrachium shokitai,accepted,NA,FALSE,NA,"Fujino & Baba, 1973",Macrobrachium shokitai,Macrobrachium shokitai,Macrobrachium shokitai,"Macrobrachium shokitai Fujino & Baba, 1973",1,0
Macrobrachium yui,species,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,587612,169702,2224662,421452,Macrobrachium yui,accepted,NA,FALSE,NA,"Holthuis, 1950",Macrobrachium yui,Macrobrachium yui,Macrobrachium yui,"Macrobrachium yui Holthuis, 1950",1,0
Sayamia germaini,species,Arthropoda,Malacostraca,Decapoda,Gecarcinucidae,Sayamia,440777,503390,5791118,771991,Sayamia germaini,accepted,NA,FALSE,NA,"(Rathbun, 1902)",Sayamia germaini,Sayamia germaini,Sayamia germaini,"Sayamia germaini (Rathbun, 1902)",1,0
Geothelphusa olea,species,Arthropoda,Malacostraca,Decapoda,Potamidae,Geothelphusa,443078,103794,5790314,650037,Geothelphusa olea,accepted,NA,FALSE,NA,"Shy, PKL Ng & Yu, 1994",Geothelphusa olea,Geothelphusa olea,Geothelphusa olea,"Geothelphusa olea Shy, P.K.L.Ng & Yu, 1994",1,0
Geothelphusa ancylophallus,species,Arthropoda,Malacostraca,Decapoda,Potamidae,Geothelphusa,443044,103793,5790306,640824,Geothelphusa ancylophallus,accepted,NA,FALSE,NA,"Shy, PKL Ng & Yu, 1994",Geothelphusa ancylophallus,Geothelphusa ancylophallus,Geothelphusa ancylophallus,"Geothelphusa ancylophallus Shy, P.K.L.Ng & Yu, 1994",1,0
Geothelphusa pingtung,species,Arthropoda,Malacostraca,Decapoda,Potamidae,Geothelphusa,443079,103792,5790309,650038,Geothelphusa pingtung,accepted,NA,FALSE,NA,"SH Tan & HC Liu, 1998",Geothelphusa pingtung,Geothelphusa pingtung,Geothelphusa pingtung,"Geothelphusa pingtung S.H.Tan & H.-C.Liu, 1998",1,0
Geothelphusa albogilva,species,Arthropoda,Malacostraca,Decapoda,Potamidae,Geothelphusa,443042,79132,5739099,650041,Geothelphusa albogilva,accepted,NA,FALSE,NA,"Shy, PKL Ng & Yu, 1994",Geothelphusa albogilva,Geothelphusa albogilva,Geothelphusa albogilva,"Geothelphusa albogilva Shy, P.K.L.Ng & Yu, 1994",1,0
Geothelphusa tawu,species,Arthropoda,Malacostraca,Decapoda,Potamidae,Geothelphusa,443086,103791,5790316,650040,Geothelphusa tawu,accepted,NA,FALSE,NA,"Shy, PKL Ng & Yu, 1994",Geothelphusa tawu,Geothelphusa tawu,Geothelphusa tawu,"Geothelphusa tawu Shy, P.K.L.Ng & Yu, 1994",1,0
Geothelphusa ferruginea,species,Arthropoda,Malacostraca,Decapoda,Potamidae,Geothelphusa,443056,103804,5790315,650035,Geothelphusa ferruginea,accepted,NA,FALSE,NA,"Shy, PKL Ng & Yu, 1994",Geothelphusa ferruginea,Geothelphusa ferruginea,Geothelphusa ferruginea,"Geothelphusa ferruginea Shy, P.K.L.Ng & Yu, 1994",1,0
Geothelphusa,genus,Arthropoda,Malacostraca,Decapoda,Potamidae,Geothelphusa,391198,24400,4312555,650039,Geothelphusa,accepted,NA,FALSE,NA,"Stimpson, 1858",Geothelphusa,Geothelphusa,Geothelphusa,"Geothelphusa Stimpson, 1858",1,NA
Geothelphusa bicolor,species,Arthropoda,Malacostraca,Decapoda,Potamidae,Geothelphusa,443046,103802,5790274,650034,Geothelphusa bicolor,accepted,NA,FALSE,NA,"Shy, PKL Ng & Yu, 1994",Geothelphusa bicolor,Geothelphusa bicolor,Geothelphusa bicolor,"Geothelphusa bicolor Shy, P.K.L.Ng & Yu, 1994",1,0
Geothelphusa miyazakii,species,Arthropoda,Malacostraca,Decapoda,Potamidae,Geothelphusa,443073,103797,5790300,119228,Geothelphusa miyazakii,accepted,NA,FALSE,NA,"(Miyake & Chiu, 1965)",Geothelphusa miyazakii,Geothelphusa miyazakii,Geothelphusa miyazakii,"Geothelphusa miyazakii (Miyake & Chiu, 1965)",1,0
Geothelphusa aramotoi,species,Arthropoda,Malacostraca,Decapoda,Potamidae,Geothelphusa,443045,103796,5790284,119229,Geothelphusa aramotoi,accepted,NA,FALSE,NA,"Minei, 1973",Geothelphusa aramotoi,Geothelphusa aramotoi,Geothelphusa aramotoi,"Geothelphusa aramotoi Minei, 1973",1,0
Geothelphusa sakamotoana,species,Arthropoda,Malacostraca,Decapoda,Potamidae,Geothelphusa,443080,NA,5973211,119230,Geothelphusa sakamotoana,accepted,NA,FALSE,NA,"(Rathbun, 1905)",Geothelphusa sakamotoana,Geothelphusa sakamotoana,NA,"Geothelphusa sakamotoana (Rathbun, 1905)",1,0
Johora counsilmani,species,Arthropoda,Malacostraca,Decapoda,Potamidae,Johora,443174,104765,5790446,1044730,Johora counsilmani,accepted,NA,FALSE,NA,"(PKL Ng, 1985)",Johora counsilmani,Johora counsilmani,Johora counsilmani,"Johora counsilmani (P.K.L.Ng, 1985)",1,0
