found_taxa,rank,phylum,class,order,family,genus,worms_aphiaid,bold_id,gbif_key,ott_id,taxa_query,status,unacceptreason,is_synonym,flags,valid_authority,worms_sciname,tol_sciname,bold_taxon,gbif_sciname,freshwater_only,terrestrial_only
Pomatoschistus pictus,species,Chordata,Actinopteri,Gobiiformes,Gobiidae,Pomatoschistus,126930,971789,10676561,7062839,Pomatoschistus adriaticus,unaccepted,NA,FALSE,NA,"(Malm, 1865)",Pomatoschistus pictus,Pomatoschistus adriaticus,Pomatoschistus adriaticus,Pomatoschistus adriaticus,0,0
Glyptothorax interspinalum,species,Chordata,Actinopteri,Siluriformes,Sisoridae,Glyptothorax,1012088,509569,2341326,343766,Glyptothorax interspinalus,unaccepted,NA,FALSE,NA,"(Mai, 1978)",Glyptothorax interspinalum,Glyptothorax interspinalus,Glyptothorax interspinalus,"Glyptothorax interspinalus (Mai, 1978)",1,NA
Cephalorhynchus heavisidii,species,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Delphinus,254978,211503,NA,1094064,Delphinus capensis,unaccepted,synonym,FALSE,sibling_higher,"(Gray, 1828)",Cephalorhynchus heavisidii,Delphinus capensis,Delphinus capensis,NA,0,0
Delphinus delphis,species,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Delphinus,137094,211503,NA,1094064,Delphinus capensis,unaccepted,synonym,FALSE,sibling_higher,"Linnaeus, 1758",Delphinus delphis,Delphinus capensis,Delphinus capensis,NA,0,0
Xenotilapia spilopterus,species,Chordata,Actinopteri,Cichliformes,Cichlidae,Xenotilapia,1012853,750598,2369803,795809,Xenotilapia spiloptera,unaccepted,NA,FALSE,NA,"Poll & Stewart, 1975",Xenotilapia spilopterus,Xenotilapia spiloptera,Xenotilapia spiloptera,"Xenotilapia spiloptera Poll & Stewart, 1975",1,0
Tampichthys dichroma,species,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Tampichthys,1012735,NA,2359858,746102,Tampichthys dichromus,unaccepted,NA,FALSE,NA,"(Hubbs & Miller, 1977)",Tampichthys dichroma,Tampichthys dichromus,NA,"Tampichthys dichromus (Hubbs & Miller, 1977)",1,0
