query,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,family,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type,freshwater_only,terrestrial_only
Pomadasys corvinaeformis,273504,Pomadasys corvinaeformis,"(Steindachner, 1868)",unaccepted,Superseded new combination,Species,1020759,Haemulopsis corvinaeformis,"(Steindachner, 1868)",126011,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Haemulidae,Pomadasys,1,1,1,0,NA,exact,0,0
Mystus multiradiatus,1011159,Mystus multiradiatus,"Roberts, 1992",accepted,NA,Species,1011159,Mystus multiradiatus,"Roberts, 1992",269935,Animalia,Chordata,Actinopteri,Siluriformes,Bagridae,Mystus,0,0,1,0,NA,exact,1,0
Mystus rhegma,1015270,Mystus rhegma,"Fowler, 1935",accepted,NA,Species,1015270,Mystus rhegma,"Fowler, 1935",269935,Animalia,Chordata,Actinopteri,Siluriformes,Bagridae,Mystus,0,0,1,0,NA,exact,1,0
Kuhlia malo,1022656,Kuhlia malo,"(Valenciennes, 1831)",accepted,NA,Species,1022656,Kuhlia malo,"(Valenciennes, 1831)",205566,Animalia,Chordata,Actinopteri,Centrarchiformes,Kuhliidae,Kuhlia,0,0,1,0,NA,exact,1,0
Nannosalarias nativitatis,281636,Nannosalarias nativitatis,"(Regan, 1909)",accepted,NA,Species,281636,Nannosalarias nativitatis,"(Regan, 1909)",269954,Animalia,Chordata,Actinopteri,Blenniiformes,Blenniidae,Nannosalarias,1,0,0,0,NA,exact,0,0
Uropterygius alboguttatus,212035,Uropterygius alboguttatus,"Smith, 1962",unaccepted,NA,Species,212038,Uropterygius xanthopterus,"Bleeker, 1859",205119,Animalia,Chordata,Actinopteri,Anguilliformes,Muraenidae,Uropterygius,1,0,0,NA,NA,exact,0,0
Oxydoras sifontesi,1013287,Oxydoras sifontesi,"Fernández-Yépez, 1968",accepted,NA,Species,1013287,Oxydoras sifontesi,"Fernández-Yépez, 1968",270148,Animalia,Chordata,Actinopteri,Siluriformes,Doradidae,Oxydoras,0,0,1,0,NA,exact,1,0
Epinephelus moara,304747,Epinephelus moara,"(Temminck & Schlegel, 1842)",unaccepted,NA,Species,273840,Epinephelus bruneus,"Bloch, 1793",126068,Animalia,Chordata,Actinopteri,Perciformes,Serranidae,Epinephelus,1,0,0,NA,NA,exact,0,0
Typhleotris,271176,Typhleotris,"Petit, 1933",accepted,NA,Genus,271176,Typhleotris,"Petit, 1933",826602,Animalia,Chordata,Actinopteri,Gobiiformes,Eleotridae,Typhleotris,0,0,1,0,NA,exact,1,0
Typhleotris madagascariensis,1015600,Typhleotris madagascariensis,"Petit, 1933",accepted,NA,Species,1015600,Typhleotris madagascariensis,"Petit, 1933",271176,Animalia,Chordata,Actinopteri,Gobiiformes,Eleotridae,Typhleotris,0,0,1,0,NA,exact,1,0
Typhleotris pauliani,1013843,Typhleotris pauliani,"Arnoult, 1959",accepted,NA,Species,1013843,Typhleotris pauliani,"Arnoult, 1959",271176,Animalia,Chordata,Actinopteri,Gobiiformes,Eleotridae,Typhleotris,0,0,1,0,NA,exact,1,0
