query,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,family,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type,freshwater_only,terrestrial_only
Philometroides sanguineus,1586334,Philometroides sanguineus,"(Rudolphi, 1819) Rasheed, 1963",accepted,NA,Species,1586334,Philometroides sanguineus,"(Rudolphi, 1819) Rasheed, 1963",22919,Animalia,Nematoda,Chromadorea,Rhabditida,Philometridae,Philometroides,NA,NA,1,NA,NA,exact,1,NA
Acrobeles complexus,1319087,Acrobeles complexus,"Thorne, 1925",accepted,NA,Species,1319087,Acrobeles complexus,"Thorne, 1925",582845,Animalia,Nematoda,Chromadorea,Rhabditida,Cephalobidae,Acrobeles,0,0,0,1,NA,exact,0,1
Caenorhabditis tropicalis,1586725,Caenorhabditis tropicalis,"Felix, Braendle & Cutter, 2014",accepted,NA,Species,1586725,Caenorhabditis tropicalis,"Felix, Braendle & Cutter, 2014",582871,Animalia,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Caenorhabditis,0,0,1,1,NA,exact,1,1
Hemicriconemoides californianus,1428284,Hemicriconemoides californianus,"Pinochet & Raski, 1975",accepted,NA,Species,1428284,Hemicriconemoides californianus,"Pinochet & Raski, 1975",582937,Animalia,Nematoda,Chromadorea,Rhabditida,Criconematidae,Hemicriconemoides,0,0,NA,1,NA,exact,NA,1
Hemicriconemoides strictathecatus,1428318,Hemicriconemoides strictathecatus,"Esser, 1960",accepted,NA,Species,1428318,Hemicriconemoides strictathecatus,"Esser, 1960",582937,Animalia,Nematoda,Chromadorea,Rhabditida,Criconematidae,Hemicriconemoides,0,0,NA,1,NA,exact,NA,1
Acetodextra amiuri,1330028,Acetodextra amiuri,"(Stafford, 1900) Pearse, 1924",accepted,NA,Species,1330028,Acetodextra amiuri,"(Stafford, 1900) Pearse, 1924",1330027,Animalia,Platyhelminthes,Trematoda,Plagiorchiida,Heterophyidae,Acetodextra,NA,NA,1,NA,NA,exact,1,NA
Schyzocotyle acheilognathi,851606,Schyzocotyle acheilognathi,"(Yamaguti, 1934) Brabec, Waeschenbach, Scholz, Littlewood & Kuchta, 2015",accepted,NA,Species,851606,Schyzocotyle acheilognathi,"(Yamaguti, 1934) Brabec, Waeschenbach, Scholz, Littlewood & Kuchta, 2015",851605,Animalia,Platyhelminthes,Cestoda,Bothriocephalidea,Bothriocephalidae,Schyzocotyle,NA,NA,1,NA,NA,exact,1,NA
Crepidostomum isostomum,1328321,Crepidostomum isostomum,"Hopkins, 1931",accepted,NA,Species,1328321,Crepidostomum isostomum,"Hopkins, 1931",108519,Animalia,Platyhelminthes,Trematoda,Plagiorchiida,Allocreadiidae,Crepidostomum,NA,NA,1,NA,NA,exact,1,NA
Ectenurus virgulus,1454133,Ectenurus virgulus,"Linton, 1910",unaccepted,Malformed suffix,Species,109330,Ectenurus virgula,"Linton, 1910",108754,Animalia,Platyhelminthes,Trematoda,Plagiorchiida,Hemiuridae,Ectenurus,1,NA,NA,NA,NA,exact,0,0
Phyllodistomum staffordi,1330525,Phyllodistomum staffordi,"Pearse, 1924",accepted,NA,Species,1330525,Phyllodistomum staffordi,"Pearse, 1924",108627,Animalia,Platyhelminthes,Trematoda,Plagiorchiida,Gorgoderidae,Phyllodistomum,NA,NA,1,NA,NA,exact,1,NA
Proterometra macrostoma,726202,Proterometra macrostoma,"(Faust, 1918) Horsfall, 1934",accepted,NA,Species,726202,Proterometra macrostoma,"(Faust, 1918) Horsfall, 1934",725145,Animalia,Platyhelminthes,Trematoda,Plagiorchiida,Azygiidae,Proterometra,NA,NA,1,NA,NA,exact,1,NA
Hemicriconemoides promissus,1428310,Hemicriconemoides promissus,"Vovlas, 1980",accepted,NA,Species,1428310,Hemicriconemoides promissus,"Vovlas, 1980",582937,Animalia,Nematoda,Chromadorea,Rhabditida,Criconematidae,Hemicriconemoides,0,0,NA,1,NA,exact,NA,1
Hemicriconemoides macrodorus,1428299,Hemicriconemoides macrodorus,"Vovlas, Troccoli & Castillo, 2000",accepted,NA,Species,1428299,Hemicriconemoides macrodorus,"Vovlas, Troccoli & Castillo, 2000",582937,Animalia,Nematoda,Chromadorea,Rhabditida,Criconematidae,Hemicriconemoides,0,0,NA,1,NA,exact,NA,1
