"","ncbi_sp","original_aphiaid","worms_match","status","ncbi_uid","worms_sciname","worms_aphiaid","unacceptreason","rank","valid_authority","class","order","family","genus","freshwater_only","terrestrial_only","found_taxa"
"8483","Ponticola syrman",475065,"Ponticola syrman","accepted","320564","Ponticola syrman",475065,NA,"species","(von Nordmann, 1840)","Teleostei","Gobiiformes","Gobiidae","Ponticola","0","0","Ponticola syrman"
"8484","Pomatoschistus marmoratus",126926,"Pomatoschistus marmoratus","accepted","85419","Pomatoschistus marmoratus",126926,NA,"species","(Risso, 1810)","Teleostei","Gobiiformes","Gobiidae","Pomatoschistus","0","0","Pomatoschistus marmoratus"
"8485","Perccottus glenii",234083,"Perccottus glenii","accepted","284583","Perccottus glenii",234083,NA,"species","Dybowski, 1877","Teleostei","Gobiiformes","Odontobutidae","Perccottus","0","0","Perccottus glenii"
"8486","Parrella macropteryx",282173,"Parrella macropteryx","accepted","1365709","Parrella macropteryx",282173,NA,"species","Ginsburg, 1939","Teleostei","Gobiiformes","Gobiidae","Parrella","0","0","Parrella macropteryx"
"8487","Parrella lucretiae",282172,"Parrella lucretiae","accepted","1365708","Parrella lucretiae",282172,NA,"species","(Eigenmann & Eigenmann, 1888)","Teleostei","Gobiiformes","Gobiidae","Parrella","0","0","Parrella lucretiae"
"8488","Parioglossus marginalis",278751,"Parioglossus marginalis","accepted","1365572","Parioglossus marginalis",278751,NA,"species","Rennis & Hoese, 1985","Teleostei","Gobiiformes","Microdesmidae","Parioglossus","0","0","Parioglossus marginalis"
"8489","Parapocryptes serperaster",282101,"Parapocryptes serperaster","accepted","1365706","Parapocryptes serperaster",282101,NA,"species","(Richardson, 1846)","Teleostei","Gobiiformes","Gobiidae","Parapocryptes","0","0","Parapocryptes serperaster"
"8490","Ophiogobius jenynsi",281898,"Ophiogobius jenynsi","accepted","990279","Ophiogobius jenynsi",281898,NA,"species","Hoese, 1976","Teleostei","Gobiiformes","Gobiidae","Ophiogobius","0","0","Ophiogobius jenynsi"
"8491","Oligolepis",205856,"Oligolepis","accepted","1365570","Oligolepis",205856,NA,"genus","Bleeker, 1874","Teleostei","Gobiiformes","Gobiidae","Oligolepis","0","0","Oligolepis"
"8492","Oligolepis",325942,"Oligolepis","unaccepted","1365570","Macellicephala",129498,"junior homonym, type and only species referred to another genus","genus","McIntosh, 1885","Polychaeta","Phyllodocida","Polynoidae","Oligolepis","0","0","Macellicephala"
