"","oid","typ","cid","tna","rnk","tid","mna","mra","mid","oei","eag","lag","rid","lng","lat","gnl","gnn","fml","fmn","odl","odn","cll","cln","phl","phn","cc2","sta","cny","gsc","eag.1","lag.1","cxi","ein","lin","idt","rst","ids","rss","oli","eid","rsf","late_age","early_age","taxon_name","range"
"49",391922,"occ",37595,"Tellina emacerata",3,90159,"Tellina emacerata",3,90159,"Aquitanian",23.03,20.44,"10046;10046",-124.25,48.262001,"Tellina",18314,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Washington","Clallam","outcrop",23.03,20.44,103,103,103,"Tellina",NA,"emacerata",NA,NA,NA,NA,20.44,23.03,"Tellina emacerata",2.59
"50",391937,"occ",37581,"Macoma albaria",3,90160,"Macoma albaria",3,90160,"Chattian",28.1,23.03,"10046;10046",-122.253334,48.265556,"Macoma",17852,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Washington","Clallam","outcrop",28.1,23.03,104,104,104,"Macoma",NA,"albaria",NA,NA,NA,NA,23.03,28.1,"Macoma albaria",5.07
"51",391938,"occ",37581,"Macoma twinensis cf.",3,90161,"Macoma (Macoma) twinensis",3,363030,"Chattian",28.1,23.03,"10046;10046",-122.253334,48.265556,"Macoma",17852,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Washington","Clallam","outcrop",28.1,23.03,104,104,104,"Macoma",NA,"twinensis","cf.",NA,NA,NA,23.03,28.1,"Macoma twinensis cf.",5.07
"52",391941,"occ",37580,"Tellina emacerata",3,90159,"Tellina emacerata",3,90159,"Chattian",28.1,23.03,"10046;10046",-122.253334,48.265556,"Tellina",18314,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Washington","Clallam","outcrop",28.1,23.03,104,104,104,"Tellina",NA,"emacerata",NA,NA,NA,NA,23.03,28.1,"Tellina emacerata",5.07
"53",391948,"occ",37580,"Macoma sookensis",3,90163,"Macoma sookensis",3,90163,"Chattian",28.1,23.03,"10046;10046",-122.253334,48.265556,"Macoma",17852,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Washington","Clallam","outcrop",28.1,23.03,104,104,104,"Macoma",NA,"sookensis",NA,NA,NA,NA,23.03,28.1,"Macoma sookensis",5.07
"54",391954,"occ",37580,"Mytilus tichanovitchi aff.",3,90153,"Mytilus (Tumidimytilus) tichanovitchi",3,101932,"Chattian",28.1,23.03,"10046;10046",-122.253334,48.265556,"Mytilus",16392,"Mytilidae",61248,"Mytilida",16334,"Bivalvia",16005,"Mollusca",7805,"US","Washington","Clallam","outcrop",28.1,23.03,104,104,104,"Mytilus",NA,"tichanovitchi","aff.",NA,NA,NA,23.03,28.1,"Mytilus tichanovitchi aff.",5.07
"55",391967,"occ",37580,"Clinocardium nuttallii aff.",3,167957,"Clinocardium (Clinocardium) nuttallii",3,167956,"Chattian",28.1,23.03,"10046;10046",-122.253334,48.265556,"Clinocardium",17485,"Cardiidae",59532,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Washington","Clallam","outcrop",28.1,23.03,104,104,104,"Clinocardium",NA,"nuttallii","aff.",NA,NA,NA,23.03,28.1,"Clinocardium nuttallii aff.",5.07
"56",391968,"occ",37577,"Macoma astori",3,90162,"Macoma astori",3,90162,"Chattian",28.1,23.03,"10046;10046",-122.114998,48.198612,"Macoma",17852,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Washington","Clallam","outcrop",28.1,23.03,104,104,104,"Macoma",NA,"astori",NA,NA,NA,NA,23.03,28.1,"Macoma astori",5.07
"57",392478,"occ",37676,"Mytilus edulis",3,87571,"Mytilus edulis",3,87571,"Late Pleistocene",0.126,0.0117,"10063;10063",-123.957497,46.373333,"Mytilus",16392,"Mytilidae",61248,"Mytilida",16334,"Bivalvia",16005,"Mollusca",7805,"US","Washington","Pacific","outcrop",0.126,0.0117,922,922,922,"Mytilus",NA,"edulis",NA,NA,NA,NA,0.0117,0.126,"Mytilus edulis",0.1143
"58",392480,"occ",37676,"Clinocardium nuttallii",3,167957,"Clinocardium (Clinocardium) nuttallii",3,167956,"Late Pleistocene",0.126,0.0117,"10063;10063",-123.957497,46.373333,"Clinocardium",17485,"Cardiidae",59532,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Washington","Pacific","outcrop",0.126,0.0117,922,922,922,"Clinocardium",NA,"nuttallii",NA,NA,NA,NA,0.0117,0.126,"Clinocardium nuttallii",0.1143
"59",392481,"occ",37676,"Saxidomus giganteus",3,167973,"Saxidomus giganteus",3,167973,"Late Pleistocene",0.126,0.0117,"10063;10063",-123.957497,46.373333,"Saxidomus",18216,"Veneridae",62779,"Veneroidei",17297,"Bivalvia",16005,"Mollusca",7805,"US","Washington","Pacific","outcrop",0.126,0.0117,922,922,922,"Saxidomus",NA,"giganteus",NA,NA,NA,NA,0.0117,0.126,"Saxidomus giganteus",0.1143
"60",392482,"occ",37676,"Protothaca staminea",3,167972,"Leukoma staminea",3,249453,"Late Pleistocene",0.126,0.0117,"10063;10063",-123.957497,46.373333,"Leukoma",90372,"Veneridae",62779,"Veneroidei",17297,"Bivalvia",16005,"Mollusca",7805,"US","Washington","Pacific","outcrop",0.126,0.0117,922,922,922,"Protothaca",NA,"staminea",NA,NA,NA,NA,0.0117,0.126,"Protothaca staminea",0.1143
"61",392484,"occ",37676,"Macoma inquinata",3,98003,"Macoma inquinata",3,98003,"Late Pleistocene",0.126,0.0117,"10063;10063",-123.957497,46.373333,"Macoma",17852,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Washington","Pacific","outcrop",0.126,0.0117,922,922,922,"Macoma",NA,"inquinata",NA,NA,NA,NA,0.0117,0.126,"Macoma inquinata",0.1143
"62",392485,"occ",37676,"Macoma nasuta",3,168024,"Macoma nasuta",3,168024,"Late Pleistocene",0.126,0.0117,"10063;10063",-123.957497,46.373333,"Macoma",17852,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Washington","Pacific","outcrop",0.126,0.0117,922,922,922,"Macoma",NA,"nasuta",NA,NA,NA,NA,0.0117,0.126,"Macoma nasuta",0.1143
"63",392487,"occ",37676,"Balanus crenatus",3,302462,"Balanus crenatus",3,302462,"Late Pleistocene",0.126,0.0117,"10063;10063",-123.957497,46.373333,"Balanus",22127,"Balanidae",82260,"Sessilia",133233,"Hexanauplia",424435,"Arthropoda",18891,"US","Washington","Pacific","outcrop",0.126,0.0117,922,922,922,"Balanus",NA,"crenatus",NA,NA,NA,NA,0.0117,0.126,"Balanus crenatus",0.1143
"64",392516,"occ",37681,"Tellina ? pittsburgensis",3,401472,"Tellina pittsburgensis",3,401472,"Chattian",28.1,23.03,"10064;10064",-123.116669,45.866669,"Tellina",18314,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Oregon","Columbia","outcrop",28.1,23.03,104,104,104,"Tellina","?","pittsburgensis",NA,NA,NA,NA,23.03,28.1,"Tellina ? pittsburgensis",5.07
"65",392529,"occ",37684,"Tellina ? pittsburgensis",3,401472,"Tellina pittsburgensis",3,401472,"Chattian",28.1,23.03,"10064;10064",-123.213608,45.586666,"Tellina",18314,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Oregon","Washington","outcrop",28.1,23.03,104,104,104,"Tellina","?","pittsburgensis",NA,NA,NA,NA,23.03,28.1,"Tellina ? pittsburgensis",5.07
"66",392550,"occ",37687,"Mytilus snohomishensis cf.",3,352511,"Mytilus snohomishensis",3,352511,"Chattian",28.1,23.03,"10064;10064",-123.373611,46.132778,"Mytilus",16392,"Mytilidae",61248,"Mytilida",16334,"Bivalvia",16005,"Mollusca",7805,"US","Oregon","Clatsop","outcrop",28.1,23.03,104,104,104,"Mytilus",NA,"snohomishensis","cf.",NA,NA,NA,23.03,28.1,"Mytilus snohomishensis cf.",5.07
"67",392555,"occ",37687,"Tellina ? pittsburgensis",3,401472,"Tellina pittsburgensis",3,401472,"Chattian",28.1,23.03,"10064;10064",-123.373611,46.132778,"Tellina",18314,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Oregon","Clatsop","outcrop",28.1,23.03,104,104,104,"Tellina","?","pittsburgensis",NA,NA,NA,NA,23.03,28.1,"Tellina ? pittsburgensis",5.07
"68",392602,"occ",37691,"Tellina ? pittsburgensis",3,401472,"Tellina pittsburgensis",3,401472,"Chattian",28.1,23.03,"10064;10064",-123.180832,45.81889,"Tellina",18314,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Oregon","Columbia","outcrop",28.1,23.03,104,104,104,"Tellina","?","pittsburgensis",NA,NA,NA,NA,23.03,28.1,"Tellina ? pittsburgensis",5.07
"69",392648,"occ",37702,"Tellina ? pittsburgensis",3,401472,"Tellina pittsburgensis",3,401472,"Rupelian",33.9,28.1,"10064;10064",-123.168335,45.846668,"Tellina",18314,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Oregon","Columbia","outcrop",33.9,28.1,105,105,105,"Tellina","?","pittsburgensis",NA,NA,NA,NA,28.1,33.9,"Tellina ? pittsburgensis",5.8
"70",392662,"occ",37701,"Tellina ? pittsburgensis cf.",3,401472,"Tellina pittsburgensis",3,401472,"Rupelian",33.9,28.1,"10064;10064",-123.120277,45.875,"Tellina",18314,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Oregon","Columbia","outcrop",33.9,28.1,105,105,105,"Tellina","?","pittsburgensis","cf.",NA,NA,NA,28.1,33.9,"Tellina ? pittsburgensis cf.",5.8
"71",392702,"occ",37697,"Tellina ? pittsburgensis",3,401472,"Tellina pittsburgensis",3,401472,"Rupelian",33.9,28.1,"10064;10064",-123.180832,45.81889,"Tellina",18314,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Oregon","Columbia","outcrop",33.9,28.1,105,105,105,"Tellina","?","pittsburgensis",NA,NA,NA,NA,28.1,33.9,"Tellina ? pittsburgensis",5.8
"72",393141,"occ",37824,"Tellina ? pittsburgensis",3,401472,"Tellina pittsburgensis",3,401472,"Rupelian",33.9,28.1,"10064;10064",-123.25528,45.996387,"Tellina",18314,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Oregon","Columbia","outcrop",33.9,28.1,105,105,105,"Tellina","?","pittsburgensis",NA,NA,NA,NA,28.1,33.9,"Tellina ? pittsburgensis",5.8
"73",393274,"occ",37818,"Tellina ? pittsburgensis",3,401472,"Tellina pittsburgensis",3,401472,"Rupelian",33.9,28.1,"10064;10064",-123.984169,45.825279,"Tellina",18314,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Oregon","Columbia","outcrop",33.9,28.1,105,105,105,"Tellina","?","pittsburgensis",NA,NA,NA,NA,28.1,33.9,"Tellina ? pittsburgensis",5.8
"74",393302,"occ",37816,"Mytilus snohomishensis cf.",3,352511,"Mytilus snohomishensis",3,352511,"Rupelian",33.9,28.1,"10064;10064",-123.151108,45.900833,"Mytilus",16392,"Mytilidae",61248,"Mytilida",16334,"Bivalvia",16005,"Mollusca",7805,"US","Oregon","Columbia","outcrop",33.9,28.1,105,105,105,"Mytilus",NA,"snohomishensis","cf.",NA,NA,NA,28.1,33.9,"Mytilus snohomishensis cf.",5.8
"75",393307,"occ",37816,"Tellina ? pittsburgensis",3,401472,"Tellina pittsburgensis",3,401472,"Rupelian",33.9,28.1,"10064;10064",-123.151108,45.900833,"Tellina",18314,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Oregon","Columbia","outcrop",33.9,28.1,105,105,105,"Tellina","?","pittsburgensis",NA,NA,NA,NA,28.1,33.9,"Tellina ? pittsburgensis",5.8
"76",393315,"occ",37818,"Tellina sp.",5,18314,"Tellina",5,18314,"Rupelian",33.9,28.1,"10064;10064",-123.984169,45.825279,"Tellina",18314,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Oregon","Columbia","outcrop",33.9,28.1,105,105,105,"Tellina",NA,"sp.",NA,NA,NA,NA,28.1,33.9,"Tellina sp.",5.8
"77",394917,"occ",37989,"Macoma ? sp.",5,17852,"Macoma",5,17852,"Priabonian",38,33.9,"10120;10120",-123.077797,44.043201,"Macoma",17852,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Oregon","Lane","outcrop",38,33.9,106,106,106,"Macoma","?","sp.",NA,NA,NA,NA,33.9,38,"Macoma ? sp.",4.1
"78",406024,"occ",38938,"Macoma (Heteromacoma) vancouverensis",3,168029,"Macoma (Heteromacoma)",4,168029,"Priabonian",38,33.9,"10532;10532",-123.213058,44.072224,"Macoma",17852,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Oregon","Lane","outcrop",38,33.9,106,106,106,"Macoma",NA,"vancouverensis",NA,NA,NA,NA,33.9,38,"Macoma (Heteromacoma) vancouverensis",4.1
"79",406031,"occ",38939,"Tellina aduncanasa",3,18314,"Tellina",5,18314,"Priabonian",38,33.9,"10532;10532",-123.21917,44.060833,"Tellina",18314,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Oregon","Lane","outcrop",38,33.9,106,106,106,"Tellina",NA,"aduncanasa",NA,NA,NA,NA,33.9,38,"Tellina aduncanasa",4.1
"80",406032,"occ",38939,"Tellina (Moerella) lincolnensis",3,401475,"Tellina (Moerella) lincolnensis",3,401475,"Priabonian",38,33.9,"10532;10532",-123.21917,44.060833,"Tellina",18314,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Oregon","Lane","outcrop",38,33.9,106,106,106,"Tellina",NA,"lincolnensis",NA,NA,NA,NA,33.9,38,"Tellina (Moerella) lincolnensis",4.1
"81",406098,"occ",38945,"Modiolus eugenensis",3,420800,"Modiolus eugenensis",3,420800,"Priabonian",38,33.9,"10532;10532",-123.093056,44.058334,"Modiolus",77219,"Mytilidae",61248,"Mytilida",16334,"Bivalvia",16005,"Mollusca",7805,"US","Oregon","Lane","outcrop",38,33.9,106,106,106,"Modiolus",NA,"eugenensis",NA,NA,NA,NA,33.9,38,"Modiolus eugenensis",4.1
"82",406112,"occ",38943,"Modiolus eugenensis",3,420800,"Modiolus eugenensis",3,420800,"Priabonian",38,33.9,"10532;10532",-123.085556,44.052223,"Modiolus",77219,"Mytilidae",61248,"Mytilida",16334,"Bivalvia",16005,"Mollusca",7805,"US","Oregon","Lane","outcrop",38,33.9,106,106,106,"Modiolus",NA,"eugenensis",NA,NA,NA,NA,33.9,38,"Modiolus eugenensis",4.1
"83",406127,"occ",38941,"Tellina pittsburgensis",3,401472,"Tellina pittsburgensis",3,401472,"Priabonian",38,33.9,"10532;10532",-123.085556,44.052223,"Tellina",18314,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Oregon","Lane","outcrop",38,33.9,106,106,106,"Tellina",NA,"pittsburgensis",NA,NA,NA,NA,33.9,38,"Tellina pittsburgensis",4.1
"84",406128,"occ",38941,"Tellina (Moerella) lincolnensis",3,401475,"Tellina (Moerella) lincolnensis",3,401475,"Priabonian",38,33.9,"10532;10532",-123.085556,44.052223,"Tellina",18314,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Oregon","Lane","outcrop",38,33.9,106,106,106,"Tellina",NA,"lincolnensis",NA,NA,NA,NA,33.9,38,"Tellina (Moerella) lincolnensis",4.1
"85",406129,"occ",38941,"Macoma inquinata aff.",3,98003,"Macoma inquinata",3,98003,"Priabonian",38,33.9,"10532;10532",-123.085556,44.052223,"Macoma",17852,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Oregon","Lane","outcrop",38,33.9,106,106,106,"Macoma",NA,"inquinata","aff.",NA,NA,NA,33.9,38,"Macoma inquinata aff.",4.1
"86",406305,"occ",38940,"Modiolus eugenensis",3,420800,"Modiolus eugenensis",3,420800,"Priabonian",38,33.9,"10532;10532",-123.085556,44.052223,"Modiolus",77219,"Mytilidae",61248,"Mytilida",16334,"Bivalvia",16005,"Mollusca",7805,"US","Oregon","Lane","outcrop",38,33.9,106,106,106,"Modiolus",NA,"eugenensis",NA,NA,NA,NA,33.9,38,"Modiolus eugenensis",4.1
"87",406314,"occ",38940,"Tellina pittsburgensis",3,401472,"Tellina pittsburgensis",3,401472,"Priabonian",38,33.9,"10532;10532",-123.085556,44.052223,"Tellina",18314,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Oregon","Lane","outcrop",38,33.9,106,106,106,"Tellina",NA,"pittsburgensis",NA,NA,NA,NA,33.9,38,"Tellina pittsburgensis",4.1
"88",406315,"occ",38940,"Tellina ? sp. n. sp.",5,18314,"Tellina",5,18314,"Priabonian",38,33.9,"10532;10532",-123.085556,44.052223,"Tellina",18314,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Oregon","Lane","outcrop",38,33.9,106,106,106,"Tellina","?","sp.","n. sp.",NA,NA,NA,33.9,38,"Tellina ? sp. n. sp.",4.1
"89",406316,"occ",38940,"Tellina (Moerella) lincolnensis",3,401475,"Tellina (Moerella) lincolnensis",3,401475,"Priabonian",38,33.9,"10532;10532",-123.085556,44.052223,"Tellina",18314,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Oregon","Lane","outcrop",38,33.9,106,106,106,"Tellina",NA,"lincolnensis",NA,NA,NA,NA,33.9,38,"Tellina (Moerella) lincolnensis",4.1
"90",406317,"occ",38940,"Macoma inquinata aff.",3,98003,"Macoma inquinata",3,98003,"Priabonian",38,33.9,"10532;10532",-123.085556,44.052223,"Macoma",17852,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Oregon","Lane","outcrop",38,33.9,106,106,106,"Macoma",NA,"inquinata","aff.",NA,NA,NA,33.9,38,"Macoma inquinata aff.",4.1
"91",406318,"occ",38940,"Macoma (Heteromacoma) vancouverensis",3,168029,"Macoma (Heteromacoma)",4,168029,"Priabonian",38,33.9,"10532;10532",-123.085556,44.052223,"Macoma",17852,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Oregon","Lane","outcrop",38,33.9,106,106,106,"Macoma",NA,"vancouverensis",NA,NA,NA,NA,33.9,38,"Macoma (Heteromacoma) vancouverensis",4.1
"92",406356,"occ",38994,"Macoma inquinata aff.",3,98003,"Macoma inquinata",3,98003,"Priabonian",38,33.9,"10532;10532",-123.085556,44.052223,"Macoma",17852,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Oregon","Lane","outcrop",38,33.9,106,106,106,"Macoma",NA,"inquinata","aff.",NA,NA,NA,33.9,38,"Macoma inquinata aff.",4.1
"93",406373,"occ",38993,"Tellina pittsburgensis",3,401472,"Tellina pittsburgensis",3,401472,"Priabonian",38,33.9,"10532;10532",-123.085556,44.052223,"Tellina",18314,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Oregon","Lane","outcrop",38,33.9,106,106,106,"Tellina",NA,"pittsburgensis",NA,NA,NA,NA,33.9,38,"Tellina pittsburgensis",4.1
"94",406374,"occ",38993,"Tellina sp. n. sp.",5,18314,"Tellina",5,18314,"Priabonian",38,33.9,"10532;10532",-123.085556,44.052223,"Tellina",18314,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Oregon","Lane","outcrop",38,33.9,106,106,106,"Tellina",NA,"sp.","n. sp.",NA,NA,NA,33.9,38,"Tellina sp. n. sp.",4.1
"95",406375,"occ",38993,"Macoma inquinata aff.",3,98003,"Macoma inquinata",3,98003,"Priabonian",38,33.9,"10532;10532",-123.085556,44.052223,"Macoma",17852,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Oregon","Lane","outcrop",38,33.9,106,106,106,"Macoma",NA,"inquinata","aff.",NA,NA,NA,33.9,38,"Macoma inquinata aff.",4.1
"96",406376,"occ",38993,"Macoma (Heteromacoma) vancouverensis",3,168029,"Macoma (Heteromacoma)",4,168029,"Priabonian",38,33.9,"10532;10532",-123.085556,44.052223,"Macoma",17852,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Oregon","Lane","outcrop",38,33.9,106,106,106,"Macoma",NA,"vancouverensis",NA,NA,NA,NA,33.9,38,"Macoma (Heteromacoma) vancouverensis",4.1
"97",406394,"occ",38992,"Tellina pittsburgensis",3,401472,"Tellina pittsburgensis",3,401472,"Priabonian",38,33.9,"10532;10532",-123.085556,44.052223,"Tellina",18314,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Oregon","Lane","outcrop",38,33.9,106,106,106,"Tellina",NA,"pittsburgensis",NA,NA,NA,NA,33.9,38,"Tellina pittsburgensis",4.1
"98",406395,"occ",38992,"Tellina sp. ?",5,18314,"Tellina",5,18314,"Priabonian",38,33.9,"10532;10532",-123.085556,44.052223,"Tellina",18314,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Oregon","Lane","outcrop",38,33.9,106,106,106,"Tellina",NA,"sp.","?",NA,NA,NA,33.9,38,"Tellina sp. ?",4.1
"99",406396,"occ",38992,"Macoma inquinata aff.",3,98003,"Macoma inquinata",3,98003,"Priabonian",38,33.9,"10532;10532",-123.085556,44.052223,"Macoma",17852,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Oregon","Lane","outcrop",38,33.9,106,106,106,"Macoma",NA,"inquinata","aff.",NA,NA,NA,33.9,38,"Macoma inquinata aff.",4.1
"100",406397,"occ",38992,"Macoma (Heteromacoma) vancouverensis",3,168029,"Macoma (Heteromacoma)",4,168029,"Priabonian",38,33.9,"10532;10532",-123.085556,44.052223,"Macoma",17852,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Oregon","Lane","outcrop",38,33.9,106,106,106,"Macoma",NA,"vancouverensis",NA,NA,NA,NA,33.9,38,"Macoma (Heteromacoma) vancouverensis",4.1
"101",406410,"occ",38991,"Tellina pittsburgensis",3,401472,"Tellina pittsburgensis",3,401472,"Priabonian",38,33.9,"10532;10532",-123.085556,44.052223,"Tellina",18314,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Oregon","Lane","outcrop",38,33.9,106,106,106,"Tellina",NA,"pittsburgensis",NA,NA,NA,NA,33.9,38,"Tellina pittsburgensis",4.1
"102",406411,"occ",38991,"Macoma inquinata aff.",3,98003,"Macoma inquinata",3,98003,"Priabonian",38,33.9,"10532;10532",-123.085556,44.052223,"Macoma",17852,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Oregon","Lane","outcrop",38,33.9,106,106,106,"Macoma",NA,"inquinata","aff.",NA,NA,NA,33.9,38,"Macoma inquinata aff.",4.1
"103",406418,"occ",38989,"Macoma inquinata aff.",3,98003,"Macoma inquinata",3,98003,"Priabonian",38,33.9,"10532;10532",-123.085556,44.052223,"Macoma",17852,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Oregon","Lane","outcrop",38,33.9,106,106,106,"Macoma",NA,"inquinata","aff.",NA,NA,NA,33.9,38,"Macoma inquinata aff.",4.1
"104",406419,"occ",38989,"Macoma (Heteromacoma) vancouverensis",3,168029,"Macoma (Heteromacoma)",4,168029,"Priabonian",38,33.9,"10532;10532",-123.085556,44.052223,"Macoma",17852,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Oregon","Lane","outcrop",38,33.9,106,106,106,"Macoma",NA,"vancouverensis",NA,NA,NA,NA,33.9,38,"Macoma (Heteromacoma) vancouverensis",4.1
"105",406425,"occ",38988,"Modiolus eugenensis",3,420800,"Modiolus eugenensis",3,420800,"Priabonian",38,33.9,"10532;10532",-123.085556,44.052223,"Modiolus",77219,"Mytilidae",61248,"Mytilida",16334,"Bivalvia",16005,"Mollusca",7805,"US","Oregon","Lane","outcrop",38,33.9,106,106,106,"Modiolus",NA,"eugenensis",NA,NA,NA,NA,33.9,38,"Modiolus eugenensis",4.1
"106",406428,"occ",38988,"Tellina eugenia",3,363027,"Tellina eugenia",3,363027,"Priabonian",38,33.9,"10532;10532",-123.085556,44.052223,"Tellina",18314,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Oregon","Lane","outcrop",38,33.9,106,106,106,"Tellina",NA,"eugenia",NA,NA,NA,NA,33.9,38,"Tellina eugenia",4.1
"107",406429,"occ",38988,"Tellina sp. n. sp.",5,18314,"Tellina",5,18314,"Priabonian",38,33.9,"10532;10532",-123.085556,44.052223,"Tellina",18314,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Oregon","Lane","outcrop",38,33.9,106,106,106,"Tellina",NA,"sp.","n. sp.",NA,NA,NA,33.9,38,"Tellina sp. n. sp.",4.1
"108",406431,"occ",38988,"Macoma (Heteromacoma) vancouverensis",3,168029,"Macoma (Heteromacoma)",4,168029,"Priabonian",38,33.9,"10532;10532",-123.085556,44.052223,"Macoma",17852,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Oregon","Lane","outcrop",38,33.9,106,106,106,"Macoma",NA,"vancouverensis",NA,NA,NA,NA,33.9,38,"Macoma (Heteromacoma) vancouverensis",4.1
"109",406433,"occ",38988,"Mya (Arenomya ?) kusiroensis",3,421405,"Mya (Arenomya) kusiroensis",3,421405,"Priabonian",38,33.9,"10532;10532",-123.085556,44.052223,"Mya",18473,"Myidae",61232,"Pholadida",244443,"Bivalvia",16005,"Mollusca",7805,"US","Oregon","Lane","outcrop",38,33.9,106,106,106,"Mya",NA,"kusiroensis",NA,NA,NA,"?",33.9,38,"Mya (Arenomya ?) kusiroensis",4.1
"110",406442,"occ",38987,"Modiolus eugenensis",3,420800,"Modiolus eugenensis",3,420800,"Priabonian",38,33.9,"10532;10532",-123.085556,44.052223,"Modiolus",77219,"Mytilidae",61248,"Mytilida",16334,"Bivalvia",16005,"Mollusca",7805,"US","Oregon","Lane","outcrop",38,33.9,106,106,106,"Modiolus",NA,"eugenensis",NA,NA,NA,NA,33.9,38,"Modiolus eugenensis",4.1
"111",406446,"occ",38987,"Macoma inquinata aff.",3,98003,"Macoma inquinata",3,98003,"Priabonian",38,33.9,"10532;10532",-123.085556,44.052223,"Macoma",17852,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Oregon","Lane","outcrop",38,33.9,106,106,106,"Macoma",NA,"inquinata","aff.",NA,NA,NA,33.9,38,"Macoma inquinata aff.",4.1
"112",406447,"occ",38987,"Macoma (Heteromacoma) vancouverensis",3,168029,"Macoma (Heteromacoma)",4,168029,"Priabonian",38,33.9,"10532;10532",-123.085556,44.052223,"Macoma",17852,"Tellinidae",62468,"Cardiida",244360,"Bivalvia",16005,"Mollusca",7805,"US","Oregon","Lane","outcrop",38,33.9,106,106,106,"Macoma",NA,"vancouverensis",NA,NA,NA,NA,33.9,38,"Macoma (Heteromacoma) vancouverensis",4.1
