Species,Genus,Subfamily,Family,Order,Class,Phylum,Kingdom,FAO,Status
Acartia clausi,Acartia,NA,Acartiidae,Calanoida,Maxillopoda,Arthropoda,Animalia,"Pacific, Northeast",native
Acartia danae,Acartia,NA,Acartiidae,Calanoida,Maxillopoda,Arthropoda,Animalia,"Pacific, Northeast",native
Acartia hudsonica,Acartia,NA,Acartiidae,Calanoida,Maxillopoda,Arthropoda,Animalia,"Pacific, Northeast",native
Acartia longiremis,Acartia,NA,Acartiidae,Calanoida,Maxillopoda,Arthropoda,Animalia,"Pacific, Northeast",native
Achelia alaskensis,Achelia,NA,Ammotheidae,Pantopoda,Pycnogonida,Arthropoda,Animalia,"Pacific, Northeast",native
Achelia borealis,Achelia,NA,Ammotheidae,Pantopoda,Pycnogonida,Arthropoda,Animalia,"Pacific, Northeast",native
Achelia brevirostris,Achelia,NA,Ammotheidae,Pantopoda,Pycnogonida,Arthropoda,Animalia,"Pacific, Northeast",native
Achelia chelata,Achelia,NA,Ammotheidae,Pantopoda,Pycnogonida,Arthropoda,Animalia,"Pacific, Northeast",native
Achelia gracilipes,Achelia,NA,Ammotheidae,Pantopoda,Pycnogonida,Arthropoda,Animalia,"Pacific, Northeast",native
Achelia hariettae,Achelia,NA,Ammotheidae,Pantopoda,Pycnogonida,Arthropoda,Animalia,"Pacific, Northeast",native
Achelia latifrons,Achelia,NA,Ammotheidae,Pantopoda,Pycnogonida,Arthropoda,Animalia,"Pacific, Northeast",native
Achelia megova,Achelia,NA,Ammotheidae,Pantopoda,Pycnogonida,Arthropoda,Animalia,"Pacific, Northeast",native
Achelia ovosetosa,Achelia,NA,Ammotheidae,Pantopoda,Pycnogonida,Arthropoda,Animalia,"Pacific, Northeast",native
Achelia simplissima,Achelia,NA,Ammotheidae,Pantopoda,Pycnogonida,Arthropoda,Animalia,"Pacific, Northeast",native
Achelia spinosa,Achelia,NA,Ammotheidae,Pantopoda,Pycnogonida,Arthropoda,Animalia,"Pacific, Northeast",native
Achelia spinoseta,Achelia,NA,Ammotheidae,Pantopoda,Pycnogonida,Arthropoda,Animalia,"Pacific, Northeast",native
Acidostoma hancocki,Acidostoma,NA,Lysianassidae,Amphipoda,Malacostraca,Arthropoda,Animalia,"Pacific, Northeast",native
Acila castrensis,Acila,NA,Nuculidae,Nuculoida,Bivalvia,Mollusca,Animalia,"Pacific, Northeast",native
Acmaea mitra,Acmaea,NA,Acmaeidae,Patellogastropoda,Gastropoda,Mollusca,Animalia,"Pacific, Northeast",native
Acrochaete geniculata,Acrochaete,NA,Ulvellaceae,Ulvales,Ulvophyceae,Chlorophyta,Plantae,"Pacific, Northeast",native
Acropora echinata,Acropora,NA,Acroporidae,Scleractinia,Anthozoa,Cnidaria,Animalia,"Pacific, Northeast",native
Acropora paniculata,Acropora,NA,Acroporidae,Scleractinia,Anthozoa,Cnidaria,Animalia,"Pacific, Northeast",native
Acrosiphonia coalita,Acrosiphonia,NA,Acrosiphoniaceae,Codiolales,Ulvophyceae,Chlorophyta,Plantae,"Pacific, Northeast",native
Acrosiphonia saxatilis,Acrosiphonia,NA,Acrosiphoniaceae,Codiolales,Ulvophyceae,Chlorophyta,Plantae,"Pacific, Northeast",native
Acrosiphonia spinescens,Acrosiphonia,NA,Acrosiphoniaceae,Codiolales,Ulvophyceae,Chlorophyta,Plantae,"Pacific, Northeast",native
Acryptolaria conferta,Acryptolaria,NA,Lafoeidae,Leptothecata,Hydrozoa,Cnidaria,Animalia,"Pacific, Northeast",native
Acryptolaria pulchella,Acryptolaria,NA,Lafoeidae,Leptothecata,Hydrozoa,Cnidaria,Animalia,"Pacific, Northeast",native
Acteocina carinata,Acteocina,NA,Cylichnidae,Cephalaspidea,Gastropoda,Mollusca,Animalia,"Pacific, Northeast",native
Acteocina cerealis,Acteocina,NA,Cylichnidae,Cephalaspidea,Gastropoda,Mollusca,Animalia,"Pacific, Northeast",native
Acteocina culcitella,Acteocina,NA,Cylichnidae,Cephalaspidea,Gastropoda,Mollusca,Animalia,"Pacific, Northeast",native
Acteocina eximia,Acteocina,NA,Cylichnidae,Cephalaspidea,Gastropoda,Mollusca,Animalia,"Pacific, Northeast",native
Acteocina harpa,Acteocina,NA,Cylichnidae,Cephalaspidea,Gastropoda,Mollusca,Animalia,"Pacific, Northeast",native
Acteocina inculta,Acteocina,NA,Cylichnidae,Cephalaspidea,Gastropoda,Mollusca,Animalia,"Pacific, Northeast",native
Acteocina magdalensis,Acteocina,NA,Cylichnidae,Cephalaspidea,Gastropoda,Mollusca,Animalia,"Pacific, Northeast",native
Acteocina oldroydi,Acteocina,NA,Cylichnidae,Cephalaspidea,Gastropoda,Mollusca,Animalia,"Pacific, Northeast",native
Acteocina smirna,Acteocina,NA,Cylichnidae,Cephalaspidea,Gastropoda,Mollusca,Animalia,"Pacific, Northeast",native
Actinauge verrilli,Actinauge,NA,Hormathiidae,Actiniaria,Anthozoa,Cnidaria,Animalia,"Pacific, Northeast",native
Actinostola spetsbergensis,Actinostola,NA,Actinostolidae,Actiniaria,Anthozoa,Cnidaria,Animalia,"Pacific, Northeast",native
Actinothoe california,Actinothoe,NA,Sagartiidae,Actiniaria,Anthozoa,Cnidaria,Animalia,"Pacific, Northeast",native
Actitis macularius,Actitis,NA,Scolopacidae,Ciconiiformes,Aves,Chordata,Animalia,"Pacific, Northeast",native
Adalaria evincta,Adalaria,NA,Onchidorididae,Nudibranchia,Gastropoda,Mollusca,Animalia,"Pacific, Northeast",native
Adalaria jannae,Adalaria,NA,Onchidorididae,Nudibranchia,Gastropoda,Mollusca,Animalia,"Pacific, Northeast",native
Adalaria proxima,Adalaria,NA,Onchidorididae,Nudibranchia,Gastropoda,Mollusca,Animalia,"Pacific, Northeast",native
Adalaria tschuktschica,Adalaria,NA,Onchidorididae,Nudibranchia,Gastropoda,Mollusca,Animalia,"Pacific, Northeast",native
Adelogorgia phyllosclera,Adelogorgia,NA,Gorgoniidae,Alcyonacea,Anthozoa,Cnidaria,Animalia,"Pacific, Northeast",native
Admete gracilior,Admete,NA,Cancellariidae,Neogastropoda,Gastropoda,Mollusca,Animalia,"Pacific, Northeast",native
Adontorhina cyclia,Adontorhina,NA,Thyasiridae,Lucinida,Bivalvia,Mollusca,Animalia,"Pacific, Northeast",native
Adontorhina sphaericosa,Adontorhina,NA,Thyasiridae,Lucinida,Bivalvia,Mollusca,Animalia,"Pacific, Northeast",native
Adula californiensis,Adula,NA,Mytilidae,Mytilida,Bivalvia,Mollusca,Animalia,"Pacific, Northeast",native
Adula diegensis,Adula,NA,Mytilidae,Mytilida,Bivalvia,Mollusca,Animalia,"Pacific, Northeast",native
Adula gruneri,Adula,NA,Mytilidae,Mytilida,Bivalvia,Mollusca,Animalia,"Pacific, Northeast",native
Adula schmidtii,Adula,NA,Mytilidae,Mytilida,Bivalvia,Mollusca,Animalia,"Pacific, Northeast",native
Aega symmetrica,Aega,NA,Aegidae,Isopoda,Malacostraca,Arthropoda,Animalia,"Pacific, Northeast",native
Aegina citrea,Aegina,NA,Aeginidae,Narcomedusae,Hydrozoa,Cnidaria,Animalia,"Pacific, Northeast",native
Aeginopsis laurentii,Aeginopsis,NA,Aeginidae,Narcomedusae,Hydrozoa,Cnidaria,Animalia,"Pacific, Northeast",native
Aeginura grimaldii,Aeginura,NA,Aeginidae,Narcomedusae,Hydrozoa,Cnidaria,Animalia,"Pacific, Northeast",native
Aegires albopunctatus,Aegires,NA,Notodorididae,Nudibranchia,Gastropoda,Mollusca,Animalia,"Pacific, Northeast",native
Aegisthus mucronatus,Aegisthus,NA,Aegisthidae,Harpacticoida,Hexanauplia,NA,NA,"Pacific, Northeast",native
Aegophila cappa,Aegophila,NA,Dajidae,Isopoda,Malacostraca,Arthropoda,Animalia,"Pacific, Northeast",native
Aeolidia papillosa,Aeolidia,NA,Aeolidiidae,Nudibranchia,Gastropoda,Mollusca,Animalia,"Pacific, Northeast",native
Aeolidiella chromosoma,Aeolidiella,NA,Aeolidiidae,Nudibranchia,Gastropoda,Mollusca,Animalia,"Pacific, Northeast",native
Aeolidiella indica,Aeolidiella,NA,Aeolidiidae,Nudibranchia,Gastropoda,Mollusca,Animalia,"Pacific, Northeast",native
Aeolidiella olivae,Aeolidiella,NA,Aeolidiidae,Nudibranchia,Gastropoda,Mollusca,Animalia,"Pacific, Northeast",native
Aequorea aequorea,Aequorea,NA,Aequoreidae,Leptothecata,Hydrozoa,Cnidaria,Animalia,"Pacific, Northeast",native
Aequorea albida,Aequorea,NA,Aequoreidae,Leptothecata,Hydrozoa,Cnidaria,Animalia,"Pacific, Northeast",native
Aequorea coerulescens,Aequorea,NA,Aequoreidae,Leptothecata,Hydrozoa,Cnidaria,Animalia,"Pacific, Northeast",native
Aequorea forskalea,Aequorea,NA,Aequoreidae,Leptothecata,Hydrozoa,Cnidaria,Animalia,"Pacific, Northeast",native
Aequorea victoria,Aequorea,NA,Aequoreidae,Leptothecata,Hydrozoa,Cnidaria,Animalia,"Pacific, Northeast",native
