Species,Genus,Subfamily,Family,Order,Class,Phylum,Kingdom,FAO,Status
Ammothella menziesi,Ammothella,NA,Ammotheidae,Pantopoda,Pycnogonida,Arthropoda,Animalia,"Pacific, Northeast",native
Ammothella pacifica,Ammothella,NA,Ammotheidae,Pantopoda,Pycnogonida,Arthropoda,Animalia,"Pacific, Northeast",native
Ammothella setosa,Ammothella,NA,Ammotheidae,Pantopoda,Pycnogonida,Arthropoda,Animalia,"Pacific, Northeast",native
Ammothella spinifera,Ammothella,NA,Ammotheidae,Pantopoda,Pycnogonida,Arthropoda,Animalia,"Pacific, Northeast",native
Ammothella tuberculata,Ammothella,NA,Ammotheidae,Pantopoda,Pycnogonida,Arthropoda,Animalia,"Pacific, Northeast",native
Ampelisca agassizi,Ampelisca,NA,Ampeliscidae,Amphipoda,Malacostraca,Arthropoda,Animalia,"Pacific, Northeast",native
Ampelisca brevisimulata,Ampelisca,NA,Ampeliscidae,Amphipoda,Malacostraca,Arthropoda,Animalia,"Pacific, Northeast",native
Ampelisca careyi,Ampelisca,NA,Ampeliscidae,Amphipoda,Malacostraca,Arthropoda,Animalia,"Pacific, Northeast",native
Ampelisca cristata,Ampelisca,NA,Ampeliscidae,Amphipoda,Malacostraca,Arthropoda,Animalia,"Pacific, Northeast",native
Ampelisca fageri,Ampelisca,NA,Ampeliscidae,Amphipoda,Malacostraca,Arthropoda,Animalia,"Pacific, Northeast",native
Ampelisca hancocki,Ampelisca,NA,Ampeliscidae,Amphipoda,Malacostraca,Arthropoda,Animalia,"Pacific, Northeast",native
Ampelisca lobata,Ampelisca,NA,Ampeliscidae,Amphipoda,Malacostraca,Arthropoda,Animalia,"Pacific, Northeast",native
Ampelisca pugetica,Ampelisca,NA,Ampeliscidae,Amphipoda,Malacostraca,Arthropoda,Animalia,"Pacific, Northeast",native
Ampelisca unsocalae,Ampelisca,NA,Ampeliscidae,Amphipoda,Malacostraca,Arthropoda,Animalia,"Pacific, Northeast",native
Ampharete acutifrons,Ampharete,NA,Ampharetidae,Terebellida,Polychaeta,Annelida,Animalia,"Pacific, Northeast",native
Ampharete arctica,Ampharete,NA,Ampharetidae,Terebellida,Polychaeta,Annelida,Animalia,"Pacific, Northeast",native
Ampharete eupalea,Ampharete,NA,Ampharetidae,Terebellida,Polychaeta,Annelida,Animalia,"Pacific, Northeast",native
Ampharete finmarchica,Ampharete,NA,Ampharetidae,Terebellida,Polychaeta,Annelida,Animalia,"Pacific, Northeast",native
Ampharete goesi,Ampharete,NA,Ampharetidae,Terebellida,Polychaeta,Annelida,Animalia,"Pacific, Northeast",native
Ampharete labrops,Ampharete,NA,Ampharetidae,Terebellida,Polychaeta,Annelida,Animalia,"Pacific, Northeast",native
Ampharete vega,Ampharete,NA,Ampharetidae,Terebellida,Polychaeta,Annelida,Animalia,"Pacific, Northeast",native
Ampheraster marianus,Ampheraster,NA,Asteriidae,Forcipulatida,Asteroidea,Echinodermata,Animalia,"Pacific, Northeast",native
Amphianthus californicus,Amphianthus,NA,Hormathiidae,Actiniaria,Anthozoa,Cnidaria,Animalia,"Pacific, Northeast",native
Amphicaryon acaule,Amphicaryon,NA,Prayidae,Siphonophorae,Hydrozoa,Cnidaria,Animalia,"Pacific, Northeast",native
Amphicaryon ernesti,Amphicaryon,NA,Prayidae,Siphonophorae,Hydrozoa,Cnidaria,Animalia,"Pacific, Northeast",native
Amphicteis glabra,Amphicteis,NA,Ampharetidae,Terebellida,Polychaeta,Annelida,Animalia,"Pacific, Northeast",native
Amphicteis mucronata,Amphicteis,NA,Ampharetidae,Terebellida,Polychaeta,Annelida,Animalia,"Pacific, Northeast",native
Amphicteis scaphobranchiata,Amphicteis,NA,Ampharetidae,Terebellida,Polychaeta,Annelida,Animalia,"Pacific, Northeast",native
Amphictene moorei,Amphictene,NA,Pectinariidae,Canalipalpata,Polychaeta,Annelida,Animalia,"Pacific, Northeast",native
Amphiduropsis axialensis,Amphiduropsis,NA,Hesionidae,Aciculata,Polychaeta,Annelida,Animalia,"Pacific, Northeast",native
Amphiglena pacifica,Amphiglena,NA,Sabellidae,Canalipalpata,Polychaeta,Annelida,Animalia,"Pacific, Northeast",native
Amphilectus digitatus,Amphilectus,NA,Esperiopsidae,Poecilosclerida,Demospongiae,Porifera,Animalia,"Pacific, Northeast",native
Amphilepis patens,Amphilepis,NA,Amphilepididae,Ophiurida,Ophiuroidea,Echinodermata,Animalia,"Pacific, Northeast",native
Amphinema australis,Amphinema,NA,Pandeidae,Anthoathecata,Hydrozoa,Cnidaria,Animalia,"Pacific, Northeast",native
Amphinema dinema,Amphinema,NA,Pandeidae,Anthoathecata,Hydrozoa,Cnidaria,Animalia,"Pacific, Northeast",native
