"","name","rank","phylum","class","subclass","order","family","genus","species"
"8973",NA,NA,"Echinodermata","Crinoidea","Articulata","Comatulida","Antedonidae","Florometra",NA
"8974",NA,NA,"Mollusca","Gastropoda","Heterobranchia","Nudibranchia","Eubranchidae","Eubranchus",NA
"8975",NA,NA,"Chordata","Actinopteri","Teleostei","Perciformes","Cottidae","Triglops","Triglops scepticus"
"8976",NA,NA,"Arthropoda","Malacostraca","Eumalacostraca","Amphipoda","Caprellidae","Caprella","Caprella verrucosa"
"8977",NA,NA,"Cnidaria","Hydrozoa","Hydroidolina","Leptothecata","Sertulariidae","Dictyocladium","Dictyocladium flabellum"
"8978",NA,NA,"Arthropoda","Malacostraca","Eumalacostraca","Amphipoda","Caprellidae","Caprella","Caprella californica"
"8979",NA,NA,"Chordata","Actinopteri","Teleostei","Gadiformes","Macrouridae","Coryphaenoides","Coryphaenoides armatus"
"8980",NA,NA,"Annelida",NA,NA,"Sipuncula","Golfingiidae","Themiste","Themiste (Themiste) pyroides"
"8981",NA,NA,"Mollusca","Bivalvia","Autobranchia","Cardiida","Psammobiidae","Nuttallia","Nuttallia obscurata"
"8982",NA,NA,"Mollusca","Gastropoda","Caenogastropoda","Neogastropoda","Cancellariidae","Neadmete","Neadmete circumcincta"
"8983",NA,NA,"Mollusca","Gastropoda","Caenogastropoda","Neogastropoda","Nassariidae","Nassarius","Nassarius fossatus"
"8984",NA,NA,"Arthropoda","Malacostraca","Eumalacostraca","Amphipoda","Caprellidae","Caprella","Caprella angusta"
"8985",NA,NA,"Mollusca","Bivalvia","Autobranchia",NA,"Lyonsiidae","Entodesma","Entodesma navicula"
"8986",NA,NA,"Annelida","Polychaeta","Sedentaria","Sabellida","Sabellidae","Chone",NA
"8987",NA,NA,"Mollusca","Gastropoda","Caenogastropoda","[unassigned] Caenogastropoda","Subulitidae","Macrochilina",NA
"8988",NA,NA,"Annelida","Polychaeta","Errantia","Phyllodocida","Sigalionidae","Sthenelais","Sthenelais berkeleyi"
"8989",NA,NA,"Chordata","Actinopteri","Teleostei","Lophiiformes","Oneirodidae","Chaenophryne","Chaenophryne draco"
"8990",NA,NA,"Echinodermata","Asteroidea","Ambuloasteroidea","Spinulosida","Echinasteridae","Henricia","Henricia pumila"
"8991",NA,NA,"Mollusca","Cephalopoda","Coleoidea","Oegopsida","Cranchiidae","Taonius","Taonius pavo"
"8992",NA,NA,"Brachiopoda","Rhynchonellata",NA,"Rhynchonellida","Frieleiidae","Frieleia","Frieleia halli"
"8993",NA,NA,"Bryozoa","Gymnolaemata",NA,"Cheilostomatida","Calloporidae","Cauloramphus",NA
"8994",NA,NA,"Mollusca","Cephalopoda","Coleoidea","Oegopsida","Ommastrephidae",NA,NA
"8995",NA,NA,"Mollusca","Gastropoda","Heterobranchia","Nudibranchia","Polyceridae","Limacia","Limacia cockerelli"
"8996",NA,NA,"Arthropoda","Malacostraca","Eumalacostraca","Amphipoda","Eusiridae","Rhachotropis","Rhachotropis calceolata"
"8997",NA,NA,"Mollusca","Gastropoda","Caenogastropoda","Neogastropoda","Nassariidae","Caesia","Caesia perpinguis"
"8998",NA,NA,"Chordata","Actinopteri","Teleostei","Pleuronectiformes","Pleuronectidae","Pleuronichthys",NA
"8999",NA,NA,"Chordata","Elasmobranchii","Neoselachii","Rhinopristiformes","Rhinobatidae","Rhina",NA
"9000",NA,NA,"Annelida","Polychaeta","Errantia","Phyllodocida","Aphroditidae","Aphrodita","Aphrodita japonica"
"9001",NA,NA,"Arthropoda","Malacostraca","Eumalacostraca","Amphipoda","Phoxocephalidae","Foxiphalus","Foxiphalus falciformis"
"9002",NA,NA,"Brachiopoda","Rhynchonellata",NA,"Terebratulida","Cancellothyrididae","Terebratulina","Terebratulina crossei"
"9003",NA,NA,"Mollusca","Gastropoda","Heterobranchia",NA,"Pyramidellidae","Turbonilla","Turbonilla pesa"
"9004",NA,NA,"Cnidaria","Hydrozoa","Hydroidolina","Anthoathecata","Pandeidae","Leuckartiara","Leuckartiara octona"
"9005",NA,NA,"Arthropoda","Copepoda",NA,"Harpacticoida","Canthocamptidae","Mesochra","Mesochra pygmaea"
"9006",NA,NA,"Mollusca","Gastropoda","Caenogastropoda","[unassigned] Caenogastropoda","Epitoniidae","Epitonium","Epitonium sawinae"
"9007",NA,NA,"Echinodermata","Holothuroidea","Actinopoda","Dendrochirotida","Psolidae",NA,NA
"9008",NA,NA,"Arthropoda","Copepoda",NA,"Calanoida","Scolecitrichidae","Scaphocalanus","Scaphocalanus echinatus"
"9009",NA,NA,"Bryozoa","Gymnolaemata",NA,"Cheilostomatida","Smittinidae","Smittina",NA
"9010",NA,NA,"Arthropoda","Malacostraca","Eumalacostraca","Decapoda","Thoridae","Lebbeus","Lebbeus vicinus"
"9011",NA,NA,"Cnidaria","Hydrozoa","Hydroidolina","Leptothecata","Aglaopheniidae","Cladocarpus","Cladocarpus vancouverensis"
"9012",NA,NA,"Arthropoda","Thecostraca","Cirripedia","Scalpellomorpha","Lepadidae","Lepas","Lepas (Anatifa) anatifera"
"9013",NA,NA,"Chordata","Actinopteri","Teleostei","Perciformes","Liparidae","Careproctus","Careproctus attenuatus"
"9014",NA,NA,"Arthropoda","Copepoda",NA,"Calanoida","Euchaetidae","Paraeuchaeta","Paraeuchaeta norvegica"
"9015",NA,NA,"Arthropoda","Malacostraca","Eumalacostraca","Amphipoda","Hyperiidae","Hyperoche","Hyperoche mediterranea"
"9016",NA,NA,"Bryozoa","Gymnolaemata",NA,"Cheilostomatida","Smittinidae","Parasmittina","Parasmittina trispinosa"
"9017",NA,NA,"Arthropoda","Malacostraca","Eumalacostraca","Amphipoda","Ampeliscidae","Ampelisca","Ampelisca eoa"
"9018",NA,NA,"Arthropoda","Thecostraca","Cirripedia","Balanomorpha","Balanidae","Chirona","Chirona evermanni"
"9019",NA,NA,"Porifera","Demospongiae","Heteroscleromorpha","Spongillida","Spongillidae","Ephydatia",NA
"9020",NA,NA,"Mollusca","Bivalvia","Protobranchia","Nuculanida","Yoldiidae","Megayoldia",NA
"9021",NA,NA,"Mollusca","Bivalvia","Autobranchia","Adapedonta","Hiatellidae",NA,NA
"9022",NA,NA,"Annelida","Clitellata","Oligochaeta","Enchytraeida","Enchytraeidae","Marionina","Marionina appendiculata"
"9023",NA,NA,"Arthropoda","Copepoda",NA,"Cyclopoida","Sabelliphilidae",NA,NA
"9024",NA,NA,"Bryozoa","Gymnolaemata",NA,"Cheilostomatida","Candidae","Pomocellaria","Pomocellaria californica"
"9025",NA,NA,"Arthropoda","Copepoda",NA,"Siphonostomatoida","Caligidae","Lepeophtheirus","Lepeophtheirus parviventris"
"9026",NA,NA,"Annelida","Polychaeta","Errantia","Phyllodocida","Nephtyidae","Micronephthys","Micronephthys minuta"
