"","name","rank","phylum","class","subclass","order","family","genus","species"
"1","Isopoda","order","Arthropoda","Malacostraca","Eumalacostraca","Isopoda",NA,NA,NA
"2","Fusitriton","genus","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Cymatiidae","Fusitriton",NA
"3","Amphissa","genus","Mollusca","Gastropoda","Caenogastropoda","Neogastropoda","Columbellidae","Amphissa",NA
"4","Janiridae","family","Arthropoda","Malacostraca","Eumalacostraca","Isopoda","Janiridae",NA,NA
"5","Asteriidae","family","Echinodermata","Asteroidea","Ambuloasteroidea","Forcipulatida","Asteriidae",NA,NA
"6","Columbellidae","family","Mollusca","Gastropoda","Caenogastropoda","Neogastropoda","Columbellidae",NA,NA
"7","Munna","genus","Arthropoda","Malacostraca","Eumalacostraca","Isopoda","Munnidae","Munna",NA
"8","Haminoea","genus","Mollusca","Gastropoda","Heterobranchia","Cephalaspidea","Haminoeidae","Haminoea",NA
"9","Muricidae","family","Mollusca","Gastropoda","Caenogastropoda","Neogastropoda","Muricidae",NA,NA
"10","Pleurogonium","genus","Arthropoda","Malacostraca","Eumalacostraca","Isopoda","Paramunnidae","Pleurogonium",NA
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Eusiridae","family","Arthropoda","Malacostraca","Eumalacostraca","Amphipoda","Eusiridae",NA,NA
"13","Lycodes pacificus","species","Chordata","Actinopteri","Teleostei","Perciformes","Zoarcidae","Lycodes","Lycodes pacificus"
"14","Lumpenus sagitta","species","Chordata","Actinopteri","Teleostei","Perciformes","Stichaeidae","Lumpenus","Lumpenus sagitta"
"15","Engraulis mordax","species","Chordata","Actinopteri","Teleostei","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"16","Phytichthys chirus","species","Chordata","Actinopteri","Teleostei","Perciformes","Stichaeidae","Phytichthys","Phytichthys chirus"
"17","Artedius lateralis","species","Chordata","Actinopteri","Teleostei","Perciformes","Cottidae","Artedius","Artedius lateralis"
"18","Orcinus orca","species","Chordata","Mammalia","Theria","Cetartiodactyla","Delphinidae","Orcinus","Orcinus orca"
"19","Leptasterias hexactis","species","Echinodermata","Asteroidea","Ambuloasteroidea","Forcipulatida","Asteriidae","Leptasterias","Leptasterias hexactis"
"20","Ziphius cavirostris","species","Chordata","Mammalia","Theria","Cetartiodactyla","Ziphiidae","Ziphius","Ziphius cavirostris"
"21","Balaenoptera acutorostrata","species","Chordata","Mammalia","Theria","Cetartiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera acutorostrata"
"22","Rhizodrilus pacificus","species","Annelida","Clitellata","Oligochaeta","Tubificida","Naididae","Rhizodrilus","Rhizodrilus pacificus"
"23","Decamastus gracilis","species","Annelida","Polychaeta","Sedentaria",NA,"Capitellidae","Decamastus","Decamastus gracilis"
"24","Phronima sedentaria","species","Arthropoda","Malacostraca","Eumalacostraca","Amphipoda","Phronimidae","Phronima","Phronima sedentaria"
"25","Malmgreniella nigralba","species","Annelida","Polychaeta","Errantia","Phyllodocida","Polynoidae","Malmgreniella","Malmgreniella nigralba"
"26","Goodingius subadhaerens","species","Arthropoda","Copepoda",NA,"Cyclopoida","Clausidiidae","Goodingius","Goodingius subadhaerens"
"27","Chlamys hastata","species","Mollusca","Bivalvia","Autobranchia","Pectinida","Pectinidae","Chlamys","Chlamys hastata"
"28","Cetacea","order","Chordata","Mammalia","Theria","Cetartiodactyla",NA,NA,NA
"29","Halosydna brevisetosa","species","Annelida","Polychaeta","Errantia","Phyllodocida","Polynoidae","Halosydna","Halosydna brevisetosa"
"30","Leptasterias aequalis","species","Echinodermata","Asteroidea","Ambuloasteroidea","Forcipulatida","Asteriidae","Leptasterias","Leptasterias aequalis"
"31","Haplostomella dubia","species","Arthropoda","Copepoda",NA,"Cyclopoida","Botryllophilidae","Haplostomella","Haplostomella dubia"
"32","Saccoglossus bromophenolosus","species","Hemichordata","Enteropneusta",NA,"[unassigned] Enteropneusta","Harrimaniidae","Saccoglossus","Saccoglossus bromophenolosus"
"33","Rhynchonema","genus","Nematoda","Chromadorea","Chromadoria","Monhysterida","Xyalidae","Rhynchonema",NA
"34","Eschrichtius robustus","species","Chordata","Mammalia","Theria","Cetartiodactyla","Eschrichtiidae","Eschrichtius","Eschrichtius robustus"
"35","Paragorgia stephencairnsi","species","Cnidaria","Anthozoa","Octocorallia","Alcyonacea","Paragorgiidae","Paragorgia","Paragorgia stephencairnsi"
"36","Phocoena phocoena","species","Chordata","Mammalia","Theria","Cetartiodactyla","Phocoenidae","Phocoena","Phocoena phocoena"
"37","Pholoe minuta","species","Annelida","Polychaeta","Errantia","Phyllodocida","Sigalionidae","Pholoe","Pholoe minuta"
"38","Eubalaena japonica","species","Chordata","Mammalia","Theria","Cetartiodactyla","Balaenidae","Eubalaena","Eubalaena japonica"
"39","Mooreonuphis stigmatis","species","Annelida","Polychaeta","Errantia","Eunicida","Onuphidae","Mooreonuphis","Mooreonuphis stigmatis"
"40","Nootkadrilus hamatus","species","Annelida","Clitellata","Oligochaeta","Tubificida","Naididae","Nootkadrilus","Nootkadrilus hamatus"
"41","Eteone","genus","Annelida","Polychaeta","Errantia","Phyllodocida","Phyllodocidae","Eteone",NA
"42","Sternaspis scutata","species","Annelida","Polychaeta","Sedentaria","Terebellida","Sternaspidae","Sternaspis","Sternaspis scutata"
"43","Littorina keenae","species","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Littorinidae","Littorina","Littorina keenae"
"44","Lillipathes wingi","species","Cnidaria","Anthozoa","Hexacorallia","Antipatharia","Schizopathidae","Lillipathes","Lillipathes wingi"
"45","Owenia fusiformis","species","Annelida","Polychaeta","Polychaeta incertae sedis",NA,"Oweniidae","Owenia","Owenia fusiformis"
"46","Ptilosarcoma athyrmata","species","Arthropoda","Copepoda",NA,"Cyclopoida","Lamippidae","Ptilosarcoma","Ptilosarcoma athyrmata"
"47","Gattyana cirrhosa","species","Annelida","Polychaeta","Errantia","Phyllodocida","Polynoidae","Gattyana","Gattyana cirrhosa"
"48","Tetrastemmatidae","family","Nemertea","Hoplonemertea",NA,"Monostilifera","Tetrastemmatidae",NA,NA
"49","Pagurus beringanus","species","Arthropoda","Malacostraca","Eumalacostraca","Decapoda","Paguridae","Pagurus","Pagurus beringanus"
"50","Theristus","genus","Nematoda","Chromadorea","Chromadoria","Monhysterida","Xyalidae","Theristus",NA
"51","Schizobranchia insignis","species","Annelida","Polychaeta","Sedentaria","Sabellida","Sabellidae","Schizobranchia","Schizobranchia insignis"
"52","Enoplus","genus","Nematoda","Enoplea","Enoplia","Enoplida","Enoplidae","Enoplus",NA
"53","Frontonemertes serpentina","species","Nemertea","Hoplonemertea",NA,"Monostilifera",NA,"Frontonemertes","Frontonemertes serpentina"
"54","Tursiops truncatus","species","Chordata","Mammalia","Theria","Cetartiodactyla","Delphinidae","Tursiops","Tursiops truncatus"
"55","Scleroplax schmitti","species","Arthropoda","Malacostraca","Eumalacostraca","Decapoda","Pinnotheridae","Scleroplax","Scleroplax schmitti"
"56","Heteropora pacifica","species","Bryozoa","Stenolaemata",NA,"Cyclostomatida","Heteroporidae","Heteropora","Heteropora pacifica"
"57","Amphicteis gunneri","species","Annelida","Polychaeta","Sedentaria","Terebellida","Ampharetidae","Amphicteis","Amphicteis gunneri"
"58","Bathydrilus litoreus","species","Annelida","Clitellata","Oligochaeta","Tubificida","Naididae","Bathydrilus","Bathydrilus litoreus"
"59","Marionina subterranea","species","Annelida","Clitellata","Oligochaeta","Enchytraeida","Enchytraeidae","Marionina","Marionina subterranea"
"60","Parastenella pacifica","species","Cnidaria","Anthozoa","Octocorallia","Alcyonacea","Primnoidae","Parastenella","Parastenella pacifica"
"61","Phocoenoides dalli","species","Chordata","Mammalia","Theria","Cetartiodactyla","Phocoenidae","Phocoenoides","Phocoenoides dalli"
"62","Haplostomella distincta","species","Arthropoda","Copepoda",NA,"Cyclopoida","Botryllophilidae","Haplostomella","Haplostomella distincta"
"63","Bathymaster caeruleofasciatus","species","Chordata","Actinopteri","Teleostei","Perciformes","Bathymasteridae","Bathymaster","Bathymaster caeruleofasciatus"
"64","Epiactis fernaldi","species","Cnidaria","Anthozoa","Hexacorallia","Actiniaria","Actiniidae","Epiactis","Epiactis fernaldi"
"65","Physeter macrocephalus","species","Chordata","Mammalia","Theria","Cetartiodactyla","Physeteridae","Physeter","Physeter macrocephalus"
"66","Deontostoma washingtonense","species","Nematoda","Enoplea","Enoplia","Enoplida","Leptosomatidae","Deontostoma","Deontostoma washingtonense"
"67","Calanus marshallae","species","Arthropoda","Copepoda",NA,"Calanoida","Calanidae","Calanus","Calanus marshallae"
"68","Mesoplodon stejnegeri","species","Chordata","Mammalia","Theria","Cetartiodactyla","Ziphiidae","Mesoplodon","Mesoplodon stejnegeri"
"69","Discorsopagurus schmitti","species","Arthropoda","Malacostraca","Eumalacostraca","Decapoda","Paguridae","Discorsopagurus","Discorsopagurus schmitti"
"70","Tubificoides wasselli","species","Annelida","Clitellata","Oligochaeta","Tubificida","Naididae","Tubificoides","Tubificoides wasselli"
"71","Armandia brevis","species","Annelida","Polychaeta","Sedentaria",NA,"Opheliidae","Armandia","Armandia brevis"
"72","Sebastes reedi","species","Chordata","Actinopteri","Teleostei","Perciformes","Sebastidae","Sebastes","Sebastes reedi"
"73","Amathia gracilis","species","Bryozoa","Gymnolaemata",NA,"Ctenostomatida","Vesiculariidae","Amathia","Amathia gracilis"
"74","Eleutherolaimus obtusicaudatus","species","Nematoda","Chromadorea","Chromadoria","Monhysterida","Linhomoeidae","Eleutherolaimus","Eleutherolaimus obtusicaudatus"
"75","Ascolaimus","genus","Nematoda","Chromadorea","Chromadoria","Araeolaimida","Axonolaimidae","Ascolaimus",NA
"76","Eusirus","genus","Arthropoda","Malacostraca","Eumalacostraca","Amphipoda","Eusiridae","Eusirus",NA
"77","Gnorimosphaeroma oregonense","species","Arthropoda","Malacostraca","Eumalacostraca","Isopoda","Sphaeromatidae","Gnorimosphaeroma","Gnorimosphaeroma oregonense"
"78","Doropygopsis longicauda","species","Arthropoda","Copepoda",NA,"Cyclopoida","Notodelphyidae","Doropygopsis","Doropygopsis longicauda"
"79","Gaetanus kruppii","species","Arthropoda","Copepoda",NA,"Calanoida","Aetideidae","Gaetanus","Gaetanus kruppii"
"80","Lepidonotus spiculus","species","Annelida","Polychaeta","Errantia","Phyllodocida","Polynoidae","Lepidonotus","Lepidonotus spiculus"
"81","Monhystera","genus","Nematoda","Chromadorea","Chromadoria","Monhysterida","Monhysteridae","Monhystera",NA
"82","Leodice valens","species","Annelida","Polychaeta","Errantia","Eunicida","Eunicidae","Leodice","Leodice valens"
"83","Syllis heterochaeta","species","Annelida","Polychaeta","Errantia","Phyllodocida","Syllidae","Syllis","Syllis heterochaeta"
"84","Cystisoma fabricii","species","Arthropoda","Malacostraca","Eumalacostraca","Amphipoda","Cystisomatidae","Cystisoma","Cystisoma fabricii"
"85","Brania brevipharyngea","species","Annelida","Polychaeta","Errantia","Phyllodocida","Syllidae","Brania","Brania brevipharyngea"
"86","Araeolaimus boomerangifer","species","Nematoda","Chromadorea","Chromadoria","Araeolaimida","Diplopeltidae","Araeolaimus","Araeolaimus boomerangifer"
"87","Aporocotyle macfarlani","species","Platyhelminthes","Trematoda","Digenea","Diplostomida","Aporocotylidae","Aporocotyle","Aporocotyle macfarlani"
"88","Tigriopus californicus","species","Arthropoda","Copepoda",NA,"Harpacticoida","Harpacticidae","Tigriopus","Tigriopus californicus"
"89","Heptacarpus brevirostris","species","Arthropoda","Malacostraca","Eumalacostraca","Decapoda","Thoridae","Heptacarpus","Heptacarpus brevirostris"
"90","Anoplodium hymanae","species","Platyhelminthes",NA,NA,"Rhabdocoela","Umagillidae","Anoplodium","Anoplodium hymanae"
"91","Nephtys caeca","species","Annelida","Polychaeta","Errantia","Phyllodocida","Nephtyidae","Nephtys","Nephtys caeca"
"92","Neochromadora","genus","Nematoda","Chromadorea","Chromadoria","Chromadorida","Chromadoridae","Neochromadora",NA
"93","Chlamys rubida","species","Mollusca","Bivalvia","Autobranchia","Pectinida","Pectinidae","Chlamys","Chlamys rubida"
"94","Limnodriloides victoriensis","species","Annelida","Clitellata","Oligochaeta","Tubificida","Naididae","Limnodriloides","Limnodriloides victoriensis"
"95","Stylantheca papillosa","species","Cnidaria","Hydrozoa","Hydroidolina","Anthoathecata","Stylasteridae","Stylantheca","Stylantheca papillosa"
"96","Terebellides stroemii","species","Annelida","Polychaeta","Sedentaria","Terebellida","Trichobranchidae","Terebellides","Terebellides stroemii"
"97","Syndesmis neglecta","species","Platyhelminthes",NA,NA,"Rhabdocoela","Umagillidae","Syndesmis","Syndesmis neglecta"
"98","Henricia leviuscula","species","Echinodermata","Asteroidea","Ambuloasteroidea","Spinulosida","Echinasteridae","Henricia","Henricia leviuscula"
"99","Arctonoe pulchra","species","Annelida","Polychaeta","Errantia","Phyllodocida","Polynoidae","Arctonoe","Arctonoe pulchra"
"100","Nootkadrilus compressus","species","Annelida","Clitellata","Oligochaeta","Tubificida","Naididae","Nootkadrilus","Nootkadrilus compressus"
"101","Decapoda","order","Arthropoda","Malacostraca","Eumalacostraca","Decapoda",NA,NA,NA
"102","Pagurus aleuticus","species","Arthropoda","Malacostraca","Eumalacostraca","Decapoda","Paguridae","Pagurus","Pagurus aleuticus"
"103","Myxicola aesthetica","species","Annelida","Polychaeta","Sedentaria","Sabellida","Sabellidae","Myxicola","Myxicola aesthetica"
"104","Dipolydora quadrilobata","species","Annelida","Polychaeta","Sedentaria","Spionida","Spionidae","Dipolydora","Dipolydora quadrilobata"
"105","Nootkadrilus gracilisetosus","species","Annelida","Clitellata","Oligochaeta","Tubificida","Naididae","Nootkadrilus","Nootkadrilus gracilisetosus"
"106","Notodelphys affinis","species","Arthropoda","Copepoda",NA,"Cyclopoida","Notodelphyidae","Notodelphys","Notodelphys affinis"
"107","Anisakis simplex","species","Nematoda","Chromadorea","Chromadoria","Rhabditida","Anisakidae","Anisakis","Anisakis simplex"
"108","Desmophyllum dianthus","species","Cnidaria","Anthozoa","Hexacorallia","Scleractinia","Caryophylliidae","Desmophyllum","Desmophyllum dianthus"
"109","Phyllodoce williamsi","species","Annelida","Polychaeta","Errantia","Phyllodocida","Phyllodocidae","Phyllodoce","Phyllodoce williamsi"
"110","Paramoera bucki","species","Arthropoda","Malacostraca","Eumalacostraca","Amphipoda","Pontogeneiidae","Paramoera","Paramoera bucki"
"111","Oncaea rimula","species","Arthropoda","Copepoda",NA,"Cyclopoida","Oncaeidae","Oncaea","Oncaea rimula"
"112","Enoplida","order","Nematoda","Enoplea","Enoplia","Enoplida",NA,NA,NA
"113","Primnoa pacifica","species","Cnidaria","Anthozoa","Octocorallia","Alcyonacea","Primnoidae","Primnoa","Primnoa pacifica"
"114","Echinostoma revolutum","species","Platyhelminthes","Trematoda","Digenea","Plagiorchiida","Echinostomatidae","Echinostoma","Echinostoma revolutum"
"115","Pectinodrilus tempestatis","species","Annelida","Clitellata","Oligochaeta","Tubificida","Naididae","Pectinodrilus","Pectinodrilus tempestatis"
"116","Umbellapathes","genus","Cnidaria","Anthozoa","Hexacorallia","Antipatharia","Schizopathidae","Umbellapathes",NA
"117","Magelona longicornis","species","Annelida","Polychaeta","Polychaeta incertae sedis",NA,"Magelonidae","Magelona","Magelona longicornis"
"118","Nephtys ferruginea","species","Annelida","Polychaeta","Errantia","Phyllodocida","Nephtyidae","Nephtys","Nephtys ferruginea"
"119","Chrysopathes speciosa","species","Cnidaria","Anthozoa","Hexacorallia","Antipatharia","Cladopathidae","Chrysopathes","Chrysopathes speciosa"
"120","Petrolisthes","genus","Arthropoda","Malacostraca","Eumalacostraca","Decapoda","Porcellanidae","Petrolisthes",NA
"121","Lumbrineris luti","species","Annelida","Polychaeta","Errantia","Eunicida","Lumbrineridae","Lumbrineris","Lumbrineris luti"
"122","Littorina scutulata","species","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Littorinidae","Littorina","Littorina scutulata"
"123","Velella velella","species","Cnidaria","Hydrozoa","Hydroidolina","Anthoathecata","Porpitidae","Velella","Velella velella"
"124","Strongylocentrotus droebachiensis","species","Echinodermata","Echinoidea","Euechinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus","Strongylocentrotus droebachiensis"
"125","Hemigrapsus oregonensis","species","Arthropoda","Malacostraca","Eumalacostraca","Decapoda","Varunidae","Hemigrapsus","Hemigrapsus oregonensis"
"126","Doris montereyensis","species","Mollusca","Gastropoda","Heterobranchia","Nudibranchia","Dorididae","Doris","Doris montereyensis"
"127","Porichthys notatus","species","Chordata","Actinopteri","Teleostei","Batrachoidiformes","Batrachoididae","Porichthys","Porichthys notatus"
"128","Cadlina luteomarginata","species","Mollusca","Gastropoda","Heterobranchia","Nudibranchia","Cadlinidae","Cadlina","Cadlina luteomarginata"
"129","Similiclava nivea","species","Cnidaria","Hydrozoa","Hydroidolina","Anthoathecata","Similiclavidae","Similiclava","Similiclava nivea"
"130","Anthopleura artemisia","species","Cnidaria","Anthozoa","Hexacorallia","Actiniaria","Actiniidae","Anthopleura","Anthopleura artemisia"
"131","Tegula funebralis","species","Mollusca","Gastropoda","Vetigastropoda","Trochida","Tegulidae","Tegula","Tegula funebralis"
"132","Lepidochelys olivacea","species","Chordata",NA,NA,"Testudines","Cheloniidae","Lepidochelys","Lepidochelys olivacea"
"133","Anthopleura elegantissima","species","Cnidaria","Anthozoa","Hexacorallia","Actiniaria","Actiniidae","Anthopleura","Anthopleura elegantissima"
"134","Pugettia producta","species","Arthropoda","Malacostraca","Eumalacostraca","Decapoda","Epialtidae","Pugettia","Pugettia producta"
"135","Nucella lamellosa","species","Mollusca","Gastropoda","Caenogastropoda","Neogastropoda","Muricidae","Nucella","Nucella lamellosa"
"136","Cucumaria miniata","species","Echinodermata","Holothuroidea","Actinopoda","Dendrochirotida","Cucumariidae","Cucumaria","Cucumaria miniata"
"137","Ophiodon elongatus","species","Chordata","Actinopteri","Teleostei","Perciformes","Hexagrammidae","Ophiodon","Ophiodon elongatus"
"138","Munida quadrispina","species","Arthropoda","Malacostraca","Eumalacostraca","Decapoda","Munididae","Munida","Munida quadrispina"
"139","Hemigrapsus nudus","species","Arthropoda","Malacostraca","Eumalacostraca","Decapoda","Varunidae","Hemigrapsus","Hemigrapsus nudus"
"140","Metacarcinus gracilis","species","Arthropoda","Malacostraca","Eumalacostraca","Decapoda","Cancridae","Metacarcinus","Metacarcinus gracilis"
"141","Octopus rubescens","species","Mollusca","Cephalopoda","Coleoidea","Octopoda","Octopodidae","Octopus","Octopus rubescens"
"142","Balanus glandula","species","Arthropoda","Thecostraca","Cirripedia","Balanomorpha","Balanidae","Balanus","Balanus glandula"
"143","Macoma nasuta","species","Mollusca","Bivalvia","Autobranchia","Cardiida","Tellinidae","Macoma","Macoma nasuta"
"144","Oncorhynchus nerka","species","Chordata","Actinopteri","Teleostei","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus nerka"
"145","Anthopleura xanthogrammica","species","Cnidaria","Anthozoa","Hexacorallia","Actiniaria","Actiniidae","Anthopleura","Anthopleura xanthogrammica"
"146","Phoca vitulina","species","Chordata","Mammalia","Theria","Carnivora","Phocidae","Phoca","Phoca vitulina"
"147","Telmessus cheiragonus","species","Arthropoda","Malacostraca","Eumalacostraca","Decapoda","Cheiragonidae","Telmessus","Telmessus cheiragonus"
"148","Leukoma staminea","species","Mollusca","Bivalvia","Autobranchia","Venerida","Veneridae","Leukoma","Leukoma staminea"
"149","Sebastes caurinus","species","Chordata","Actinopteri","Teleostei","Perciformes","Sebastidae","Sebastes","Sebastes caurinus"
"150","Paracrangon echinata","species","Arthropoda","Malacostraca","Eumalacostraca","Decapoda","Crangonidae","Paracrangon","Paracrangon echinata"
"151","Pisaster ochraceus","species","Echinodermata","Asteroidea","Ambuloasteroidea","Forcipulatida","Asteriidae","Pisaster","Pisaster ochraceus"
"152","Oxylebius pictus","species","Chordata","Actinopteri","Teleostei","Perciformes","Hexagrammidae","Oxylebius","Oxylebius pictus"
"153","Phacellophora camtschatica","species","Cnidaria","Scyphozoa","Discomedusae","Semaeostomeae","Phacellophoridae","Phacellophora","Phacellophora camtschatica"
"154","Cadlina klasmalmbergi","species","Mollusca","Gastropoda","Heterobranchia","Nudibranchia","Cadlinidae","Cadlina","Cadlina klasmalmbergi"
"155","Cymatogaster aggregata","species","Chordata","Actinopteri","Teleostei","Ovalentaria incertae sedis","Embiotocidae","Cymatogaster","Cymatogaster aggregata"
"156","Lophopanopeus bellus","species","Arthropoda","Malacostraca","Eumalacostraca","Decapoda","Panopeidae","Lophopanopeus","Lophopanopeus bellus"
"157","Diodora aspera","species","Mollusca","Gastropoda","Vetigastropoda","Lepetellida","Fissurellidae","Diodora","Diodora aspera"
"158","Enteroctopus dofleini","species","Mollusca","Cephalopoda","Coleoidea","Octopoda","Enteroctopodidae","Enteroctopus","Enteroctopus dofleini"
"159","Nuttallia obscurata","species","Mollusca","Bivalvia","Autobranchia","Cardiida","Psammobiidae","Nuttallia","Nuttallia obscurata"
"160","Membranipora membranacea","species","Bryozoa","Gymnolaemata",NA,"Cheilostomatida","Membraniporidae","Membranipora","Membranipora membranacea"
"161","Pagurus granosimanus","species","Arthropoda","Malacostraca","Eumalacostraca","Decapoda","Paguridae","Pagurus","Pagurus granosimanus"
"162","Mytilus californianus","species","Mollusca","Bivalvia","Autobranchia","Mytilida","Mytilidae","Mytilus","Mytilus californianus"
"163","Scyra acutifrons","species","Arthropoda","Malacostraca","Eumalacostraca","Decapoda","Epialtidae","Scyra","Scyra acutifrons"
"164","Dermasterias imbricata","species","Echinodermata","Asteroidea","Ambuloasteroidea","Valvatida","Asteropseidae","Dermasterias","Dermasterias imbricata"
"165","Clytia gregaria","species","Cnidaria","Hydrozoa","Hydroidolina","Leptothecata","Campanulariidae","Clytia","Clytia gregaria"
"166","Neverita lewisii","species","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Naticidae","Neverita","Neverita lewisii"
"167","Anoplarchus purpurescens","species","Chordata","Actinopteri","Teleostei","Perciformes","Stichaeidae","Anoplarchus","Anoplarchus purpurescens"
"168","Melibe leonina","species","Mollusca","Gastropoda","Heterobranchia","Nudibranchia","Tethydidae","Melibe","Melibe leonina"
"169","Ophiopholis aculeata","species","Echinodermata","Ophiuroidea","Myophiuroida","Amphilepidida","Ophiopholidae","Ophiopholis","Ophiopholis aculeata"
"170","Embiotoca lateralis","species","Chordata","Actinopteri","Teleostei","Ovalentaria incertae sedis","Embiotocidae","Embiotoca","Embiotoca lateralis"
"171","Evasterias troschelii","species","Echinodermata","Asteroidea","Ambuloasteroidea","Forcipulatida","Asteriidae","Evasterias","Evasterias troschelii"
"172","Semibalanus cariosus","species","Arthropoda","Thecostraca","Cirripedia","Balanomorpha","Balanidae","Semibalanus","Semibalanus cariosus"
"173","Ophiura luetkenii","species","Echinodermata","Ophiuroidea","Myophiuroida","Ophiurida","Ophiuridae","Ophiura","Ophiura luetkenii"
"174","Neotrypaea californiensis","species","Arthropoda","Malacostraca","Eumalacostraca","Decapoda","Callianassidae","Neotrypaea","Neotrypaea californiensis"
"175","Eumetopias jubatus","species","Chordata","Mammalia","Theria","Carnivora","Otariidae","Eumetopias","Eumetopias jubatus"
"176","Cryptochiton stelleri","species","Mollusca","Polyplacophora","Neoloricata","Chitonida","Acanthochitonidae","Cryptochiton","Cryptochiton stelleri"
"177","Pentidotea wosnesenskii","species","Arthropoda","Malacostraca","Eumalacostraca","Isopoda","Idoteidae","Pentidotea","Pentidotea wosnesenskii"
"178","Patiria miniata","species","Echinodermata","Asteroidea","Ambuloasteroidea","Valvatida","Asterinidae","Patiria","Patiria miniata"
"179","Ciona savignyi","species","Chordata","Ascidiacea",NA,"Phlebobranchia","Cionidae","Ciona","Ciona savignyi"
"180","Pugettia gracilis","species","Arthropoda","Malacostraca","Eumalacostraca","Decapoda","Epialtidae","Pugettia","Pugettia gracilis"
"181","Metacarcinus magister","species","Arthropoda","Malacostraca","Eumalacostraca","Decapoda","Cancridae","Metacarcinus","Metacarcinus magister"
"182","Petrolisthes eriomerus","species","Arthropoda","Malacostraca","Eumalacostraca","Decapoda","Porcellanidae","Petrolisthes","Petrolisthes eriomerus"
"183","Parophrys vetulus","species","Chordata","Actinopteri","Teleostei","Pleuronectiformes","Pleuronectidae","Parophrys","Parophrys vetulus"
"184","Pollicipes polymerus","species","Arthropoda","Thecostraca","Cirripedia","Pollicipedomorpha","Pollicipedidae","Pollicipes","Pollicipes polymerus"
"185","Macoma inquinata","species","Mollusca","Bivalvia","Autobranchia","Cardiida","Tellinidae","Macoma","Macoma inquinata"
"186","Oncorhynchus clarkii","species","Chordata","Actinopteri","Teleostei","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus clarkii"
"187","Mopalia lignosa","species","Mollusca","Polyplacophora","Neoloricata","Chitonida","Mopaliidae","Mopalia","Mopalia lignosa"
"188","Zalophus californianus","species","Chordata","Mammalia","Theria","Carnivora","Otariidae","Zalophus","Zalophus californianus"
"189","Diaulula odonoghuei","species","Mollusca","Gastropoda","Heterobranchia","Nudibranchia","Discodorididae","Diaulula","Diaulula odonoghuei"
"190","Clinocardium nuttallii","species","Mollusca","Bivalvia","Autobranchia","Cardiida","Cardiidae","Clinocardium","Clinocardium nuttallii"
"191","Sebastes auriculatus","species","Chordata","Actinopteri","Teleostei","Perciformes","Sebastidae","Sebastes","Sebastes auriculatus"
"192","Pododesmus macrochisma","species","Mollusca","Bivalvia","Autobranchia","Pectinida","Anomiidae","Pododesmus","Pododesmus macrochisma"
"193","Chirolophis nugator","species","Chordata","Actinopteri","Teleostei","Perciformes","Stichaeidae","Chirolophis","Chirolophis nugator"
"194","Apostichopus californicus","species","Echinodermata","Holothuroidea","Actinopoda","Synallactida","Stichopodidae","Apostichopus","Apostichopus californicus"
"195","Aurelia labiata","species","Cnidaria","Scyphozoa","Discomedusae","Semaeostomeae","Ulmaridae","Aurelia","Aurelia labiata"
"196","Apodichthys flavidus","species","Chordata","Actinopteri","Teleostei","Perciformes","Pholidae","Apodichthys","Apodichthys flavidus"
"197","Pycnopodia helianthoides","species","Echinodermata","Asteroidea","Ambuloasteroidea","Forcipulatida","Asteriidae","Pycnopodia","Pycnopodia helianthoides"
"198","Pisaster brevispinus","species","Echinodermata","Asteroidea","Ambuloasteroidea","Forcipulatida","Asteriidae","Pisaster","Pisaster brevispinus"
"199","Zirfaea pilsbryi","species","Mollusca","Bivalvia","Autobranchia","Myida","Pholadidae","Zirfaea","Zirfaea pilsbryi"
"200","Artedius harringtoni","species","Chordata","Actinopteri","Teleostei","Perciformes","Cottidae","Artedius","Artedius harringtoni"
"201","Pomaulax gibberosus","species","Mollusca","Gastropoda","Vetigastropoda","Trochida","Turbinidae","Pomaulax","Pomaulax gibberosus"
"202","Urticina grebelnyi","species","Cnidaria","Anthozoa","Hexacorallia","Actiniaria","Actiniidae","Urticina","Urticina grebelnyi"
"203","Megaptera novaeangliae","species","Chordata","Mammalia","Theria","Cetartiodactyla","Balaenopteridae","Megaptera","Megaptera novaeangliae"
"204","Mopalia muscosa","species","Mollusca","Polyplacophora","Neoloricata","Chitonida","Mopaliidae","Mopalia","Mopalia muscosa"
"205","Cancer productus","species","Arthropoda","Malacostraca","Eumalacostraca","Decapoda","Cancridae","Cancer","Cancer productus"
"206","Eubranchus sanjuanensis","species","Mollusca","Gastropoda","Heterobranchia","Nudibranchia","Eubranchidae","Eubranchus","Eubranchus sanjuanensis"
"207","Triopha catalinae","species","Mollusca","Gastropoda","Heterobranchia","Nudibranchia","Polyceridae","Triopha","Triopha catalinae"
