Species,Genus,Subfamily,Family,Order,Class,SuperClass,FAO,Status
Liparis rutteri,Liparis,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Lipariscus nanus,Lipariscus,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Lipolagus ochotensis,Lipolagus,NA,Bathylagidae,Argentiniformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Lophodolos acanthognathus,Lophodolos,NA,Oneirodidae,Lophiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Lopholiparis flerxi,Lopholiparis,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",endemic
Loweina rara,Loweina,Myctophinae,Myctophidae,Myctophiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Lucania parva,Lucania,NA,Fundulidae,Cyprinodontiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",introduced
Lumpenella longirostris,Lumpenella,NA,Lumpenidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Lumpenopsis hypochroma,Lumpenopsis,NA,Opisthocentridae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Lumpenus fabricii,Lumpenus,NA,Lumpenidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Lumpenus sagitta,Lumpenus,NA,Lumpenidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Luvarus imperialis,Luvarus,NA,Luvaridae,Acanthuriformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Lycenchelys alta,Lycenchelys,Lycodinae,Zoarcidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Lycenchelys callista,Lycenchelys,Lycodinae,Zoarcidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Lycenchelys camchatica,Lycenchelys,Lycodinae,Zoarcidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
