Species,Genus,Subfamily,Family,Order,Class,SuperClass,FAO,Status
Parvilux ingens,Parvilux,Lampanyctinae,Myctophidae,Myctophiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Pentaceros wheeleri,Pentaceros,Pentacerotinae,Pentacerotidae,Acropomatiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Peprilus simillimus,Peprilus,NA,Stromateidae,Scombriformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Percis japonica,Percis,Hypsagoninae,Agonidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Phallocottus obtusus,Phallocottus,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Phanerodon furcatus,Phanerodon,NA,Embiotocidae,Ovalentaria/misc,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Pholis clemensi,Pholis,Pholinae,Pholidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Pholis fasciata,Pholis,Pholinae,Pholidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Pholis laeta,Pholis,Pholinae,Pholidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Pholis ornata,Pholis,Pholinae,Pholidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
