query,family,ottid_species,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type
Oribatella bulanovae,Oribatellidae,407295,449176,Oribatellidae,"Jacot, 1925",accepted,NA,Family,449176,Oribatellidae,"Jacot, 1925",150381,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,1,NA,NA,1,NA,exact
Nothrus pratensis,Nothridae,152753,508148,Nothridae,"Berlese, 1896",accepted,NA,Family,508148,Nothridae,"Berlese, 1896",449172,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,1,NA,NA,1,NA,exact
Cepheus (genus in Bilateria,Cepheidae,NULL,449196,Cepheidae,"Berlese, 1896",unaccepted,synonym,Family,450497,Compactozetidae,"Luxton, 1988",450496,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,NA,NA,NA,NA,NA,exact
Cepheus (genus in Bilateria,Cepheidae,NULL,135236,Cepheidae,"Agassiz, 1862",accepted,NA,Family,135236,Cepheidae,"Agassiz, 1862",1393803,Animalia,Cnidaria,Scyphozoa,Rhizostomeae,NA,1,0,0,0,0,exact
Achipteria coleoptrata,Achipteriidae,99285,449178,Achipteriidae,"Thor, 1929",accepted,NA,Family,449178,Achipteriidae,"Thor, 1929",449177,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,1,NA,NA,NA,NA,exact
Pilogalumna,Galumnidae,NULL,449168,Galumnidae,"Jacot, 1925",accepted,NA,Family,449168,Galumnidae,"Jacot, 1925",150377,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,1,NA,NA,1,NA,exact
Neonothrus humicola,Camisiidae,882335,449173,Camisiidae,"Oudemans, 1900",accepted,NA,Family,449173,Camisiidae,"Oudemans, 1900",449172,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,1,NA,1,1,NA,exact
Svalbardia (genus in Ecdysozoa,Ceratozetidae,NULL,449165,Ceratozetidae,"Jacot, 1925",accepted,NA,Family,449165,Ceratozetidae,"Jacot, 1925",150376,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,1,NA,NA,1,NA,exact
Cheiroseius,Ascidae,NULL,150321,Ascidae,NA,accepted,NA,Family,150321,Ascidae,NA,762058,Animalia,Arthropoda,Arachnida,Mesostigmata,NA,1,NA,NA,NA,NA,exact
Eupelops septentrionalis,Phenopelopidae,675992,449186,Phenopelopidae,"Petrunkevitch, 1955",accepted,NA,Family,449186,Phenopelopidae,"Petrunkevitch, 1955",449185,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,1,NA,NA,1,NA,exact
Propelops canadensis,Phenopelopidae,882323,449186,Phenopelopidae,"Petrunkevitch, 1955",accepted,NA,Family,449186,Phenopelopidae,"Petrunkevitch, 1955",449185,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,1,NA,NA,1,NA,exact
Linopodes,Eupodidae,NULL,150434,Eupodidae,NA,accepted,NA,Family,150434,Eupodidae,NA,762071,Animalia,Arthropoda,Arachnida,Trombidiformes,NA,1,NA,NA,1,NA,exact
Moritzoppia unicarinata,Oppiidae,3529909,449174,Oppiidae,"Sellnick, 1937",accepted,NA,Family,449174,Oppiidae,"Sellnick, 1937",150380,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,1,NA,NA,1,NA,exact
Neogymnobates,Ceratozetidae,NULL,449165,Ceratozetidae,"Jacot, 1925",accepted,NA,Family,449165,Ceratozetidae,"Jacot, 1925",150376,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,1,NA,NA,1,NA,exact
Svalbardia paludicola,Ceratozetidae,307576,449165,Ceratozetidae,"Jacot, 1925",accepted,NA,Family,449165,Ceratozetidae,"Jacot, 1925",150376,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,1,NA,NA,1,NA,exact
Dirksia cinctipes,Hahniidae,3560996,510114,Hahniidae,"Bertkau, 1878",accepted,NA,Family,510114,Hahniidae,"Bertkau, 1878",150467,Animalia,Arthropoda,Arachnida,Araneae,NA,1,NA,NA,1,NA,exact
Antistea brunnea,Hahniidae,186879,510114,Hahniidae,"Bertkau, 1878",accepted,NA,Family,510114,Hahniidae,"Bertkau, 1878",150467,Animalia,Arthropoda,Arachnida,Araneae,NA,1,NA,NA,1,NA,exact
Ethobuella tuonops,Hahniidae,3561034,510114,Hahniidae,"Bertkau, 1878",accepted,NA,Family,510114,Hahniidae,"Bertkau, 1878",150467,Animalia,Arthropoda,Arachnida,Araneae,NA,1,NA,NA,1,NA,exact
Cryphoeca exlineae,Hahniidae,3560959,510114,Hahniidae,"Bertkau, 1878",accepted,NA,Family,510114,Hahniidae,"Bertkau, 1878",150467,Animalia,Arthropoda,Arachnida,Araneae,NA,1,NA,NA,1,NA,exact
Neoantistea agilis,Hahniidae,504332,510114,Hahniidae,"Bertkau, 1878",accepted,NA,Family,510114,Hahniidae,"Bertkau, 1878",150467,Animalia,Arthropoda,Arachnida,Araneae,NA,1,NA,NA,1,NA,exact
Trhypochthonius silvestris,Trhypochthoniidae,921526,508146,Trhypochthoniidae,"Willman, 1931",accepted,NA,Family,508146,Trhypochthoniidae,"Willman, 1931",449172,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,1,NA,NA,1,NA,exact
Trhypochthonius japonicus,Trhypochthoniidae,469208,508146,Trhypochthoniidae,"Willman, 1931",accepted,NA,Family,508146,Trhypochthoniidae,"Willman, 1931",449172,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,1,NA,NA,1,NA,exact
Suctobelbella sarekensis,Suctobelbidae,307586,508164,Suctobelbidae,"Jacot, 1938",accepted,NA,Family,508164,Suctobelbidae,"Jacot, 1938",150380,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,1,NA,NA,1,NA,exact
Jacquinotia edwardsi,Majidae,4667506,106760,Majidae,"Samouelle, 1819",accepted,NA,Family,106760,Majidae,"Samouelle, 1819",106700,Animalia,Arthropoda,Malacostraca,Decapoda,NA,1,NA,NA,NA,NA,exact
Bosmina liederi,Bosminidae,390247,106262,Bosminidae,"Baird, 1845",accepted,NA,Family,106262,Bosminidae,"Baird, 1845",106259,Animalia,Arthropoda,Branchiopoda,Anomopoda,NA,1,1,1,0,NA,exact
Melanozetes meridianus,Ceratozetidae,4685489,449165,Ceratozetidae,"Jacot, 1925",accepted,NA,Family,449165,Ceratozetidae,"Jacot, 1925",150376,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,1,NA,NA,1,NA,exact
Carabodes femoralis,Carabodidae,978614,449164,Carabodidae,"C.L. Koch, 1837",accepted,NA,Family,449164,Carabodidae,"C.L. Koch, 1837",150375,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,1,NA,NA,1,NA,exact
Nothrus palustris,Nothridae,206656,508148,Nothridae,"Berlese, 1896",accepted,NA,Family,508148,Nothridae,"Berlese, 1896",449172,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,1,NA,NA,1,NA,exact
Hahnia ononidum,Hahniidae,3560895,510114,Hahniidae,"Bertkau, 1878",accepted,NA,Family,510114,Hahniidae,"Bertkau, 1878",150467,Animalia,Arthropoda,Arachnida,Araneae,NA,1,NA,NA,1,NA,exact
Gammarus monospeliensis,Gammaridae,496338,101383,Gammaridae,"Leach, 1814",accepted,NA,Family,101383,Gammaridae,"Leach, 1814",720708,Animalia,Arthropoda,Malacostraca,Amphipoda,NA,1,1,1,NA,NA,exact
Gammarus semicarinatus,Gammaridae,846621,101383,Gammaridae,"Leach, 1814",accepted,NA,Family,101383,Gammaridae,"Leach, 1814",720708,Animalia,Arthropoda,Malacostraca,Amphipoda,NA,1,1,1,NA,NA,exact
Hydrachna conjecta,Hydrachnidae,1003585,1578526,Hydrachnidae,"Leach, 1815",accepted,NA,Family,1578526,Hydrachnidae,"Leach, 1815",762090,Animalia,Arthropoda,Arachnida,Trombidiformes,NA,NA,1,1,NA,NA,exact
Hydrachna globosa,Hydrachnidae,1003587,1578526,Hydrachnidae,"Leach, 1815",accepted,NA,Family,1578526,Hydrachnidae,"Leach, 1815",762090,Animalia,Arthropoda,Arachnida,Trombidiformes,NA,NA,1,1,NA,NA,exact
Chthonius dacnodes,Chthoniidae,851667,150463,Chthoniidae,NA,accepted,NA,Family,150463,Chthoniidae,NA,467668,Animalia,Arthropoda,Arachnida,Pseudoscorpionida,NA,1,NA,NA,1,NA,exact
Chthonius ischnocheles,Chthoniidae,883059,150463,Chthoniidae,NA,accepted,NA,Family,150463,Chthoniidae,NA,467668,Animalia,Arthropoda,Arachnida,Pseudoscorpionida,NA,1,NA,NA,1,NA,exact
Lagynochthonius,Chthoniidae,NULL,150463,Chthoniidae,NA,accepted,NA,Family,150463,Chthoniidae,NA,467668,Animalia,Arthropoda,Arachnida,Pseudoscorpionida,NA,1,NA,NA,1,NA,exact
Beierochelifer peloponnesiacus,Cheliferidae,327118,231897,Cheliferidae,NA,accepted,NA,Family,231897,Cheliferidae,NA,467668,Animalia,Arthropoda,Arachnida,Pseudoscorpionida,NA,1,NA,NA,1,NA,exact
