"","taxa_query","taxa","tol_sciname","rank","ott_id","is_synonym","flags"
"63","Macrobrachium asperulum","Macrobrachium asperulum","Macrobrachium asperulum","species",8272,FALSE,NA
"64","Macrobrachium australe","Macrobrachium australe","Macrobrachium australe","species",8273,FALSE,NA
"65","Macrobrachium lanatum","Macrobrachium lanatum","Macrobrachium lanatum","species",833392,FALSE,NA
"66","Macrobrachium edentatum","Macrobrachium edentatum","Macrobrachium edentatum","species",8276,FALSE,NA
"67","Macrobrachium equidens","Macrobrachium equidens","Macrobrachium equidens","species",410630,FALSE,NA
"68","Macrobrachium esculentum","Macrobrachium esculentum","Macrobrachium esculentum","species",8283,FALSE,NA
"69","Macrobrachium formosense","Macrobrachium formosense","Macrobrachium formosense","species",1396,FALSE,NA
"70","Macrobrachium gracilirostre","Macrobrachium gracilirostre","Macrobrachium gracilirostre","species",573976,FALSE,NA
"71","Macrobrachium hainanense","Macrobrachium hainanense","Macrobrachium hainanense","species",220152,FALSE,NA
"72","Macrobrachium idae","Macrobrachium idae","Macrobrachium idae","species",616630,FALSE,NA
"73","Macrobrachium inflatum","Macrobrachium inflatum","Macrobrachium inflatum","species",573985,FALSE,NA
"74","Macrobrachium japonicum","Macrobrachium japonicum","Macrobrachium japonicum","species",339285,FALSE,NA
"75","Macrobrachium jaroense","Macrobrachium jaroense","Macrobrachium jaroense","species",339286,FALSE,NA
"76","Macrobrachium latidactylus","Macrobrachium latidactylus","Macrobrachium latidactylus","species",616621,FALSE,NA
"77","Macrobrachium latimanus","Macrobrachium latimanus","Macrobrachium latimanus","species",616615,FALSE,NA
"78","Macrobrachium lepidactyloides","Macrobrachium lepidactyloides","Macrobrachium lepidactyloides","species",469220,FALSE,NA
"79","Macrobrachium maculatum","Macrobrachium maculatum","Macrobrachium maculatum","species",421459,FALSE,NA
"80","Macrobrachium malayanum","Macrobrachium malayanum","Macrobrachium malayanum","species",220149,FALSE,NA
"81","Macrobrachium mammillodactylus","Macrobrachium mammillodactylus","Macrobrachium mammillodactylus","species",220150,FALSE,NA
"82","Macrobrachium meridionalis","Macrobrachium meridionalis","Macrobrachium meridionalis",NA,339271,FALSE,NA
"83","Macrobrachiumso","Macrobrachiumso","Macrobrachium naso",NA,421457,FALSE,NA
"84","Macrobrachiumglectum","Macrobrachiumglectum","Macrobrachium neglectum",NA,367917,FALSE,NA
"85","Macrobrachiumpponense","Macrobrachiumpponense","Macrobrachium nipponense",NA,719464,FALSE,NA
"86","Macrobrachium pinguis","Macrobrachium pinguis","Macrobrachium pinguis",NA,421453,FALSE,NA
"87","Macrobrachium placidulum","Macrobrachium placidulum","Macrobrachium placidulum","species",339270,FALSE,NA
"88","Macrobrachium placidum","Macrobrachium placidum","Macrobrachium placidum","species",91276,FALSE,NA
"89","Macrobrachium platycheles","Macrobrachium platycheles","Macrobrachium platycheles","species",220148,FALSE,NA
