"","taxa_query","found_taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","status","unacceptreason","is_synonym","flags","valid_authority","kingdom","class","order","family","genus","freshwater_only","terrestrial_only"
"30","Macrobrachium japonicum","Macrobrachium japonicum",NA,NA,NA,NA,339285,NA,"Macrobrachium japonicum",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"31","Macrobrachium jaroense","Macrobrachium jaroense",NA,NA,NA,NA,339286,NA,"Macrobrachium jaroense",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"32","Macrobrachium lar","Macrobrachium lar",NA,NA,NA,NA,889836,NA,"Macrobrachium lar",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"33","Macrobrachium latidactylus","Macrobrachium latidactylus",NA,NA,NA,NA,616621,NA,"Macrobrachium latidactylus",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"34","Macrobrachium latimanus","Macrobrachium latimanus",NA,NA,NA,NA,616615,NA,"Macrobrachium latimanus",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"35","Macrobrachium lepidactyloides","Macrobrachium lepidactyloides",NA,NA,NA,NA,469220,NA,"Macrobrachium lepidactyloides",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"36","Macrobrachium maculatum","Macrobrachium maculatum",NA,NA,NA,NA,421459,NA,"Macrobrachium maculatum",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"37","Macrobrachium meridionalis","Macrobrachium meridionalis",NA,NA,NA,NA,339271,NA,"Macrobrachium meridionalis",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"38","Macrobrachium naso","Macrobrachium naso",NA,NA,NA,NA,421457,NA,"Macrobrachium naso",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"39","Macrobrachium pinguis","Macrobrachium pinguis",NA,NA,NA,NA,421453,NA,"Macrobrachium pinguis",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"40","Macrobrachium placidulum","Macrobrachium placidulum",NA,NA,NA,NA,339270,NA,"Macrobrachium placidulum",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"41","Macrobrachium placidum","Macrobrachium placidum",NA,NA,NA,NA,91276,NA,"Macrobrachium placidum",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
