query,family,ottid_species,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type
Versteria mustelae,Taeniidae,386446,836271,Taeniidae,"Ludwig, 1886",accepted,NA,Family,836271,Taeniidae,"Ludwig, 1886",104913,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,NA,1,NA,NA,NA,NA,exact
Echinococcus felidis,Taeniidae,786284,836271,Taeniidae,"Ludwig, 1886",accepted,NA,Family,836271,Taeniidae,"Ludwig, 1886",104913,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,NA,1,NA,NA,NA,NA,exact
Asteroporpa australiensis,Gorgonocephalidae,268467,123203,Gorgonocephalidae,"Ljungman, 1867",accepted,NA,Family,123203,Gorgonocephalidae,"Ljungman, 1867",242196,Animalia,Echinodermata,Ophiuroidea,Euryalida,NA,1,0,0,0,0,exact
Asteroporpa muricatopatella,Gorgonocephalidae,978339,123203,Gorgonocephalidae,"Ljungman, 1867",accepted,NA,Family,123203,Gorgonocephalidae,"Ljungman, 1867",242196,Animalia,Echinodermata,Ophiuroidea,Euryalida,NA,1,0,0,0,0,exact
Asteroporpa reticulata,Gorgonocephalidae,268472,123203,Gorgonocephalidae,"Ljungman, 1867",accepted,NA,Family,123203,Gorgonocephalidae,"Ljungman, 1867",242196,Animalia,Echinodermata,Ophiuroidea,Euryalida,NA,1,0,0,0,0,exact
Echinococcus equinus,Taeniidae,787330,836271,Taeniidae,"Ludwig, 1886",accepted,NA,Family,836271,Taeniidae,"Ludwig, 1886",104913,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,NA,1,NA,NA,NA,NA,exact
Necator americanus,Ancylostomatidae,856981,834871,Ancylostomatidae,"Looss, 1905",accepted,NA,Family,834871,Ancylostomatidae,"Looss, 1905",834868,Animalia,Nematoda,Chromadorea,Rhabditida,NA,1,NA,NA,1,NA,exact
Taenia regis,Taeniidae,505656,836271,Taeniidae,"Ludwig, 1886",accepted,NA,Family,836271,Taeniidae,"Ludwig, 1886",104913,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,NA,1,NA,NA,NA,NA,exact
Taenia crocutae,Taeniidae,5693922,836271,Taeniidae,"Ludwig, 1886",accepted,NA,Family,836271,Taeniidae,"Ludwig, 1886",104913,Animalia,Platyhelminthes,Cestoda,Cyclophyllidea,NA,1,NA,NA,NA,NA,exact
Paragonimus sadoensis,Troglotrematidae,681779,468969,Troglotrematidae,"Odhner, 1914",accepted,NA,Family,468969,Troglotrematidae,"Odhner, 1914",1578386,Animalia,Platyhelminthes,Trematoda,Plagiorchiida,NA,1,NA,1,1,NA,exact
