query,family,ottid_species,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type
Treadwellius bifidus,Flabelligeridae,4985325,976,Flabelligeridae,"de Saint-Joseph, 1894",accepted,NA,Family,976,Flabelligeridae,"de Saint-Joseph, 1894",155087,Animalia,Annelida,Polychaeta,Terebellida,NA,1,0,0,0,0,exact
Haementeria acuecueyetzin,Glossiphoniidae,511785,160008,Glossiphoniidae,"Vaillant, 1890",accepted,NA,Family,160008,Glossiphoniidae,"Vaillant, 1890",2117,Animalia,Annelida,Clitellata,Rhynchobdellida,NA,1,NA,1,1,NA,exact
Chtonobdella,Haemadipsidae,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chtonobdella whitmani,Haemadipsidae,532382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tritetrabdella scandens,Haemadipsidae,1031550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Proctodrilus,Lumbricidae,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haementeria officinalis,Glossiphoniidae,509176,160008,Glossiphoniidae,"Vaillant, 1890",accepted,NA,Family,160008,Glossiphoniidae,"Vaillant, 1890",2117,Animalia,Annelida,Clitellata,Rhynchobdellida,NA,1,NA,1,1,NA,exact
Alboglossiphonia papillosa,Glossiphoniidae,2847197,160008,Glossiphoniidae,"Vaillant, 1890",accepted,NA,Family,160008,Glossiphoniidae,"Vaillant, 1890",2117,Animalia,Annelida,Clitellata,Rhynchobdellida,NA,1,NA,1,1,NA,exact
Alboglossiphonia,Glossiphoniidae,NULL,160008,Glossiphoniidae,"Vaillant, 1890",accepted,NA,Family,160008,Glossiphoniidae,"Vaillant, 1890",2117,Animalia,Annelida,Clitellata,Rhynchobdellida,NA,1,NA,1,1,NA,exact
Branchiobdellida,NULL,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
