"","taxa_query","taxa","tol_sciname","rank","ott_id","is_synonym","flags"
"147","Satsuma papilliformis","Satsuma papilliformis","Satsuma papilliformis","species",459424,FALSE,NA
"148","Satsuma ferruginea","Satsuma ferruginea","Satsuma ferruginea","species",208710,FALSE,NA
"149","Satsuma japonica","Satsuma japonica","Satsuma japonica","species",955845,FALSE,NA
"150","Satsuma peculiaris","Satsuma peculiaris","Satsuma peculiaris","species",459422,FALSE,NA
"151","Satsuma oshimae","Satsuma oshimae","Satsuma oshimae","species",459429,FALSE,NA
"152","Coniglobus mercatorius","Coniglobus mercatorius","Coniglobus mercatorius","species",379595,FALSE,NA
"153","Satsuma perversa","Satsuma perversa","Satsuma perversa","species",459419,FALSE,NA
"154","Satsuma cardiostoma","Satsuma cardiostoma","Satsuma cardiostoma","species",208704,FALSE,NA
"155","Satsuma jacobii","Satsuma jacobii","Satsuma jacobii","species",783033,FALSE,NA
"156","Satsuma contraria","Satsuma contraria","Satsuma contraria","species",852441,FALSE,NA
"157","Satsuma batanica","Satsuma batanica","Satsuma batanica","species",519577,FALSE,NA
"158","Camaena sakishimana","Camaena sakishimana","Camaena sakishimana","species",732291,FALSE,"sibling_higher"
"159","Satsuma rugosa","Satsuma rugosa","Satsuma rugosa","species",459417,FALSE,NA
"160","Satsuma caliginosa","Satsuma caliginosa","Satsuma caliginosa","species",208702,FALSE,NA
"161","Satsuma ammiralis","Satsuma ammiralis","Satsuma ammiralis","species",208699,FALSE,NA
"162","Satsuma fausta","Satsuma fausta","Satsuma fausta","species",208712,FALSE,NA
"163","Satsuma sphaeroconus","Satsuma sphaeroconus","Satsuma sphaeroconus","species",277878,FALSE,NA
"164","Satsuma kanamarui","Satsuma kanamarui","Satsuma kanamarui","species",783035,FALSE,NA
"165","Satsuma yaeyamensis","Satsuma yaeyamensis","Satsuma yaeyamensis","species",1036317,FALSE,NA
"166","Satsuma mercatoria","Satsuma mercatoria","Satsuma mercatoria","species",783041,FALSE,NA
"167","Satsuma okiensis","Satsuma okiensis","Satsuma okiensis","species",459431,FALSE,NA
"168","Satsuma fusca","Satsuma fusca","Satsuma fusca","species",783031,FALSE,NA
"169","Satsuma cristata","Satsuma cristata","Satsuma cristata","species",346557,FALSE,NA
"170","Satsuma arisana","Satsuma arisana","Satsuma arisana","species",277867,FALSE,NA
"171","Satsuma bacca","Satsuma bacca","Satsuma bacca","species",865884,FALSE,NA
"172","Satsuma carinatus","Satsuma carinatus","Satsuma carinatus","species",852440,FALSE,NA
"173","Satsuma friesiana","Satsuma friesiana","Satsuma friesiana","species",277872,FALSE,NA
"174","Satsuma mellea","Satsuma mellea","Satsuma mellea","species",277873,FALSE,NA
"175","Satsuma succincta","Satsuma succincta","Satsuma succincta","species",852447,FALSE,NA
"176","Satsuma","Satsuma","Satsuma","genus",379594,FALSE,"sibling_higher"
"177","Calliotropis chalkeie","Calliotropis chalkeie","Calliotropis chalkeie","species",1037636,FALSE,NA
"178","Golikovia ennae","Golikovia ennae","Golikovia ennae","species",313530,FALSE,NA
"179","Golikovia fukueae","Golikovia fukueae","Golikovia fukueae","species",95231,FALSE,NA
"180","Corbicula leana","Corbicula leana","Corbicula fluminea","species",406871,TRUE,NA
"181","Tamanovalva limax","Tamanovalva limax","Tamanovalva limax","species",665610,FALSE,NA
"182","Calliostoma aculeatum","Calliostoma aculeatum","Tristichotrochus aculeatus","species",249380,TRUE,NA
"183","Calliostoma akoya","Calliostoma akoya","Akoya akoya","species",993317,TRUE,NA
"184","Calliostoma haliarchus","Calliostoma haliarchus","Tristichotrochus haliarchus","species",837522,TRUE,NA
"185","Calliostoma shinagawaensis","Calliostoma shinagawaensis","Calliostoma shinagawaensis","species",249393,FALSE,NA
"186","Calliostoma unicum","Calliostoma unicum","Tristichotrochus unicus","species",587494,TRUE,NA
"187","Diloma suavis","Diloma suavis","Pictodiloma suavis","species",721818,TRUE,NA
"188","Cantharidus infuscatus","Cantharidus infuscatus","Kanekotrochus infuscatus","species",993313,TRUE,NA
"189","Thalotia attenuatus","Thalotia attenuatus","Tosatrochus attenuatus","species",721816,TRUE,"extinct, incertae_sedis"
"190","Roya eximia","Roya eximia","Roya eximia","species",993311,FALSE,"incertae_sedis_inherited"
"191","Diloma piperinus","Diloma piperinus","Diloma piperinus","species",721820,FALSE,NA
"192","Stomatia obscura","Stomatia obscura","Stomatia obscura","species",721810,FALSE,NA
"193","Eurytrochus cognatus","Eurytrochus cognatus","Eurytrochus cognatus","species",761337,FALSE,NA
"194","Limnoperna fortunei","Limnoperna fortunei","Limnoperna fortunei","species",94516,FALSE,NA
"195","Adipicola pacifica","Adipicola pacifica","Adipicola pacifica","species",17029,FALSE,NA
"196","Lunella smaragdus","Lunella smaragdus","Lunella smaragda",NA,597326,TRUE,NA
"197","Sepiolina petasa","Sepiolina petasa","Sepiolina petasus","species",172561,TRUE,NA
"198","Sepiolinapponensis","Sepiolinapponensis","Sepiolina nipponensis",NA,527592,FALSE,NA
"199","Nipponochloritis hiromitadae","Nipponochloritis hiromitadae","Nipponochloritis hiromitadae","species",808813,FALSE,NA
"200","Nipponochloritis oscitans","Nipponochloritis oscitans","Nipponochloritis oscitans","species",808815,FALSE,NA
"201","Yakuchloritis albolabris","Yakuchloritis albolabris","Yakuchloritis albolabris","species",808822,FALSE,NA
"202","Satsuma wiegmanniana","Satsuma wiegmanniana","Satsuma wiegmanniana","species",234497,FALSE,NA
"203","Satsuma textilis","Satsuma textilis","Satsuma textilis","species",234495,FALSE,NA
"204","Satsuma tanegashimae","Satsuma tanegashimae","Satsuma tanegashimae","species",915161,FALSE,NA
"205","Satsuma luteolella","Satsuma luteolella","Satsuma luteolella","species",71350,FALSE,NA
"206","Blanfordia japonica","Blanfordia japonica","Blanfordia japonica",NA,741297,FALSE,NA
"207","Blanfordia integra","Blanfordia integra","Blanfordia integra",NA,44591,FALSE,NA
"208","Blanfordia","Blanfordia","Blanfordia",NA,217568,FALSE,"sibling_higher"
"209","Fukuia kurodai","Fukuia kurodai","Fukuia kurodai",NA,198563,FALSE,NA
"210","Oncomelania hupensis","Oncomelania hupensis","Oncomelania hupensis","species",686798,FALSE,NA
"211","Oncomelania minima","Oncomelania minima","Oncomelania minima","species",996714,FALSE,NA
"212","Gammatricula shini","Gammatricula shini","Gammatricula shini","species",230819,FALSE,NA
"213","Truncatella pfeifferi","Truncatella pfeifferi","Truncatella pfeifferi","species",217554,FALSE,NA
"214","Akiyoshia kobayashii","Akiyoshia kobayashii","Akiyoshia kobayashii",NA,524126,FALSE,NA
"215","Crassostrea sikamea","Crassostrea sikamea","Crassostrea sikamea","species",1063870,FALSE,NA
"216","Nassarius festivus","Nassarius festivus","Reticunassa festiva","species",580448,TRUE,NA
"217","Quidnipagus palatum","Quidnipagus palatum","Quidnipagus palatam",NA,74663,TRUE,NA
"218","Ephippodonta gigas","Ephippodonta gigas","Ephippodontina gigas",NA,203464,TRUE,NA
"219","Pseudopythina subsinuata","Pseudopythina subsinuata","Pseudopythina subsinuata",NA,425347,FALSE,NA
"220","Pseudopythina macrophthalmensis","Pseudopythina macrophthalmensis","Borniopsis macrophtalmensis",NA,726919,TRUE,NA
"221","Pseudopythina ariake","Pseudopythina ariake","Borniopsis ariakensis",NA,2861744,FALSE,NA
"222","Pseudopythinadosa","Pseudopythinadosa","Borniopsis nodosa",NA,2861741,FALSE,NA
"223","Salpocola philippinensis","Salpocola philippinensis","Salpocola tellinoides",NA,425354,TRUE,NA
"224","Saccostrea cucullata","Saccostrea cucullata","Saccostrea cucullata","species",162886,FALSE,NA
"225","Eogonatus tinro","Eogonatus tinro","Gonatopsis okutanii",NA,10470,TRUE,NA
"226","Lepetodrilusx","Lepetodrilusx","Lepetodrilus",NA,405577,FALSE,NA
"227","Paludinella minima","Paludinella minima","Paludinella minima",NA,4960085,FALSE,NA
"228","Paludinella kuzuuensis","Paludinella kuzuuensis","Paludinella kuzuuensis",NA,5224236,FALSE,NA
"229","Corbicula sandai","Corbicula sandai","Corbicula sandai","species",920655,FALSE,NA
"230","Acusta despecta","Acusta despecta","Acusta despecta","species",1033085,FALSE,NA
"231","Aegista awajiensis","Aegista awajiensis","Aegista awajiensis","species",5264581,FALSE,"sibling_higher"
"232","Aegista caerulea","Aegista caerulea","Aegista caerulea","species",5264590,FALSE,"sibling_higher"
"233","Aegista fausta","Aegista fausta","Aegista fausta","species",5264600,FALSE,"sibling_higher"
"234","Aegista friedeliana","Aegista friedeliana","Aegista friedeliana","species",5264592,FALSE,"sibling_higher"
"235","Aegista gottschei","Aegista gottschei","Aegista gottschei","species",5264577,FALSE,"sibling_higher"
"236","Aegista granti","Aegista granti","Aegista granti","species",2879752,FALSE,"sibling_higher"
"237","Aegista kanmuriyamensis","Aegista kanmuriyamensis","Aegista kanmuriyamensis","species",5264586,FALSE,"sibling_higher"
"238","Aegista kobensis","Aegista kobensis","Aegista kobensis","species",5264588,FALSE,"sibling_higher"
"239","Aegista kunimiensis","Aegista kunimiensis","Aegista kunimiensis","species",5264589,FALSE,"sibling_higher"
"240","Aegista lautsi","Aegista lautsi","Aegista lautsi","species",2879757,FALSE,"sibling_higher"
"241","Aegista mayasana","Aegista mayasana","Aegista mayasana","species",5264573,FALSE,"sibling_higher"
"242","Aegista oculus","Aegista oculus","Aegista oculus","species",5264596,FALSE,"sibling_higher"
"243","Aegista proba","Aegista proba","Aegista proba","species",5264598,FALSE,"sibling_higher"
"244","Aegista goniosoma","Aegista goniosoma","Aegista goniosoma","species",5264576,FALSE,"sibling_higher"
"245","Aegista mikuriyensis","Aegista mikuriyensis","Aegista mikuriyensis","species",5264603,FALSE,"sibling_higher"
"246","Aegista pseudopatula","Aegista pseudopatula","Aegista pseudopatula","species",5264599,FALSE,"sibling_higher"
"247","Aegista","Aegista","Aegista","genus",284589,FALSE,"sibling_higher"
"248","Aegista tokunoshimana","Aegista tokunoshimana","Aegista tokunoshimana","species",5264572,FALSE,"sibling_higher"
"249","Aegista subchinensis","Aegista subchinensis","Aegista subchinensis","species",2879754,FALSE,"sibling_higher"
"250","Aegista tokyoensis","Aegista tokyoensis","Aegista tokyoensis","species",5264591,FALSE,"sibling_higher"
"251","Aegista tumida","Aegista tumida","Aegista tumida","species",5264583,FALSE,"sibling_higher"
"252","Aegista vermis","Aegista vermis","Aegista vermis","species",5264595,FALSE,"sibling_higher"
"253","Aegista cavicollis","Aegista cavicollis","Aegista cavicollis","species",5264580,FALSE,"sibling_higher"
"254","Aegista kandai","Aegista kandai","Aegista kandai","species",5264585,FALSE,"sibling_higher"
"255","Aegista trochula","Aegista trochula","Aegista trochula","species",5264584,FALSE,"sibling_higher"
"256","Aegista aemula","Aegista aemula","Aegista aemula","species",5264594,FALSE,"sibling_higher"
"257","Aegista deflexa","Aegista deflexa","Aegista deflexa","species",5264593,FALSE,"sibling_higher"
"258","Aegista elegantissima","Aegista elegantissima","Aegista elegantissima","species",386518,FALSE,"sibling_higher"
"259","Aegista horrida","Aegista horrida","Aegista horrida","species",5264579,FALSE,"sibling_higher"
"260","Aegista inexpectata","Aegista inexpectata","Aegista inexpectata","species",760988,FALSE,"sibling_higher"
"261","Aegista kiusiuensis","Aegista kiusiuensis","Aegista kiusiuensis","species",5264587,FALSE,"sibling_higher"
"262","Aegista tokunovaga","Aegista tokunovaga","Aegista tokunovaga","species",5264582,FALSE,"sibling_higher"
"263","Aegista lepidophora","Aegista lepidophora","Aegista lepidophora","species",5264602,FALSE,"sibling_higher"
"264","Aegista mackensii","Aegista mackensii","Aegista mackensii","species",2879756,FALSE,"sibling_higher"
"265","Aegista marginata","Aegista marginata","Aegista marginata","species",5264601,FALSE,"sibling_higher"
"266","Aegista oshimana","Aegista oshimana","Aegista oshimana","species",5264597,FALSE,"sibling_higher"
"267","Aegista pannosa","Aegista pannosa","Aegista pannosa","species",5264575,FALSE,"sibling_higher"
"268","Aegista scepasma","Aegista scepasma","Aegista scepasma","species",760990,FALSE,"sibling_higher"
"269","Aegista vulgivaga","Aegista vulgivaga","Aegista vulgivaga","species",752073,FALSE,"sibling_higher"
"270","Bradybaena similaris","Bradybaena similaris","Bradybaena similaris","species",569701,FALSE,NA
"271","Euhadra awaensis","Euhadra awaensis","Euhadra awaensis","species",739858,FALSE,NA
"272","Euhadra peliomphala","Euhadra peliomphala","Euhadra peliomphala","species",330216,FALSE,NA
"273","Landouria","Landouria","Landouria","genus",4155316,FALSE,"sibling_higher"
"274","Pseudobuliminus buliminus","Pseudobuliminus buliminus","Pseudobuliminus buliminus","species",5264571,FALSE,NA
"275","Pseudobuliminus certus","Pseudobuliminus certus","Pseudobuliminus certus","species",2879800,FALSE,NA
"276","Pseudobuliminus incertus","Pseudobuliminus incertus","Pseudobuliminus incertus","species",5264569,FALSE,NA
"277","Pseudobuliminus meiacoshimensis","Pseudobuliminus meiacoshimensis","Pseudobuliminus meiacoshimensis","species",2879804,FALSE,NA
"278","Pseudobuliminus piligerus","Pseudobuliminus piligerus","Pseudobuliminus piligerus","species",5264568,FALSE,NA
"279","Pseudobuliminus subcylindricus","Pseudobuliminus subcylindricus","Pseudobuliminus subcylindricus","species",5264570,FALSE,NA
"280","Pseudobuliminus turritus","Pseudobuliminus turritus","Pseudobuliminus turritus","species",5264567,FALSE,NA
