"","taxa_query","taxa","tol_sciname","rank","ott_id","is_synonym","flags"
"63","Phoxinus oxycephalus","Phoxinus oxycephalus","Phoxinus oxycephalus","species",581764,FALSE,NA
"64","Tribolodon sachalinensis","Tribolodon sachalinensis","Tribolodon sachalinensis","species",535864,FALSE,"extinct_inherited, incertae_sedis"
"65","Emmelichthystidus","Emmelichthystidus","Emmelichthys nitidus",NA,618726,FALSE,NA
"66","Pseudopentaceros richardsoni","Pseudopentaceros richardsoni","Pseudopentaceros richardsoni",NA,240484,FALSE,NA
"67","Rhabdosargusger","Rhabdosargusger","Rhabdosargus",NA,321037,FALSE,NA
"68","Tachysurus fulvidraco","Tachysurus fulvidraco","Tachysurus fulvidraco","species",119433,FALSE,NA
"69","Hexagrammos octogrammus xexagrammos agrammus","Hexagrammos octogrammus xexagrammos agrammus","Hexagrammos octogrammus x Hexagrammos agrammus",NA,4949194,FALSE,"hybrid"
"70","Pterygoplichthys disjunctivus","Pterygoplichthys disjunctivus","Pterygoplichthys disjunctivus","species",530439,FALSE,NA
"71","Pterygoplichthys pardalis","Pterygoplichthys pardalis","Pterygoplichthys pardalis","species",904626,FALSE,NA
"72","Cobitis lutheri","Cobitis lutheri","Cobitis lutheri","species",252322,FALSE,NA
"73","Silurus soldatovi","Silurus soldatovi","Silurus soldatovi","species",3621737,FALSE,NA
"74","Hasemaniana","Hasemaniana","Hasemania",NA,53084,FALSE,NA
"75","Helostoma temminkii","Helostoma temminkii","Helostoma temminkii",NA,754856,FALSE,NA
"76","Pethia conchonius","Pethia conchonius","Pethia conchonius","species",230509,FALSE,NA
"77","Coranthus polyacanthus","Coranthus polyacanthus","Coranthus polyacanthus",NA,3635092,FALSE,NA
"78","Apogon cathetogrammus","Apogon cathetogrammus","Apogon cathetogrammus",NA,309336,FALSE,"incertae_sedis"
"79","Apogonichthyoidesger","Apogonichthyoidesger","Apogonichthyoides",NA,303299,FALSE,NA
"80","Brephamia parvula","Brephamia parvula","Brephamia parvula",NA,3634885,FALSE,NA
"81","Glossamia aprion","Glossamia aprion","Glossamia aprion","species",589627,FALSE,NA
"82","Apogon ellioti","Apogon ellioti","Apogon ellioti",NA,883893,FALSE,"incertae_sedis"
"83","Ostorhinchusotes","Ostorhinchusotes","Ostorhinchus neotes",NA,3634960,FALSE,NA
"84","Ostorhinchusgrofasciatus","Ostorhinchusgrofasciatus","Ostorhinchus nigrofasciatus",NA,740266,FALSE,NA
"85","Apogontatus","Apogontatus","Apoglostatus",NA,4614241,FALSE,"barren, sibling_higher"
"86","Ostorhinchusvemfasciatus","Ostorhinchusvemfasciatus","Ostorhinchus novemfasciatus",NA,359179,FALSE,NA
"87","Apogon semilineatus","Apogon semilineatus","Apogon semilineatus","species",823206,FALSE,"incertae_sedis"
"88","Apogon affinis","Apogon affinis","Apogon affinis",NA,974576,FALSE,NA
"89","Sphaeramiamatoptera","Sphaeramiamatoptera","Sphaeramia nematoptera",NA,799234,FALSE,NA
"90","Vincentiavaehollandiae","Vincentiavaehollandiae","Vincentia novaehollandiae",NA,3635102,FALSE,NA
"91","Apogon hyalosoma","Apogon hyalosoma","Apogon hyalosoma","species",847597,FALSE,NA
"92","Boulengerochromis microlepis","Boulengerochromis microlepis","Boulengerochromis microlepis","species",500770,FALSE,NA
"93","Julidochromis transcriptus","Julidochromis transcriptus","Julidochromis transcriptus","species",552809,FALSE,NA
"94","Cyprichromis leptosoma","Cyprichromis leptosoma","Cyprichromis leptosoma","species",429285,FALSE,NA
"95","Rhamphochromis","Rhamphochromis","Rhamphochromis","genus",367024,FALSE,NA
"96","Labidochromis caeruleus","Labidochromis caeruleus","Labidochromis caeruleus","species",538111,FALSE,NA
"97","Dimidiochromis compressiceps","Dimidiochromis compressiceps","Dimidiochromis compressiceps","species",677707,FALSE,NA
"98","Haplochromis pyrrhocephalus","Haplochromis pyrrhocephalus","Haplochromis pyrrhocephalus","species",932289,FALSE,"sibling_higher"
"99","Haplochromis burtoni","Haplochromis burtoni","Haplochromis burtoni","species",710025,FALSE,"sibling_higher"
"100","Channa marulius","Channa marulius","Channa marulius","species",971001,FALSE,NA
"101","Kareius bicoloratus","Kareius bicoloratus","Kareius bicoloratus","species",191026,FALSE,NA
"102","Rhinogobius flumineus","Rhinogobius flumineus","Rhinogobius flumineus","species",518755,FALSE,NA
"103","Rhinogobius similis","Rhinogobius similis","Rhinogobius similis","species",43510,FALSE,NA
"104","Rhinogobiusgoyae","Rhinogobiusgoyae","Rhinogobius nagoyae",NA,3637083,FALSE,NA
"105","Rhinogobius ogasawaraensis","Rhinogobius ogasawaraensis","Rhinogobius ogasawaraensis","species",4948927,FALSE,NA
"106","Rhinogobius leavelli","Rhinogobius leavelli","Rhinogobius leavelli","species",3637062,FALSE,NA
"107","Rhinogobius virgigena","Rhinogobius virgigena","Rhinogobius virgigena","species",3637068,FALSE,NA
"108","Scriptaphyosemion geryi","Scriptaphyosemion geryi","Scriptaphyosemion geryi","species",1021141,FALSE,NA
"109","Aphyosemion bivittatum","Aphyosemion bivittatum","Aphyosemion bivittatum","species",444601,FALSE,NA
"110","Nematolebias whitei","Nematolebias whitei","Nematolebias whitei","species",669495,FALSE,NA
"111","Spectrolebias costai","Spectrolebias costai","Spectrolebias costai","species",1041015,FALSE,NA
"112","Austrolebias affinis","Austrolebias affinis","Austrolebias affinis","species",1018474,FALSE,NA
"113","Hypsolebias antenori","Hypsolebias antenori","Hypsolebias antenori","species",175360,FALSE,NA
"114","Leptolebias aureoguttatus","Leptolebias aureoguttatus","Leptolebias aureoguttatus","species",658188,FALSE,NA
"115","Leptolebias citrinipinnis","Leptolebias citrinipinnis","Leptolebias citrinipinnis","species",495270,FALSE,NA
"116","Leptolebias minimus","Leptolebias minimus","Leptolebias minimus",NA,658187,FALSE,NA
"117","Campellolebias dorsimaculatus","Campellolebias dorsimaculatus","Campellolebias dorsimaculatus","species",710151,FALSE,NA
"118","Maratecoara lacortei","Maratecoara lacortei","Maratecoara lacortei","species",449459,FALSE,NA
"119","Pituna poranga","Pituna poranga","Pituna poranga","species",449483,FALSE,NA
"120","Plesiolebias aruana","Plesiolebias aruana","Plesiolebias aruana","species",663827,FALSE,NA
"121","Papiliolebias bitteri","Papiliolebias bitteri","Papiliolebias bitteri","species",887294,FALSE,NA
"122","Austrofundulus limnaeus","Austrofundulus limnaeus","Austrofundulus limnaeus","species",495268,FALSE,NA
"123","Rachovia maculipinnis","Rachovia maculipinnis","Rachovia maculipinnis","species",663844,FALSE,NA
"124","Gnatholebias zonatus","Gnatholebias zonatus","Gnatholebias zonatus",NA,1018493,FALSE,NA
"125","Micromoema xiphophorus","Micromoema xiphophorus","Micromoema xiphophorus",NA,1018489,FALSE,NA
"126","Terranatos dolichopterus","Terranatos dolichopterus","Terranatos dolichopterus","species",663826,FALSE,NA
"127","Renova oscari","Renova oscari","Renova oscari","species",663823,FALSE,NA
"128","Pterolebias longipinnis","Pterolebias longipinnis","Pterolebias longipinnis","species",186588,FALSE,NA
"129","Pterolebias phasianus","Pterolebias phasianus","Pterolebias phasianus","species",186583,FALSE,NA
