"","taxa_query","found_taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","status","unacceptreason","is_synonym","flags","valid_authority","kingdom","class","order","family","genus","freshwater_only","terrestrial_only"
"26","Macridiscus melanaegis","Macridiscus aequilatera",NA,NA,NA,NA,258773,NA,"Macridiscus aequilatera",NA,NA,"Mollusca",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"27","Sepiella maindroni","Sepiella inermis",NA,NA,NA,NA,307142,NA,"Sepiella inermis",NA,NA,"Mollusca",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"28","Camaena","Camaena",NA,NA,NA,NA,394815,NA,"Camaena",NA,NA,"Mollusca",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"29","Satsuma myomphala","Satsuma myomphala",NA,NA,NA,NA,1008091,NA,"Satsuma myomphala",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"30","Satsuma sadamii","Satsuma sadamii",NA,NA,NA,NA,1008087,NA,"Satsuma sadamii",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"31","Satsuma eucosmia","Satsuma eucosmia",NA,NA,NA,NA,1008094,NA,"Satsuma eucosmia",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"32","Satsuma largillierti","Satsuma largillierti",NA,NA,NA,NA,1008088,NA,"Satsuma largillierti",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"33","Satsuma omoro","Satsuma omoro",NA,NA,NA,NA,95587,NA,"Satsuma omoro",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"34","Scapharca globosa","Scapharca globosa",NA,NA,NA,NA,245276,NA,"Scapharca globosa",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"35","Liotina semiclathratula","Liotina semiclathratula",NA,NA,NA,NA,281559,NA,"Liotina semiclathratula",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"36","Amphioctopus siamensiso","Amphioctopus siamensis",NA,NA,NA,NA,5505405,NA,"Amphioctopus siamensis",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"37","Neritina delestennei","Neritina delestennei",NA,NA,NA,NA,7501992,NA,"Neritina delestennei",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"38","Satsuma ferruginea","Satsuma ferruginea",NA,NA,NA,NA,208710,NA,"Satsuma ferruginea",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"39","Satsuma insignis","Satsuma insignis",NA,NA,NA,NA,540887,NA,"Satsuma insignis",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"40","Satsuma nux","Satsuma nux",NA,NA,NA,NA,540890,NA,"Satsuma nux",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"41","Satsuma","Satsuma",NA,NA,NA,NA,379594,NA,"Satsuma",NA,NA,"Mollusca",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"42","Tamanovalva limax","Tamanovalva limax",NA,NA,NA,NA,665610,NA,"Tamanovalva limax",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"43","Calliostoma akoya","Akoya akoya",NA,NA,NA,NA,993317,NA,"Akoya akoya",NA,NA,"Mollusca",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"44","Calliostoma shinagawaensis","Calliostoma shinagawaensis",NA,NA,NA,NA,249393,NA,"Calliostoma shinagawaensis",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"45","Roya eximia","Roya eximia",NA,NA,NA,NA,993311,NA,"Roya eximia",NA,NA,"Mollusca",NA,NA,FALSE,"incertae_sedis_inherited",NA,NA,NA,NA,NA,NA,NA,NA
"46","Diloma piperinus","Diloma piperinus",NA,NA,NA,NA,721820,NA,"Diloma piperinus",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"47","Rossiteria nuclea","Rossiteria nucleus",NA,NA,NA,NA,567716,NA,"Rossiteria nucleus",NA,NA,"Mollusca",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"48","Limnoperna fortunei","Limnoperna fortunei",NA,NA,NA,NA,94516,NA,"Limnoperna fortunei",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"49","Lunella smaragdus","Lunella smaragda",NA,NA,NA,NA,597326,NA,"Lunella smaragda",NA,NA,"Mollusca",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"50","Satsuma pilsbryi","Satsuma pilsbryi",NA,NA,NA,NA,71355,NA,"Satsuma pilsbryi",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"51","Satsuma auratibasis","Satsuma auratibasis",NA,NA,NA,NA,71349,NA,"Satsuma auratibasis",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"52","Satsuma huberi","Satsuma huberi",NA,NA,NA,NA,71348,NA,"Satsuma huberi",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"53","Satsuma hagiomontis","Satsuma hagiomontis",NA,NA,NA,NA,71356,NA,"Satsuma hagiomontis",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"54","Satsuma lini","Satsuma lini",NA,NA,NA,NA,540886,NA,"Satsuma lini",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"55","Satsuma polymorpha","Satsuma polymorpha",NA,NA,NA,NA,71357,NA,"Satsuma polymorpha",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"56","Blanfordia","Blanfordia",NA,NA,NA,NA,217568,NA,"Blanfordia",NA,NA,"Mollusca",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"57","Oncomelania hupensis","Oncomelania hupensis",NA,NA,NA,NA,686798,NA,"Oncomelania hupensis",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"58","Scapharca broughtonii","Anadara broughtonii",NA,NA,NA,NA,624178,NA,"Anadara broughtonii",NA,NA,"Mollusca",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"59","Eogonatus tinro","Gonatopsis okutanii",NA,NA,NA,NA,10470,NA,"Gonatopsis okutanii",NA,NA,"Mollusca",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"60","Scapharca kagoshimensis","Scapharca kagoshimensis",NA,NA,NA,NA,90060,NA,"Scapharca kagoshimensis",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"61","Trishoplita eumenes","Trishoplita eumenes",NA,NA,NA,NA,5264565,NA,"Trishoplita eumenes",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"62","Trishoplita cretacea","Trishoplita cretacea",NA,NA,NA,NA,5264566,NA,"Trishoplita cretacea",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"63","Trishoplita pallens","Trishoplita pallens",NA,NA,NA,NA,5264550,NA,"Trishoplita pallens",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"64","Argonauta nodosa","Argonauta nodosus",NA,NA,NA,NA,331558,NA,"Argonauta nodosus",NA,NA,"Mollusca",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"65","Chiroteuthis veranyi","Chiroteuthis veranii",NA,NA,NA,NA,906079,NA,"Chiroteuthis veranii",NA,NA,"Mollusca",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"66","Histioteuthis hoylei","Stigmatoteuthis hoylei",NA,NA,NA,NA,754417,NA,"Stigmatoteuthis hoylei",NA,NA,"Mollusca",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"67","Joubiniteuthis portieri","Joubiniteuthis portieri","species",NA,33076,2290283,158637,NA,"Joubiniteuthis portieri","Joubiniteuthis portieri","Joubiniteuthis portieri (Joubin, 1916)","Mollusca","nomen nudum",NA,FALSE,"",NA,"Animalia","Cephalopoda","Oegopsida","Joubiniteuthidae","Joubiniteuthis","0","0"
"68","Doryteuthis gahi","Doryteuthis gahi",NA,NA,NA,NA,241291,NA,"Doryteuthis gahi",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"69","Uroteuthis noctiluca","Uroteuthis noctiluca",NA,NA,NA,NA,402101,NA,"Uroteuthis noctiluca",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"70","Doryteuthis pleii","Doryteuthis pleii",NA,NA,NA,NA,241302,NA,"Doryteuthis pleii",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"71","Loliolus japonicus","Loliolus japonica",NA,NA,NA,NA,402105,NA,"Loliolus japonica",NA,NA,"Mollusca",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"72","Doryteuthis pealeii","Doryteuthis pealeii",NA,NA,NA,NA,241285,NA,"Doryteuthis pealeii",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"73","Theodoxus fluviatilis","Theodoxus fluviatilis",NA,NA,NA,NA,738426,NA,"Theodoxus fluviatilis",NA,NA,"Mollusca",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"74","Dentalium pilsbryi","Antalis pilsbryi",NA,NA,NA,NA,432510,NA,"Antalis pilsbryi",NA,NA,"Mollusca",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"75","Psilunio littoralis","Psilunio littoralis",NA,NA,NA,NA,4161701,NA,"Psilunio littoralis",NA,NA,"Mollusca",NA,NA,FALSE,"incertae_sedis_inherited",NA,NA,NA,NA,NA,NA,NA,NA
"76","Cafferia caffer","Cafferia caffer",NA,NA,NA,NA,2851494,NA,"Cafferia caffer",NA,NA,"Mollusca",NA,NA,FALSE,"incertae_sedis_inherited",NA,NA,NA,NA,NA,NA,NA,NA
"77","Erhaia jianouensis","Erhaia jianouensis",NA,NA,NA,NA,568394,NA,"Erhaia jianouensis",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"78","Tricula","Tricula",NA,NA,NA,NA,1057457,NA,"Tricula",NA,NA,"Mollusca",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"79","Gammatricula fujianensis","Gammatricula fujianensis",NA,NA,NA,NA,620534,NA,"Gammatricula fujianensis",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"80","Lacunopsis","Lacunopsis",NA,NA,NA,NA,568393,NA,"Lacunopsis",NA,NA,"Mollusca",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"81","Horatia sturmi","Horatia sturmi",NA,NA,NA,NA,770008,NA,"Horatia sturmi",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"82","Mercuria emiliana","Mercuria emiliana",NA,NA,NA,NA,620516,NA,"Mercuria emiliana",NA,NA,"Mollusca",NA,NA,FALSE,"unplaced_inherited",NA,NA,NA,NA,NA,NA,NA,NA
"83","Amnicola limosus","Lyogyrus limosus",NA,NA,NA,NA,1044239,NA,"Lyogyrus limosus",NA,NA,"Mollusca",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"84","Moria kikuchii","Moria kikuchii",NA,NA,NA,NA,47628,NA,"Moria kikuchii",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"85","Clithon spinosus","Clithon spinosum",NA,NA,NA,NA,198685,NA,"Clithon spinosum",NA,NA,"Mollusca",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"86","Melanoides tuberculata","Melanoides tuberculata",NA,NA,NA,NA,1016172,NA,"Melanoides tuberculata",NA,NA,"Mollusca",NA,NA,FALSE,"hidden_inherited",NA,NA,NA,NA,NA,NA,NA,NA
"87","Adriohydrobia gagatinella","Adriohydrobia gagatinella",NA,NA,NA,NA,990531,NA,"Adriohydrobia gagatinella",NA,NA,"Mollusca",NA,NA,FALSE,"unplaced_inherited",NA,NA,NA,NA,NA,NA,NA,NA
"88","Physa","Physa (genus in Opisthokonta)",NA,NA,NA,NA,9041,NA,"Physa (genus in Opisthokonta)",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"89","Bythiospeum","Bythiospeum",NA,NA,NA,NA,642123,NA,"Bythiospeum",NA,NA,"Mollusca",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"90","Moitessieria puteana","Spiralix puteana",NA,NA,NA,NA,4159152,NA,"Spiralix puteana",NA,NA,"Mollusca",NA,NA,TRUE,"extinct_inherited, incertae_sedis",NA,NA,NA,NA,NA,NA,NA,NA
"91","Benthoctopus","Benthoctopus",NA,NA,NA,NA,619091,NA,"Benthoctopus",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"92","Lithasia geniculata","Lithasia geniculata",NA,NA,NA,NA,381372,NA,"Lithasia geniculata",NA,NA,"Mollusca",NA,NA,FALSE,"hidden_inherited",NA,NA,NA,NA,NA,NA,NA,NA
"93","Leptoxis praerosa","Leptoxis praerosa",NA,NA,NA,NA,282045,NA,"Leptoxis praerosa",NA,NA,"Mollusca",NA,NA,FALSE,"hidden_inherited",NA,NA,NA,NA,NA,NA,NA,NA
"94","Crepidula immersa","Maoricrypta immersa",NA,NA,NA,NA,789322,NA,"Maoricrypta immersa",NA,NA,"Mollusca",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"95","Siphopatella walshi","Ergaea walshi",NA,NA,NA,NA,162612,NA,"Ergaea walshi",NA,NA,"Mollusca",NA,NA,TRUE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"96","Crucibulum spinosumeru","Crucibulum spinosum",NA,NA,NA,NA,2894358,NA,"Crucibulum spinosum",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"97","Echinolittorina galapagiensis","Echinolittorina lemniscata",NA,NA,NA,NA,423561,NA,"Echinolittorina lemniscata",NA,NA,"Mollusca",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"98","Echinolittorina trochoides","Echinolittorina pascua",NA,NA,NA,NA,182100,NA,"Echinolittorina pascua",NA,NA,"Mollusca",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"99","Echinolittorina riisei","Echinolittorina riisei",NA,NA,NA,NA,474116,NA,"Echinolittorina riisei",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"100","Pyramidula saxatilis","Pyramidula saxatilis",NA,NA,NA,NA,7499246,NA,"Pyramidula saxatilis",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"101","Pyramidula pusilla","Pyramidula pusilla",NA,NA,NA,NA,5973535,NA,"Pyramidula pusilla",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"102","Pyramidula","Pyramidula (genus in Opisthokonta)",NA,NA,NA,NA,648624,NA,"Pyramidula (genus in Opisthokonta)",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
