"","taxa_query","found_taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","status","unacceptreason","is_synonym","flags","valid_authority","kingdom","class","order","family","genus","freshwater_only","terrestrial_only"
"30","Macrochaetus","Macrochaetus",NA,NA,NA,NA,563702,NA,"Macrochaetus",NA,NA,"Rotifera",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"31","Lecane monostyla","Lecane monostyla",NA,NA,NA,NA,581951,NA,"Lecane monostyla",NA,NA,"Rotifera",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"32","Lecane hamata","Lecane hamata",NA,NA,NA,NA,429874,NA,"Lecane hamata",NA,NA,"Rotifera",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"33","Euchlanis dilatata","Euchlanis dilatata",NA,NA,NA,NA,1018357,NA,"Euchlanis dilatata",NA,NA,"Rotifera",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"34","Lecane cornuta","Lecane cornuta",NA,NA,NA,NA,429869,NA,"Lecane cornuta",NA,NA,"Rotifera",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"35","Lecane curvicornis","Lecane curvicornis",NA,NA,NA,NA,620080,NA,"Lecane curvicornis",NA,NA,"Rotifera",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"36","Lecane papuana","Lecane papuana",NA,NA,NA,NA,581949,NA,"Lecane papuana",NA,NA,"Rotifera",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"37","Lepadella ovalis","Lepadella ovalis",NA,NA,NA,NA,2941354,NA,"Lepadella ovalis",NA,NA,"Rotifera",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"38","Brachionus falcatus","Brachionus falcatus",NA,NA,NA,NA,700608,NA,"Brachionus falcatus",NA,NA,"Rotifera",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"39","Lecane hastata","Lecane hastata",NA,NA,NA,NA,701563,NA,"Lecane hastata",NA,NA,"Rotifera",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"40","Kellicottia bostoniensis","Kellicottia bostoniensis",NA,NA,NA,NA,672796,NA,"Kellicottia bostoniensis",NA,NA,"Rotifera",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"41","Brachionus calyciflorus","Brachionus calyciflorus",NA,NA,NA,NA,939320,NA,"Brachionus calyciflorus",NA,NA,"Rotifera",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"42","Ascomorpha ovalis","Ascomorpha ovalis",NA,NA,NA,NA,513186,NA,"Ascomorpha ovalis",NA,NA,"Rotifera",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"43","Trichocerca stylata","Trichocerca stylata",NA,NA,NA,NA,672791,NA,"Trichocerca stylata",NA,NA,"Rotifera",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"44","Brachionus bidentatus","Brachionus bidentatus",NA,NA,NA,NA,620076,NA,"Brachionus bidentatus",NA,NA,"Rotifera",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"45","Asplanchna sieboldi","Asplanchna sieboldi",NA,NA,NA,NA,251968,NA,"Asplanchna sieboldi",NA,NA,"Rotifera",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"46","Brachionus urceolaris","Brachionus urceolaris",NA,NA,NA,NA,169314,NA,"Brachionus urceolaris",NA,NA,"Rotifera",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"47","Plationus","Plationus",NA,NA,NA,NA,937966,NA,"Plationus",NA,NA,"Rotifera",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"48","Beauchampiella eudactylota","Beauchampiella eudactylota",NA,NA,NA,NA,738316,NA,"Beauchampiella eudactylota",NA,NA,"Rotifera",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"49","Lepadella patella","Lepadella patella",NA,NA,NA,NA,1018359,NA,"Lepadella patella",NA,NA,"Rotifera",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"50","Trichocerca longiseta","Trichocerca longiseta",NA,NA,NA,NA,352613,NA,"Trichocerca longiseta",NA,NA,"Rotifera",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"51","Filinia","Filinia",NA,NA,NA,NA,424467,NA,"Filinia",NA,NA,"Rotifera",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"52","Keratella morenoi","Keratella morenoi",NA,NA,NA,NA,620072,NA,"Keratella morenoi",NA,NA,"Rotifera",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"53","Keratella cochlearis","Keratella cochlearis",NA,NA,NA,NA,169319,NA,"Keratella cochlearis",NA,NA,"Rotifera",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"54","Brachionus variabilis","Brachionus variabilis",NA,NA,NA,NA,620078,NA,"Brachionus variabilis",NA,NA,"Rotifera",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"55","Lecane spinulifera","Lecane spinulifera",NA,NA,NA,NA,581939,NA,"Lecane spinulifera",NA,NA,"Rotifera",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
