"","taxa_query","found_taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","status","unacceptreason","is_synonym","flags","valid_authority","kingdom","class","order","family","genus","freshwater_only","terrestrial_only"
"1","Hippasteria spinosa","Hippasteria spinosa",NA,NA,NA,NA,658153,NA,"Hippasteria spinosa",NA,NA,"Echinodermata",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"2","Aphelenchoides xylocopae","Aphelenchoides xylocopae",NA,NA,NA,NA,651321,NA,"Aphelenchoides xylocopae",NA,NA,"Nematoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"3","Spirometra erinaceieuropaei","Spirometra erinaceieuropaei",NA,NA,NA,NA,883817,NA,"Spirometra erinaceieuropaei",NA,NA,"Platyhelminthes",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"4","Taenia asiatica","Taenia asiatica",NA,NA,NA,NA,614168,NA,"Taenia asiatica",NA,NA,"Platyhelminthes",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"5","Xiphinema","Xiphinema",NA,NA,NA,NA,165367,NA,"Xiphinema",NA,NA,"Nematoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"6","Mermis","Mermis",NA,NA,NA,NA,824125,NA,"Mermis",NA,NA,"Nematoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"7","Romanomermis","Romanomermis",NA,NA,NA,NA,18707,NA,"Romanomermis",NA,NA,"Nematoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"8","Echinostoma hortense","Echinostoma hortense",NA,NA,NA,NA,591822,NA,"Echinostoma hortense",NA,NA,"Platyhelminthes",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"9","Nippostrongylus brasiliensis","Nippostrongylus brasiliensis",NA,NA,NA,NA,369898,NA,"Nippostrongylus brasiliensis",NA,NA,"Nematoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"10","Sparganum","Sparganum (genus in Opisthokonta)",NA,NA,NA,NA,532091,NA,"Sparganum (genus in Opisthokonta)",NA,NA,"Platyhelminthes",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"11","Hydatigera taeniaeformis","Hydatigera taeniaeformis",NA,NA,NA,NA,635249,NA,"Hydatigera taeniaeformis",NA,NA,"Platyhelminthes",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"12","Hymenolepis diminuta","Hymenolepis diminuta",NA,NA,NA,NA,445201,NA,"Hymenolepis diminuta",NA,NA,"Platyhelminthes",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"13","Trichinella spiralis","Trichinella spiralis",NA,NA,NA,NA,567340,NA,"Trichinella spiralis",NA,NA,"Nematoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"14","Trichinella britovi","Trichinella britovi",NA,NA,NA,NA,898303,NA,"Trichinella britovi",NA,NA,"Nematoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"15","Trichinella nativa","Trichinella nativa",NA,NA,NA,NA,567341,NA,"Trichinella nativa",NA,NA,"Nematoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"16","Trichinella nelsoni","Trichinella nelsoni",NA,NA,NA,NA,567342,NA,"Trichinella nelsoni",NA,NA,"Nematoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"17","Trichinella pseudospiralis","Trichinella pseudospiralis",NA,NA,NA,NA,567343,NA,"Trichinella pseudospiralis",NA,NA,"Nematoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"18","Trichinella murrelli","Trichinella murrelli",NA,NA,NA,NA,348834,NA,"Trichinella murrelli",NA,NA,"Nematoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"19","Trichinella","Trichinella",NA,NA,NA,NA,567347,NA,"Trichinella",NA,NA,"Nematoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"20","Leptasterias alaskensis","Leptasterias alaskensis",NA,NA,NA,NA,553142,NA,"Leptasterias alaskensis",NA,NA,"Echinodermata",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"21","Leptasterias leptodoma","Leptasterias leptodoma",NA,NA,NA,NA,553152,NA,"Leptasterias leptodoma",NA,NA,"Echinodermata",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"22","Leptasterias camtschatica","Leptasterias camtschatica",NA,NA,NA,NA,553137,NA,"Leptasterias camtschatica",NA,NA,"Echinodermata",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"23","Arthurdendyus testaceus","Arthurdendyus testaceus",NA,NA,NA,NA,1001670,NA,"Arthurdendyus testaceus",NA,NA,"Platyhelminthes",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"24","Bipalium adventitium","Bipalium adventitium",NA,NA,NA,NA,918801,NA,"Bipalium adventitium",NA,NA,"Platyhelminthes",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"25","Bipalium","Bipalium",NA,NA,NA,NA,619666,NA,"Bipalium",NA,NA,"Platyhelminthes",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"26","Dugesia ryukyuensis","Dugesia ryukyuensis",NA,NA,NA,NA,573805,NA,"Dugesia ryukyuensis",NA,NA,"Platyhelminthes",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"27","Dendrocoelum lacteum","Dendrocoelum lacteum",NA,NA,NA,NA,219243,NA,"Dendrocoelum lacteum",NA,NA,"Platyhelminthes",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"28","Girardia tigrina","Girardia tigrina",NA,NA,NA,NA,101228,NA,"Girardia tigrina",NA,NA,"Platyhelminthes",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"29","Neppia montana","Neppia montana",NA,NA,NA,NA,1048965,NA,"Neppia montana",NA,NA,"Platyhelminthes",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"30","Platydemus manokwari","Platydemus manokwari",NA,NA,NA,NA,1048970,NA,"Platydemus manokwari",NA,NA,"Platyhelminthes",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"31","Artioposthia","Artioposthia",NA,NA,NA,NA,170385,NA,"Artioposthia",NA,NA,"Platyhelminthes",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"32","Echinaster paucispinus","Echinaster paucispinus",NA,NA,NA,NA,3656052,NA,"Echinaster paucispinus",NA,NA,"Echinodermata",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"33","Echinococcus canadensis","Echinococcus canadensis",NA,NA,NA,NA,787335,NA,"Echinococcus canadensis",NA,NA,"Platyhelminthes",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"34","Heliaster helianthoides","Heliaster helianthoides",NA,NA,NA,NA,781477,NA,"Heliaster helianthoides",NA,NA,"Echinodermata",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"35","Anatrichosoma haycocki","Anatrichosoma haycocki",NA,NA,NA,NA,14737,NA,"Anatrichosoma haycocki",NA,NA,"Nematoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"36","Capillaria gastrica","Capillaria gastrica",NA,NA,NA,NA,722814,NA,"Capillaria gastrica",NA,NA,"Nematoda",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"37","Fasciola gigantica","Fasciola gigantica",NA,NA,NA,NA,351673,NA,"Fasciola gigantica",NA,NA,"Platyhelminthes",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"38","Fasciola hepatica","Fasciola hepatica",NA,NA,NA,NA,194953,NA,"Fasciola hepatica",NA,NA,"Platyhelminthes",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"39","Toxocara canis","Toxocara canis",NA,NA,NA,NA,870349,NA,"Toxocara canis",NA,NA,"Nematoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"40","Toxocara cati","Toxocara cati",NA,NA,NA,NA,870344,NA,"Toxocara cati",NA,NA,"Nematoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"41","Toxocara malaysiensis","Toxocara malaysiensis",NA,NA,NA,NA,277184,NA,"Toxocara malaysiensis",NA,NA,"Nematoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"42","Toxocara vitulorum","Toxocara vitulorum",NA,NA,NA,NA,69811,NA,"Toxocara vitulorum",NA,NA,"Nematoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"43","Toxascaris leonina","Toxascaris leonina",NA,NA,NA,NA,396917,NA,"Toxascaris leonina",NA,NA,"Nematoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"44","Xiphinema americanum","Xiphinema americanum",NA,NA,NA,NA,224029,NA,"Xiphinema americanum",NA,NA,"Nematoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
