query,family,ottid_species,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type
Macrotrachela ehrenbergi,Philodinidae,570855,134913,Philodinidae,"Ehrenberg, 1838",accepted,NA,Family,134913,Philodinidae,"Ehrenberg, 1838",17968,Animalia,Rotifera,Eurotatoria,NA,NA,1,1,1,1,NA,exact
Macrotrachela multispinosa,Philodinidae,267236,134913,Philodinidae,"Ehrenberg, 1838",accepted,NA,Family,134913,Philodinidae,"Ehrenberg, 1838",17968,Animalia,Rotifera,Eurotatoria,NA,NA,1,1,1,1,NA,exact
Philodina acuticornis,Philodinidae,831317,134913,Philodinidae,"Ehrenberg, 1838",accepted,NA,Family,134913,Philodinidae,"Ehrenberg, 1838",17968,Animalia,Rotifera,Eurotatoria,NA,NA,1,1,1,1,NA,exact
Philodina duplicalcar,Philodinidae,726737,134913,Philodinidae,"Ehrenberg, 1838",accepted,NA,Family,134913,Philodinidae,"Ehrenberg, 1838",17968,Animalia,Rotifera,Eurotatoria,NA,NA,1,1,1,1,NA,exact
Macrotrachela latior,Philodinidae,377601,134913,Philodinidae,"Ehrenberg, 1838",accepted,NA,Family,134913,Philodinidae,"Ehrenberg, 1838",17968,Animalia,Rotifera,Eurotatoria,NA,NA,1,1,1,1,NA,exact
Pleuretra lineata,Philodinidae,790553,134913,Philodinidae,"Ehrenberg, 1838",accepted,NA,Family,134913,Philodinidae,"Ehrenberg, 1838",17968,Animalia,Rotifera,Eurotatoria,NA,NA,1,1,1,1,NA,exact
Thouarella grasshoffi,Primnoidae,736572,125278,Primnoidae,"Milne Edwards, 1857",accepted,NA,Family,125278,Primnoidae,"Milne Edwards, 1857",411557,Animalia,Cnidaria,Anthozoa,Alcyonacea,NA,1,1,NA,NA,NA,exact
Oculicosa,Lycosidae,NA,150471,Lycosidae,"Sundevall, 1833",accepted,NA,Family,150471,Lycosidae,"Sundevall, 1833",150467,Animalia,Arthropoda,Arachnida,Araneae,NA,1,NA,NA,1,NA,exact
Semperella schulzei,Pheronematidae,154403,131685,Pheronematidae,"Gray, 1870",accepted,NA,Family,131685,Pheronematidae,"Gray, 1870",160632,Animalia,Porifera,Hexactinellida,Amphidiscosida,NA,1,0,0,0,0,exact
Amphicaryon earnesti,Prayidae,945660,135340,Prayidae,"Kölliker, 1853",accepted,NA,Family,135340,Prayidae,"Kölliker, 1853",135333,Animalia,Cnidaria,Hydrozoa,Siphonophorae,NA,1,NA,0,0,0,exact
