"query","species"
"Urolophus maculatus","Urobatis maculatus"
"Urotrygon aspidura","Urotrygon aspidura"
"Urotrygon chilensis","Urotrygon chilensis"
"Urotrygon munda","Urotrygon munda"
"Urotrygon rogersi","Urotrygon rogersi"
"Hypanus dipterurus","Hypanus dipterurus"
"Dasyatis dipterura","Hypanus dipterurus"
"Hypanus longus","Hypanus longus"
"Dasyatis longa","Hypanus longus"
"Pteroplatytrygon violacea","Pteroplatytrygon violacea"
"Gymnura marmorata","Gymnura marmorata"
"Gymnura crebripunctata","Gymnura crebripunctata"
"Aetobatus laticeps","Aetobatus laticeps"
"Aetobatus laticeps","Aetobatus narinari"
"Aetobatus narinari","Aetobatus narinari"
"Aetomylaeus asperrimus","Aetomylaeus asperrimus"
"Myliobatis californica","Myliobatis californica"
"Myliobatis longirostris","Myliobatis longirostris"
"Mobula birostris","Mobula birostris"
"Mobula mobular","Mobula mobular"
"Mobula japonica","Mobula japanica"
"Mobula thurstoni","Mobula thurstoni"
"Mobula japanica","Mobula japanica"
"Mobula munkiana","Mobula munkiana"
"Mobula tarapacana","Mobula tarapacana"
"Mobula lucasana","Mobula thurstoni"
"Rhinoptera steindachneri","Rhinoptera steindachneri"
"Acipenser medirostris","Acipenser medirostris"
"Acipenser transmontanus","Acipenser transmontanus"
"Elops affinis","Elops affinis"
"Albula gilberti","Albula gilberti"
"Albula vulpes","Albula vulpes"
"Albula pacifica","Albula pacifica"
"Aldrovandia oleosa","Aldrovandia oleosa"
"Halosaurus attenuatus","Halosaurus attenuatus"
"Notacanthus chemnitzii","Notacanthus chemnitzii"
"Polyacanthonotus challengeri","Polyacanthonotus challengeri"
"Thalassenchelys coheni","Thalassenchelys coheni"
"Thalassenchelys coheni","Congriscus megastomus"
"Congriscus megastomus","Congriscus megastomus"
"Chlopsis apterus","Chlopsis apterus"
"Chlopsis kazuko","Chlopsis kazuko"
"Anarchias galapagensis","Anarchias galapagensis"
"Echidna nebulosa","Echidna nebulosa"
"Echidna nocturna","Echidna nocturna"
"Enchelycore octaviana","Enchelycore octaviana"
"Gymnothorax castaneus","Gymnothorax castaneus"
"Gymnothorax dovii","Gymnothorax dovii"
"Gymnothorax equatorialis","Gymnothorax equatorialis"
"Gymnothorax flavimarginatus","Gymnothorax flavimarginatus"
"Gymnothorax mordax","Gymnothorax mordax"
"Gymnothorax panamensis","Gymnothorax panamensis"
"Gymnothorax phalarus","Gymnothorax phalarus"
"Gymnothorax verrilli","Gymnothorax verrilli"
"Muraena argus","Muraena argus"
"Muraena clepsydra","Muraena clepsydra"
"Muraena lentiginosa","Muraena lentiginosa"
"Scuticaria tigrina","Scuticaria tigrina"
"Uropterygius macrocephalus","Uropterygius macrocephalus"
"Uropterygius polystictus","Uropterygius polystictus"
"Uropterygius versutus","Uropterygius versutus"
"Histiobranchus bathybius","Histiobranchus bathybius"
"Synaphobranchus affinis","Synaphobranchus affinis"
"Synaphobranchus brevidorsalis","Synaphobranchus brevidorsalis"
"Bascanichthys bascanoides","Bascanichthys bascanoides"
"Callechelys cliffi","Callechelys cliffi"
"Callechelys eristigma","Callechelys eristigma"
"Ethadophis merenda","Ethadophis merenda"
"Atractoscion nobilis","Atractoscion nobilis"
"Herpetoichthys fossatus","Herpetoichthys fossatus"
"Ichthyapus selachops","Ichthyapus selachops"
"Letharchus rosenblatti","Letharchus rosenblatti"
"Myrichthys tigrinus","Myrichthys tigrinus"
"Myrophis vafer","Myrophis vafer"
"Ophichthus triserialis","Ophichthus triserialis"
"Ophichthus zophochir","Ophichthus zophochir"
"Paraletharchus pacificus","Paraletharchus pacificus"
"Phaenomonas pinnata","Phaenomonas pinnata"
"Quassiremus nothochir","Quassiremus nothochir"
"Scytalichthys miurus","Scytalichthys miurus"
"Derichthys serpentinus","Derichthys serpentinus"
"Cynoponticus coniceps","Cynoponticus coniceps"
"Avocettina bowersii","Avocettina bowersii"
"Avocettina infans","Avocettina infans"
"Nemichthys larseni","Nemichthys larseni"
"Nemichthys scolopaceus","Nemichthys scolopaceus"
"Ariosoma gilberti","Ariosoma gilberti"
"Bathycongrus macrurus","Bathycongrus macrurus"
"Bathycongrus varidens","Bathycongrus varidens"
