taxa_query,phylum,class,order,family,freshwater_only,terrestrial_only,genus_split,taxa,rank,worms_aphiaid,bold_id,gbif_key,ott_id,worms_sciname,tol_sciname,bold_taxon,gbif_sciname,subclass,genus,species,wormsid_phylum,wormsid_class,wormsid_subclass,wormsid_order,wormsid_family,wormsid_genus,wormsid_species,authority,is_synonym,flags,valid_name,status,aphia_id
Schistonchus guangzhouensis,Nematoda,NA,NA,NA,NA,1,Schistonchus,Schistonchus guangzhouensis,species,NA,198806,10761961,628799,NA,Schistonchus guangzhouensis,Schistonchus guangzhouensis,Schistonchus guangzhouensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,accepted,1584950
Bursaphelenchus doui,Nematoda,NA,NA,NA,0,1,Bursaphelenchus,Bursaphelenchus doui,species,NA,198959,7021906,543803,NA,Bursaphelenchus doui,Bursaphelenchus doui,Bursaphelenchus doui,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1544445
Rhabdias okuensis,Nematoda,NA,NA,NA,1,1,Rhabdias,Rhabdias okuensis,species,NA,199095,8759937,676301,NA,Rhabdias okuensis,Rhabdias okuensis,Rhabdias okuensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Rhabdias,accepted,1442630
Trichuris suis,Nematoda,NA,NA,NA,NA,1,Trichuris,Trichuris suis,species,NA,493836,4554216,912976,NA,Trichuris suis,Trichuris suis,"Trichuris suis (Schrank, 1788)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Trichuris,accepted,1508731
Rhabdias mariauxi,Nematoda,NA,NA,NA,1,1,Rhabdias,Rhabdias mariauxi,species,NA,900114,7022196,193907,NA,Rhabdias mariauxi,Rhabdias mariauxi,Rhabdias mariauxi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Rhabdias,accepted,1442630
Rhabdias rhampholeonis,Nematoda,NA,NA,NA,1,1,Rhabdias,Rhabdias rhampholeonis,species,NA,900115,7022247,717323,NA,Rhabdias rhampholeonis,Rhabdias rhampholeonis,Rhabdias rhampholeonis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Rhabdias,accepted,1442630
Trichuris arvicolae,Nematoda,NA,NA,NA,NA,1,Trichuris,Trichuris arvicolae,NA,NA,NA,NA,812986,NA,Trichuris arvicolae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Trichuris,accepted,1508731
Trichuris skrjabini,Nematoda,NA,NA,NA,NA,1,Trichuris,Trichuris skrjabini,species,NA,896179,4554227,1082545,NA,Trichuris skrjabini,Trichuris skrjabini,"Trichuris skrjabini Baskakov, 1924",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Trichuris,accepted,1508731
Trichuris discolor,Nematoda,NA,NA,NA,NA,1,Trichuris,Trichuris discolor,species,NA,668437,2283367,727492,NA,Trichuris discolor,Trichuris discolor,"Trichuris discolor (Linstow, 1906)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Trichuris,accepted,1508731
Trichuris ovis,Nematoda,NA,NA,NA,NA,1,Trichuris,Trichuris ovis,species,NA,668285,4554213,510849,NA,Trichuris ovis,Trichuris ovis,"Trichuris ovis (Abildgaard, 1795)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Trichuris,accepted,1508731
Trichuris pardinasi,Nematoda,NA,NA,NA,NA,1,Trichuris,Trichuris pardinasi,species,NA,897173,7019970,5003718,NA,Trichuris pardinasi,Trichuris pardinasi,"Trichuris pardinasi Robles, Navone & Notarnicola, 2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Trichuris,accepted,1508731
Trichurisvonae,Nematoda,NA,NA,NA,NA,1,Trichuris,Trichurisvonae,NA,NA,NA,NA,5691086,NA,Trichuris navonae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Trichuris,accepted,1508731
Xiphinema pachtaicum,Nematoda,NA,NA,NA,0,1,Xiphinema,Xiphinema pachtaicum,species,NA,169426,4554504,30531,NA,Xiphinema pachtaicum,Xiphinema pachtaicum,"Xiphinema pachtaicum (Tulaganov, 1938)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Xiphinema,accepted,583061
Xiphinema index,Nematoda,NA,NA,NA,0,1,Xiphinema,Xiphinema index,species,NA,733886,4554493,165364,NA,Xiphinema index,Xiphinema index,"Xiphinema index Thorne & Allen, 1950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Xiphinema,accepted,583061
Acrostichus puri,Nematoda,NA,NA,NA,1,1,Acrostichus,Acrostichus puri,species,NA,667265,NA,461231,NA,Acrostichus puri,Acrostichus puri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Acrostichus,accepted,1294005
Haematoloechus longiplexus,Platyhelminthes,NA,NA,NA,1,1,Haematoloechus,Haematoloechus longiplexus,species,NA,759856,2504356,1087112,NA,Haematoloechus longiplexus,Haematoloechus longiplexus,"Haematoloechus longiplexus Stafford, 1902",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Haematoloechus,accepted,1384177
Haematoloechus complexus,Platyhelminthes,NA,NA,NA,1,1,Haematoloechus,Haematoloechus complexus,species,NA,279600,NA,510335,NA,Haematoloechus complexus,Haematoloechus complexus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Haematoloechus,accepted,1384177
Haematoloechus coloradensis,Platyhelminthes,NA,NA,NA,1,1,Haematoloechus,Haematoloechus coloradensis,species,NA,279598,NA,510336,NA,Haematoloechus coloradensis,Haematoloechus coloradensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Haematoloechus,accepted,1384177
Haematoloechus illimis,Platyhelminthes,NA,NA,NA,1,1,Haematoloechus,Haematoloechus illimis,species,NA,171024,NA,260228,NA,Haematoloechus illimis,Haematoloechus illimis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Haematoloechus,accepted,1384177
Haematoloechus macrorchis,Platyhelminthes,NA,NA,NA,1,1,Haematoloechus,Haematoloechus macrorchis,species,NA,279599,8901393,790534,NA,Haematoloechus macrorchis,Haematoloechus macrorchis,"Haematoloechus macrorchis Caballero y C., 1941",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Haematoloechus,accepted,1384177
Haematoloechus parviplexus,Platyhelminthes,NA,NA,NA,1,1,Haematoloechus,Haematoloechus parviplexus,species,NA,171022,2504353,1084802,NA,Haematoloechus parviplexus,Haematoloechus parviplexus,Haematoloechus parviplexus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Haematoloechus,accepted,1384177
Haematoloechus danbrooksi,Platyhelminthes,NA,NA,NA,1,1,Haematoloechus,Haematoloechus danbrooksi,species,NA,171025,NA,1084798,NA,Haematoloechus danbrooksi,Haematoloechus danbrooksi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Haematoloechus,accepted,1384177
Labiostomum talkeetnaeuris,Nematoda,NA,NA,NA,NA,1,Labiostomum,Labiostomum talkeetnaeuris,species,NA,897647,NA,354445,NA,Labiostomum talkeetnaeuris,Labiostomum talkeetnaeuris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Labiostomum,accepted,1585299
Labiostomum akhtari,Nematoda,NA,NA,NA,NA,1,Labiostomum,Labiostomum akhtari,NA,NA,NA,NA,7675295,NA,Labiostomum akhtari,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Labiostomum,accepted,1585299
Labiostomum rauschi,Nematoda,NA,NA,NA,NA,1,Labiostomum,Labiostomum rauschi,species,NA,897649,NA,354448,NA,Labiostomum rauschi,Labiostomum rauschi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Labiostomum,accepted,1585299
Bursaphelenchus corneolus,Nematoda,NA,NA,NA,0,1,Bursaphelenchus,Bursaphelenchus corneolus,species,NA,649796,7021881,229286,NA,Bursaphelenchus corneolus,Bursaphelenchus corneolus,Bursaphelenchus corneolus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1544445
Bursaphelenchus arthuroides,Nematoda,NA,NA,NA,0,1,Bursaphelenchus,Bursaphelenchus arthuroides,NA,NA,NA,NA,65493,NA,Bursaphelenchus arthuroides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1544445
Bursaphelenchus paraparvispicularis,Nematoda,NA,NA,NA,0,1,Bursaphelenchus,Bursaphelenchus paraparvispicularis,species,NA,667452,9934680,482457,NA,Bursaphelenchus paraparvispicularis,Bursaphelenchus paraparvispicularis,Bursaphelenchus paraparvispicularis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1544445
Bursaphelenchus braaschae,Nematoda,NA,NA,NA,0,1,Bursaphelenchus,Bursaphelenchus braaschae,species,NA,667453,10271641,510990,NA,Bursaphelenchus braaschae,Bursaphelenchus braaschae,Bursaphelenchus braaschae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1544445
Bursaphelenchus africanus,Nematoda,NA,NA,NA,0,1,Bursaphelenchus,Bursaphelenchus africanus,species,NA,670977,10167045,261016,NA,Bursaphelenchus africanus,Bursaphelenchus africanus,Bursaphelenchus africanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1544445
Spauligodoncolauensis,Nematoda,NA,NA,NA,NA,1,Spauligodon,Spauligodoncolauensis,NA,NA,NA,NA,342293,NA,Spauligodon nicolauensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Spauligodon,accepted,1585284
Gnathostomapponicum,Nematoda,NA,NA,NA,1,1,Gnathostoma,Gnathostomapponicum,NA,NA,NA,NA,196483,NA,Gnathostoma nipponicum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Gnathostoma,accepted,1542770
Xiphinema opisthohysterum,Nematoda,NA,NA,NA,0,1,Xiphinema,Xiphinema opisthohysterum,species,NA,896181,4554444,654279,NA,Xiphinema opisthohysterum,Xiphinema opisthohysterum,"Xiphinema opisthohysterum Siddiqi, 1961",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Xiphinema,accepted,583061
Xiphinema santos,Nematoda,NA,NA,NA,0,1,Xiphinema,Xiphinema santos,species,NA,896182,4554453,981309,NA,Xiphinema santos,Xiphinema santos,"Xiphinema santos Lamberti, Lemos, Agostinelli & D'Addabo, 1993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Xiphinema,accepted,583061
Xiphinema parapachydermum,Nematoda,NA,NA,NA,0,1,Xiphinema,Xiphinema parapachydermum,species,NA,896183,NA,229565,NA,Xiphinema parapachydermum,Xiphinema parapachydermum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Xiphinema,accepted,583061
Xiphinema incertum,Nematoda,NA,NA,NA,0,1,Xiphinema,Xiphinema incertum,species,NA,896184,4554443,28574,NA,Xiphinema incertum,Xiphinema incertum,"Xiphinema incertum Lamberti et al., 1983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Xiphinema,accepted,583061
Xiphinema parabrevicolle,Nematoda,NA,NA,NA,0,1,Xiphinema,Xiphinema parabrevicolle,species,NA,896185,NA,654277,NA,Xiphinema parabrevicolle,Xiphinema parabrevicolle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Xiphinema,accepted,583061
Onchocerca ramachandrini,Nematoda,NA,NA,NA,1,1,Onchocerca,Onchocerca ramachandrini,species,NA,900113,7031754,415705,NA,Onchocerca ramachandrini,Onchocerca ramachandrini,Onchocerca ramachandrini,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,accepted,1585475
Onchocerca armillata,Nematoda,NA,NA,NA,1,1,Onchocerca,Onchocerca armillata,species,NA,896668,NA,780553,NA,Onchocerca armillata,Onchocerca armillata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,accepted,1585475
Onchocerca boehmi,Nematoda,NA,NA,NA,1,1,Onchocerca,Onchocerca boehmi,species,NA,896669,NA,6163826,NA,Onchocerca boehmi,Onchocerca boehmi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,accepted,1585475
Onchocerca lienalis,Nematoda,NA,NA,NA,1,1,Onchocerca,Onchocerca lienalis,species,NA,896671,4557111,233821,NA,Onchocerca lienalis,Onchocerca lienalis,"Onchocerca lienalis (Stiles, 1892)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,accepted,1585475
Xiphinema brevicollum,Nematoda,NA,NA,NA,0,1,Xiphinema,Xiphinema brevicollum,species,NA,897752,7019403,527591,NA,Xiphinema brevicollum,Xiphinema brevicollum,Xiphinema brevicollum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Xiphinema,accepted,583061
Onchocerca fasciata,Nematoda,NA,NA,NA,1,1,Onchocerca,Onchocerca fasciata,species,NA,896911,7031752,415704,NA,Onchocerca fasciata,Onchocerca fasciata,Onchocerca fasciata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,accepted,1585475
Trichuris rhinopiptheroxella,Nematoda,NA,NA,NA,NA,1,Trichuris,Trichuris rhinopiptheroxella,species,NA,896465,NA,7076268,NA,Trichuris rhinopiptheroxella,Trichuris rhinopiptheroxella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Trichuris,accepted,1508731
Geoplana piratininga,Platyhelminthes,NA,NA,NA,0,1,Geoplana,Geoplana piratininga,species,NA,906333,10186743,7504558,NA,Geoplana piratininga,Geoplana piratininga,"Geoplana piratininga Ana Laura Almeida, Fernando P.L.Marques & Fernando Carbayo, 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,sibling_higher,Geoplana,accepted,414976
Geoplana cananeia,Platyhelminthes,NA,NA,NA,0,1,Geoplana,Geoplana cananeia,species,NA,906328,10036114,7504552,NA,Geoplana cananeia,Geoplana cananeia,"Geoplana cananeia Ana Laura Almeida, Fernando P.L.Marques & Fernando Carbayo, 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,sibling_higher,Geoplana,accepted,414976
Geoplana boraceia,Platyhelminthes,NA,NA,NA,0,1,Geoplana,Geoplana boraceia,species,NA,906327,10280138,7504550,NA,Geoplana boraceia,Geoplana boraceia,"Geoplana boraceia Ana Laura Almeida, Fernando P.L.Marques & Fernando Carbayo, 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,sibling_higher,Geoplana,accepted,414976
Geoplana apua,Platyhelminthes,NA,NA,NA,0,1,Geoplana,Geoplana apua,species,NA,906326,10496829,7504549,NA,Geoplana apua,Geoplana apua,"Geoplana apua Ana Laura Almeida, Fernando P.L.Marques & Fernando Carbayo, 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,sibling_higher,Geoplana,accepted,414976
Geoplana iporanga,Platyhelminthes,NA,NA,NA,0,1,Geoplana,Geoplana iporanga,species,NA,906331,10008045,7504555,NA,Geoplana iporanga,Geoplana iporanga,"Geoplana iporanga Ana Laura Almeida, Fernando P.L.Marques & Fernando Carbayo, 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,sibling_higher,Geoplana,accepted,414976
Geoplana ibiuna,Platyhelminthes,NA,NA,NA,0,1,Geoplana,Geoplana ibiuna,species,NA,906330,10648432,7504554,NA,Geoplana ibiuna,Geoplana ibiuna,"Geoplana ibiuna Ana Laura Almeida, Fernando P.L.Marques & Fernando Carbayo, 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,sibling_higher,Geoplana,accepted,414976
Geoplana paranapiacaba,Platyhelminthes,NA,NA,NA,0,1,Geoplana,Geoplana paranapiacaba,species,NA,906332,10431425,7504557,NA,Geoplana paranapiacaba,Geoplana paranapiacaba,"Geoplana paranapiacaba Ana Laura Almeida, Fernando P.L.Marques & Fernando Carbayo, 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,sibling_higher,Geoplana,accepted,414976
Geoplana caraguatatuba,Platyhelminthes,NA,NA,NA,0,1,Geoplana,Geoplana caraguatatuba,species,NA,906329,10251938,7504553,NA,Geoplana caraguatatuba,Geoplana caraguatatuba,"Geoplana caraguatatuba Ana Laura Almeida, Fernando P.L.Marques & Fernando Carbayo, 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,sibling_higher,Geoplana,accepted,414976
Bursaphelenchus antoniae,Nematoda,NA,NA,NA,0,1,Bursaphelenchus,Bursaphelenchus antoniae,species,NA,897037,7021932,284540,NA,Bursaphelenchus antoniae,Bursaphelenchus antoniae,Bursaphelenchus antoniae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1544445
