taxa_query,taxa,tol_sciname,genus_split,rank,ott_id,is_synonym,flags,valid_name,status,terrestrial_only,freshwater_only,aphia_id
Bulimulus unifasciatus,Bulimulus unifasciatus,Bulimulus unifasciatus,Bulimulus,species,421460,FALSE,NA,Bulimulus,accepted,1,0,861633
Bulimulussioticus,Bulimulussioticus,Bulimulus nesioticus,Bulimulus,NA,421446,FALSE,NA,Bulimulus,accepted,1,0,861633
Bulimulus sculpturatus,Bulimulus sculpturatus,Bulimulus sculpturatus,Bulimulus,species,421445,FALSE,NA,Bulimulus,accepted,1,0,861633
Bulimulus darwini,Bulimulus darwini,Bulimulus darwini,Bulimulus,species,1026135,FALSE,NA,Bulimulus,accepted,1,0,861633
Bulimulus wolfi,Bulimulus wolfi,Bulimulus wolfi,Bulimulus,species,903719,FALSE,NA,Bulimulus,accepted,1,0,861633
Bulimulus akamatus,Bulimulus akamatus,Bulimulus akamatus,Bulimulus,species,903718,FALSE,NA,Bulimulus,accepted,1,0,861633
Bulimulus snodgrassi,Bulimulus snodgrassi,Bulimulus snodgrassi,Bulimulus,species,903727,FALSE,NA,Bulimulus,accepted,1,0,861633
Bulimulus cavagnaroi,Bulimulus cavagnaroi,Bulimulus cavagnaroi,Bulimulus,species,903726,FALSE,NA,Bulimulus,accepted,1,0,861633
Bulimulus blombergi,Bulimulus blombergi,Bulimulus blombergi,Bulimulus,species,378584,FALSE,NA,Bulimulus,accepted,1,0,861633
Bulimulus tortuganus,Bulimulus tortuganus,Bulimulus tortuganus,Bulimulus,species,378585,FALSE,NA,Bulimulus,accepted,1,0,861633
Bulimulus perrus,Bulimulus perrus,Bulimulus perrus,Bulimulus,species,378586,FALSE,NA,Bulimulus,accepted,1,0,861633
Bulimulus tanneri,Bulimulus tanneri,Bulimulus tanneri,Bulimulus,species,378587,FALSE,NA,Bulimulus,accepted,1,0,861633
Bulimulus pinzonensis,Bulimulus pinzonensis,Bulimulus pinzonensis,Bulimulus,species,623472,FALSE,NA,Bulimulus,accepted,1,0,861633
Bulimulus pinzonopsis,Bulimulus pinzonopsis,Bulimulus pinzonopsis,Bulimulus,species,954751,FALSE,NA,Bulimulus,accepted,1,0,861633
Chilostoma ichthyomma,Chilostoma ichthyomma,Chilostoma ichthyomma,Chilostoma,species,864849,FALSE,NA,Chilostoma,accepted,1,0,871085
Diplommatina ringens,Diplommatina ringens,Diplommatina ringens,Diplommatina,species,935384,FALSE,NA,Diplommatina,accepted,1,0,818217
Bythinella rufescens,Bythinella rufescens,Bythinella rufescens,Bythinella,species,993006,FALSE,NA,Bythinella,accepted,0,1,716161
Semisulcospira cancellata,Semisulcospira cancellata,Semisulcospira cancellata,Semisulcospira,species,451798,FALSE,hidden_inherited,Semisulcospira,accepted,0,1,741120
Semisulcospira aubryana,Semisulcospira aubryana,Semisulcospira aubryana,Semisulcospira,species,521886,FALSE,hidden_inherited,Semisulcospira,accepted,0,1,741120
Limax minimus,Limax minimus,Limax minimus,Limax,species,3895,FALSE,NA,Limax,accepted,1,0,154017
Vertigo brierensis,Vertigo brierensis,Vertigo brierensis,Vertigo,NA,678324,FALSE,NA,Vertigo,accepted,1,0,426423
Vertigo iowaensis,Vertigo iowaensis,Vertigo iowaensis,Vertigo,NA,642295,FALSE,NA,Vertigo,accepted,1,0,426423
