taxa_query,phylum,class,order,family,freshwater_only,terrestrial_only,genus_split,taxa,tol_sciname,rank,ott_id,is_synonym,flags,valid_name,status,aphia_id
Huasteca rugosa,Arthropoda,Arachnida,Opiliones,Stygnopsidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metabiantes,Arthropoda,Arachnida,Opiliones,Biantidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baculigerus,Arthropoda,Arachnida,Opiliones,Escadabiidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pellobunus insularis,Arthropoda,Arachnida,Opiliones,Samoidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stygnomma,Arthropoda,Arachnida,Opiliones,Stygnommatidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pirassunungoleptes calcaratus,Arthropoda,Arachnida,Opiliones,Zalmoxidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zalmoxis,Arthropoda,Arachnida,Opiliones,Zalmoxidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropsopilio chilensis,Arthropoda,Arachnida,Opiliones,Caddidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erebomaster flavescens,Arthropoda,Arachnida,Opiliones,Cladonychiidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Theromaster,Arthropoda,Arachnida,Opiliones,Cladonychiidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptomaster leviathan,Arthropoda,Arachnida,Opiliones,Cladonychiidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Speleomaster lexi,Arthropoda,Arachnida,Opiliones,Cladonychiidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Briggsus flavescens,Arthropoda,Arachnida,Opiliones,Briggsidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paranonychus brunneus,Arthropoda,Arachnida,Opiliones,Triaenonychidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metanonychus setulus,Arthropoda,Arachnida,Opiliones,Triaenonychidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zuma tioga,Arthropoda,Arachnida,Opiliones,Triaenonychidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyptobunus ungulatus,Arthropoda,Arachnida,Opiliones,Triaenonychidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sclerobunus,Arthropoda,Arachnida,Opiliones,Triaenonychidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caddo agilis,Arthropoda,Arachnida,Opiliones,Caddidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leiobunum ventricosum,Arthropoda,Arachnida,Opiliones,Leiobunidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ogovea cameroonensis,Arthropoda,Arachnida,Opiliones,Ogoveidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lomanius longipalpus,Arthropoda,Arachnida,Opiliones,Podoctidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Santobius,Arthropoda,Arachnida,Opiliones,Podoctidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zalmoxida,Arthropoda,Arachnida,Opiliones,Petrobunidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tithaeus kokutnus,Arthropoda,Arachnida,Opiliones,Tithaeidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
