taxa_query,phylum,class,order,family,freshwater_only,terrestrial_only,genus_split,taxa,tol_sciname,rank,ott_id,is_synonym,flags,valid_name,status,aphia_id
Hirudopponia,Annelida,Clitellata,NA,Hirudinidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Patagoniobdellaabilis,Annelida,Clitellata,NA,Semiscolecidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lumbriculusegatus,Annelida,Clitellata,NA,Lumbriculidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Progizzardusdiamensis,Annelida,Clitellata,NA,Almidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Duplodicodrilus schmardae,Annelida,Clitellata,Crassiclitellata,Megascolecidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Duplodicodrilus acinctus,Annelida,Clitellata,Crassiclitellata,Megascolecidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polypheretima taprobanae,Annelida,Clitellata,Crassiclitellata,Megascolecidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pithemera bicincta,Annelida,Clitellata,Crassiclitellata,Megascolecidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glossiphonia elegans,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Theromyzon rude,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haementeria gracilis,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Placobdella phalera,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haementeria lutzi,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haementeria ghilianii,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haementeria tuberculifera,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stylodrilus opistoannulatus,Annelida,Clitellata,Lumbriculida,Lumbriculidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Styloscolex chorioidalis,Annelida,Clitellata,Lumbriculida,Lumbriculidae,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
