taxa_query,taxa,rank,worms_aphiaid,bold_id,gbif_key,ott_id,worms_sciname,tol_sciname,genus_split,bold_taxon,gbif_sciname,phylum,class,subclass,order,family,genus,species,wormsid_phylum,wormsid_class,wormsid_subclass,wormsid_order,wormsid_family,wormsid_genus,wormsid_species,authority,is_synonym,flags,valid_name,status,terrestrial_only,freshwater_only,aphia_id
Bursaphelenchus doui,Bursaphelenchus doui,species,NA,198959,7021906,543803,NA,Bursaphelenchus doui,Bursaphelenchus,Bursaphelenchus doui,Bursaphelenchus doui,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1,0,1544445
Rhabdias okuensis,Rhabdias okuensis,species,NA,199095,8759937,676301,NA,Rhabdias okuensis,Rhabdias,Rhabdias okuensis,Rhabdias okuensis,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Rhabdias,accepted,1,1,1442630
Trichuris suis,Trichuris suis,species,NA,493836,4554216,912976,NA,Trichuris suis,Trichuris,Trichuris suis,"Trichuris suis (Schrank, 1788)",Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Trichuris,accepted,1,NA,1508731
Rhabdias mariauxi,Rhabdias mariauxi,species,NA,900114,7022196,193907,NA,Rhabdias mariauxi,Rhabdias,Rhabdias mariauxi,Rhabdias mariauxi,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Rhabdias,accepted,1,1,1442630
Rhabdias rhampholeonis,Rhabdias rhampholeonis,species,NA,900115,7022247,717323,NA,Rhabdias rhampholeonis,Rhabdias,Rhabdias rhampholeonis,Rhabdias rhampholeonis,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Rhabdias,accepted,1,1,1442630
Trichuris arvicolae,Trichuris arvicolae,NA,NA,NA,NA,812986,NA,Trichuris arvicolae,Trichuris,NA,NA,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Trichuris,accepted,1,NA,1508731
Trichuris skrjabini,Trichuris skrjabini,species,NA,896179,4554227,1082545,NA,Trichuris skrjabini,Trichuris,Trichuris skrjabini,"Trichuris skrjabini Baskakov, 1924",Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Trichuris,accepted,1,NA,1508731
Trichuris discolor,Trichuris discolor,species,NA,668437,2283367,727492,NA,Trichuris discolor,Trichuris,Trichuris discolor,"Trichuris discolor (Linstow, 1906)",Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Trichuris,accepted,1,NA,1508731
Trichuris ovis,Trichuris ovis,species,NA,668285,4554213,510849,NA,Trichuris ovis,Trichuris,Trichuris ovis,"Trichuris ovis (Abildgaard, 1795)",Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Trichuris,accepted,1,NA,1508731
Trichuris pardinasi,Trichuris pardinasi,species,NA,897173,7019970,5003718,NA,Trichuris pardinasi,Trichuris,Trichuris pardinasi,"Trichuris pardinasi Robles, Navone & Notarnicola, 2006",Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Trichuris,accepted,1,NA,1508731
Trichurisvonae,Trichurisvonae,NA,NA,NA,NA,5691086,NA,Trichuris navonae,Trichuris,NA,NA,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Trichuris,accepted,1,NA,1508731
Xiphinema pachtaicum,Xiphinema pachtaicum,species,NA,169426,4554504,30531,NA,Xiphinema pachtaicum,Xiphinema,Xiphinema pachtaicum,"Xiphinema pachtaicum (Tulaganov, 1938)",Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Xiphinema,accepted,1,0,583061
Xiphinema index,Xiphinema index,species,NA,733886,4554493,165364,NA,Xiphinema index,Xiphinema,Xiphinema index,"Xiphinema index Thorne & Allen, 1950",Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Xiphinema,accepted,1,0,583061
Acrostichus puri,Acrostichus puri,species,NA,667265,NA,461231,NA,Acrostichus puri,Acrostichus,Acrostichus puri,NA,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Acrostichus,accepted,1,1,1294005
Haematoloechus longiplexus,Haematoloechus longiplexus,species,NA,759856,2504356,1087112,NA,Haematoloechus longiplexus,Haematoloechus,Haematoloechus longiplexus,"Haematoloechus longiplexus Stafford, 1902",Platyhelminthes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Haematoloechus,accepted,1,1,1384177
Haematoloechus complexus,Haematoloechus complexus,species,NA,279600,NA,510335,NA,Haematoloechus complexus,Haematoloechus,Haematoloechus complexus,NA,Platyhelminthes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Haematoloechus,accepted,1,1,1384177
Haematoloechus coloradensis,Haematoloechus coloradensis,species,NA,279598,NA,510336,NA,Haematoloechus coloradensis,Haematoloechus,Haematoloechus coloradensis,NA,Platyhelminthes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Haematoloechus,accepted,1,1,1384177
Haematoloechus illimis,Haematoloechus illimis,species,NA,171024,NA,260228,NA,Haematoloechus illimis,Haematoloechus,Haematoloechus illimis,NA,Platyhelminthes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Haematoloechus,accepted,1,1,1384177
Haematoloechus macrorchis,Haematoloechus macrorchis,species,NA,279599,8901393,790534,NA,Haematoloechus macrorchis,Haematoloechus,Haematoloechus macrorchis,"Haematoloechus macrorchis Caballero y C., 1941",Platyhelminthes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Haematoloechus,accepted,1,1,1384177
Haematoloechus parviplexus,Haematoloechus parviplexus,species,NA,171022,2504353,1084802,NA,Haematoloechus parviplexus,Haematoloechus,Haematoloechus parviplexus,Haematoloechus parviplexus,Platyhelminthes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Haematoloechus,accepted,1,1,1384177
Haematoloechus danbrooksi,Haematoloechus danbrooksi,species,NA,171025,NA,1084798,NA,Haematoloechus danbrooksi,Haematoloechus,Haematoloechus danbrooksi,NA,Platyhelminthes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Haematoloechus,accepted,1,1,1384177
Labiostomum talkeetnaeuris,Labiostomum talkeetnaeuris,species,NA,897647,NA,354445,NA,Labiostomum talkeetnaeuris,Labiostomum,Labiostomum talkeetnaeuris,NA,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Labiostomum,accepted,1,NA,1585299
Labiostomum akhtari,Labiostomum akhtari,NA,NA,NA,NA,7675295,NA,Labiostomum akhtari,Labiostomum,NA,NA,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Labiostomum,accepted,1,NA,1585299
Labiostomum rauschi,Labiostomum rauschi,species,NA,897649,NA,354448,NA,Labiostomum rauschi,Labiostomum,Labiostomum rauschi,NA,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Labiostomum,accepted,1,NA,1585299
Bursaphelenchus corneolus,Bursaphelenchus corneolus,species,NA,649796,7021881,229286,NA,Bursaphelenchus corneolus,Bursaphelenchus,Bursaphelenchus corneolus,Bursaphelenchus corneolus,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1,0,1544445
Bursaphelenchus arthuroides,Bursaphelenchus arthuroides,NA,NA,NA,NA,65493,NA,Bursaphelenchus arthuroides,Bursaphelenchus,NA,NA,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1,0,1544445
Bursaphelenchus paraparvispicularis,Bursaphelenchus paraparvispicularis,species,NA,667452,9934680,482457,NA,Bursaphelenchus paraparvispicularis,Bursaphelenchus,Bursaphelenchus paraparvispicularis,Bursaphelenchus paraparvispicularis,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1,0,1544445
Bursaphelenchus braaschae,Bursaphelenchus braaschae,species,NA,667453,10271641,510990,NA,Bursaphelenchus braaschae,Bursaphelenchus,Bursaphelenchus braaschae,Bursaphelenchus braaschae,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1,0,1544445
Bursaphelenchus africanus,Bursaphelenchus africanus,species,NA,670977,10167045,261016,NA,Bursaphelenchus africanus,Bursaphelenchus,Bursaphelenchus africanus,Bursaphelenchus africanus,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1,0,1544445
Spauligodoncolauensis,Spauligodoncolauensis,NA,NA,NA,NA,342293,NA,Spauligodon nicolauensis,Spauligodon,NA,NA,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Spauligodon,accepted,1,NA,1585284
Gnathostomapponicum,Gnathostomapponicum,NA,NA,NA,NA,196483,NA,Gnathostoma nipponicum,Gnathostoma,NA,NA,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Gnathostoma,accepted,1,1,1542770
Xiphinema opisthohysterum,Xiphinema opisthohysterum,species,NA,896181,4554444,654279,NA,Xiphinema opisthohysterum,Xiphinema,Xiphinema opisthohysterum,"Xiphinema opisthohysterum Siddiqi, 1961",Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Xiphinema,accepted,1,0,583061
Xiphinema santos,Xiphinema santos,species,NA,896182,4554453,981309,NA,Xiphinema santos,Xiphinema,Xiphinema santos,"Xiphinema santos Lamberti, Lemos, Agostinelli & D'Addabo, 1993",Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Xiphinema,accepted,1,0,583061
Xiphinema parapachydermum,Xiphinema parapachydermum,species,NA,896183,NA,229565,NA,Xiphinema parapachydermum,Xiphinema,Xiphinema parapachydermum,NA,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Xiphinema,accepted,1,0,583061
Xiphinema incertum,Xiphinema incertum,species,NA,896184,4554443,28574,NA,Xiphinema incertum,Xiphinema,Xiphinema incertum,"Xiphinema incertum Lamberti et al., 1983",Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Xiphinema,accepted,1,0,583061
Xiphinema parabrevicolle,Xiphinema parabrevicolle,species,NA,896185,NA,654277,NA,Xiphinema parabrevicolle,Xiphinema,Xiphinema parabrevicolle,NA,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Xiphinema,accepted,1,0,583061
Onchocerca ramachandrini,Onchocerca ramachandrini,species,NA,900113,7031754,415705,NA,Onchocerca ramachandrini,Onchocerca,Onchocerca ramachandrini,Onchocerca ramachandrini,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,accepted,1,1,1585475
Onchocerca armillata,Onchocerca armillata,species,NA,896668,NA,780553,NA,Onchocerca armillata,Onchocerca,Onchocerca armillata,NA,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,accepted,1,1,1585475
Onchocerca boehmi,Onchocerca boehmi,species,NA,896669,NA,6163826,NA,Onchocerca boehmi,Onchocerca,Onchocerca boehmi,NA,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,accepted,1,1,1585475
Onchocerca lienalis,Onchocerca lienalis,species,NA,896671,4557111,233821,NA,Onchocerca lienalis,Onchocerca,Onchocerca lienalis,"Onchocerca lienalis (Stiles, 1892)",Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,accepted,1,1,1585475
Xiphinema brevicollum,Xiphinema brevicollum,species,NA,897752,7019403,527591,NA,Xiphinema brevicollum,Xiphinema,Xiphinema brevicollum,Xiphinema brevicollum,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Xiphinema,accepted,1,0,583061
Onchocerca fasciata,Onchocerca fasciata,species,NA,896911,7031752,415704,NA,Onchocerca fasciata,Onchocerca,Onchocerca fasciata,Onchocerca fasciata,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,accepted,1,1,1585475
Trichuris rhinopiptheroxella,Trichuris rhinopiptheroxella,species,NA,896465,NA,7076268,NA,Trichuris rhinopiptheroxella,Trichuris,Trichuris rhinopiptheroxella,NA,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Trichuris,accepted,1,NA,1508731
Geoplana piratininga,Geoplana piratininga,species,NA,906333,10186743,7504558,NA,Geoplana piratininga,Geoplana,Geoplana piratininga,"Geoplana piratininga Ana Laura Almeida, Fernando P.L.Marques & Fernando Carbayo, 2019",Platyhelminthes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,sibling_higher,Geoplana,accepted,1,0,414976
Geoplana cananeia,Geoplana cananeia,species,NA,906328,10036114,7504552,NA,Geoplana cananeia,Geoplana,Geoplana cananeia,"Geoplana cananeia Ana Laura Almeida, Fernando P.L.Marques & Fernando Carbayo, 2019",Platyhelminthes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,sibling_higher,Geoplana,accepted,1,0,414976
Geoplana boraceia,Geoplana boraceia,species,NA,906327,10280138,7504550,NA,Geoplana boraceia,Geoplana,Geoplana boraceia,"Geoplana boraceia Ana Laura Almeida, Fernando P.L.Marques & Fernando Carbayo, 2019",Platyhelminthes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,sibling_higher,Geoplana,accepted,1,0,414976
Geoplana apua,Geoplana apua,species,NA,906326,10496829,7504549,NA,Geoplana apua,Geoplana,Geoplana apua,"Geoplana apua Ana Laura Almeida, Fernando P.L.Marques & Fernando Carbayo, 2019",Platyhelminthes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,sibling_higher,Geoplana,accepted,1,0,414976
Geoplana iporanga,Geoplana iporanga,species,NA,906331,10008045,7504555,NA,Geoplana iporanga,Geoplana,Geoplana iporanga,"Geoplana iporanga Ana Laura Almeida, Fernando P.L.Marques & Fernando Carbayo, 2019",Platyhelminthes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,sibling_higher,Geoplana,accepted,1,0,414976
Geoplana ibiuna,Geoplana ibiuna,species,NA,906330,10648432,7504554,NA,Geoplana ibiuna,Geoplana,Geoplana ibiuna,"Geoplana ibiuna Ana Laura Almeida, Fernando P.L.Marques & Fernando Carbayo, 2019",Platyhelminthes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,sibling_higher,Geoplana,accepted,1,0,414976
Geoplana paranapiacaba,Geoplana paranapiacaba,species,NA,906332,10431425,7504557,NA,Geoplana paranapiacaba,Geoplana,Geoplana paranapiacaba,"Geoplana paranapiacaba Ana Laura Almeida, Fernando P.L.Marques & Fernando Carbayo, 2019",Platyhelminthes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,sibling_higher,Geoplana,accepted,1,0,414976
Geoplana caraguatatuba,Geoplana caraguatatuba,species,NA,906329,10251938,7504553,NA,Geoplana caraguatatuba,Geoplana,Geoplana caraguatatuba,"Geoplana caraguatatuba Ana Laura Almeida, Fernando P.L.Marques & Fernando Carbayo, 2019",Platyhelminthes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,sibling_higher,Geoplana,accepted,1,0,414976
Bursaphelenchus antoniae,Bursaphelenchus antoniae,species,NA,897037,7021932,284540,NA,Bursaphelenchus antoniae,Bursaphelenchus,Bursaphelenchus antoniae,Bursaphelenchus antoniae,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1,0,1544445
