taxa_query,taxa,rank,worms_aphiaid,bold_id,gbif_key,ott_id,worms_sciname,tol_sciname,genus_split,bold_taxon,gbif_sciname,phylum,class,subclass,order,family,genus,species,wormsid_phylum,wormsid_class,wormsid_subclass,wormsid_order,wormsid_family,wormsid_genus,wormsid_species,authority,is_synonym,flags,valid_name,status,terrestrial_only,freshwater_only,aphia_id
Litomosoides sigmodontis,Litomosoides sigmodontis,species,NA,32828,7029741,549976,NA,Litomosoides sigmodontis,Litomosoides,Litomosoides sigmodontis,Litomosoides sigmodontis,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,accepted,1,NA,1585461
Onchocerca gibsoni,Onchocerca gibsoni,species,NA,32827,7031761,819801,NA,Onchocerca gibsoni,Onchocerca,Onchocerca gibsoni,Onchocerca gibsoni,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,accepted,1,1,1585475
Onchocerca gutturosa,Onchocerca gutturosa,species,NA,32826,4557122,510920,NA,Onchocerca gutturosa,Onchocerca,Onchocerca gutturosa,"Onchocerca gutturosa Neumann, 1910",Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,accepted,1,1,1585475
Onchocerca ochengi,Onchocerca ochengi,species,NA,32825,7031769,462292,NA,Onchocerca ochengi,Onchocerca,Onchocerca ochengi,Onchocerca ochengi,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,accepted,1,1,1585475
Onchocerca lupi,Onchocerca lupi,species,NA,78870,4557121,847619,NA,Onchocerca lupi,Onchocerca,Onchocerca lupi,"Onchocerca lupi Rodonaja, 1967",Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,accepted,1,1,1585475
Litomosoides brasiliensis,Litomosoides brasiliensis,species,NA,30025,7029752,575092,NA,Litomosoides brasiliensis,Litomosoides,Litomosoides brasiliensis,Litomosoides brasiliensis,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,accepted,1,NA,1585461
Litomosoides hamletti,Litomosoides hamletti,species,NA,30024,7029737,460673,NA,Litomosoides hamletti,Litomosoides,Litomosoides hamletti,Litomosoides hamletti,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,accepted,1,NA,1585461
Litomosoides yutajensis,Litomosoides yutajensis,species,NA,30023,7029742,460670,NA,Litomosoides yutajensis,Litomosoides,Litomosoides yutajensis,Litomosoides yutajensis,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,accepted,1,NA,1585461
Litomosoides galizai,Litomosoides galizai,species,NA,30022,8839149,460671,NA,Litomosoides galizai,Litomosoides,Litomosoides galizai,"Litomosoides galizai Bain, Petit & Diagne, 1989",Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,accepted,1,NA,1585461
Xiphinema americanum,Xiphinema americanum,species,NA,15562,2282736,224029,NA,Xiphinema americanum,Xiphinema,Xiphinema americanum,"Xiphinema americanum Cobb, 1913",Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Xiphinema,accepted,1,0,583061
Xiphinema peruvianum,Xiphinema peruvianum,species,NA,169475,NA,651594,NA,Xiphinema peruvianum,Xiphinema,Xiphinema peruvianum,NA,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Xiphinema,accepted,1,0,583061
Xiphinema citricolum,Xiphinema citricolum,NA,NA,NA,NA,98665,NA,Xiphinema citricolum,Xiphinema,NA,NA,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Xiphinema,accepted,1,0,583061
