taxa_query,phylum,class,order,family,freshwater_only,terrestrial_only,genus_split,taxa,tol_sciname,rank,ott_id,is_synonym,flags,valid_name,status,aphia_id
Tylomelania solitaria,NA,NA,NA,NA,1,0,Tylomelania,Tylomelania solitaria,Tylomelania solitaria,species,543143,FALSE,hidden_inherited,Tylomelania,accepted,738540
Tylomelania mahalonica,NA,NA,NA,NA,1,0,Tylomelania,Tylomelania mahalonica,Tylomelania mahalonica,species,543144,FALSE,hidden_inherited,Tylomelania,accepted,738540
Albinaria puella,NA,NA,NA,NA,0,1,Albinaria,Albinaria puella,Albinaria puella,species,361946,FALSE,NA,Albinaria,accepted,996062
Pyrgulopsis idahoensis,NA,NA,NA,NA,1,0,Pyrgulopsis,Pyrgulopsis idahoensis,Pyrgulopsis idahoensis,species,830523,FALSE,incertae_sedis_inherited,Pyrgulopsis,accepted,717226
Bridouxia tanganyicensis,NA,NA,NA,NA,1,0,Bridouxia,Bridouxia tanganyicensis,Bridouxia tanganyicensis,species,189530,FALSE,hidden_inherited,Bridouxia,accepted,1057374
Leptaxis minor,NA,NA,NA,NA,0,1,Leptaxis,Leptaxis minor,Leptaxis minor,species,404762,FALSE,NA,Leptaxis,accepted,996520
Leptaxis terceirana,NA,NA,NA,NA,0,1,Leptaxis,Leptaxis terceirana,Leptaxis terceirana,species,879842,FALSE,NA,Leptaxis,accepted,996520
Leptaxis caldeirarum,NA,NA,NA,NA,0,1,Leptaxis,Leptaxis caldeirarum,Leptaxis caldeirarum,species,879839,FALSE,NA,Leptaxis,accepted,996520
Amborhytida pycrofti,NA,NA,NA,NA,0,1,Amborhytida,Amborhytida pycrofti,Amborhytida pycrofti,species,784098,FALSE,NA,Amborhytida,accepted,820913
Amborhytida tarangaensis,NA,NA,NA,NA,0,1,Amborhytida,Amborhytida tarangaensis,Amborhytida tarangaensis,species,784099,FALSE,NA,Amborhytida,accepted,820913
Bulimulus quitensis,NA,NA,NA,NA,0,1,Bulimulus,Bulimulus quitensis,Bulimulus quitensis,NA,339269,FALSE,NA,Bulimulus,accepted,861633
Bulimulus unifasciatus,NA,NA,NA,NA,0,1,Bulimulus,Bulimulus unifasciatus,Bulimulus unifasciatus,species,421460,FALSE,NA,Bulimulus,accepted,861633
Bulimulussioticus,NA,NA,NA,NA,0,1,Bulimulus,Bulimulussioticus,Bulimulus nesioticus,NA,421446,FALSE,NA,Bulimulus,accepted,861633
Bulimulus sculpturatus,NA,NA,NA,NA,0,1,Bulimulus,Bulimulus sculpturatus,Bulimulus sculpturatus,species,421445,FALSE,NA,Bulimulus,accepted,861633
Bulimulus darwini,NA,NA,NA,NA,0,1,Bulimulus,Bulimulus darwini,Bulimulus darwini,species,1026135,FALSE,NA,Bulimulus,accepted,861633
Bulimulus wolfi,NA,NA,NA,NA,0,1,Bulimulus,Bulimulus wolfi,Bulimulus wolfi,species,903719,FALSE,NA,Bulimulus,accepted,861633
Bulimulus akamatus,NA,NA,NA,NA,0,1,Bulimulus,Bulimulus akamatus,Bulimulus akamatus,species,903718,FALSE,NA,Bulimulus,accepted,861633
Bulimulus snodgrassi,NA,NA,NA,NA,0,1,Bulimulus,Bulimulus snodgrassi,Bulimulus snodgrassi,species,903727,FALSE,NA,Bulimulus,accepted,861633
Bulimulus cavagnaroi,NA,NA,NA,NA,0,1,Bulimulus,Bulimulus cavagnaroi,Bulimulus cavagnaroi,species,903726,FALSE,NA,Bulimulus,accepted,861633
Bulimulus blombergi,NA,NA,NA,NA,0,1,Bulimulus,Bulimulus blombergi,Bulimulus blombergi,species,378584,FALSE,NA,Bulimulus,accepted,861633
Bulimulus tortuganus,NA,NA,NA,NA,0,1,Bulimulus,Bulimulus tortuganus,Bulimulus tortuganus,species,378585,FALSE,NA,Bulimulus,accepted,861633
Bulimulus perrus,NA,NA,NA,NA,0,1,Bulimulus,Bulimulus perrus,Bulimulus perrus,species,378586,FALSE,NA,Bulimulus,accepted,861633
Bulimulus tanneri,NA,NA,NA,NA,0,1,Bulimulus,Bulimulus tanneri,Bulimulus tanneri,species,378587,FALSE,NA,Bulimulus,accepted,861633
Bulimulus pinzonensis,NA,NA,NA,NA,0,1,Bulimulus,Bulimulus pinzonensis,Bulimulus pinzonensis,species,623472,FALSE,NA,Bulimulus,accepted,861633
Bulimulus pinzonopsis,NA,NA,NA,NA,0,1,Bulimulus,Bulimulus pinzonopsis,Bulimulus pinzonopsis,species,954751,FALSE,NA,Bulimulus,accepted,861633
Chilostoma ichthyomma,NA,NA,NA,NA,0,1,Chilostoma,Chilostoma ichthyomma,Chilostoma ichthyomma,species,864849,FALSE,NA,Chilostoma,accepted,871085
Diplommatina ringens,NA,NA,NA,NA,0,1,Diplommatina,Diplommatina ringens,Diplommatina ringens,species,935384,FALSE,NA,Diplommatina,accepted,818217
Bythinella rufescens,NA,NA,NA,NA,1,0,Bythinella,Bythinella rufescens,Bythinella rufescens,species,993006,FALSE,NA,Bythinella,accepted,716161
Semisulcospira cancellata,NA,NA,NA,NA,1,0,Semisulcospira,Semisulcospira cancellata,Semisulcospira cancellata,species,451798,FALSE,hidden_inherited,Semisulcospira,accepted,741120
Semisulcospira aubryana,NA,NA,NA,NA,1,0,Semisulcospira,Semisulcospira aubryana,Semisulcospira aubryana,species,521886,FALSE,hidden_inherited,Semisulcospira,accepted,741120
Limax minimus,NA,NA,NA,NA,0,1,Limax,Limax minimus,Limax minimus,species,3895,FALSE,NA,Limax,accepted,154017
Vertigo brierensis,NA,NA,NA,NA,0,1,Vertigo,Vertigo brierensis,Vertigo brierensis,NA,678324,FALSE,NA,Vertigo,accepted,426423
Vertigo iowaensis,NA,NA,NA,NA,0,1,Vertigo,Vertigo iowaensis,Vertigo iowaensis,NA,642295,FALSE,NA,Vertigo,accepted,426423
Bythiospeum acutum,NA,NA,NA,NA,1,0,Bythiospeum,Bythiospeum acutum,Bythiospeum acutum,NA,4960092,FALSE,NA,Bythiospeum,accepted,475218
Hemicycla retrodens,NA,NA,NA,NA,0,1,Hemicycla,Hemicycla retrodens,Hemicycla retrodens,species,557190,FALSE,NA,Hemicycla,accepted,996423
Hemicyclavariae,NA,NA,NA,NA,0,1,Hemicycla,Hemicyclavariae,Hemicycla nivariae,NA,94448,FALSE,NA,Hemicycla,accepted,996423
Gulella linguifera,NA,NA,NA,NA,0,1,Gulella,Gulella linguifera,Gulella linguifera,species,408784,FALSE,sibling_higher,Gulella,accepted,818295
Bostryx apodemetes,NA,NA,NA,NA,0,1,Bostryx,Bostryx apodemetes,Bostryx apodemetes,NA,858023,FALSE,NA,Bostryx,accepted,866574
Cochlostoma yapigium,NA,NA,NA,NA,0,1,Cochlostoma,Cochlostoma yapigium,Cochlostoma yapigium,species,873582,FALSE,incertae_sedis,Cochlostoma,accepted,934001
Cochlostoma dionysii,NA,NA,NA,NA,0,1,Cochlostoma,Cochlostoma dionysii,Cochlostoma dionysii,species,915266,FALSE,incertae_sedis,Cochlostoma,accepted,934001
Bellamya quadrata,NA,NA,NA,NA,1,0,Bellamya,Bellamya quadrata,Bellamya quadrata,species,688123,FALSE,NA,Bellamya,accepted,716177
Tricula wumingensis,NA,NA,NA,NA,1,0,Tricula,Tricula wumingensis,Tricula wumingensis,species,1097828,FALSE,NA,Tricula,accepted,724822
Tricula hongshanensis,NA,NA,NA,NA,1,0,Tricula,Tricula hongshanensis,Tricula hongshanensis,NA,803710,FALSE,NA,Tricula,accepted,724822
Tricula hsiangi,NA,NA,NA,NA,1,0,Tricula,Tricula hsiangi,Tricula hsiangi,species,803713,FALSE,NA,Tricula,accepted,724822
Chittypoma jarvisi,NA,NA,NA,NA,0,1,Chittypoma,Chittypoma jarvisi,Chittypoma jarvisi,NA,634858,FALSE,NA,Chittypoma,accepted,995446
Parachondria campbellii,NA,NA,NA,NA,0,1,Parachondria,Parachondria campbellii,Parachondria campbellii,NA,1068848,FALSE,sibling_higher,Parachondria,accepted,932071
Parachondria shepardiana,NA,NA,NA,NA,0,1,Parachondria,Parachondria shepardiana,Parachondria shepardiana,NA,1068842,FALSE,sibling_higher,Parachondria,accepted,932071
Parachondria wilkinsonii,NA,NA,NA,NA,0,1,Parachondria,Parachondria wilkinsonii,Parachondria wilkinsonii,species,7494682,FALSE,sibling_higher,Parachondria,accepted,932071
Chondropoma clenchi,NA,NA,NA,NA,0,1,Chondropoma,Chondropoma clenchi,Chondropoma clenchi,species,516467,FALSE,NA,Chondropoma,accepted,932080
Chondropoma dilatatum,NA,NA,NA,NA,0,1,Chondropoma,Chondropoma dilatatum,Chondropoma dilatatum,NA,816303,FALSE,NA,Chondropoma,accepted,932080
Chondropoma compressa,NA,NA,NA,NA,0,1,Chondropoma,Chondropoma compressa,Chondropoma compressa,NA,930160,FALSE,NA,Chondropoma,accepted,932080
