subject_accession,subject_taxonomy_id,kingdom,phylum,class,order,family,genus,species,sp_num
KY770452,2003363,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Maritimibacter,Maritimibacter,1
KY770275,2003362,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Roseibacterium,Roseibacterium,1
NR_159242,2029103,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Actibacterium,Actibacterium pelagium,1
LN827742,400530,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Oceanicola,Oceanicola,1
KJ513741,293344,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Roseovarius,Roseovarius,1
NR_137409,1526570,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Sinisalibacter,Sinisalibacter lacisalsi,1
MZ263095,1914027,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Marimonas,Marimonas,1
MW828566,1795305,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Marimonas,Marimonas arenosa,1
MW440552,1969459,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Litoreibacter,Litoreibacter,1
MT830125,1872442,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Aliiroseovarius,Aliiroseovarius,1
FN811297,756725,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,unknown genus,Rhodobacteraceae bacterium prb,1
NR_115900,252302,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Oceanicola,Oceanicola granulosus,1
AF259624,126076,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,unknown genus,Rhodobacter group,1
MN880433,2692236,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Thalassobius,Thalassobius mangrovi,1
CP045420,2587842,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Maribius,Maribius,1
MH997490,1958943,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Puniceibacterium,Puniceibacterium,1
MK685209,2562279,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Pseudooceanicola,Pseudooceanicola onchidii,1
MK377260,1890673,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Celeribacter,Celeribacter,1
CP053449,1977087,Bacteria,Pseudomonadota,unknown class,unknown order,unknown family,unknown genus,Pseudomonadota,1
KX599130,158754,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas,1
NC_066077,197753,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Pleurosigmataceae,Pleurosigma,Pleurosigma intermedium,1
AF514847,197761,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Pleurosigmataceae,Gyrosigma,Gyrosigma fasciola,1
JX477012,215611,Bacteria,Cyanobacteriota,unknown class,unknown order,unknown family,unknown genus,marine cyanobacterium,1
