species,not_east_pacific,not_nearshore,freshwater,not_bc,other_problem
Ophiura ophiura,1,0,0,1,0
Heliocidaris crassispina,1,0,0,1,0
Pseudocalanus acuspes,1,0,0,1,0
Chthamalus fragilis,1,0,0,1,0
Stauridiosarsia producta,1,0,0,1,0
Halcampa chrysanthellum,1,0,0,1,0
Mya japonica,1,0,0,1,0
Microstomum compositum,1,0,0,1,0
Cliona chilensis,1,0,0,1,0
Crambe crambe,1,0,0,1,0
