species_verbatim,query,domain,kingdom,phylum,class,subclass,order,family,genus,species,ottid_species,rank
Aaptosyax grypus,Aaptosyax grypus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Aaptosyax,Aaptosyax grypus,879633,NA
Abalistes filamentosus,Abalistes filamentosus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Balistidae,Abalistes,Abalistes filamentosus,3631258,NA
Abalistes stellaris,Abalistes stellaris,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Balistidae,Abalistes,Abalistes stellaris,85767,NA
Abalistes stellatus,Abalistes stellatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Balistidae,Abalistes,Abalistes stellatus,383030,NA
Abbottina binhi,Abbottina binhi,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Abbottina,Abbottina binhi,3626666,NA
Abbottina lalinensis,Abbottina lalinensis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Abbottina,Abbottina lalinensis,3626667,NA
Abbottina liaoningensis,Abbottina liaoningensis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Abbottina,Abbottina liaoningensis,401084,NA
Abbottina obtusirostris,Abbottina obtusirostris,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Abbottina,Abbottina obtusirostris,3626669,NA
Abbottina rivularis,Abbottina rivularis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Abbottina,Abbottina rivularis,924237,NA
Ablabys binotatus,Ablabys binotatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Tetrarogidae,Ablabys,Ablabys binotatus,775381,NA
Ablabys macracanthus,Ablabys macracanthus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Tetrarogidae,Ablabys,Ablabys macracanthus,3632268,NA
Ablabys taenianotus,Ablabys taenianotus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Tetrarogidae,Ablabys,Ablabys taenianotus,728025,NA
Ablennes hians,Ablennes hians,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Belonidae,Ablennes,Ablennes hians,42223,NA
Aboma etheostoma,Aboma etheostoma,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Gobiidae,Aboma,Aboma etheostoma,793100,NA
Aborichthys elongatus,Aborichthys elongatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Nemacheilidae,Aborichthys,Aborichthys elongatus,3628386,NA
Abramis brama x Blicca bjoerkna,Abramis brama x Blicca bjoerkna,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,NA,Abramis brama x Blicca bjoerkna,4949329,NA
Abramis brama,Abramis brama,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Abramis,Abramis brama,103921,NA
Abramites hypselonotus,Abramites hypselonotus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Characiformes,Anostomidae,Abramites,Abramites hypselonotus,3625691,NA
Abramites sp,Abramites,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Characiformes,Anostomidae,Abramites,NA,NA,NA
Abudefduf abdominalis,Abudefduf abdominalis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Abudefduf,Abudefduf abdominalis,809329,NA
Abudefduf bengalensis,Abudefduf bengalensis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Abudefduf,Abudefduf bengalensis,318931,NA
Abudefduf caudobimaculatus,Abudefduf caudobimaculatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Abudefduf,Abudefduf caudobimaculatus,7064000,NA
Abudefduf concolor,Abudefduf concolor,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Abudefduf,Abudefduf concolor,659932,NA
Abudefduf conformis,Abudefduf conformis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Abudefduf,Abudefduf conformis,3635571,NA
Abudefduf declivifrons,Abudefduf declivifrons,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Abudefduf,Abudefduf declivifrons,659926,NA
Abudefduf hoefleri,Abudefduf hoefleri,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Abudefduf,Abudefduf hoefleri,779763,NA
Abudefduf lorenzi,Abudefduf lorenzi,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Abudefduf,Abudefduf lorenzi,318928,NA
Abudefduf luridus,Abudefduf luridus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Abudefduf,Abudefduf luridus,502949,NA
Abudefduf margariteus,Abudefduf margariteus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Abudefduf,Abudefduf margariteus,893443,NA
Abudefduf natalensis,Abudefduf natalensis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Abudefduf,Abudefduf natalensis,3635567,NA
Abudefduf nigrimargo,Abudefduf nigrimargo,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Abudefduf,Abudefduf nigrimargo,7064001,NA
Abudefduf notatus,Abudefduf notatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Abudefduf,Abudefduf notatus,893446,NA
Abudefduf saxatilis,Abudefduf saxatilis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Abudefduf,Abudefduf saxatilis,405751,NA
Abudefduf septemfasciatus,Abudefduf septemfasciatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Abudefduf,Abudefduf septemfasciatus,129790,NA
Abudefduf sexfasciatus,Abudefduf sexfasciatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Abudefduf,Abudefduf sexfasciatus,49236,NA
Abudefduf sordidus,Abudefduf sordidus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Abudefduf,Abudefduf sordidus,1053071,NA
Abudefduf sparoides,Abudefduf sparoides,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Abudefduf,Abudefduf sparoides,893440,NA
Abudefduf taurus,Abudefduf taurus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Abudefduf,Abudefduf taurus,961374,NA
Abudefduf troschelii,Abudefduf troschelii,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Abudefduf,Abudefduf troschelii,961357,NA
Abudefduf vaigiensis,Abudefduf vaigiensis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Abudefduf,Abudefduf vaigiensis,1053067,NA
Abudefduf whitleyi,Abudefduf whitleyi,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Abudefduf,Abudefduf whitleyi,893458,NA
Abyssocottus gibbosus,Abyssocottus gibbosus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Cottidae,Abyssocottus,Abyssocottus gibbosus,494060,NA
Abyssocottus korotneffi,Abyssocottus korotneffi,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Cottidae,Abyssocottus,Abyssocottus korotneffi,650991,NA
Acanthaluteres brownii,Acanthaluteres brownii,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Monacanthidae,Acanthaluteres,Acanthaluteres brownii,475595,NA
Acanthaluteres spilomelanurus,Acanthaluteres spilomelanurus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Monacanthidae,Acanthaluteres,Acanthaluteres spilomelanurus,3631291,NA
Acanthaluteres vittiger,Acanthaluteres vittiger,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Monacanthidae,Acanthaluteres,Acanthaluteres vittiger,149954,NA
Acanthaphritis barbata,Acanthaphritis barbata,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Percophidae,Acanthaphritis,Acanthaphritis barbata,3639762,NA
Acanthaphritis unoorum,Acanthaphritis unoorum,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Percophidae,Acanthaphritis,Acanthaphritis unoorum,3639748,NA
Acantharchus pomotis,Acantharchus pomotis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Centrarchidae,Acantharchus,Acantharchus pomotis,476356,NA
Acanthemblemaria aspera,Acanthemblemaria aspera,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Chaenopsidae,Acanthemblemaria,Acanthemblemaria aspera,628677,NA
Acanthemblemaria betinensis,Acanthemblemaria betinensis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Chaenopsidae,Acanthemblemaria,Acanthemblemaria betinensis,630205,NA
Acanthemblemaria castroi,Acanthemblemaria castroi,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Chaenopsidae,Acanthemblemaria,Acanthemblemaria castroi,630202,NA
Acanthemblemaria chaplini,Acanthemblemaria chaplini,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Chaenopsidae,Acanthemblemaria,Acanthemblemaria chaplini,630211,NA
Acanthemblemaria crockeri,Acanthemblemaria crockeri,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Chaenopsidae,Acanthemblemaria,Acanthemblemaria crockeri,628674,NA
Acanthemblemaria exilispinus,Acanthemblemaria exilispinus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Chaenopsidae,Acanthemblemaria,Acanthemblemaria exilispinus,630208,NA
Acanthemblemaria greenfieldi,Acanthemblemaria greenfieldi,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Chaenopsidae,Acanthemblemaria,Acanthemblemaria greenfieldi,57337,NA
Acanthemblemaria hancocki,Acanthemblemaria hancocki,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Chaenopsidae,Acanthemblemaria,Acanthemblemaria hancocki,57340,NA
Acanthemblemaria macrospilus,Acanthemblemaria macrospilus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Chaenopsidae,Acanthemblemaria,Acanthemblemaria macrospilus,40125,NA
Acanthemblemaria maria,Acanthemblemaria maria,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Chaenopsidae,Acanthemblemaria,Acanthemblemaria maria,516027,NA
Acanthemblemaria paula,Acanthemblemaria paula,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Chaenopsidae,Acanthemblemaria,Acanthemblemaria paula,455119,NA
Acanthemblemaria rivasi,Acanthemblemaria rivasi,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Chaenopsidae,Acanthemblemaria,Acanthemblemaria rivasi,57343,NA
Acanthemblemaria spinosa,Acanthemblemaria spinosa,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Chaenopsidae,Acanthemblemaria,Acanthemblemaria spinosa,57346,NA
Acanthicus adonis,Acanthicus adonis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Loricariidae,Acanthicus,Acanthicus adonis,394007,NA
Acanthicus hystrix,Acanthicus hystrix,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Loricariidae,Acanthicus,Acanthicus hystrix,3622504,NA
Acanthistius brasilianus,Acanthistius brasilianus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Serranidae,Acanthistius,Acanthistius brasilianus,658571,NA
Acanthistius cinctus,Acanthistius cinctus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Serranidae,Acanthistius,Acanthistius cinctus,3634015,NA
Acanthistius joanae,Acanthistius joanae,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Serranidae,Acanthistius,Acanthistius joanae,45166,NA
Acanthistius ocellatus,Acanthistius ocellatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Serranidae,Acanthistius,Acanthistius ocellatus,385091,NA
Acanthistius patachonicus,Acanthistius patachonicus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Serranidae,Acanthistius,Acanthistius patachonicus,90309,NA
Acanthistius pictus,Acanthistius pictus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Serranidae,Acanthistius,Acanthistius pictus,3634017,NA
Acanthistius serratus,Acanthistius serratus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Serranidae,Acanthistius,Acanthistius serratus,3634016,NA
Acanthobrama lissneri,Acanthobrama lissneri,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Acanthobrama,Acanthobrama lissneri,537700,NA
Acanthobrama marmid,Acanthobrama marmid,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Acanthobrama,Acanthobrama marmid,650758,NA
NA,Acanthocharax microlepis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Characiformes,Characidae,Acanthocharax,Acanthocharax microlepis,3625832,NA
Acanthobrama orontis,Acanthobrama orontis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Acanthobrama,Acanthobrama orontis,5554967,NA
Acanthobrama persidis,Acanthobrama persidis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Acanthobrama,Acanthobrama persidis,427778,NA
Acanthobrama telavivensis,Acanthobrama telavivensis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Acanthobrama,Acanthobrama telavivensis,3627145,NA
Acanthobunocephalus nicoi,Acanthobunocephalus nicoi,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Aspredinidae,Acanthobunocephalus,Acanthobunocephalus nicoi,3624345,NA
Acanthocepola abbreviata,Acanthocepola abbreviata,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Cepolidae,Acanthocepola,Acanthocepola abbreviata,3634587,NA
Acanthocepola indica,Acanthocepola indica,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Cepolidae,Acanthocepola,Acanthocepola indica,3634588,NA
Acanthocepola krusensternii,Acanthocepola krusensternii,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Cepolidae,Acanthocepola,Acanthocepola krusensternii,3634586,NA
Acanthocepola limbata,Acanthocepola limbata,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Cepolidae,Acanthocepola,Acanthocepola limbata,862388,NA
Acanthochaenus luetkenii,Acanthochaenus luetkenii,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Stephanoberycidae,Acanthochaenus,Acanthochaenus luetkenii,781203,NA
Acanthochromis polyacanthus,Acanthochromis polyacanthus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pomacentridae,Acanthochromis,Acanthochromis polyacanthus,100410,NA
Acanthocleithron chapini,Acanthocleithron chapini,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Mochokidae,Acanthocleithron,Acanthocleithron chapini,3623275,NA
Acanthoclinus fuscus,Acanthoclinus fuscus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Plesiopidae,Acanthoclinus,Acanthoclinus fuscus,3633802,NA
Acanthocobitis botia,Acanthocobitis botia,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Nemacheilidae,Acanthocobitis,Acanthocobitis botia,201101,NA
Acanthocobitis pavonacea,Acanthocobitis pavonacea,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Nemacheilidae,Acanthocobitis,Acanthocobitis pavonacea,974721,NA
Acanthocobitis urophthalmus,Acanthocobitis urophthalmus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Nemacheilidae,Acanthocobitis,Acanthocobitis urophthalmus,3627961,NA
Acanthocobitis zonalternans,Acanthocobitis zonalternans,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Nemacheilidae,Acanthocobitis,Acanthocobitis zonalternans,675619,NA
Acanthocybium solandri,Acanthocybium solandri,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Scombridae,Acanthocybium,Acanthocybium solandri,828095,NA
Acanthodoras cataphractus,Acanthodoras cataphractus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Doradidae,Acanthodoras,Acanthodoras cataphractus,216717,NA
Acanthodoras spinosissimus,Acanthodoras spinosissimus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Doradidae,Acanthodoras,Acanthodoras spinosissimus,216715,NA
Acanthodraco dewitti,Acanthodraco dewitti,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Bathydraconidae,Acanthodraco,Acanthodraco dewitti,268812,NA
Acanthogobio guentheri,Acanthogobio guentheri,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Cypriniformes,Cyprinidae,Acanthogobio,Acanthogobio guentheri,204141,NA
Acanthogobius flavimanus,Acanthogobius flavimanus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Gobiidae,Acanthogobius,Acanthogobius flavimanus,705150,NA
Acanthogobius hasta,Acanthogobius hasta,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Gobiidae,Acanthogobius,Acanthogobius hasta,419415,NA
Acanthogobius insularis,Acanthogobius insularis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Gobiidae,Acanthogobius,Acanthogobius insularis,3636965,NA
Acanthogobius lactipes,Acanthogobius lactipes,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Gobiidae,Acanthogobius,Acanthogobius lactipes,263548,NA
Acanthogobius luridus,Acanthogobius luridus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Gobiidae,Acanthogobius,Acanthogobius luridus,263552,NA
Acantholabrus palloni,Acantholabrus palloni,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Labridae,Acantholabrus,Acantholabrus palloni,155280,NA
Acantholatris monodactylus,Acantholatris monodactylus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Cheilodactylidae,Acantholatris,Acantholatris monodactylus,930733,NA
Acantholiparis opercularis,Acantholiparis opercularis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Liparidae,Acantholiparis,Acantholiparis opercularis,11732,NA
Acantholumpenus mackayi,Acantholumpenus mackayi,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Stichaeidae,Acantholumpenus,Acantholumpenus mackayi,875837,NA
Acanthonus armatus,Acanthonus armatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Ophidiidae,Acanthonus,Acanthonus armatus,3629836,NA
Acanthopagrus arabicus,Acanthopagrus arabicus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Sparidae,Acanthopagrus,Acanthopagrus arabicus,5856751,NA
Acanthopagrus australis,Acanthopagrus australis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Sparidae,Acanthopagrus,Acanthopagrus australis,223216,NA
Acanthopagrus berda,Acanthopagrus berda,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Sparidae,Acanthopagrus,Acanthopagrus berda,889379,NA
Acanthopagrus bifasciatus,Acanthopagrus bifasciatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Sparidae,Acanthopagrus,Acanthopagrus bifasciatus,458567,NA
Acanthopagrus butcheri,Acanthopagrus butcheri,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Sparidae,Acanthopagrus,Acanthopagrus butcheri,760738,NA
Acanthopagrus catenula,Acanthopagrus catenula,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Sparidae,Acanthopagrus,Acanthopagrus catenula,4948991,NA
Acanthopagrus chinshira,Acanthopagrus chinshira,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Sparidae,Acanthopagrus,Acanthopagrus chinshira,823829,NA
Acanthopagrus latus,Acanthopagrus latus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Sparidae,Acanthopagrus,Acanthopagrus latus,760733,NA
Acanthopagrus pacificus,Acanthopagrus pacificus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Sparidae,Acanthopagrus,Acanthopagrus pacificus,75284,NA
Acanthopagrus palmaris,Acanthopagrus palmaris,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Sparidae,Acanthopagrus,Acanthopagrus palmaris,3634708,NA
Acanthopagrus schlegelii x Pagrus major,Acanthopagrus schlegelii x Pagrus major,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Sparidae,NA,Acanthopagrus schlegelii x Pagrus major,5852308,NA
Acanthopagrus schlegelii,Acanthopagrus schlegelii,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Sparidae,Acanthopagrus,Acanthopagrus schlegelii,380194,NA
Acanthopagrus sheim,Acanthopagrus sheim,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Sparidae,Acanthopagrus,Acanthopagrus sheim,5856750,NA
Acanthopagrus sivicolus,Acanthopagrus sivicolus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Sparidae,Acanthopagrus,Acanthopagrus sivicolus,823833,NA
Acanthopagrus taiwanensis,Acanthopagrus taiwanensis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Sparidae,Acanthopagrus,Acanthopagrus taiwanensis,645917,NA
Acanthopagrus vagus,Acanthopagrus vagus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Sparidae,Acanthopagrus,Acanthopagrus vagus,775375,NA
Acanthoplesiops psilogaster,Acanthoplesiops psilogaster,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Plesiopidae,Acanthoplesiops,Acanthoplesiops psilogaster,3633822,NA
Acanthopoma annectens,Acanthopoma annectens,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Siluriformes,Trichomycteridae,Acanthopoma,Acanthopoma annectens,957947,NA
Acanthopsetta nadeshnyi,Acanthopsetta nadeshnyi,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Pleuronectidae,Acanthopsetta,Acanthopsetta nadeshnyi,93674,NA
Acanthostracion polygonius,Acanthostracion polygonius,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Ostraciidae,Acanthostracion,Acanthostracion polygonius,333678,NA
Acanthostracion quadricornis,Acanthostracion quadricornis,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Ostraciidae,Acanthostracion,Acanthostracion quadricornis,179259,NA
Acanthurus achilles,Acanthurus achilles,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Acanthuridae,Acanthurus,Acanthurus achilles,347408,NA
Acanthurus albimento,Acanthurus albimento,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Acanthuridae,Acanthurus,Acanthurus albimento,7061443,NA
Acanthurus auranticavus,Acanthurus auranticavus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Acanthuridae,Acanthurus,Acanthurus auranticavus,4135121,NA
Acanthurus bahianus,Acanthurus bahianus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Acanthuridae,Acanthurus,Acanthurus bahianus,324280,NA
Acanthurus bariene,Acanthurus bariene,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Acanthuridae,Acanthurus,Acanthurus bariene,4135123,NA
Acanthurus blochii,Acanthurus blochii,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Acanthuridae,Acanthurus,Acanthurus blochii,1035639,NA
Acanthurus chirurgus,Acanthurus chirurgus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Acanthuridae,Acanthurus,Acanthurus chirurgus,737834,NA
Acanthurus coeruleus,Acanthurus coeruleus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Acanthuridae,Acanthurus,Acanthurus coeruleus,324283,NA
Acanthurus dussumieri,Acanthurus dussumieri,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Acanthuridae,Acanthurus,Acanthurus dussumieri,1035642,NA
Acanthurus gahhm,Acanthurus gahhm,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Acanthuridae,Acanthurus,Acanthurus gahhm,4948813,NA
Acanthurus grammoptilus,Acanthurus grammoptilus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Acanthuridae,Acanthurus,Acanthurus grammoptilus,4948807,NA
Acanthurus guttatus,Acanthurus guttatus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Acanthuridae,Acanthurus,Acanthurus guttatus,824727,NA
Acanthurus japonicus,Acanthurus japonicus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Acanthuridae,Acanthurus,Acanthurus japonicus,289491,NA
Acanthurus leucocheilus,Acanthurus leucocheilus,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Acanthuridae,Acanthurus,Acanthurus leucocheilus,4135122,NA
Acanthurus leucopareius,Acanthurus leucopareius,Eukaryota,Metazoa,Chordata,Actinopteri,Neopterygii,Acanthomorphata,Acanthuridae,Acanthurus,Acanthurus leucopareius,4948804,NA
