"","found_taxa","common_name","biogeographical_notes","group","fish_base_url","n_dups","remove"
"65","Lumpenus sagitta","Snake prickleback","north to San Francisco","Eelpouts and pricklebacks","https://www.fishbase.ca/summary/Lumpenus-sagitta.html",1,NA
"66","Lyopsetta exilis","Slender sole",NA,NA,NA,1,NA
"67","Malacocottus","Malacocottus sculpin species",NA,NA,NA,1,NA
"68","Microgadus proximus","Pacific tomcod","borth to central cali","Other","https://www.fishbase.ca/summary/Microgadus-proximus.html",1,NA
"69","Microstomus pacificus","Pacific Dover sole",NA,NA,NA,1,NA
"70","Mola","Sunfish species",NA,NA,NA,1,NA
"71","Myoxocephalus","Myoxocephalus sculpin species",NA,NA,NA,1,NA
"72","Nautichthys oculofasciatus","Sailfin sculpin",NA,NA,NA,1,NA
"73","Odontopyxis trispinosa","Pygmy poacher",NA,NA,NA,1,NA
"74","Oligocottus","Oligocottus sculpin species",NA,NA,NA,1,NA
"75","Oligocottus snyderi","Fluffy sculpin",NA,NA,NA,1,NA
"76","Oncorhynchus","Salmon species",NA,NA,NA,1,NA
"77","Oncorhynchus keta","Chum salmon",NA,"Salmon","https://www.fishbase.ca/summary/Oncorhynchus-keta.html",1,NA
"78","Oncorhynchus kisutch","Coho salmon",NA,"Salmon","https://www.fishbase.ca/summary/Oncorhynchus-kisutch.html",1,NA
"79","Oncorhynchus nerka","Sockeye salmon","north of Columbia River drainage in Oregon","Salmon","https://www.fishbase.ca/summary/oncorhynchus-nerka.html",1,NA
"80","Oncorhynchus tshawytscha","Chinook salmon","north to Oregon","Salmon","https://www.fishbase.ca/summary/244",1,NA
"81","Ophiodon elongatus","Lingcod",NA,"Other","https://www.fishbase.ca/summary/Ophiodon-elongatus.html",1,NA
"82","Orthonopias triacis","Snubnose sculpin",NA,NA,NA,1,NA
"83","Oxylebius pictus","Painted greenling",NA,"Other","https://www.fishbase.ca/summary/Oxylebius-pictus.html",1,NA
"84","Perciformes","Perciformes order",NA,NA,NA,1,NA
"85","Pholis","Gunnel species",NA,NA,NA,1,NA
"86","Pholis laeta","Crescent gunnel","north to northern California","Eelpouts and pricklebacks","https://www.fishbase.ca/summary/Pholis-laeta.html",1,NA
"87","Pholis ornata","Saddleback gunnel","north to 36°","Eelpouts and pricklebacks","https://www.fishbase.ca/summary/3806",1,NA
"88","Phytichthys chirus","Ribbon prickleback",NA,"Eelpouts and pricklebacks","https://www.fishbase.ca/summary/3791",1,NA
"89","Pleuronectidae","Flatfish family",NA,NA,NA,1,NA
"90","Pleuronectiformes","Flatfish order",NA,NA,NA,1,NA
"91","Pleuronichthys coenosus","C-O sole",NA,"Flatfish","https://www.fishbase.ca/summary/4251",1,NA
"92","Prosopium williamsoni","Mountain whitefish",NA,NA,NA,1,NA
"93","Rhamphocottus richardsonii","Grunt sculpin",NA,NA,NA,1,NA
"94","Rhinichthys cataractae","Longnose dace",NA,NA,NA,1,NA
"95","Rhinogobiops nicholsii","Blackeye goby",NA,NA,NA,1,NA
"96","Rimicola muscarum","Kelp clingfish","south to Queen Charlotte Islands",NA,"https://www.fishbase.se/summary/Rimicola-muscarum.html",1,NA
"97","Ronquilus jordani","Northern ronquil",NA,NA,NA,1,NA
"98","Salmo salar","Atlantic salmon","maybe from farm or food?","Salmon","https://www.fishbase.ca/summary/salmo-salar.html",1,NA
"99","Salvelinus","Char species",NA,NA,NA,1,NA
"100","Scomber","Mackerel species",NA,NA,NA,1,NA
"101","Scorpaenichthys marmoratus","Cabezon",NA,"Sculpins","https://www.fishbase.ca/summary/Scorpaenichthys-marmoratus.html",1,NA
"102","Sebastes","Rockfish species",NA,NA,NA,1,NA
"103","Sebastes entomelas","Widow rockfish",NA,NA,NA,1,NA
"104","Sebastes nebulosus","China rockfish",NA,NA,NA,1,NA
"105","Sebastes paucispinis","Bocaccio rockfish",NA,NA,NA,1,NA
"106","Sebastolobus","Thornyhead species",NA,NA,NA,1,NA
"107","Stichaeidae","Butterfish family",NA,NA,NA,1,NA
"108","Synchirus gilli","Manacled sculpin",NA,NA,NA,1,NA
"109","Syngnathus","Pipefish species",NA,NA,NA,1,NA
"110","Trichodon trichodon","Pacific sandfish",NA,NA,NA,1,NA
"111","Xiphister","Prickleback species",NA,NA,NA,1,NA
"112","Atherinops affinis","Topsmelt silverside","south to northern Van Island",NA,NA,1,NA
"113","Acanthogobius flavimanus","Yellowfin goby","japan",NA,NA,1,NA
"114","Syngnathus exilis","Barcheek pipefish","south to Half Moon Bay in central California",NA,NA,1,NA
"115","Syngnathus leptorhynchus","Bay pipefish",NA,"Other","https://www.fishbase.ca/summary/Syngnathus-leptorhynchus.html",1,NA
"116","Atherinopsis californiensis","Jack silverside","south to Yaquina Bay, OR",NA,NA,1,NA
"117","Engraulis mordax","Californian anchovy","south to northern Van Island",NA,NA,1,NA
"118","Sebastes baramenuke","Sebastes baramenuke","japan",NA,NA,1,NA
"119","Embiotoca jacksoni","Black perch","south to Fort Bragg, CA",NA,NA,1,NA
"120","Sebastes caurinus","Copper rockfish",NA,NA,NA,1,NA
"121","Amphistichus rhodoterus","Redtail surfperch","Vancouver Island, British Columbia, Canada to Avila Beach, central California, USA.","Perches","https://www.fishbase.ca/summary/3624",1,NA
"122","Phanerodon vacca","Pile perch",NA,NA,NA,1,NA
"123","Xiphister atropurpureus","Black prickleback",NA,"Eelpouts and pricklebacks","https://www.fishbase.ca/summary/Xiphister-atropurpureus.html",1,NA
"124","Oncorhynchus gorbuscha","pink salmon",NA,NA,NA,1,NA
"125","Isopsetta isolepis","Butter sole","north to Ventura, CA","Flatfish","https://www.fishbase.ca/summary/4242",1,NA
"126","Anoplarchus purpurescens","High cockscomb",NA,"Eelpouts and pricklebacks","https://www.fishbase.ca/summary/anoplarchus-purpurescens.html",1,NA
"127","Merluccius productus","North Pacific hake","south to northern Van Island",NA,NA,1,NA
"128","Hippoglossus hippoglossus","Atlantic halibut","atlantic",NA,NA,1,NA
"129","Paralabrax maculatofasciatus","Spotted sand bass","south to Monterey Bay",NA,NA,1,NA
"130","Sardinops sagax","South American pilchard",NA,NA,NA,1,NA
"131","Myoxocephalus jaok","Plain sculpin","Alaska","Sculpins","https://www.fishbase.ca/summary/Myoxocephalus-jaok.html",1,NA
"132","Cottus cognatus","Slimy sculpin","freshwater","Sculpins","https://www.fishbase.ca/summary/4068",1,NA
"133","Oligocottus maculosus","Tidepool sculpin","north to Los Angeles County","Sculpins","https://www.fishbase.ca/summary/4128",1,NA
"134","Cottus asper","prickly sculpin",NA,NA,NA,1,NA
"135","Platichthys stellatus","Starry flounder",NA,"Flatfish","https://www.fishbase.ca/summary/Platichthys-stellatus.html",1,NA
"136","Thunnus orientalis","Pacific bluefin tuna",NA,"Other","https://www.fishbase.ca/summary/14290",1,NA
"137","Oncorhynchus clarkii clarkii","Cutthroat trout","north to Eel River",NA,NA,1,NA
"138","Alburnus alburnus","Bleak","freshwater europe",NA,NA,1,NA
"139","Salvelinus taranetzi","Salvelinus taranetzi","russia",NA,NA,1,NA
"140","Hexagrammos agrammus","Spotty-bellied greenling","west pacific",NA,NA,1,NA
"141","Mugil cephalus","Flathead grey mullet","south to cali",NA,NA,1,NA
"142","Hypsoblennius gentilis","Bay blenny","south to Monterey Bay",NA,NA,1,NA
"143","Paralabrax clathratus","Kelp bass","south to WA",NA,NA,1,NA
"144","Paralabrax nebulifer","Barred sand bass","south to Santa Cruz, CA",NA,NA,1,NA
"145","Anchoa mitchilli","Bay anchovy","Atlantic",NA,NA,1,NA
"146","Seriola lalandi","Yellowtail amberjack","south to BC",NA,NA,1,NA
"147","Paralichthys californicus","California flounder","south to WA",NA,NA,1,NA
"148","Fundulus lima","Killifish","tropical",NA,NA,1,NA
"149","Hypsopsetta guttulata","Diamond turbot","south to Cape Mendicino",NA,NA,1,NA
"150","Limanda limanda","Common dab","european",NA,NA,1,NA
"151","Salvelinus malma","Dolly varden","freshewater - north to Washington",NA,NA,1,NA
"152","Lepidopsetta bilineata","Pacific rock sole",NA,NA,NA,1,NA
"153","Micrometrus minimus","Dwarf perch","south to Bodega Bay, CA",NA,NA,1,NA
"154","Sebastes auriculatus","Brown rockfish",NA,NA,NA,1,NA
"155","Myoxocephalus stelleri","Steller's sculpin","Alaska",NA,NA,1,NA
"156","Pholis crassispina","Pholis crassispina","asian species",NA,NA,1,NA
"157","Oncorhynchus mykiss","Rainbow trout / steelhead",NA,NA,NA,1,NA
