"","rank","found_taxa","ncbi_sp","genus","family","order","class","worms_match","worms_sciname","worms_aphiaid","original_aphiaid","status","unacceptreason","freshwater_only","hybrid"
"4269","species","Protomyctophum arcticum","Protomyctophum arcticum","Protomyctophum","Myctophidae","Myctophiformes","Teleostei","Protomyctophum arcticum","Protomyctophum arcticum",158917,158917,"accepted",NA,0,NA
"4270","species","Coryphaenoides mediterraneus","Coryphaenoides mediterraneus","Coryphaenoides","Macrouridae","Gadiformes","Teleostei","Coryphaenoides mediterraneus","Coryphaenoides mediterraneus",183099,183099,"accepted",NA,0,NA
"4271","species","Coryphaenoides guentheri","Coryphaenoides guentheri","Coryphaenoides","Macrouridae","Gadiformes","Teleostei","Coryphaenoides guentheri","Coryphaenoides guentheri",158958,158958,"accepted",NA,0,NA
"4272","species","Macrourus berglax","Macrourus berglax","Macrourus","Macrouridae","Gadiformes","Teleostei","Macrourus berglax","Macrourus berglax",126472,126472,"accepted",NA,0,NA
"4273","species","Lepidion lepidion","Lepidion lepidion","Lepidion","Moridae","Gadiformes","Teleostei","Lepidion lepidion","Lepidion lepidion",126495,126495,"accepted",NA,0,NA
"4274","species","Urophycis tenuis","Urophycis tenuis","Urophycis","Phycidae","Gadiformes","Teleostei","Urophycis tenuis","Urophycis tenuis",126504,126504,"accepted",NA,0,NA
"4275","species","Gaidropsarus argentatus","Gaidropsarus argentatus","Gaidropsarus","Lotidae","Gadiformes","Teleostei","Gaidropsarus argentatus","Gaidropsarus argentatus",126451,126451,"accepted",NA,0,NA
"4276","species","Gaidropsarus ensis","Gaidropsarus ensis","Gaidropsarus","Lotidae","Gadiformes","Teleostei","Gaidropsarus ensis","Gaidropsarus ensis",126453,126453,"accepted",NA,0,NA
"4277","species","Molva dypterygia","Molva dypterygia","Molva","Lotidae","Gadiformes","Teleostei","Molva dypterygia","Molva dypterygia",126459,126459,"accepted",NA,0,NA
"4278","species","Thalassobathia pelagica","Thalassobathia pelagica","Thalassobathia","Ophidiidae","Ophidiiformes","Teleostei","Thalassobathia pelagica","Thalassobathia pelagica",126660,126660,"accepted",NA,0,NA
"4279","species","Bythites fuscus","Bythites fuscus","Bythites","Bythitidae","Ophidiiformes","Teleostei","Bythites fuscus","Bythites fuscus",272759,272759,"accepted",NA,0,NA
"4280","species","Oneirodes eschrichtii","Oneirodes eschrichtii","Oneirodes","Oneirodidae","Lophiiformes","Teleostei","Oneirodes eschrichtii","Oneirodes eschrichtii",126572,126572,"accepted",NA,0,NA
"4281","species","Leptacanthichthys gracilispinis","Leptacanthichthys gracilispinis","Leptacanthichthys","Oneirodidae","Lophiiformes","Teleostei","Leptacanthichthys gracilispinis","Leptacanthichthys gracilispinis",126566,126566,"accepted",NA,0,NA
"4282","species","Poromitra crassiceps","Poromitra crassiceps","Poromitra","Melamphaidae","Beryciformes","Teleostei","Poromitra crassiceps","Poromitra crassiceps",127273,127273,"accepted",NA,0,NA
"4283","species","Melamphaes microps","Melamphaes microps","Melamphaes","Melamphaidae","Beryciformes","Teleostei","Melamphaes microps","Melamphaes microps",127268,127268,"accepted",NA,0,NA
"4284","species","Hoplostethus atlanticus","Hoplostethus atlanticus","Hoplostethus","Trachichthyidae","Trachichthyiformes","Teleostei","Hoplostethus atlanticus","Hoplostethus atlanticus",126402,126402,"accepted",NA,0,NA
"4285","species","Mobula tarapacana","Mobula tarapacana","Mobula","Myliobatidae","Myliobatiformes","Elasmobranchii","Mobula tarapacana","Mobula tarapacana",105859,105859,"accepted",NA,0,NA
"4286","species","Scalicus orientalis","Scalicus orientalis","Scalicus","Peristediidae","Perciformes","Teleostei","Scalicus orientalis","Scalicus orientalis",712549,712549,"accepted",NA,0,NA
"4287","species","Paraheminodus murrayi","Paraheminodus murrayi","Paraheminodus","Peristediidae","Perciformes","Teleostei","Paraheminodus murrayi","Paraheminodus murrayi",282045,282045,"accepted",NA,0,NA
"4288","species","Peristedion liorhynchus","Peristedion liorhynchus","Peristedion","Peristediidae","Perciformes","Teleostei","Peristedion liorhynchus","Peristedion liorhynchus",274642,274642,"accepted",NA,0,NA
"4289","species","Inegocia japonica","Inegocia japonica","Inegocia","Platycephalidae","Perciformes","Teleostei","Inegocia japonica","Inegocia japonica",281179,281179,"accepted",NA,0,NA
"4290","species","Cottiusculus schmidti","Cottiusculus schmidti","Cottiusculus","Cottidae","Perciformes","Teleostei","Cottiusculus schmidti","Cottiusculus schmidti",280407,280407,"accepted",NA,0,NA
"4291","species","Cottiusculus gonez","Cottiusculus gonez","Cottiusculus","Cottidae","Perciformes","Teleostei","Cottiusculus gonez","Cottiusculus gonez",280406,280406,"accepted",NA,0,NA
"4292","species","Taurocottus bergii","Taurocottus bergii","Taurocottus","Cottidae","Perciformes","Teleostei","Taurocottus bergii","Taurocottus bergii",282937,282937,"accepted",NA,0,NA
"4293","species","Artediellus dydymovi","Artediellus dydymovi","Artediellus","Cottidae","Perciformes","Teleostei","Artediellus dydymovi","Artediellus dydymovi",274358,274358,"accepted",NA,0,NA
"4294","species","Gilbertidia pustulosa","Gilbertidia pustulosa","Gilbertidia","Psychrolutidae","Perciformes","Teleostei","Gilbertidia pustulosa","Gilbertidia pustulosa",280840,280840,"accepted",NA,0,NA
"4295","species","Parascombrops serratospinosus","Synagrops serratospinosus","Synagrops","Acropomatidae","Acropomatiformes","Teleostei","Synagrops serratospinosus","Parascombrops serratospinosus",1486848,159585,"unaccepted","superseded original combination",0,NA
"4296","species","Cephalopholis microprion","Cephalopholis microprion","Cephalopholis","Serranidae","Perciformes","Teleostei","Cephalopholis microprion","Cephalopholis microprion",279150,279150,"accepted",NA,0,NA
"4297","species","Cephalopholis polleni","Cephalopholis polleni","Cephalopholis","Serranidae","Perciformes","Teleostei","Cephalopholis polleni","Cephalopholis polleni",218175,218175,"accepted",NA,0,NA
"4298","species","Pseudanthias bicolor","Pseudanthias bicolor","Pseudanthias","Serranidae","Perciformes","Teleostei","Pseudanthias bicolor","Pseudanthias bicolor",218276,218276,"accepted",NA,0,NA
"4299","species","Gracila albomarginata","Gracila albomarginata","Gracila","Serranidae","Perciformes","Teleostei","Gracila albomarginata","Gracila albomarginata",218255,218255,"accepted",NA,0,NA
"4300","genus","Stalix","Stalix","Stalix","Opistognathidae","Ovalentaria incertae sedis","Teleostei","Stalix","Stalix",270960,270960,"accepted",NA,0,NA
"4301","species","Siphamia tubifer","Siphamia tubifer","Siphamia","Apogonidae","Kurtiformes","Teleostei","Siphamia tubifer","Siphamia tubifer",277708,277708,"accepted",NA,0,NA
"4302","species","Taeniamia ataenia","Archamia ataenia","Archamia","Apogonidae","Kurtiformes","Teleostei","Archamia ataenia","Taeniamia ataenia",1010355,279043,"unaccepted",NA,0,NA
"4303","species","Cheilodipterus artus","Cheilodipterus artus","Cheilodipterus","Apogonidae","Kurtiformes","Teleostei","Cheilodipterus artus","Cheilodipterus artus",209377,209377,"accepted",NA,0,NA
"4304","species","Pristiapogon taeniopterus","Pristiapogon taeniopterus","Pristiapogon","Apogonidae","Kurtiformes","Teleostei","Pristiapogon taeniopterus","Pristiapogon taeniopterus",209367,209367,"accepted",NA,0,NA
"4305","species","Symphorus nematophorus","Symphorus nematophorus","Symphorus","Lutjanidae","Eupercaria incertae sedis","Teleostei","Symphorus nematophorus","Symphorus nematophorus",282915,282915,"accepted",NA,0,NA
"4306","species","Lutjanus ehrenbergii","Lutjanus ehrenbergii","Lutjanus","Lutjanidae","Eupercaria incertae sedis","Teleostei","Lutjanus ehrenbergii","Lutjanus ehrenbergii",218489,218489,"accepted",NA,0,NA
"4307","species","Nemipterus peronii","Nemipterus peronii","Nemipterus","Nemipteridae","Eupercaria incertae sedis","Teleostei","Nemipterus peronii","Nemipterus peronii",218520,218520,"accepted",NA,0,NA
"4308","species","Sciaenops ocellatus","Sciaenops ocellatus","Sciaenops","Sciaenidae","Eupercaria incertae sedis","Teleostei","Sciaenops ocellatus","Sciaenops ocellatus",159335,159335,"accepted",NA,0,NA
"4309","species","Parupeneus crassilabris","Parupeneus crassilabris","Parupeneus","Mullidae","Mulliformes","Teleostei","Parupeneus crassilabris","Parupeneus crassilabris",277814,277814,"accepted",NA,0,NA
"4310","species","Chelmon rostratus","Chelmon rostratus","Chelmon","Chaetodontidae","Acanthuriformes","Teleostei","Chelmon rostratus","Chelmon rostratus",218758,218758,"accepted",NA,0,NA
"4311","species","Centropyge bicolor","Centropyge bicolor","Centropyge","Pomacanthidae","Acanthuriformes","Teleostei","Centropyge bicolor","Centropyge bicolor",211780,211780,"accepted",NA,0,NA
"4312","species","Centropyge shepardi","Centropyge shepardi","Centropyge","Pomacanthidae","Acanthuriformes","Teleostei","Centropyge shepardi","Centropyge shepardi",278850,278850,"accepted",NA,0,NA
"4313","species","Mesopristes argenteus","Mesopristes argenteus","Mesopristes","Terapontidae","Centrarchiformes","Teleostei","Mesopristes argenteus","Mesopristes argenteus",279088,279088,"accepted",NA,0,NA
"4314","species","Mesopristes iravi","Mesopristes iravi","Mesopristes","Terapontidae","Centrarchiformes","Teleostei","Mesopristes iravi","Mesopristes iravi",279090,279090,"accepted",NA,0,NA
"4315","species","Ditrema jordani","Ditrema jordani","Ditrema","Embiotocidae","Ovalentaria incertae sedis","Teleostei","Ditrema jordani","Ditrema jordani",314282,314282,"accepted",NA,0,NA
"4316","species","Chromis albomaculata","Chromis albomaculata","Chromis","Pomacentridae","Ovalentaria incertae sedis","Teleostei","Chromis albomaculata","Chromis albomaculata",273707,273707,"accepted",NA,0,NA
"4317","species","Azurina elerae","Chromis elerae","Chromis","Pomacentridae","Ovalentaria incertae sedis","Teleostei","Chromis elerae","Azurina elerae",1605313,273721,"unaccepted",NA,0,NA
"4318","species","Chrysiptera chrysocephala","Chrysiptera chrysocephala","Chrysiptera","Pomacentridae","Ovalentaria incertae sedis","Teleostei","Chrysiptera chrysocephala","Chrysiptera chrysocephala",387927,387927,"accepted",NA,0,NA
"4319","species","Cirrhilabrus lunatus","Cirrhilabrus lunatus","Cirrhilabrus","Labridae","Eupercaria incertae sedis","Teleostei","Cirrhilabrus lunatus","Cirrhilabrus lunatus",277855,277855,"accepted",NA,0,NA
"4320","species","Bodianus bimaculatus","Bodianus bimaculatus","Bodianus","Labridae","Eupercaria incertae sedis","Teleostei","Bodianus bimaculatus","Bodianus bimaculatus",218935,218935,"accepted",NA,0,NA
"4321","species","Decodon pacificus","Decodon pacificus","Decodon","Labridae","Eupercaria incertae sedis","Teleostei","Decodon pacificus","Decodon pacificus",276746,276746,"accepted",NA,0,NA
"4322","species","Bodianus perditio","Bodianus perditio","Bodianus","Labridae","Eupercaria incertae sedis","Teleostei","Bodianus perditio","Bodianus perditio",218934,218934,"accepted",NA,0,NA
"4323","species","Halichoeres orientalis","Halichoeres orientalis","Halichoeres","Labridae","Eupercaria incertae sedis","Teleostei","Halichoeres orientalis","Halichoeres orientalis",275782,275782,"accepted",NA,0,NA
"4324","species","Iniistius geisha","Iniistius geisha","Iniistius","Labridae","Eupercaria incertae sedis","Teleostei","Iniistius geisha","Iniistius geisha",712762,712762,"accepted",NA,0,NA
"4325","species","Iniistius verrens","Iniistius verrens","Iniistius","Labridae","Eupercaria incertae sedis","Teleostei","Iniistius verrens","Iniistius verrens",712765,712765,"accepted",NA,0,NA
"4326","species","Lycenchelys paxillus","Lycenchelys paxillus","Lycenchelys","Zoarcidae","Perciformes","Teleostei","Lycenchelys paxillus","Lycenchelys paxillus",159257,159257,"accepted",NA,0,NA
"4327","species","Lycodes rossi","Lycodes rossi","Lycodes","Zoarcidae","Perciformes","Teleostei","Lycodes rossi","Lycodes rossi",127113,127113,"accepted",NA,0,NA
"4328","species","Lycodes soldatovi","Lycodes soldatovi","Lycodes","Zoarcidae","Perciformes","Teleostei","Lycodes soldatovi","Lycodes soldatovi",274123,274123,"accepted",NA,0,NA
"4329","species","Lycodes japonicus","Lycodes japonicus","Lycodes","Zoarcidae","Perciformes","Teleostei","Lycodes japonicus","Lycodes japonicus",274103,274103,"accepted",NA,0,NA
"4330","species","Hadropogonichthys leptopus","Hadropogonichthys leptopus","Hadropogonichthys","Zoarcidae","Perciformes","Teleostei","Hadropogonichthys leptopus","Hadropogonichthys leptopus",388894,388894,"accepted",NA,0,NA
"4331","species","Lycenchelys melanostomias","Lycenchelys melanostomias","Lycenchelys","Zoarcidae","Perciformes","Teleostei","Lycenchelys melanostomias","Lycenchelys melanostomias",274072,274072,"accepted",NA,0,NA
"4332","species","Lycenchelys remissaria","Lycenchelys remissaria","Lycenchelys","Zoarcidae","Perciformes","Teleostei","Lycenchelys remissaria","Lycenchelys remissaria",274083,274083,"accepted",NA,0,NA
"4333","species","Lycenchelys rassi","Lycenchelys rassi","Lycenchelys","Zoarcidae","Perciformes","Teleostei","Lycenchelys rassi","Lycenchelys rassi",274082,274082,"accepted",NA,0,NA
"4334","species","Lycenchelys hippopotamus","Lycenchelys hippopotamus","Lycenchelys","Zoarcidae","Perciformes","Teleostei","Lycenchelys hippopotamus","Lycenchelys hippopotamus",254593,254593,"accepted",NA,0,NA
"4335","species","Lycenchelys albomaculata","Lycenchelys albomaculata","Lycenchelys","Zoarcidae","Perciformes","Teleostei","Lycenchelys albomaculata","Lycenchelys albomaculata",274055,274055,"accepted",NA,0,NA
"4336","species","Lycodes sadoensis","Lycodes sadoensis","Lycodes","Zoarcidae","Perciformes","Teleostei","Lycodes sadoensis","Lycodes sadoensis",274119,274119,"accepted",NA,0,NA
"4337","species","Anisarchus macrops","Anisarchus macrops","Anisarchus","Stichaeidae","Perciformes","Teleostei","Anisarchus macrops","Anisarchus macrops",273988,273988,"accepted",NA,0,NA
"4338","species","Chiasmodon harteli","Chiasmodon harteli","Chiasmodon","Chiasmodontidae","Scombriformes","Teleostei","Chiasmodon harteli","Chiasmodon harteli",712795,712795,"accepted",NA,0,NA
"4339","species","Parapercis phenax","Parapercis phenax","Parapercis","Pinguipedidae","Perciformes","Teleostei","Parapercis phenax","Parapercis phenax",389798,389798,"accepted",NA,0,NA
"4340","species","Ammodytes dubius","Ammodytes dubius","Ammodytes","Ammodytidae","Perciformes","Teleostei","Ammodytes dubius","Ammodytes dubius",151520,151520,"accepted",NA,0,NA
"4341","species","Enneapterygius bahasa","Enneapterygius bahasa","Enneapterygius","Tripterygiidae","Blenniiformes","Teleostei","Enneapterygius bahasa","Enneapterygius bahasa",277300,277300,"accepted",NA,0,NA
"4342","species","Scartella emarginata","Scartella emarginata","Scartella","Blenniidae","Blenniiformes","Teleostei","Scartella emarginata","Scartella emarginata",219342,219342,"accepted",NA,0,NA
"4343","species","Glyptoparus delicatulus","Glyptoparus delicatulus","Glyptoparus","Blenniidae","Blenniiformes","Teleostei","Glyptoparus delicatulus","Glyptoparus delicatulus",219287,219287,"accepted",NA,0,NA
"4344","species","Laiphognathus multimaculatus","Laiphognathus multimaculatus","Laiphognathus","Blenniidae","Blenniiformes","Teleostei","Laiphognathus multimaculatus","Laiphognathus multimaculatus",219305,219305,"accepted",NA,0,NA
"4345","species","Istiblennius dussumieri","Istiblennius dussumieri","Istiblennius","Blenniidae","Blenniiformes","Teleostei","Istiblennius dussumieri","Istiblennius dussumieri",219303,219303,"accepted",NA,0,NA
"4346","species","Mimoblennius atrocinctus","Mimoblennius atrocinctus","Mimoblennius","Blenniidae","Blenniiformes","Teleostei","Mimoblennius atrocinctus","Mimoblennius atrocinctus",277718,277718,"accepted",NA,0,NA
"4347","species","Cirripectes kuwamurai","Cirripectes kuwamurai","Cirripectes","Blenniidae","Blenniiformes","Teleostei","Cirripectes kuwamurai","Cirripectes kuwamurai",276722,276722,"accepted",NA,0,NA
"4348","species","Istiblennius lineatus","Istiblennius lineatus","Istiblennius","Blenniidae","Blenniiformes","Teleostei","Istiblennius lineatus","Istiblennius lineatus",219296,219296,"accepted",NA,0,NA
"4349","species","Lepadichthys coccinotaenia","Lepadichthys coccinotaenia","Lepadichthys","Gobiesocidae","Gobiesociformes","Teleostei","Lepadichthys coccinotaenia","Lepadichthys coccinotaenia",219763,219763,"accepted",NA,0,NA
"4350","species","Synchiropus splendidus","Synchiropus splendidus","Synchiropus","Callionymidae","Callionymiformes","Teleostei","Synchiropus splendidus","Synchiropus splendidus",273264,273264,"accepted",NA,0,NA
"4351","species","Callionymus lunatus","Repomucenus lunatus","Repomucenus","Callionymidae","Callionymiformes","Teleostei","Repomucenus lunatus","Callionymus lunatus",302240,282562,"unaccepted","Reverted to original combination",0,NA
"4352","species","Pseudocalliurichthys variegatus","Pseudocalliurichthys variegatus","Pseudocalliurichthys","Callionymidae","Callionymiformes","Teleostei","Pseudocalliurichthys variegatus","Pseudocalliurichthys variegatus",315384,315384,"accepted",NA,0,NA
"4353","species","Foetorepus masudai","Synchiropus masudai","Synchiropus","Callionymidae","Callionymiformes","Teleostei","Synchiropus masudai","Foetorepus masudai",276347,302278,"unaccepted",NA,0,NA
"4354","species","Xenisthmus clarus","Xenisthmus clarus","Xenisthmus","Xenisthmidae","Gobiiformes","Teleostei","Xenisthmus clarus","Xenisthmus clarus",277959,277959,"accepted",NA,0,NA
"4355","species","Smilosicyopus leprurus","Smilosicyopus leprurus","Smilosicyopus","Gobiidae","Gobiiformes","Teleostei","Smilosicyopus leprurus","Smilosicyopus leprurus",712901,712901,"accepted",NA,1,NA
"4356","species","Coryphaenoides cinereus","Coryphaenoides cinereus","Coryphaenoides","Macrouridae","Gadiformes","Teleostei","Coryphaenoides cinereus","Coryphaenoides cinereus",272326,272326,"accepted",NA,0,NA
"4357","species","Chaetodon bennetti","Chaetodon bennetti","Chaetodon","Chaetodontidae","Acanthuriformes","Teleostei","Chaetodon bennetti","Chaetodon bennetti",218735,218735,"accepted",NA,0,NA
"4358","species","Boleophthalmus pectinirostris","Boleophthalmus pectinirostris","Boleophthalmus","Gobiidae","Gobiiformes","Teleostei","Boleophthalmus pectinirostris","Boleophthalmus pectinirostris",279926,279926,"accepted",NA,0,NA
"4359","species","Luciogobius fonticola","Luciogobius fonticola","Luciogobius","Gobiidae","Gobiiformes","Teleostei","Luciogobius fonticola","Luciogobius fonticola",1384606,1384606,"accepted",NA,0,NA
"4360","species","Acanthogobius insularis","Acanthogobius insularis","Acanthogobius","Gobiidae","Gobiiformes","Teleostei","Acanthogobius insularis","Acanthogobius insularis",1010684,1010684,"accepted",NA,0,NA
"4361","species","Gymnogobius mororanus","Gymnogobius mororanus","Gymnogobius","Gobiidae","Gobiiformes","Teleostei","Gymnogobius mororanus","Gymnogobius mororanus",280962,280962,"accepted",NA,0,NA
"4362","species","Oxyurichthys papuensis","Oxyurichthys papuensis","Oxyurichthys","Gobiidae","Gobiiformes","Teleostei","Oxyurichthys papuensis","Oxyurichthys papuensis",126921,126921,"accepted",NA,0,NA
"4363","species","Eviota nigriventris","Eviota nigriventris","Eviota","Gobiidae","Gobiiformes","Teleostei","Eviota nigriventris","Eviota nigriventris",219457,219457,"accepted",NA,0,NA
"4364","species","Eviota shimadai","Eviota shimadai","Eviota","Gobiidae","Gobiiformes","Teleostei","Eviota shimadai","Eviota shimadai",475016,475016,"accepted",NA,0,NA
"4365","species","Gobiodon heterospilos","Gobiodon heterospilos","Gobiodon","Gobiidae","Gobiiformes","Teleostei","Gobiodon heterospilos","Gobiodon heterospilos",276927,276927,"accepted",NA,0,NA
"4366","species","Bryaninops tigris","Bryaninops tigris","Bryaninops","Gobiidae","Gobiiformes","Teleostei","Bryaninops tigris","Bryaninops tigris",219389,219389,"accepted",NA,0,NA
"4367","species","Ctenogobiops pomastictus","Ctenogobiops pomastictus","Ctenogobiops","Gobiidae","Gobiiformes","Teleostei","Ctenogobiops pomastictus","Ctenogobiops pomastictus",278352,278352,"accepted",NA,0,NA
"4368","species","Asterropteryx spinosa","Asterropteryx spinosa","Asterropteryx","Gobiidae","Gobiiformes","Teleostei","Asterropteryx spinosa","Asterropteryx spinosa",277498,277498,"accepted",NA,0,NA
"4369","species","Bathygobius petrophilus","Bathygobius petrophilus","Bathygobius","Gobiidae","Gobiiformes","Teleostei","Bathygobius petrophilus","Bathygobius petrophilus",277635,277635,"accepted",NA,0,NA
"4370","species","Amblyeleotris melanocephala","Amblyeleotris melanocephala","Amblyeleotris","Gobiidae","Gobiiformes","Teleostei","Amblyeleotris melanocephala","Amblyeleotris melanocephala",278976,278976,"accepted",NA,0,NA
"4371","species","Gobiopsis arenaria","Gobiopsis arenaria","Gobiopsis","Gobiidae","Gobiiformes","Teleostei","Gobiopsis arenaria","Gobiopsis arenaria",277783,277783,"accepted",NA,0,NA
"4372","species","Amblyeleotris diagonalis","Amblyeleotris diagonalis","Amblyeleotris","Gobiidae","Gobiiformes","Teleostei","Amblyeleotris diagonalis","Amblyeleotris diagonalis",209269,209269,"accepted",NA,0,NA
"4373","species","Amblyeleotris masuii","Amblyeleotris masuii","Amblyeleotris","Gobiidae","Gobiiformes","Teleostei","Amblyeleotris masuii","Amblyeleotris masuii",278975,278975,"accepted",NA,0,NA
"4374","species","Cryptocentrus sericus","Cryptocentrus sericus","Cryptocentrus","Gobiidae","Gobiiformes","Teleostei","Cryptocentrus sericus","Cryptocentrus sericus",1015682,1015682,"accepted",NA,0,NA
"4375","species","Eviota storthynx","Eviota storthynx","Eviota","Gobiidae","Gobiiformes","Teleostei","Eviota storthynx","Eviota storthynx",278611,278611,"accepted",NA,0,NA
"4376","species","Tomiyamichthys oni","Tomiyamichthys oni","Tomiyamichthys","Gobiidae","Gobiiformes","Teleostei","Tomiyamichthys oni","Tomiyamichthys oni",283008,283008,"accepted",NA,0,NA
"4377","species","Glossogobius illimis","Glossogobius illimis","Glossogobius","Gobiidae","Gobiiformes","Teleostei","Glossogobius illimis","Glossogobius illimis",834946,834946,"accepted",NA,1,NA
"4378","species","Eviota prasites","Eviota prasites","Eviota","Gobiidae","Gobiiformes","Teleostei","Eviota prasites","Eviota prasites",278601,278601,"accepted",NA,0,NA
"4379","species","Gnatholepis ophthalmotaenia","Gnatholepis ophthalmotaenia","Gnatholepis","Gobiidae","Gobiiformes","Teleostei","Gnatholepis ophthalmotaenia","Gnatholepis ophthalmotaenia",310740,310740,"accepted",NA,0,NA
"4380","species","Asterropteryx senoui","Asterropteryx senoui","Asterropteryx","Gobiidae","Gobiiformes","Teleostei","Asterropteryx senoui","Asterropteryx senoui",398629,398629,"accepted",NA,0,NA
"4381","genus","Gnatholepis","Gnatholepis","Gnatholepis","Gobiidae","Gobiiformes","Teleostei","Gnatholepis","Gnatholepis",204522,204522,"accepted",NA,0,NA
"4382","species","Gobiodon unicolor","Gobiodon unicolor","Gobiodon","Gobiidae","Gobiiformes","Teleostei","Gobiodon unicolor","Gobiodon unicolor",276935,276935,"accepted",NA,0,NA
"4383",NA,NA,"Verhorstia phaeosticta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4384","species","Ancistrogobius yoshigoui","Ancistrogobius yoshigoui","Ancistrogobius","Gobiidae","Gobiiformes","Teleostei","Ancistrogobius yoshigoui","Ancistrogobius yoshigoui",475007,475007,"accepted",NA,0,NA
"4385","species","Amblyeleotris ogasawarensis","Amblyeleotris ogasawarensis","Amblyeleotris","Gobiidae","Gobiiformes","Teleostei","Amblyeleotris ogasawarensis","Amblyeleotris ogasawarensis",278978,278978,"accepted",NA,0,NA
"4386","species","Oplopomus caninoides","Oplopomus caninoides","Oplopomus","Gobiidae","Gobiiformes","Teleostei","Oplopomus caninoides","Oplopomus caninoides",277728,277728,"accepted",NA,0,NA
"4387","species","Platygobiopsis tansei","Platygobiopsis tansei","Platygobiopsis","Gobiidae","Gobiiformes","Teleostei","Platygobiopsis tansei","Platygobiopsis tansei",398649,398649,"accepted",NA,0,NA
"4388","species","Parioglossus palustris","Parioglossus palustris","Parioglossus","Microdesmidae","Gobiiformes","Teleostei","Parioglossus palustris","Parioglossus palustris",278755,278755,"accepted",NA,0,NA
"4389","species","Parioglossus philippinus","Parioglossus philippinus","Parioglossus","Microdesmidae","Gobiiformes","Teleostei","Parioglossus philippinus","Parioglossus philippinus",278756,278756,"accepted",NA,0,NA
"4390","species","Siganus punctatissimus","Siganus punctatissimus","Siganus","Siganidae","Acanthuriformes","Teleostei","Siganus punctatissimus","Siganus punctatissimus",273921,273921,"accepted",NA,0,NA
"4391","species","Acanthurus nigricans","Acanthurus nigricans","Acanthurus","Acanthuridae","Acanthuriformes","Teleostei","Acanthurus nigricans","Acanthurus nigricans",219638,219638,"accepted",NA,0,NA
"4392","species","Ctenochaetus hawaiiensis","Ctenochaetus hawaiiensis","Ctenochaetus","Acanthuridae","Acanthuriformes","Teleostei","Ctenochaetus hawaiiensis","Ctenochaetus hawaiiensis",277561,277561,"accepted",NA,0,NA
"4393","species","Neoepinnula minetomai","Neoepinnula minetomai","Neoepinnula","Gempylidae","Scombriformes","Teleostei","Neoepinnula minetomai","Neoepinnula minetomai",835198,835198,"accepted",NA,0,NA
"4394","species","Istiompax indica","Istiompax indica","Istiompax","Istiophoridae","Carangiformes","Teleostei","Istiompax indica","Istiompax indica",712905,712905,"accepted",NA,0,NA
"4395","species","Parabothus coarctatus","Parabothus coarctatus","Parabothus","Bothidae","Pleuronectiformes","Teleostei","Parabothus coarctatus","Parabothus coarctatus",282002,282002,"accepted",NA,0,NA
"4396","species","Brachirus annularis","Brachirus annularis","Brachirus","Soleidae","Pleuronectiformes","Teleostei","Brachirus annularis","Brachirus annularis",279959,279959,"accepted",NA,0,NA
"4397","species","Pervagor nigrolineatus","Pervagor nigrolineatus","Pervagor","Monacanthidae","Tetraodontiformes","Teleostei","Pervagor nigrolineatus","Pervagor nigrolineatus",279223,279223,"accepted",NA,0,NA
"4398","species","Tetrosomus gibbosus","Tetrosomus gibbosus","Tetrosomus","Ostraciidae","Tetraodontiformes","Teleostei","Tetrosomus gibbosus","Tetrosomus gibbosus",219915,219915,"accepted",NA,0,NA
"4399",NA,NA,"Torquir albomaculosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4400","species","Acanthurus xanthopterus","Acanthurus xanthopterus","Acanthurus","Acanthuridae","Acanthuriformes","Teleostei","Acanthurus xanthopterus","Acanthurus xanthopterus",219634,219634,"accepted",NA,0,NA
"4401","species","Ostracoberyx dorygenys","Ostracoberyx dorygenys","Ostracoberyx","Ostracoberycidae","Acropomatiformes","Teleostei","Ostracoberyx dorygenys","Ostracoberyx dorygenys",221428,221428,"accepted",NA,0,NA
"4402","species","Pterygotrigla macrorhynchus","Pterygotrigla macrorhynchus","Pterygotrigla","Triglidae","Perciformes","Teleostei","Pterygotrigla macrorhynchus","Pterygotrigla macrorhynchus",214688,214688,"accepted",NA,0,NA
"4403","species","Hydrolagus purpurescens","Hydrolagus purpurescens","Hydrolagus","Chimaeridae","Chimaeriformes","Holocephali","Hydrolagus purpurescens","Hydrolagus purpurescens",271417,271417,"accepted",NA,0,NA
"4404","species","Mahidolia mystacina","Mahidolia mystacina","Mahidolia","Gobiidae","Gobiiformes","Teleostei","Mahidolia mystacina","Mahidolia mystacina",219512,219512,"accepted",NA,0,NA
"4405","species","Pseudanthias leucozonus","Pseudanthias leucozonus","Pseudanthias","Serranidae","Perciformes","Teleostei","Pseudanthias leucozonus","Pseudanthias leucozonus",277462,277462,"accepted",NA,0,NA
"4406","species","Acanthurus guttatus","Acanthurus guttatus","Acanthurus","Acanthuridae","Acanthuriformes","Teleostei","Acanthurus guttatus","Acanthurus guttatus",219650,219650,"accepted",NA,0,NA
"4407","species","Liopropoma latifasciatum","Liopropoma latifasciatum","Liopropoma","Serranidae","Perciformes","Teleostei","Liopropoma latifasciatum","Liopropoma latifasciatum",275946,275946,"accepted",NA,0,NA
