"","rank","found_taxa","ncbi_sp","genus","family","order","class","worms_match","worms_sciname","worms_aphiaid","original_aphiaid","status","unacceptreason","freshwater_only","hybrid"
"32","species","Vanmanenia lineata","Vanmanenia lineata","Vanmanenia","Balitoridae","Cypriniformes","Teleostei","Vanmanenia lineata","Vanmanenia lineata",1015335,1015335,"accepted",NA,1,NA
"33","species","Yaoshania pachychilus","Yaoshania pachychilus","Yaoshania","Balitoridae","Cypriniformes","Teleostei","Yaoshania pachychilus","Yaoshania pachychilus",1524240,1524240,"accepted",NA,1,NA
"34","species","Prochilodus argenteus","Prochilodus argenteus","Prochilodus","Prochilodontidae","Characiformes","Teleostei","Prochilodus argenteus","Prochilodus argenteus",1022670,1022670,"accepted",NA,1,NA
"35","species","Prochilodus costatus","Prochilodus costatus","Prochilodus","Prochilodontidae","Characiformes","Teleostei","Prochilodus costatus","Prochilodus costatus",1020354,1020354,"accepted",NA,1,NA
"36","species","Prochilodus lineatus","Prochilodus lineatus","Prochilodus","Prochilodontidae","Characiformes","Teleostei","Prochilodus lineatus","Prochilodus lineatus",1016626,1016626,"accepted",NA,1,NA
"37","species","Prochilodus harttii","Prochilodus harttii","Prochilodus","Prochilodontidae","Characiformes","Teleostei","Prochilodus harttii","Prochilodus harttii",1020334,1020334,"accepted",NA,1,NA
"38","species","Oryzias curvinotus","Oryzias curvinotus","Oryzias","Adrianichthyidae","Beloniformes","Teleostei","Oryzias curvinotus","Oryzias curvinotus",281937,281937,"accepted",NA,0,NA
"39","species","Schistura reticulofasciata","Schistura reticulofasciata","Schistura","Nemacheilidae","Cypriniformes","Teleostei","Schistura reticulofasciata","Schistura reticulofasciata",1012278,1012278,"accepted",NA,1,NA
"40","species","Schistura sikmaiensis","Schistura sikmaiensis","Schistura","Nemacheilidae","Cypriniformes","Teleostei","Schistura sikmaiensis","Schistura sikmaiensis",1016840,1016840,"accepted",NA,1,NA
"41","species","Chelidonichthys kumu","Chelidonichthys kumu","Chelidonichthys","Triglidae","Perciformes","Teleostei","Chelidonichthys kumu","Chelidonichthys kumu",218122,218122,"accepted",NA,0,NA
"42","species","Scomberoides tol","Scomberoides tol","Scomberoides","Carangidae","Carangiformes","Teleostei","Scomberoides tol","Scomberoides tol",218433,218433,"accepted",NA,0,NA
"43","species","Scomberoides commersonnianus","Scomberoides commersonnianus","Scomberoides","Carangidae","Carangiformes","Teleostei","Scomberoides commersonnianus","Scomberoides commersonnianus",218432,218432,"accepted",NA,0,NA
"44","species","Scatophagus argus","Scatophagus argus","Scatophagus","Scatophagidae","Acanthuriformes","Teleostei","Scatophagus argus","Scatophagus argus",276970,276970,"accepted",NA,0,NA
"45","species","Platycephalus indicus","Platycephalus indicus","Platycephalus","Platycephalidae","Perciformes","Teleostei","Platycephalus indicus","Platycephalus indicus",127234,127234,"accepted",NA,0,NA
"46","species","Plotosus canius","Plotosus canius","Plotosus","Plotosidae","Siluriformes","Teleostei","Plotosus canius","Plotosus canius",278694,278694,"accepted",NA,0,NA
"47","species","Otolithes ruber","Otolithes ruber","Otolithes","Sciaenidae","Eupercaria incertae sedis","Teleostei","Otolithes ruber","Otolithes ruber",218641,218641,"accepted",NA,0,NA
"48","species","Cynoglossus bilineatus","Cynoglossus quadrilineatus","Cynoglossus","Cynoglossidae","Pleuronectiformes","Teleostei","Cynoglossus quadrilineatus","Cynoglossus bilineatus",219846,305630,"unaccepted",NA,0,NA
"49","species","Carangoides praeustus","Carangoides praeustus","Carangoides","Carangidae","Carangiformes","Teleostei","Carangoides praeustus","Carangoides praeustus",276244,276244,"accepted",NA,0,NA
"50","species","Batrachomoeus trispinosus","Batrachomoeus trispinosus","Batrachomoeus","Batrachoididae","Batrachoidiformes","Teleostei","Batrachomoeus trispinosus","Batrachomoeus trispinosus",279883,279883,"accepted",NA,0,NA
"51","species","Thunnus obesus","Thunnus obesus","Thunnus","Scombridae","Scombriformes","Teleostei","Thunnus obesus","Thunnus obesus",127028,127028,"accepted",NA,0,NA
"52","species","Culter oxycephaloides","Culter oxycephaloides","Culter","Cyprinidae","Cypriniformes","Teleostei","Culter oxycephaloides","Culter oxycephaloides",1018009,1018009,"accepted",NA,1,NA
"53","species","Sinocrossocheilus bamaensis","Sinocrossocheilus bamaensis","Sinocrossocheilus","Cyprinidae","Cypriniformes","Teleostei","Sinocrossocheilus bamaensis","Sinocrossocheilus bamaensis",1012342,1012342,"accepted",NA,1,NA
"54","species","Schistura fasciolata","Schistura fasciolata","Schistura","Nemacheilidae","Cypriniformes","Teleostei","Schistura fasciolata","Schistura fasciolata",282681,282681,"accepted",NA,0,NA
"55","species","Gymnocypris przewalskii","Gymnocypris przewalskii","Gymnocypris","Cyprinidae","Cypriniformes","Teleostei","Gymnocypris przewalskii","Gymnocypris przewalskii",1020303,1020303,"accepted",NA,1,NA
"56","species","Labeo catla","Labeo catla","Labeo","Cyprinidae","Cypriniformes","Teleostei","Labeo catla","Labeo catla",1605292,1605292,"accepted",NA,0,NA
"57","species","Triplophysa pappenheimi","Triplophysa pappenheimi","Triplophysa","Nemacheilidae","Cypriniformes","Teleostei","Triplophysa pappenheimi","Triplophysa pappenheimi",1015342,1015342,"accepted",NA,1,NA
"58","species","Gymnocypris scleracanthus","Gymnocypris scleracanthus","Gymnocypris","Cyprinidae","Cypriniformes","Teleostei","Gymnocypris scleracanthus","Gymnocypris scleracanthus",1011102,1011102,"accepted",NA,1,NA
"59","species","Hemigymnus melapterus","Hemigymnus melapterus","Hemigymnus","Labridae","Eupercaria incertae sedis","Teleostei","Hemigymnus melapterus","Hemigymnus melapterus",218998,218998,"accepted",NA,0,NA
"60","species","Cheilinus lunulatus","Cheilinus lunulatus","Cheilinus","Labridae","Eupercaria incertae sedis","Teleostei","Cheilinus lunulatus","Cheilinus lunulatus",218942,218942,"accepted",NA,0,NA
"61","species","Epibulus insidiator","Epibulus insidiator","Epibulus","Labridae","Eupercaria incertae sedis","Teleostei","Epibulus insidiator","Epibulus insidiator",218972,218972,"accepted",NA,0,NA
"62","species","Cheilinus abudjubbe","Cheilinus abudjubbe","Cheilinus","Labridae","Eupercaria incertae sedis","Teleostei","Cheilinus abudjubbe","Cheilinus abudjubbe",218939,218939,"accepted",NA,0,NA
"63","species","Oxycheilinus digramma","Oxycheilinus digramma","Oxycheilinus","Labridae","Eupercaria incertae sedis","Teleostei","Oxycheilinus digramma","Oxycheilinus digramma",277996,277996,"accepted",NA,0,NA
"64","species","Calotomus carolinus","Calotomus carolinus","Calotomus","Scaridae","Eupercaria incertae sedis","Teleostei","Calotomus carolinus","Calotomus carolinus",219076,219076,"accepted",NA,0,NA
"65","species","Cheilinus fasciatus","Cheilinus fasciatus","Cheilinus","Labridae","Eupercaria incertae sedis","Teleostei","Cheilinus fasciatus","Cheilinus fasciatus",218940,218940,"accepted",NA,0,NA
"66","species","Hipposcarus harid","Hipposcarus harid","Hipposcarus","Scaridae","Eupercaria incertae sedis","Teleostei","Hipposcarus harid","Hipposcarus harid",219090,219090,"accepted",NA,0,NA
"67","species","Schizothorax eurystomus","Schizothorax eurystomus","Schizothorax","Cyprinidae","Cypriniformes","Teleostei","Schizothorax eurystomus","Schizothorax eurystomus",1383086,1383086,"accepted",NA,1,NA
"68","species","Aspiorhynchus laticeps","Aspiorhynchus laticeps","Aspiorhynchus","Cyprinidae","Cypriniformes","Teleostei","Aspiorhynchus laticeps","Aspiorhynchus laticeps",1017931,1017931,"accepted",NA,1,NA
"69","species","Mystus vittatus","Mystus vittatus","Mystus","Bagridae","Siluriformes","Teleostei","Mystus vittatus","Mystus vittatus",281620,281620,"accepted",NA,0,NA
"70","species","Sphyrna mokarran","Sphyrna mokarran","Sphyrna","Sphyrnidae","Carcharhiniformes","Elasmobranchii","Sphyrna mokarran","Sphyrna mokarran",105817,105817,"accepted",NA,0,NA
"71","species","Discogobio longibarbatus","Discogobio longibarbatus","Discogobio","Cyprinidae","Cypriniformes","Teleostei","Discogobio longibarbatus","Discogobio longibarbatus",280566,280566,"accepted",NA,0,NA
"72","species","Pseudolaubuca sinensis","Pseudolaubuca sinensis","Pseudolaubuca","Cyprinidae","Cypriniformes","Teleostei","Pseudolaubuca sinensis","Pseudolaubuca sinensis",1015718,1015718,"accepted",NA,1,NA
"73","species","Xenotoca variata","Xenotoca variata","Xenotoca","Goodeidae","Cyprinodontiformes","Teleostei","Xenotoca variata","Xenotoca variata",1019792,1019792,"accepted",NA,1,NA
"74","species","Squalidus multimaculatus","Squalidus multimaculatus","Squalidus","Cyprinidae","Cypriniformes","Teleostei","Squalidus multimaculatus","Squalidus multimaculatus",1012027,1012027,"accepted",NA,1,NA
"75","genus","Megalobrama","Megalobrama amblycephala x Megalobrama pellegrini","Megalobrama","Cyprinidae","Cypriniformes","Teleostei","Megalobrama","Megalobrama",269821,269821,"accepted",NA,1,"yes"
