taxa_query,ott_id,genus,worms_genus,terrestrial_only,freshwater_only
Xiphinema tarjanense,1008004,Xiphinema,583061,1,0
Xiphinema georgianum,13589,Xiphinema,583061,1,0
Xiphinema floridae,98666,Xiphinema,583061,1,0
Xiphinema rivesi,966917,Xiphinema,583061,1,0
Xiphinema diffusum,822643,Xiphinema,583061,1,0
Xiphinema taylori,393058,Xiphinema,583061,1,0
Xiphinema incognitum,527594,Xiphinema,583061,1,0
Xiphinema simile,981425,Xiphinema,583061,1,0
Onchocerca eberhardi,530570,Onchocerca,1585475,1,1
Onchocerca skrjabini,236226,Onchocerca,1585475,1,1
Onchocerca suzukii,39022,Onchocerca,1585475,1,1
Onchocerca volvulus,819809,Onchocerca,1585475,1,1
Onchocerca flexuosa,415708,Onchocerca,1585475,1,1
Trichuris muris,349934,Trichuris,1508731,1,NA
Trichuris trichiura,206556,Trichuris,1508731,1,NA
Bursaphelenchus abietinus,369536,Bursaphelenchus,1544445,1,0
Bursaphelenchus borealis,1052047,Bursaphelenchus,1544445,1,0
Bursaphelenchus cocophilus,876726,Bursaphelenchus,1544445,1,0
Bursaphelenchus eggersi,977619,Bursaphelenchus,1544445,1,0
Bursaphelenchus fungivorus,977618,Bursaphelenchus,1544445,1,0
Bursaphelenchus hellenicus,977621,Bursaphelenchus,1544445,1,0
Bursaphelenchus hofmanni,977620,Bursaphelenchus,1544445,1,0
Bursaphelenchus hylobianum,1052616,Bursaphelenchus,1544445,1,0
Bursaphelenchus gerberae,977630,Bursaphelenchus,1544445,1,0
Bursaphelenchus anatolius,1067131,Bursaphelenchus,1544445,1,0
Bursaphelenchus platzeri,379587,Bursaphelenchus,1544445,1,0
Bursaphelenchus paracorneolus,401516,Bursaphelenchus,1544445,1,0
Bursaphelenchus poligraphi,401517,Bursaphelenchus,1544445,1,0
Bursaphelenchus seani,401518,Bursaphelenchus,1544445,1,0
Bursaphelenchus sexdentati,401519,Bursaphelenchus,1544445,1,0
Bursaphelenchus tusciae,401520,Bursaphelenchus,1544445,1,0
Deladenus siricidicola,784570,Deladenus,582905,1,NA
Haematoloechus floedae,1047366,Haematoloechus,1384177,1,1
Haematoloechus medioplexus,510338,Haematoloechus,1384177,1,1
Haematoloechusoplexus,510335,Haematoloechus,1384177,1,1
Bursaphelenchus kevini,324853,Bursaphelenchus,1544445,1,0
Bursaphelenchus debrae,136873,Bursaphelenchus,1544445,1,0
Trichinella papuae,299880,Trichinella,1584400,1,1
Trichinella zimbabwensis,584335,Trichinella,1584400,1,1
Schistonchus caprifici,187753,Schistonchus,1584950,1,NA
Schistonchus guangzhouensis,628799,Schistonchus,1584950,1,NA
Bursaphelenchus doui,543803,Bursaphelenchus,1544445,1,0
Rhabdias okuensis,676301,Rhabdias,1442630,1,1
Trichuris suis,912976,Trichuris,1508731,1,NA
Rhabdias mariauxi,193907,Rhabdias,1442630,1,1
Rhabdias rhampholeonis,717323,Rhabdias,1442630,1,1
Trichuris arvicolae,812986,Trichuris,1508731,1,NA
Trichuris skrjabini,1082545,Trichuris,1508731,1,NA
Trichuris discolor,727492,Trichuris,1508731,1,NA
Trichuris ovis,510849,Trichuris,1508731,1,NA
Trichuris pardinasi,5003718,Trichuris,1508731,1,NA
Trichurisvonae,5691086,Trichuris,1508731,1,NA
Xiphinema pachtaicum,30531,Xiphinema,583061,1,0
Xiphinema index,165364,Xiphinema,583061,1,0
Acrostichus puri,461231,Acrostichus,1294005,1,1
Haematoloechus longiplexus,1087112,Haematoloechus,1384177,1,1
Haematoloechus complexus,510335,Haematoloechus,1384177,1,1
Haematoloechus coloradensis,510336,Haematoloechus,1384177,1,1
Haematoloechus illimis,260228,Haematoloechus,1384177,1,1
Haematoloechus macrorchis,790534,Haematoloechus,1384177,1,1
Haematoloechus parviplexus,1084802,Haematoloechus,1384177,1,1
Haematoloechus danbrooksi,1084798,Haematoloechus,1384177,1,1
Labiostomum talkeetnaeuris,354445,Labiostomum,1585299,1,NA
Labiostomum akhtari,7675295,Labiostomum,1585299,1,NA
Labiostomum rauschi,354448,Labiostomum,1585299,1,NA
Bursaphelenchus corneolus,229286,Bursaphelenchus,1544445,1,0
Bursaphelenchus arthuroides,65493,Bursaphelenchus,1544445,1,0
Bursaphelenchus paraparvispicularis,482457,Bursaphelenchus,1544445,1,0
Bursaphelenchus braaschae,510990,Bursaphelenchus,1544445,1,0
Bursaphelenchus africanus,261016,Bursaphelenchus,1544445,1,0
Spauligodoncolauensis,342293,Spauligodon,1585284,1,NA
Gnathostomapponicum,196483,Gnathostoma,1542770,1,1
Xiphinema opisthohysterum,654279,Xiphinema,583061,1,0
Xiphinema santos,981309,Xiphinema,583061,1,0
Xiphinema parapachydermum,229565,Xiphinema,583061,1,0
Xiphinema incertum,28574,Xiphinema,583061,1,0
Xiphinema parabrevicolle,654277,Xiphinema,583061,1,0
Onchocerca ramachandrini,415705,Onchocerca,1585475,1,1
Onchocerca armillata,780553,Onchocerca,1585475,1,1
Onchocerca boehmi,6163826,Onchocerca,1585475,1,1
Onchocerca lienalis,233821,Onchocerca,1585475,1,1
Xiphinema brevicollum,527591,Xiphinema,583061,1,0
Onchocerca fasciata,415704,Onchocerca,1585475,1,1
Trichuris rhinopiptheroxella,7076268,Trichuris,1508731,1,NA
Geoplana piratininga,7504558,Geoplana,414976,1,0
Geoplana cananeia,7504552,Geoplana,414976,1,0
Geoplana boraceia,7504550,Geoplana,414976,1,0
Geoplana apua,7504549,Geoplana,414976,1,0
Geoplana iporanga,7504555,Geoplana,414976,1,0
Geoplana ibiuna,7504554,Geoplana,414976,1,0
Geoplana paranapiacaba,7504557,Geoplana,414976,1,0
Geoplana caraguatatuba,7504553,Geoplana,414976,1,0
Bursaphelenchus antoniae,284540,Bursaphelenchus,1544445,1,0
Adineta oculata,4101,Adineta,886172,1,1
Adineta tuberculosa,653951,Adineta,886172,1,1
Mediorhynchus gallinarum,4148404,Mediorhynchus,1526923,1,NA
Paramacrobiotus lachowskae,7485759,Paramacrobiotus,955441,1,NA
Hypsibius exemplaris,7485612,Hypsibius,342574,1,1
Macrobiotus papei,7485690,Macrobiotus,342581,1,1
Macrobiotus hannae,7485689,Macrobiotus,342581,1,1
Macrobiotus canaricus,7485677,Macrobiotus,342581,1,1
Paramacrobiotus spatialis,7485767,Paramacrobiotus,955441,1,NA
Paramacrobiotus depressus,7485751,Paramacrobiotus,955441,1,NA
Paramacrobiotus celsus,7485749,Paramacrobiotus,955441,1,NA
Paramacrobiotus arduus,7485748,Paramacrobiotus,955441,1,NA
