"","found_taxa","common_name","biogeographical_notes","group","fish_base_url","max","mean","median","min"
"43","Pholis laeta","Crescent gunnel","north to northern California","Eelpouts and pricklebacks","https://www.fishbase.ca/summary/Pholis-laeta.html",58.66285,51.4253583428571,50.137267,48.46859
"44","Myoxocephalus jaok","Plain sculpin","Alaska","Sculpins","https://www.fishbase.ca/summary/Myoxocephalus-jaok.html",58.3313,49.7220675555556,48.971692,38.10503
"45","Lumpenus sagitta","Snake prickleback","north to San Francisco","Eelpouts and pricklebacks","https://www.fishbase.ca/summary/Lumpenus-sagitta.html",58.3313,52.1262019375,50.2907705,48.46859
"46","Cottus cognatus","Slimy sculpin","freshwater","Sculpins","https://www.fishbase.ca/summary/4068",58.66285,55.111839375,55.4531555,50.499439
"47","Oligocottus maculosus","Tidepool sculpin","north to Los Angeles County","Sculpins","https://www.fishbase.ca/summary/4128",55.740587,50.5399415714286,50.499439,33.768
"48","Artedius lateralis","Smoothhead sculpin","","Sculpins","https://www.fishbase.ca/summary/ARTEDIUS-LATERALIS.html",52.575011,49.8048525714286,48.992217,48.69185
"49","Hemilepidotus hemilepidotus","Red Irish lord","north to Monterrey Bay","Sculpins","https://www.fishbase.ca/summary/Hemilepidotus-jordani.html",52.575011,50.94589775,51.007815,49.19295
"50","Cottus asper","prickly sculpin","",NA,NA,58.385583,55.3034815,55.3034815,52.22138
"51","Pleuronichthys coenosus","C-O sole","","Flatfish","https://www.fishbase.ca/summary/4251",54.009167,50.734605375,50.2907705,48.876733
"52","Artedius fenestralis","Padded sculpin","","Sculpins","https://www.fishbase.ca/summary/Artedius-fenestralis.html",55.248144,50.1838988333333,49.6433835,48.69185
"53","Platichthys stellatus","Starry flounder","","Flatfish","https://www.fishbase.ca/summary/Platichthys-stellatus.html",58.66285,51.7356658552632,50.035533,46.6722
"54","Thunnus orientalis","Pacific bluefin tuna","","Other","https://www.fishbase.ca/summary/14290",49.19295,37.2827125,33.611715,32.71447
"55","Ascelichthys rhodorus","Rosylip sculpin","north to central CA","Sculpins","https://www.fishbase.ca/summary/4051",52.05342,50.6243185,50.6243185,49.195217
"56","Oncorhynchus clarkii clarkii","Cutthroat trout","north to Eel River",NA,NA,46.98382,42.43321,46.69456,33.62125
"57","Alburnus alburnus","Bleak","freshwater europe",NA,NA,58.66285,51.8892523333333,50.137267,46.86764
"58","Salvelinus taranetzi","Salvelinus taranetzi","russia",NA,NA,58.62695,57.1124345,57.1124345,55.597919
"59","Hexagrammos agrammus","Spotty-bellied greenling","west pacific",NA,NA,55.708572,52.07153725,51.248847,50.079883
"60","Mugil cephalus","Flathead grey mullet","south to cali",NA,NA,58.38105625,39.8803154166667,33.60218,32.6256755
"61","Hypsoblennius gentilis","Bay blenny","south to Monterey Bay",NA,NA,33.60218,33.1148966666667,32.9708,32.77171
"62","Paralabrax clathratus","Kelp bass","south to WA",NA,NA,32.77171,32.74309,32.74309,32.71447
"63","Paralabrax nebulifer","Barred sand bass","south to Santa Cruz, CA",NA,NA,50.09155,38.52591,32.77171,32.71447
"64","Anchoa mitchilli","Bay anchovy","Atlantic",NA,NA,33.768,33.3851118333333,33.76166,32.6256755
"65","Seriola lalandi","Yellowtail amberjack","south to BC",NA,NA,32.71447,32.71447,32.71447,32.71447
"66","Paralichthys californicus","California flounder","south to WA",NA,NA,37.94549,34.9056325,34.481285,32.71447
"67","Fundulus lima","Killifish","tropical",NA,NA,58.38105625,45.675928125,45.675928125,32.9708
"68","Hypsopsetta guttulata","Diamond turbot","south to Cape Mendicino",NA,NA,33.768,33.3694,33.3694,32.9708
"69","Limanda limanda","Common dab","european",NA,NA,58.62695,58.4464354166667,58.38105625,58.3313
"70","Gadus chalcogrammus","Alaska pollock","north to Sarmel, CA","Other","https://www.fishbase.ca/summary/Gadus-chalcogrammus.html",58.385583,50.230403875,49.564742,37.97229
"71","Salvelinus malma","Dolly varden","freshewater - north to Washington",NA,NA,58.66285,55.937116,58.62695,50.521548
"72","Lepidopsetta bilineata","Pacific rock sole","",NA,NA,52.05342,50.2877118333333,50.267912,48.46859
