sample_id,kingdom,phylum,phylum_read_raw,phylum_read_index,phylum_pa,class,class_read_raw,class_read_index,class_pa,order,order_read_raw,order_read_index,order_pa,family,family_read_raw,family_read_index,family_pa,genus,genus_read_raw,genus_read_index,genus_pa,species,species_read_raw,species_read_index,species_pa,terrestrial,holoplankton
GH072,Animalia,Chordata,22846,1,1,Actinopterygii,22839,0.9996936006303073,1,Scorpaeniformes,4651,0.21713698865282519,1,Liparidae,0,0,0,Liparis,0,0,0,Liparis mucosus,0,0,0,0,0
GH072,Animalia,Chordata,22846,1,1,Actinopterygii,22839,0.9996936006303073,1,Perciformes,4243,0.19051196080049232,1,Clinidae,0,0,0,Gibbonsia,0,0,0,Gibbonsia montereyensis,0,0,0,0,0
GH072,Animalia,Chordata,22846,1,1,Actinopterygii,22839,0.9996936006303073,1,Scorpaeniformes,4651,0.21713698865282519,1,Hemitripteridae,0,0,0,Nautichthys,0,0,0,Nautichthys oculofasciatus,0,0,0,0,0
GH072,Animalia,Chordata,22846,1,1,Actinopterygii,22839,0.9996936006303073,1,Scorpaeniformes,4651,0.21713698865282519,1,Cottidae,59,0.004128981600300698,1,Artedius,11,0.001590247255715278,1,Artedius lateralis,0,0,0,0,0
GH072,Animalia,Chordata,22846,1,1,Actinopterygii,22839,0.9996936006303073,1,Pleuronectiformes,3386,0.15238478728756227,1,Pleuronectidae,0,0,0,Pleuronectes,0,0,0,Pleuronectes platessa,0,0,0,0,0
GH072,Animalia,Chordata,22846,1,1,Actinopterygii,22839,0.9996936006303073,1,Salmoniformes,7851,0.36122053201180526,1,Salmonidae,7851,0.36122053201180526,1,Salvelinus,0,0,0,Salvelinus levanidovi,0,0,0,0,0
GH072,Animalia,Chordata,22846,1,1,Actinopterygii,22839,0.9996936006303073,1,Scorpaeniformes,4651,0.21713698865282519,1,Sebastidae,4545,0.28897720565042073,1,Sebastes,4545,0.28897720565042073,1,Sebastes crameri,0,0,0,0,0
GH072,Animalia,Chordata,22846,1,1,Actinopterygii,22839,0.9996936006303073,1,Clupeiformes,1404,0.061675007315016385,1,Engraulidae,0,0,0,Engraulis,0,0,0,Engraulis mordax,0,0,0,0,0
GH072,Animalia,Chordata,22846,1,1,Holocephali,0,0,0,Chimaeriformes,0,0,0,Chimaeridae,0,0,0,Hydrolagus,0,0,0,Hydrolagus colliei,0,0,0,0,0
GH072,Animalia,Chordata,22846,1,1,Actinopterygii,22839,0.9996936006303073,1,Salmoniformes,7851,0.36122053201180526,1,Salmonidae,7851,0.36122053201180526,1,Oncorhynchus,7851,0.36122053201180526,1,Oncorhynchus mykiss,0,0,0,0,0
GH072,Animalia,Chordata,22846,1,1,Actinopterygii,22839,0.9996936006303073,1,Scorpaeniformes,4651,0.21713698865282519,1,Anoplopomatidae,0,0,0,Anoplopoma,0,0,0,Anoplopoma fimbria,0,0,0,0,0
GH072,Animalia,Chordata,22846,1,1,Actinopterygii,22839,0.9996936006303073,1,Salmoniformes,7851,0.36122053201180526,1,Salmonidae,7851,0.36122053201180526,1,Salmo,0,0,0,Salmo salar,0,0,0,0,0
GH072,Animalia,Chordata,22846,1,1,Actinopterygii,22839,0.9996936006303073,1,Perciformes,4243,0.19051196080049232,1,Embiotocidae,1019,0.05976089051700708,1,Rhacochilus,0,0,0,Rhacochilus vacca,0,0,0,0,0
GH072,Animalia,Chordata,22846,1,1,Actinopterygii,22839,0.9996936006303073,1,Perciformes,4243,0.19051196080049232,1,Gobiidae,0,0,0,Lepidogobius,0,0,0,Lepidogobius lepidus,0,0,0,0,0
GH072,Animalia,Chordata,22846,1,1,Actinopterygii,22839,0.9996936006303073,1,Scorpaeniformes,4651,0.21713698865282519,1,Sebastidae,4545,0.28897720565042073,1,Sebastes,4545,0.28897720565042073,1,Sebastes mentella,0,0,0,0,0
GH072,Animalia,Chordata,22846,1,1,Actinopterygii,22839,0.9996936006303073,1,Perciformes,4243,0.19051196080049232,1,Trichodontidae,0,0,0,Trichodon,0,0,0,Trichodon trichodon,0,0,0,0,0
GH072,Animalia,Chordata,22846,1,1,Actinopterygii,22839,0.9996936006303073,1,Scorpaeniformes,4651,0.21713698865282519,1,Sebastidae,4545,0.28897720565042073,1,Sebastes,4545,0.28897720565042073,1,Sebastes trivittatus,0,0,0,0,0
GH072,Animalia,Chordata,22846,1,1,Mammalia,0,0,0,Cetacea,0,0,0,Phocoenidae,0,0,0,Phocoena,0,0,0,Phocoena phocoena,0,0,0,0,0
GH072,Animalia,Chordata,22846,1,1,Actinopterygii,22839,0.9996936006303073,1,Scorpaeniformes,4651,0.21713698865282519,1,Cottidae,59,0.004128981600300698,1,Chitonotus,0,0,0,Chitonotus pugetensis,0,0,0,0,0
GH072,Animalia,Chordata,22846,1,1,Actinopterygii,22839,0.9996936006303073,1,Scorpaeniformes,4651,0.21713698865282519,1,Agonidae,0,0,0,Odontopyxis,0,0,0,Odontopyxis trispinosa,0,0,0,0,0
GH072,Animalia,Chordata,22846,1,1,Actinopterygii,22839,0.9996936006303073,1,Perciformes,4243,0.19051196080049232,1,Pholidae,171,0.018428337262691424,1,Pholis,171,0.018428337262691424,1,Pholis ornata,0,0,0,0,0
GH072,Animalia,Chordata,22846,1,1,Actinopterygii,22839,0.9996936006303073,1,Stomiiformes,0,0,0,Stomiidae,0,0,0,Tactostoma,0,0,0,Tactostoma macropus,0,0,0,0,0
GH072,Animalia,Chordata,22846,1,1,Actinopterygii,22839,0.9996936006303073,1,Pleuronectiformes,3386,0.15238478728756227,1,Pleuronectidae,0,0,0,Lepidopsetta,0,0,0,Lepidopsetta bilineata,0,0,0,0,0
GH072,Animalia,Chordata,22846,1,1,Actinopterygii,22839,0.9996936006303073,1,Perciformes,4243,0.19051196080049232,1,Zoarcidae,0,0,0,Lycodes,0,0,0,Lycodes pacificus,0,0,0,0,0
GH072,Animalia,Chordata,22846,1,1,Actinopterygii,22839,0.9996936006303073,1,Scorpaeniformes,4651,0.21713698865282519,1,Cottidae,59,0.004128981600300698,1,Synchirus,0,0,0,Synchirus gilli,0,0,0,0,0
GH072,Animalia,Chordata,22846,1,1,Actinopterygii,22839,0.9996936006303073,1,Scorpaeniformes,4651,0.21713698865282519,1,Liparidae,0,0,0,Polypera,0,0,0,Polypera greeni,0,0,0,0,0
GH072,Animalia,Chordata,22846,1,1,Actinopterygii,22839,0.9996936006303073,1,Scorpaeniformes,4651,0.21713698865282519,1,Hexagrammidae,47,0.006209942846975087,1,Hexagrammos,0,0,0,Hexagrammos otakii,0,0,0,0,0
GH072,Animalia,Chordata,22846,1,1,Actinopterygii,22839,0.9996936006303073,1,Myctophiformes,1219,0.44782579565592195,1,Myctophidae,1219,0.44782579565592195,1,Nannobrachium,1219,1,1,Nannobrachium regale,1219,1,1,0,0
GH072,Animalia,Chordata,22846,1,1,Mammalia,0,0,0,Carnivora,0,0,0,Otariidae,0,0,0,Eumetopias,0,0,0,Eumetopias jubatus,0,0,0,0,0
GH072,Animalia,Chordata,22846,1,1,Actinopterygii,22839,0.9996936006303073,1,Myctophiformes,1219,0.44782579565592195,1,Myctophidae,1219,0.44782579565592195,1,Stenobrachius,0,0,0,Stenobrachius nannochir,0,0,0,0,0
GH072,Animalia,Chordata,22846,1,1,Actinopterygii,22839,0.9996936006303073,1,Myctophiformes,1219,0.44782579565592195,1,Myctophidae,1219,0.44782579565592195,1,Diaphus,0,0,0,Diaphus theta,0,0,0,0,0
GH072,Animalia,Chordata,22846,1,1,Mammalia,0,0,0,Cetacea,0,0,0,Eschrichtiidae,0,0,0,Eschrichtius,0,0,0,Eschrichtius robustus,0,0,0,0,0
