species
Halisarca dujardinii
Polygordius jouinae
Aurelia aurita
Bolinopsis infundibulum
Asterias rubens
Ophiopholis aculeata
Onchidoris muricata
Crepidula fornicata
Membranipora membranacea
Tergipes tergipes
Synchaeta triophthalma
Phyllodoce groenlandica
Haliclona oculata
Lizzia blondina
Spiophanes kroyeri
Eubranchus exiguus
Obelia geniculata
Tonicella rubra
Nereis pelagica
Melicertum octocostatum
Mytilus edulis
Obelia dichotoma
Micrura varicolor
Ophiura robusta
Doto coronata
Arctica islandica
Coryphella verrucosa
Astyris lunata
Maldane sarsi
Clymenella torquata
Thelepus cincinnatus
Mytilus trossulus
Proclea malmgreni
Hexanchus griseus
Lacuna vincta
Strongylocentrotus droebachiensis
Electra pilosa
Synchaeta vorax
Alcyonidium mamillatum
Echinarachnius parma
