"","query","usagekey","scientificname","rank","status","matchtype","canonicalname","confidence","kingdom","phylum","order","family","genus","species","kingdomkey","phylumkey","classkey","orderkey","familykey","genuskey","specieskey","synonym","class","acceptedusagekey","note"
"1504","Paracalanus parvus",10051223,"Paracalanus parvus (Claus, 1863)","species","DOUBTFUL","EXACT","Paracalanus parvus",97,"Animalia","Arthropoda","Calanoida","Paracalanidae","Paracalanus","Paracalanus parvus",1,54,9421786,679,9046,2114238,10051223,FALSE,"Hexanauplia",NA,NA
"1518","Orconectes juvenilis",5789975,"Orconectes juvenilis (Hagen, 1870)","species","SYNONYM","EXACT","Orconectes juvenilis",98,"Animalia","Arthropoda","Decapoda","Cambaridae","Faxonius","Faxonius juvenilis",1,54,229,637,4479,4646327,8721209,TRUE,"Malacostraca",8721209,NA
"1520","Orconectes obscurus",2227057,"Orconectes obscurus (Hagen, 1870)","species","SYNONYM","EXACT","Orconectes obscurus",98,"Animalia","Arthropoda","Decapoda","Cambaridae","Faxonius","Faxonius obscurus",1,54,229,637,4479,4646327,8819510,TRUE,"Malacostraca",8819510,NA
"1521","Orconectes placidus",2227048,"Orconectes placidus (Hagen, 1870)","species","SYNONYM","EXACT","Orconectes placidus",98,"Animalia","Arthropoda","Decapoda","Cambaridae","Faxonius","Faxonius placidus",1,54,229,637,4479,4646327,9051396,TRUE,"Malacostraca",9051396,NA
"1523","Orconectes propinquus",2227030,"Orconectes propinquus (Girard, 1852)","species","SYNONYM","EXACT","Orconectes propinquus",98,"Animalia","Arthropoda","Decapoda","Cambaridae","Faxonius","Faxonius propinquus",1,54,229,637,4479,4646327,8879892,TRUE,"Malacostraca",8879892,NA
"1524","Orconectes rafinesquei",2227068,"Orconectes rafinesquei Rhoades, 1944","species","SYNONYM","EXACT","Orconectes rafinesquei",98,"Animalia","Arthropoda","Decapoda","Cambaridae","Faxonius","Faxonius rafinesquei",1,54,229,637,4479,4646327,9028919,TRUE,"Malacostraca",9028919,NA
"1531","Orconectes tricuspis",2227012,"Orconectes tricuspis Rhoades, 1944","species","SYNONYM","EXACT","Orconectes tricuspis",98,"Animalia","Arthropoda","Decapoda","Cambaridae","Faxonius","Faxonius tricuspis",1,54,229,637,4479,4646327,8753705,TRUE,"Malacostraca",8753705,NA
"1532","Orconectes virginiensis",2227080,"Orconectes virginiensis Hobbs, 1951","species","SYNONYM","EXACT","Orconectes virginiensis",98,"Animalia","Arthropoda","Decapoda","Cambaridae","Faxonius","Faxonius virginiensis",1,54,229,637,4479,4646327,8799278,TRUE,"Malacostraca",8799278,NA
"1533","Orconectes virilis",2227064,"Orconectes virilis (Hagen, 1870)","species","SYNONYM","EXACT","Orconectes virilis",98,"Animalia","Arthropoda","Decapoda","Cambaridae","Faxonius","Faxonius virilis",1,54,229,637,4479,4646327,8971201,TRUE,"Malacostraca",8971201,NA
"1534","Orconectes shoupi",2227074,"Orconectes shoupi Hobbs, 1948","species","SYNONYM","EXACT","Orconectes shoupi",98,"Animalia","Arthropoda","Decapoda","Cambaridae","Faxonius","Faxonius shoupi",1,54,229,637,4479,4646327,9141927,TRUE,"Malacostraca",9141927,NA
"1545","Talorchestia pelecaniformis",4314764,"Talorchestia pelecaniformis Bellan-Santini & Ruffo, 1986","species","SYNONYM","EXACT","Talorchestia pelecaniformis",98,"Animalia","Arthropoda","Amphipoda","Talitridae","Sardorchestia","Sardorchestia pelecaniformis",1,54,229,1231,4466,4314751,4314752,TRUE,"Malacostraca",4314752,NA
"1595","Hyalella simplex",5864113,"Hyalella simplex Schellenberg, 1943","species","SYNONYM","EXACT","Hyalella simplex",98,"Animalia","Arthropoda","Amphipoda","Hyalellidae","Hyalella","Hyalella curvispina",1,54,229,1231,4437,2217673,6461307,TRUE,"Malacostraca",6461307,NA
"1632","Heterorhabdus farrani",5166459,"Heterorhabdus farrani Brady, 1918","species","SYNONYM","EXACT","Heterorhabdus farrani",98,"Animalia","Arthropoda","Calanoida","Heterorhabdidae","Paraheterorhabdus","Paraheterorhabdus farrani",1,54,9421786,679,4960,2115521,4333069,TRUE,"Hexanauplia",4333069,NA
"1649","Calyptostoma velutinus",4539742,"Calyptostoma velutinum (Müller, 1776)","species","ACCEPTED","FUZZY","Calyptostoma velutinum",96,"Animalia","Arthropoda","Trombidiformes","Calyptostomatidae","Calyptostoma","Calyptostoma velutinum",1,54,NA,543,3252736,4406224,4539742,FALSE,NA,NA,NA
"1662","Campylothrombium barbarum",4405991,"Campylothrombium Krausse, 1916","genus","ACCEPTED","HIGHERRANK","Campylothrombium",94,"Animalia","Arthropoda","Trombidiformes","Microtrombidiidae","Campylothrombium",NA,1,54,NA,543,2814,4405991,NA,FALSE,NA,NA,NA
