"","x"
"1","metridia pseudopacifica"
"2","balanusbilus"
"3","pseudodiaptomus inopinusyushu"
"4","dermacentorabilis"
"5","alpheusttingi"
"6","alpheusrmanni"
"7","hyalelssoni"
"8","synalpheus pandionis giant"
"9","synalpheus longicarpus small"
"10","munidatata"
"11","aeglauquensis"
"12","mimetustius"
"13","uroctena wadjukia-yellandi"
"14","anonyxgax"
"15","lycaeasuta"
"16","daphnia pulicaria hybrid"
"17","charybdisegata"
"18","evadnerdmanni"
"19","pleuroxusdentatus"
"20","limnadiidae lineage"
"21","calcinustidus"
"22","synisomadejda"
"23","eresus kollari4_04"
"24","parastacuscosus"
"25","saronglectus"
"26","pergalumnarvosa"
"27","eupodesegatus"
"28","tydaeolinae"
"29","triopswberryi"
"30","hoekiini"
"31","zeuxormani"
"32","paralomis anamerae x formosa"
"33","diapterobatesabilis"
"34","banareiabili"
"35","coleoscirinae"
"36","conopea galeataanama"
"37","conopea galeatarazil"
"38","conopea galeataalapagos"
"39","octonobaans"
"40","limnadopsis parvispinusuchanan"
"41","limnadopsis tateiitanic"
"42","limnadopsis tateiarters"
"43","pionaabilis"
"44","paradoneaegata"
"45","amphibalanusegatus"
"46","jaxeacturna"
"47","euseiuscholsi"
"48","delibusdus"
"49","proaselluslli"
"50","paruroctonusabilis"
"51","holoversiagra"
"52","mitopernoidesabilis"
"53","typhlotanaisabilis"
"54","mesomexovisegatus"
"55","rungana"
"56","ampithoeana"
"57","sphodrosger"
"58","microcyclopscans"
"59","libystestidus"
"60","rimicarisabilis"
"61","hyalommatidum"
"62","cambarusdosus"
"63","hahniava"
"64","zodariontidum"
"65","zodarionsiote"
"66","prithana"
"67","baalrog sbordonii"
"68","munidasiotes"
"69","idiosomagrum"
"70","euoplosabilis"
"71","coenobitaabilis"
"72","cantuariapua"
"73","limnoriagatai"
"74","elasmopusjaf"
"75","penaeustialis"
"76","manihoaitahu"
"77","Caridea"
"78","Bosmaella japonica"
"79","Baikaloasellus"
"80","Lysianassoidea"
"81","Cheiridiinae"
"82","Acari"
"83","Gubernatoria"
"84","Eupodoidea"
"85","Balanoidea"
"86","Acastinae"
"87","Cypridininae"
"88","Acrothoracica"
"89","Anomura"
"90","Copepoda"
"91","Eucylopinae"
"92","Paguroidea"
"93","Mygalomorphae"
"94","Araneoidea"
"95","Epedanoidea"
"96","Gonyleptoidea"
"97","Conchostraca (genus gbif:10236959)"
"98","Zalmoxoidea"
"99","Thiratoscirtinae"
"100","Tryphosinae"
"101","Eubosmina huaronensis"
"102","Daphnia tenebrosa"
"103","Ishizakiella novaezealandica"
"104","Deiratonotus japonicus"
"105","Deiratonotus cristatus"
"106","Sacculina yatsui"
"107","Macrobrachium meridionalis"
"108","Macrobrachium pinguis"
"109","Pandalopsis coccinata"
"110","Metridia lucens"
"111","Euaugaptilus palumbii"
"112","Yarepotamon gracilipa"
"113","Sergia lucens"
"114","Burmoniscus okinawaensis"
"115","Peltogaster lineatus"
"116","Bathynomus doederleini"
"117","Spherillo obscurus"
"118","Spherillo dorsalis"
"119","Nephila antipodiana"
"120","Varroa jacobsoni"
"121","Cancer antennarius"
"122","Eriorhynchus"
"123","Erythroides"
"124","Austroteneriffia"
"125","Kempina mikado"
"126","Campodea tillyardi"
"127","Pachyceles riisei"
"128","Clastotoechus vanderhorsti"
"129","Chthamalus alani"
"130","Euraphia eastropacensis"
"131","Platynothrus peltifer"
"132","Tigriopus fulvus"
"133","Calanoides macrocarinatus"
"134","Lamprops quadriplicata"
"135","Stylocheiron suhmii"
"136","Paracalanus parvus"
"137","Orconectes juvenilis"
"138","Orconectes obscurus"
"139","Orconectes placidus"
"140","Orconectes propinquus"
"141","Orconectes rafinesquei"
"142","Orconectes tricuspis"
"143","Orconectes virginiensis"
"144","Orconectes virilis"
"145","Orconectes shoupi"
"146","Talorchestia pelecaniformis"
"147","Hyalella simplex"
"148","Heterorhabdus farrani"
"149","Calyptostoma velutinus"
"150","Campylothrombium barbarum"
"151","Todothyas barbigera"
"152","Prionocypris aragonica"
"153","Cytherissa elongata"
"154","Mesocyprideis irsacae"
"155","Paractea monodi"
"156","Sergia robusta"
"157","Scylla oceanica"
"158","Dermanyssus hirsutus"
"159","Pandinus cavimanus"
"160","Branchinella spinosa"
"161","Parapenaeopsis hardwickii"
"162","Sacculina oblonga"
"163","Sacculina leptodiae"
"164","Sacculina sinensis"
"165","Polyascus polygenea"
"166","Polyascus plana"
"167","Polyascus gregaria"
"168","Haplopelma schmidti"
"169","Munida ofella"
"170","Lepeophtheirus salmonis"
"171","Calantica spinosa"
"172","Streptocephalus bowmani"
"173","Streptocephalus dumonti"
"174","Trichogammarus trichiatus"
"175","Nyctiphanes couchii"
"176","Aegla schmitti"
"177","Euphausia krohnii"
"178","Megisthanus floridanus"
"179","Microgynium incisum"
"180","Prodinychus"
"181","Discozercon"
"182","Narceoheterozercon ohioensis"
"183","Sejus porosus"
"184","Sejus carolinensis"
"185","Proarctacarus oregonensis"
"186","Phorytocarpais fimetorum"
"187","Amblyops abbreviatus"
"188","Paraeuchaeta media"
"189","Chiridius armatus"
"190","Orconectes harrisoni"
"191","Orconectes sloanii"
"192","Orconectes pagei"
"193","Orconectes difficilis"
"194","Orconectes perfectus"
"195","Orconectes alabamensis"
"196","Orconectes compressus"
"197","Orconectes immunis"
"198","Orconectes mississippiensis"
"199","Orconectes rhoadesi"
"200","Orconectes acares"
"201","Orconectes forceps"
"202","Orconectes hylas"
"203","Orconectes longidigitus"
"204","Orconectes luteus"
"205","Orconectes medius"
"206","Orconectes menae"
"207","Orconectes mirus"
"208","Orconectes neglectus"
"209","Orconectes ozarkae"
"210","Orconectes peruncus"
"211","Orconectes punctimanus"
"212","Orconectes putnami"
"213","Orconectes quadruncus"
"214","Orconectes ronaldi"
"215","Orconectes saxatilis"
"216","Orconectes spinosus"
"217","Orconectes williamsi"
"218","Orconectes validus"
"219","Potamonautes rayboldi"
"220","Phricothelphusa limula"
"221","Oziotelphusa senex"
"222","Chaetogammarus marinus"
"223","Chaetogammarus obtusatus"
"224","Chaetogammarus stoerensis"
"225","Eulimnogammarus inconspicuous"
"226","Hakonboekia strauchii"
"227","Micruropus fixseni"
"228","Artemia parthenogenetica"
"229","Unionicola dimocki"
"230","Brachypelma emelia"
"231","Stereotydeus villosus"
"232","Cyzicus setosa"
"233","Caenestheriella"
"234","Pleuroxus denticulatus"
"235","Troglocaris anophthalmus"
"236","Troglocaris hercegovinensis"
"237","Troglocaris kutaissiana"
"238","Troglocaris inermis"
"239","Troglocaris pretneri"
"240","Pseudopallene ambigua"
"241","Caridinides wilkinsi"
"242","Bentheogennema borealis"
"243","Calocaris investigatoris"
"244","Pandalopsis dispar"
"245","Mesidotea entomon"
"246","Limnocalanus macrurus"
"247","Podon leuckartii"
"248","Eriauchenius voronakely"
"249","Eriauchenius halambohitra"
"250","Eriauchenius namoroka"
"251","Eriauchenius spiceri"
"252","Eriauchenius gracilicollis"
"253","Eriauchenius lavatenda"
"254","Eriauchenius borimontsina"
"255","Eriauchenius tsingyensis"
"256","Eriauchenius anabohazo"
"257","Eriauchenius griswoldi"
"258","Eriauchenius legendrei"
"259","Eriauchenius vadoni"
"260","Eriauchenius jeanneli"
"261","Metacaligus uruguayensis"
"262","Caligus neunonnae"
"263","Caligus warlandi"
"264","Hyperoche martinezi"
"265","Vibilia antartica"
"266","Phallocryptus spinosa"
"267","Unionicola smithae"
"268","Acartia clausii"
"269","Eucalanus pseudattenuatus"
"270","Eucalanus subtenuis"
"271","Heterocrypta occidentalis"
"272","Podochela hemphillii"
"273","Mimulus foliatus"
"274","Eubosmina tubicen"
"275","Nesticus obcaecatus"
"276","Nesticus luquei"
"277","Spinturnix acuminata"
"278","Spinturnix mystacina"
"279","Spinturnix plecotina"
"280","Spinturnix emarginata"
"281","Sicarius hahni"
"282","Sicarius damarensis"
"283","Sicarius dolichocephalus"
"284","Sicarius terrosus"
"285","Sicarius patagonicus"
"286","Sennertia alfkeni"
"287","Octolasmis orthogonia"
"288","Rhinonyssus himantopus"
"289","Abacarus plumiger"
"290","Parapenaeopsis tenella"
"291","Parapenaeopsis hungerfordi"
"292","Nemesis lamna"
"293","Paeon elongatus"
"294","Metalimnadia"
"295","Speleonectes benjamini"
"296","Aclerogamasus similis"
"297","Hyale prevostii"
"298","Melita dentata"
"299","Psammonyx nobilis"
"300","Psammonyx terranovae"
"301","Eusirus holmi"
"302","Scaphocalanus acrocephalus"
"303","Ariadna fidicina"
"304","Neotrevathana elongatum"
"305","Callichirus kraussi"
"306","Colossendeis gigas"
"307","Colossendeis japonica"
"308","Isocyamus globicipitis"
"309","Alpheus ochrostriatus"
"310","Halicarcinus innominatus"
"311","Caenestheria"
"312","Cyzicus gynecia"
"313","Achelia hispida"
