 Abudefduf saxatilis  FMNH CV T ,FJ616293.1
 Abudefduf septemfasciatus  FMNH Liz T ,FJ616294.1
 Abudefduf septemfasciatus    S ,LC146253.1
 Abudefduf septemfasciatus  dki ,MH049017.1
 Abudefduf septemfasciatus CBMZF    S ,LC589580.1
 Abudefduf septemfasciatus CBMZF    S ,LC589608.1
 Abudefduf septemfasciatus  FLMOO   ,MZ597977.1
 Abudefduf sexfasciatus ,AF081216.1
 Abudefduf sexfasciatus S large subunit  ,AF285921.1
 Abudefduf sexfasciatus  FMNH Liz T ,FJ616295.1
 Abudefduf sexfasciatus ,JN935809.1
 Abudefduf sexfasciatus    S ,LC146260.1
 Abudefduf sexfasciatus CBMZF    S ,LC557080.1
 Abudefduf sexfasciatus CBMZF    S ,LC589574.1
 Abudefduf sexfasciatus  MBIO   ,MZ598010.1
 Abudefduf sordidus S large subunit  ,AF436879.1
 Abudefduf sordidus  FMNH Liz T ,FJ616296.1
 Abudefduf sordidus    S ,LC021279.1
 Abudefduf sordidus    S ,LC327122.1
 Abudefduf sordidus CBMZF    S ,LC458258.1
 Abudefduf sordidus CBMZF    S ,LC519416.1
 Abudefduf sordidus CBMZF    S ,LC519417.1
 Abudefduf sordidus CBMZF    S ,LC557081.1
 Abudefduf sordidus CBMZF    S ,LC589571.1
 Abudefduf sordidus CBMZF    S ,LC589609.1
 Abudefduf sordidus     ,MZ598431.1
 Abudefduf sordidus CBMZF  s  S ,LC604990.2
 Abudefduf sparoides ,JQ707028.1
 Abudefduf taurus  FMNH CV T ,FJ616297.1
 Abudefduf troschelii  A ,MK902806.1
 Abudefduf troschelii  A ,MK902816.1
 Abudefduf vaigiensis S large subunit  ,AF436880.1
 Abudefduf vaigiensis  s  S ,AB121234.1
 Abudefduf vaigiensis  ,AP006016.1
 Abudefduf vaigiensis ,NC_009064.1
 Abudefduf vaigiensis  PePoAs ,KF374999.1
 Abudefduf vaigiensis    S ,AB969974.1
 Abudefduf vaigiensis    S ,LC069664.1
 Abudefduf vaigiensis    S ,LC069665.1
 Abudefduf vaigiensis  F ,KT283601.1
 Abudefduf vaigiensis  F ,KT283602.1
 Abudefduf vaigiensis  F ,KT283603.1
 Abudefduf vaigiensis ,KU363024.1
 Abudefduf vaigiensis  SAIAB  ,MH248164.1
 Abudefduf vaigiensis CBMZF     S ,LC421703.1
 Abudefduf vaigiensis CBMZF    S ,LC500710.1
 Abudefduf vaigiensis CBMZF    S ,LC506679.1
 Abudefduf vaigiensis CBMZF    S ,LC519418.1
 Abudefduf vaigiensis CBMZF    S ,LC589595.1
 Abudefduf vaigiensis CBMZF  s  S ,LC669501.1
 Abudefduf vaigiensis ,MT954104.1
 Abudefduf whitleyi  FMNH Liz T ,FJ616298.1
 Acanthaluteres brownii  ,AP009212.1
 Acanthaluteres brownii ,NC_011947.1
 Acanthaphritis barbata    S ,LC340215.1
 Acanthaphritis unoorum    S ,AB972143.1
 Acanthaphritis unoorum  ,AP017452.1
 Acanthaphritis unoorum ,NC_034344.1
 Acanthaphritis unoorum    S ,LC278027.1
 Acanthaphritis unoorum  ,AP006819.1
 Acanthemblemaria aspera ,U90379.1
 Acanthemblemaria crockeri ,U90380.1
 Acanthemblemaria spinosa  YPMICH ,MZ315025.1
 Acanthistius ocellatus ,AY949421.1
 Acanthistius ocellatus ,DQ533146.1
 Acanthistius ocellatus ,FJ548773.1
 Acanthobrama persidis  ,AP011264.1
 Acanthobrama persidis  ,NC_031562.1
 Acanthocepola abbreviata    S ,LC327205.1
 Acanthocepola abbreviata    S ,LC340186.1
 Acanthocepola indica    S ,AB969935.1
 Acanthocepola krusensternii    S ,AB969937.1
 Acanthocepola krusensternii  ,AP017434.1
 Acanthocepola krusensternii ,NC_034333.1
 Acanthocepola krusensternii  ,AP006812.1
 Acanthocepola krusensternii CBMZF  s  S ,LC672511.1
 Acanthocepola limbata    S ,AB969936.1
 Acanthocepola limbata FRLM    S ,LC458257.1
 Acanthocepola limbata CBMZF  s  S ,LC677318.1
 Acanthochromis polyacathus ,AF081217.1
 Acanthochromis polyacanthus S large subunit  ,AY098622.1
 Acanthochromis polyacanthus  FMNH Liz T ,FJ616299.1
