"","ncbi_sp","worms_match","worms_sciname","worms_aphiaid","original_aphiaid","status","unacceptreason","rank","valid_authority","kingdom","phylum","class","order","family","genus","freshwater_only","terrestrial_only","hybrid"
"3140","Gymnelus viridis","Gymnelus viridis","Gymnelus viridis",127096,127096,"accepted",NA,"species","(Fabricius, 1780)","Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Gymnelus","0","0",NA
"3141","Gymnelus retrodorsalis","Gymnelus retrodorsalis","Gymnelus retrodorsalis",127095,127095,"accepted",NA,"species","Le Danois, 1913","Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Gymnelus","0","0",NA
"3142","Anarhichas lupus","Anarhichas lupus","Anarhichas lupus",126758,126758,"accepted",NA,"species","Linnaeus, 1758","Animalia","Chordata","Teleostei","Perciformes","Anarhichadidae","Anarhichas","0","0",NA
"3143","Anarhichas denticulatus","Anarhichas denticulatus","Anarhichas denticulatus",126757,126757,"accepted",NA,"species","Krøyer, 1845","Animalia","Chordata","Teleostei","Perciformes","Anarhichadidae","Anarhichas","0","0",NA
"3144","Pseudoscopelus obtusifrons","Pseudoscopelus obtusifrons","Pseudoscopelus obtusifrons",221508,221508,"accepted",NA,"species","(Fowler, 1934)","Animalia","Chordata","Teleostei","Scombriformes","Chiasmodontidae","Pseudoscopelus","0","0",NA
"3145","Rhyacichthys aspro","Rhyacichthys aspro","Rhyacichthys aspro",282604,282604,"accepted",NA,"species","(Valenciennes, 1837)","Animalia","Chordata","Teleostei","Gobiiformes","Rhyacichthyidae","Rhyacichthys","0","0",NA
"3146","Taenioides snyderi","Taenioides snyderi","Taenioides cirratus",277223,310474,"unaccepted",NA,"species","(Blyth, 1860)","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Taenioides","0","0",NA
"3147","Clariger","Clariger","Clariger",268786,268786,"accepted",NA,"genus","Jordan & Snyder, 1901","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Clariger","0","0",NA
"3148","Rhinogobius fluviatilis","Rhinogobius fluviatilis","Rhinogobius fluviatilis",1494074,1494074,"accepted",NA,"species","Tanaka, 1925","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Rhinogobius","0","0",NA
"3149","Pseudogobius","Pseudogobius","Pseudogobius",270588,270588,"accepted",NA,"genus","Popta, 1922","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Pseudogobius","0","0",NA
"3150","Mugilogobius cavifrons","Mugilogobius cavifrons","Mugilogobius cavifrons",277347,277347,"accepted",NA,"species","(Weber, 1909)","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Mugilogobius","0","0",NA
"3151","Rhinogobius tyoni","Rhinogobius tyoni","Rhinogobius tyoni",1494085,1494085,"accepted",NA,"species","Suzuki, Kimura & Shibukawa, 2019","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Rhinogobius","0","0",NA
"3152","Rhinogobius telma","Rhinogobius telma","Rhinogobius telma",1494084,1494084,"accepted",NA,"species","Suzuki, Kimura & Shibukawa, 2019","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Rhinogobius","0","0",NA
"3153","Rhinogobius szechuanensis","Rhinogobius szechuanensis","Rhinogobius szechuanensis",1495479,1495479,"accepted",NA,"species","(Tchang, 1939)","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Rhinogobius","0","0",NA
"3154","Exyrias belissimus","Exyrias belissimus","Exyrias belissimus",219465,219465,"accepted",NA,"species","(Smith, 1959)","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Exyrias","0","0",NA
"3155","Cryptocentrus caeruleomaculatus","Cryptocentrus caeruleomaculatus","Cryptocentrus caeruleomaculatus",278323,278323,"accepted",NA,"species","(Herre, 1933)","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Cryptocentrus","0","0",NA
"3156","Oplopomus oplopomus","Oplopomus oplopomus","Oplopomus oplopomus",219523,219523,"accepted",NA,"species","(Valenciennes, 1837)","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Oplopomus","0","0",NA
"3157","Oligolepis stomias","Oligolepis stomias","Oligolepis stomias",278546,278546,"accepted",NA,"species","(Smith, 1941)","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Oligolepis","0","0",NA
"3158","Tomiyamichthys russus","Tomiyamichthys russus","Tomiyamichthys russus",402817,402817,"accepted",NA,"species","(Cantor, 1849)","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Tomiyamichthys","0","0",NA
"3159","Amblyeleotris rubrimarginata","Amblyeleotris rubrimarginata","Amblyeleotris rubrimarginata",278982,278982,"accepted",NA,"species","Mohlmann & Randall, 2002","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Amblyeleotris","0","0",NA
"3160","Valenciennea wardii","Valenciennea wardii","Valenciennea wardii",219596,219596,"accepted",NA,"species","(Playfair, 1867)","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Valenciennea","0","0",NA
"3161","Gobiopsis macrostoma","Gobiopsis macrostoma","Gobiopsis macrostoma",277788,277788,"accepted",NA,"species","Steindachner, 1861","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Gobiopsis","0","0",NA
"3162","Parachaeturichthys polynema","Parachaeturichthys polynema","Parachaeturichthys polynema",219534,219534,"accepted",NA,"species","(Bleeker, 1853)","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Parachaeturichthys","0","0",NA
"3163","Oxymetopon compressus","Oxymetopon compressus","Oxymetopon compressus",281958,281958,"accepted",NA,"species","Chan, 1966","Animalia","Chordata","Teleostei","Gobiiformes","Microdesmidae","Oxymetopon","0","0",NA
"3164","Platax teira","Platax teira","Platax teira",218710,218710,"accepted",NA,"species","(Forsskål, 1775)","Animalia","Chordata","Teleostei","Acanthuriformes","Ephippidae","Platax","0","0",NA
"3165","Siganus fuscescens","Siganus fuscescens","Siganus fuscescens",273912,273912,"accepted",NA,"species","(Houttuyn, 1782)","Animalia","Chordata","Teleostei","Acanthuriformes","Siganidae","Siganus","0","0",NA
"3166","Siganus punctatus","Siganus punctatus","Siganus punctatus",273922,273922,"accepted",NA,"species","(Schneider & Forster, 1801)","Animalia","Chordata","Teleostei","Acanthuriformes","Siganidae","Siganus","0","0",NA
"3167","Siganus vermiculatus","Siganus vermiculatus","Siganus vermiculatus",273927,273927,"accepted",NA,"species","(Valenciennes, 1835)","Animalia","Chordata","Teleostei","Acanthuriformes","Siganidae","Siganus","0","0",NA
"3168","Siganus unimaculatus","Siganus unimaculatus","Siganus unimaculatus",273925,273925,"accepted",NA,"species","(Evermann & Seale, 1907)","Animalia","Chordata","Teleostei","Acanthuriformes","Siganidae","Siganus","0","0",NA
"3169","Siganus virgatus","Siganus virgatus","Siganus virgatus",273928,273928,"accepted",NA,"species","(Valenciennes, 1835)","Animalia","Chordata","Teleostei","Acanthuriformes","Siganidae","Siganus","0","0",NA
"3170","Siganus spinus","Siganus spinus","Siganus spinus",219689,219689,"accepted",NA,"species","(Linnaeus, 1758)","Animalia","Chordata","Teleostei","Acanthuriformes","Siganidae","Siganus","0","0",NA
"3171","Luvarus imperialis","Luvarus imperialis","Luvarus imperialis",126974,126974,"accepted",NA,"species","Rafinesque, 1810","Animalia","Chordata","Teleostei","Acanthuriformes","Luvaridae","Luvarus","0","0",NA
"3172","Acanthurus bariene","Acanthurus bariene","Acanthurus bariene",219637,219637,"accepted",NA,"species","Lesson, 1831","Animalia","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","0","0",NA
"3173","Naso unicornis","Naso unicornis","Naso unicornis",219668,219668,"accepted",NA,"species","(Forsskål, 1775)","Animalia","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Naso","0","0",NA
"3174","Naso lituratus","Naso lituratus","Naso lituratus",219665,219665,"accepted",NA,"species","(Forster, 1801)","Animalia","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Naso","0","0",NA
"3175","Scomberomorus sinensis","Scomberomorus sinensis","Scomberomorus sinensis",273822,273822,"accepted",NA,"species","(Lacepède, 1800)","Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Scomberomorus","0","0",NA
"3176","Pampus minor","Pampus minor","Pampus minor",273996,273996,"accepted",NA,"species","Liu & Li, 1998","Animalia","Chordata","Teleostei","Scombriformes","Stromateidae","Pampus","0","0",NA
"3177","Cynoglossus arel","Cynoglossus arel","Cynoglossus arel",274193,274193,"accepted",NA,"species","(Bloch & Schneider, 1801)","Animalia","Chordata","Teleostei","Pleuronectiformes","Cynoglossidae","Cynoglossus","0","0",NA
"3178","Cynoglossus lida","Cynoglossus lida","Cynoglossus lida",219857,219857,"accepted",NA,"species","(Bleeker, 1851)","Animalia","Chordata","Teleostei","Pleuronectiformes","Cynoglossidae","Cynoglossus","0","0",NA
"3179","Cynoglossus puncticeps","Cynoglossus puncticeps","Cynoglossus puncticeps",274220,274220,"accepted",NA,"species","(Richardson, 1846)","Animalia","Chordata","Teleostei","Pleuronectiformes","Cynoglossidae","Cynoglossus","0","0",NA
"3180","Cynoglossidae","Cynoglossidae","Cynoglossidae",125578,125578,"accepted",NA,"family","Jordan, 1888","Animalia","Chordata","Teleostei","Pleuronectiformes","Cynoglossidae",NA,"0","0",NA
"3181","Abalistes filamentosus","Abalistes filamentosus","Abalistes filamentosus",276793,276793,"accepted",NA,"species","Matsuura & Yoshino, 2004","Animalia","Chordata","Teleostei","Tetraodontiformes","Balistidae","Abalistes","0","0",NA
"3182","Abalistes stellatus","Abalistes stellatus","Abalistes stellatus",219873,219873,"accepted",NA,"species","(Anonymous, 1798)","Animalia","Chordata","Teleostei","Tetraodontiformes","Balistidae","Abalistes","0","0",NA
"3183","Arothron immaculatus","Arothron immaculatus","Arothron immaculatus",219931,219931,"accepted",NA,"species","(Bloch & Schneider, 1801)","Animalia","Chordata","Teleostei","Tetraodontiformes","Tetraodontidae","Arothron","0","0",NA
"3184","Lagocephalus lagocephalus","Lagocephalus lagocephalus","Lagocephalus lagocephalus",127414,127414,"accepted",NA,"species","(Linnaeus, 1758)","Animalia","Chordata","Teleostei","Tetraodontiformes","Tetraodontidae","Lagocephalus","0","0",NA
"3185","Diodon holocanthus","Diodon holocanthus","Diodon holocanthus",127402,127402,"accepted",NA,"species","Linnaeus, 1758","Animalia","Chordata","Teleostei","Tetraodontiformes","Diodontidae","Diodon","0","0",NA
"3186","Entomacrodus caudofasciatus","Entomacrodus caudofasciatus","Entomacrodus caudofasciatus",277241,277241,"accepted",NA,"species","(Regan, 1909)","Animalia","Chordata","Teleostei","Blenniiformes","Blenniidae","Entomacrodus","0","0",NA
"3187","Gymnothorax enigmaticus","Gymnothorax enigmaticus","Gymnothorax enigmaticus",217487,217487,"accepted",NA,"species","McCosker & Randall, 1982","Animalia","Chordata","Teleostei","Anguilliformes","Muraenidae","Gymnothorax","0","0",NA
"3188","Bangana rendahli","Bangana rendahli","Bangana rendahli",1015525,1015525,"accepted",NA,"species","(Kimura, 1934)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Bangana","1","0",NA
"3189","Niwaella laterimaculata","Niwaella laterimaculata","Niwaella laterimaculata",1012091,1012091,"accepted",NA,"species","(Yan & Zheng, 1984)","Animalia","Chordata","Teleostei","Cypriniformes","Cobitidae","Niwaella","1","0",NA
"3190","Pseudogastromyzon laticeps","Pseudogastromyzon laticeps","Pseudogastromyzon laticeps",282418,282418,"accepted",NA,"species","Chen & Zheng, 1980","Animalia","Chordata","Teleostei","Cypriniformes","Balitoridae","Pseudogastromyzon","0","0",NA
"3191","Hemimyzon pengi","Hemimyzon pengi","Hemimyzon pengi",1012263,1012263,"accepted",NA,"species","(Huang, 1982)","Animalia","Chordata","Teleostei","Cypriniformes","Balitoridae","Hemimyzon","1","0",NA
"3192","Liparis punctulatus","Liparis punctulatus","Liparis punctulatus",274535,274535,"accepted",NA,"species","(Tanaka, 1916)","Animalia","Chordata","Teleostei","Perciformes","Liparidae","Liparis","0","0",NA
"3193","Plectorhinchus chaetodonoides","Plectorhinchus chaetodonoides","Plectorhinchus chaetodonoides",273483,273483,"accepted",NA,"species","Lacepède, 1801","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Haemulidae","Plectorhinchus","0","0",NA
"3194","Oreochromis niloticus","Oreochromis niloticus","Oreochromis niloticus",293639,293639,"accepted",NA,"species","(Linnaeus, 1758)","Animalia","Chordata","Teleostei","Cichliformes","Cichlidae","Oreochromis","0","0",NA
"3195","Macropodus opercularis","Macropodus opercularis","Macropodus opercularis",1016961,1016961,"accepted",NA,"species","(Linnaeus, 1758)","Animalia","Chordata","Teleostei","Anabantiformes","Osphronemidae","Macropodus","0","0",NA
"3196","Neocyema erythrosoma","Neocyema erythrosoma","Neocyema erythrosoma",221437,221437,"accepted",NA,"species","Castle, 1978","Animalia","Chordata","Teleostei","Saccopharyngiformes","Cyematidae","Neocyema","0","0",NA
"3197","Saccopharynx","Saccopharynx","Saccopharynx",126138,126138,"accepted",NA,"genus","Mitchill, 1824","Animalia","Chordata","Teleostei","Saccopharyngiformes","Saccopharyngidae","Saccopharynx","0","0",NA
"3198","Eurypharynx","Eurypharynx","Eurypharynx",126136,126136,"accepted",NA,"genus","Vaillant, 1882","Animalia","Chordata","Teleostei","Saccopharyngiformes","Eurypharyngidae","Eurypharynx","0","0",NA
"3199","Cyema","Cyema","Cyema",126135,126135,"accepted",NA,"genus","Günther, 1878","Animalia","Chordata","Teleostei","Saccopharyngiformes","Cyematidae","Cyema","0","0",NA
"3200","Monognathus jesperseni","Monognathus jesperseni","Monognathus jesperseni",127169,127169,"accepted",NA,"species","Bertin, 1936","Animalia","Chordata","Teleostei","Saccopharyngiformes","Monognathidae","Monognathus","0","0",NA
"3201","Monognathus","Monognathus","Monognathus",126137,126137,"accepted",NA,"genus","Bertin, 1936","Animalia","Chordata","Teleostei","Saccopharyngiformes","Monognathidae","Monognathus","0","0",NA
"3202","Enterochromis cinctus","Enterochromis cinctus","Haplochromis cinctus",1013228,1622593,"unaccepted","senior synonym","species","Greenwood & Gee, 1969","Animalia","Chordata","Teleostei","Cichliformes","Cichlidae","Enterochromis","1","0",NA
"3203","Platytaeniodus degeni","Platytaeniodus degeni","Haplochromis degeni",1017472,1018480,"unaccepted","synonym","species","(Boulenger, 1906)","Animalia","Chordata","Teleostei","Cichliformes","Cichlidae","Platytaeniodus","1","0",NA
"3204","Haplochromis hiatus","Haplochromis hiatus","Haplochromis hiatus",1012325,1012325,"accepted",NA,"species","Hoogerhoud & Witte, 1981","Animalia","Chordata","Teleostei","Cichliformes","Cichlidae","Haplochromis","1","0",NA
"3205","Haplochromis","Haplochromis","Haplochromis",269314,269314,"accepted",NA,"genus","Hilgendorf, 1888","Animalia","Chordata","Teleostei","Cichliformes","Cichlidae","Haplochromis","1","0",NA
"3206","Haplochromis paropius","Haplochromis paropius","Haplochromis paropius",1013238,1013238,"accepted",NA,"species","Greenwood & Gee, 1969","Animalia","Chordata","Teleostei","Cichliformes","Cichlidae","Haplochromis","1","0",NA
"3207","Haplochromis piceatus","Haplochromis piceatus","Haplochromis piceatus",1013239,1013239,"accepted",NA,"species","Greenwood & Gee, 1969","Animalia","Chordata","Teleostei","Cichliformes","Cichlidae","Haplochromis","1","0",NA
"3208","Haplochromis xenognathus","Haplochromis xenognathus","Haplochromis xenognathus",1383566,1383566,"accepted",NA,"species","Greenwood, 1957","Animalia","Chordata","Teleostei","Cichliformes","Cichlidae","Haplochromis","1","0",NA
"3209","Yirrkala misolensis","Yirrkala misolensis","Yirrkala misolensis",278954,278954,"accepted",NA,"species","(Günther, 1872)","Animalia","Chordata","Teleostei","Anguilliformes","Ophichthidae","Yirrkala","0","0",NA
"3210","Harpadon nehereus","Harpadon nehereus","Harpadon nehereus",217661,217661,"accepted",NA,"species","(Hamilton, 1822)","Animalia","Chordata","Teleostei","Aulopiformes","Synodontidae","Harpadon","0","0",NA
"3211","Albula koreana","Albula koreana","Albula koreana",712410,712410,"accepted",NA,"species","Kwun & Kim, 2011","Animalia","Chordata","Teleostei","Albuliformes","Albulidae","Albula","0","0",NA
"3212","Tor putitora","Tor putitora","Tor putitora",1026593,1026593,"accepted",NA,"species","(Hamilton, 1822)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Tor","1","0",NA
"3213","Epinephelus awoara","Epinephelus awoara","Epinephelus awoara",273836,273836,"accepted",NA,"species","(Temminck & Schlegel, 1842)","Animalia","Chordata","Teleostei","Perciformes","Serranidae","Epinephelus","0","0",NA
"3214","Odontanthias unimaculatus","Odontanthias unimaculatus","Odontanthias unimaculatus",311421,311421,"accepted",NA,"species","(Tanaka, 1917)","Animalia","Chordata","Teleostei","Perciformes","Serranidae","Odontanthias","0","0",NA
"3215","Caprodon schlegelii","Caprodon schlegelii","Caprodon schlegelii",280031,280031,"accepted",NA,"species","(Günther, 1859)","Animalia","Chordata","Teleostei","Perciformes","Serranidae","Caprodon","0","0",NA
"3216","Lutjanus russellii","Lutjanus russellii","Lutjanus russellii",218473,218473,"accepted",NA,"species","(Bleeker, 1849)","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Lutjanidae","Lutjanus","0","0",NA
"3217","Caesio caerulaurea","Caesio caerulaurea","Caesio caerulaurea",219995,219995,"accepted",NA,"species","Lacepède, 1801","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Caesionidae","Caesio","0","0",NA
"3218","Stethojulis terina","Stethojulis terina","Stethojulis terina",277110,277110,"accepted",NA,"species","Jordan & Snyder, 1902","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Stethojulis","0","0",NA
"3219","Ostorhinchus pleuron","Ostorhinchus pleuron","Ostorhinchus pleuron",712683,712683,"accepted",NA,"species","(Fraser, 2005)","Animalia","Chordata","Teleostei","Kurtiformes","Apogonidae","Ostorhinchus","0","0",NA
"3220","Clariger cosmurus","Clariger cosmurus","Clariger cosmurus",280205,280205,"accepted",NA,"species","Jordan & Snyder, 1901","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Clariger","0","0",NA
"3221","Epinnula magistralis","Epinnula magistralis","Epinnula magistralis",280695,280695,"accepted",NA,"species","Poey, 1854","Animalia","Chordata","Teleostei","Scombriformes","Gempylidae","Epinnula","0","0",NA
"3222","Aseraggodes kobensis","Aseraggodes kobensis","Aseraggodes kobensis",279726,279726,"accepted",NA,"species","(Steindachner, 1896)","Animalia","Chordata","Teleostei","Pleuronectiformes","Soleidae","Aseraggodes","0","0",NA
"3223","Lethrinus haematopterus","Lethrinus haematopterus","Lethrinus haematopterus",278634,278634,"accepted",NA,"species","Temminck & Schlegel, 1844","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Lethrinidae","Lethrinus","0","0",NA
"3224","Luciogobius","Luciogobius","Luciogobius",269746,269746,"accepted",NA,"genus","Gill, 1859","Animalia","Chordata","Teleostei","Gobiiformes","Gobiidae","Luciogobius","0","0",NA
"3225","Carcharhinus limbatus","Carcharhinus limbatus","Carcharhinus limbatus",105793,105793,"accepted",NA,"species","(Müller & Henle, 1839)","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","0","0",NA
"3226","Acanthocepola abbreviata","Acanthocepola abbreviata","Acanthocepola abbreviata",278762,278762,"accepted",NA,"species","(Valenciennes, 1835)","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Cepolidae","Acanthocepola","0","0",NA
"3227","Amarsipus carlsbergi","Amarsipus carlsbergi","Amarsipus carlsbergi",219735,219735,"accepted",NA,"species","Haedrich, 1969","Animalia","Chordata","Teleostei","Scombriformes","Amarsipidae","Amarsipus","0","0",NA
"3228","Carcharhinus obscurus","Carcharhinus obscurus","Carcharhinus obscurus",105796,105796,"accepted",NA,"species","(Lesueur, 1818)","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","0","0",NA
"3229","Scoliodon laticaudus","Scoliodon laticaudus","Scoliodon laticaudus",217364,217364,"accepted",NA,"species","Müller & Henle, 1838","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Scoliodon","0","0",NA
"3230","Etmopterus splendidus","Etmopterus splendidus","Etmopterus splendidus",271643,271643,"accepted",NA,"species","Yano, 1988","Animalia","Chordata","Elasmobranchii","Squaliformes","Etmopteridae","Etmopterus","0","0",NA
"3231","Hongeo koreana","Hongeo koreana","Hongeo koreanus",712397,1592816,"unaccepted",NA,"species","(Jeong & Nakabo, 1997)","Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Hongeo","0","0",NA
"3232","Okamejei boesemani","Okamejei boesemani","Okamejei boesemani",279180,279180,"accepted",NA,"species","(Ishihara, 1987)","Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Okamejei","0","0",NA
"3233","Telatrygon acutirostra","Telatrygon acutirostra","Telatrygon acutirostra",1011795,1011795,"accepted",NA,"species","(Nishida & Nakaya, 1988)","Animalia","Chordata","Elasmobranchii","Myliobatiformes","Dasyatidae","Telatrygon","0","0",NA
"3234","Rhinoptera javanica","Rhinoptera javanica","Rhinoptera javanica",217429,217429,"accepted",NA,"species","Müller & Henle, 1841","Animalia","Chordata","Elasmobranchii","Myliobatiformes","Myliobatidae","Rhinoptera","0","0",NA
"3235","Gymnothorax chlorostigma","Gymnothorax chlorostigma","Gymnothorax meleagris",217503,299504,"unaccepted",NA,"species","(Shaw, 1795)","Animalia","Chordata","Teleostei","Anguilliformes","Muraenidae","Gymnothorax","0","0",NA
"3236","Gymnothorax phasmatodes","Gymnothorax phasmatodes","Gymnothorax phasmatodes",217504,217504,"accepted",NA,"species","(Smith, 1962)","Animalia","Chordata","Teleostei","Anguilliformes","Muraenidae","Gymnothorax","0","0",NA
"3237","Ophichthus singapurensis","Ophichthus singapurensis","Ophichthus singapurensis",271982,271982,"accepted",NA,"species","Bleeker, 1864-65","Animalia","Chordata","Teleostei","Anguilliformes","Ophichthidae","Ophichthus","0","0",NA
"3238","Muraenichthys sibogae","Muraenichthys sibogae","Muraenichthys sibogae",278258,278258,"accepted",NA,"species","Weber & de Beaufort, 1916","Animalia","Chordata","Teleostei","Anguilliformes","Ophichthidae","Muraenichthys","0","0",NA
"3239","Xyrias revulsus","Xyrias revulsus","Xyrias revulsus",217598,217598,"accepted",NA,"species","Jordan & Snyder, 1901","Animalia","Chordata","Teleostei","Anguilliformes","Ophichthidae","Xyrias","0","0",NA
"3240","Oxyconger leptognathus","Oxyconger leptognathus","Oxyconger leptognathus",281953,281953,"accepted",NA,"species","(Bleeker, 1858)","Animalia","Chordata","Teleostei","Anguilliformes","Muraenesocidae","Oxyconger","0","0",NA
"3241","Bathycongrus bleekeri","Bathycongrus bleekeri","Bathycongrus bleekeri",276865,276865,"accepted",NA,"species","Fowler, 1934","Animalia","Chordata","Teleostei","Anguilliformes","Congridae","Bathycongrus","0","0",NA
"3242","Pentaceros wheeleri","Pentaceros wheeleri","Pentaceros wheeleri",313241,313241,"accepted",NA,"species","(Hardy, 1983)","Animalia","Chordata","Teleostei","Acropomatiformes","Pentacerotidae","Pentaceros","0","0",NA
"3243","Pectenocypris","Pectenocypris","Pectenocypris",270316,270316,"accepted",NA,"genus","Kottelat, 1982","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Pectenocypris","1","0",NA
"3244","Engraulis encrasicolus","Engraulis encrasicolus","Engraulis encrasicolus",126426,126426,"accepted",NA,"species","(Linnaeus, 1758)","Animalia","Chordata","Teleostei","Clupeiformes","Engraulidae","Engraulis","0","0",NA
"3245","Sardina pilchardus","Sardina pilchardus","Sardina pilchardus",126421,126421,"accepted",NA,"species","(Walbaum, 1792)","Animalia","Chordata","Teleostei","Clupeiformes","Alosidae","Sardina","0","0",NA
"3246","Neolissochilus hexagonolepis","Neolissochilus hexagonolepis","Neolissochilus hexagonolepis",1022528,1022528,"accepted",NA,"species","(McClelland, 1839)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Neolissochilus","1","0",NA
"3247","Percocypris pingi","Percocypris pingi","Percocypris pingi",1015890,1015890,"accepted",NA,"species","(Tchang, 1930)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Percocypris","1","0",NA
"3248","Rhodeus","Rhodeus","Rhodeus",154330,154330,"accepted",NA,"genus","Agassiz, 1832","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Rhodeus","0","0",NA
"3249","Pseudorasbora elongata","Pseudorasbora elongata","Pseudorasbora elongata",1014893,1014893,"accepted",NA,"species","Wu, 1939","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Pseudorasbora","1","0",NA
"3250","Tribolodon sachalinensis","Tribolodon sachalinensis","Pseudaspius sachalinensis",1572046,712437,"junior objective synonym",NA,"species","(Nikolskii, 1889)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Tribolodon","0","0",NA
"3251","Glyptothorax laosensis","Glyptothorax laosensis","Glyptothorax laosensis",1015489,1015489,"accepted",NA,"species","Fowler, 1934","Animalia","Chordata","Teleostei","Siluriformes","Sisoridae","Glyptothorax","1","0",NA
"3252","Noturus leptacanthus","Noturus leptacanthus","Noturus leptacanthus",1020185,1020185,"accepted",NA,"species","Jordan, 1877","Animalia","Chordata","Teleostei","Siluriformes","Ictaluridae","Noturus","1","0",NA
"3253","Pseudobagrus ichikawai","Pseudobagrus ichikawai","Coreobagrus ichikawai",1013949,1528579,"unaccepted",NA,"species","Okada & Kubota, 1957","Animalia","Chordata","Teleostei","Siluriformes","Bagridae","Pseudobagrus","1","0",NA
"3254","Synodus ulae","Synodus ulae","Synodus ulae",272144,272144,"accepted",NA,"species","Schultz, 1953","Animalia","Chordata","Teleostei","Aulopiformes","Synodontidae","Synodus","0","0",NA
"3255","Saurida tumbil","Saurida tumbil","Saurida tumbil",217663,217663,"accepted",NA,"species","(Bloch, 1795)","Animalia","Chordata","Teleostei","Aulopiformes","Synodontidae","Saurida","0","0",NA
"3256","Lobianchia","Lobianchia","Lobianchia",158899,158899,"accepted",NA,"genus","Gatti, 1904","Animalia","Chordata","Teleostei","Myctophiformes","Myctophidae","Lobianchia","0","0",NA
"3257","Percopsis omiscomaycus","Percopsis omiscomaycus","Percopsis omiscomaycus",567538,567538,"accepted",NA,"species","(Walbaum, 1792)","Animalia","Chordata","Teleostei","Percopsiformes","Percopsidae","Percopsis","1","0",NA
"3258","Coelorinchus hige","Coelorinchus hige","Coelorinchus hige",280286,280286,"accepted",NA,"species","Matsubara, 1943","Animalia","Chordata","Teleostei","Gadiformes","Macrouridae","Coelorinchus","0","0",NA
"3259","Coelorinchus multispinulosus","Coelorinchus multispinulosus","Coelorinchus multispinulosus",280318,280318,"accepted",NA,"species","Katayama, 1942","Animalia","Chordata","Teleostei","Gadiformes","Macrouridae","Coelorinchus","0","0",NA
"3260","Micromesistius poutassou","Micromesistius poutassou","Micromesistius poutassou",126439,126439,"accepted",NA,"species","(Risso, 1827)","Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Micromesistius","0","0",NA
"3261","Moolgarda perusii","Moolgarda perusii","Osteomugil perusii",1043605,276702,"unaccepted","Superseded new combination","species","(Valenciennes, 1836)","Animalia","Chordata","Teleostei","Mugiliformes","Mugilidae","Moolgarda","0","0",NA
"3262","Rhadinocentrus ornatus","Rhadinocentrus ornatus","Rhadinocentrus ornatus",1017241,1017241,"accepted",NA,"species","Regan, 1914","Animalia","Chordata","Teleostei","Atheriniformes","Melanotaeniidae","Rhadinocentrus","1","0",NA
"3263","Xiphophorus hellerii","Xiphophorus hellerii","Xiphophorus hellerii",283197,283197,"accepted",NA,"species","Heckel, 1848","Animalia","Chordata","Teleostei","Cyprinodontiformes","Poeciliidae","Xiphophorus","0","0",NA
