accession,found_taxa,common_name,rank,taxa_verbatim,taxonomy_search,hybrid,worms_sciname,worms_aphiaid,original_aphiaid,status,unacceptreason,valid_authority,kingdom,phylum,class,order,family,genus,freshwater_only,terrestrial_only,n_dups
KY421805,Oxycheilinus digramma,NA,species,Oxycheilinus digramma,Oxycheilinus digramma,NA,Oxycheilinus digramma,277996,277996,accepted,NA,"(Lacepède, 1801)",Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Oxycheilinus,0,0,1
KY421807,Calotomus carolinus,NA,species,Calotomus carolinus,Calotomus carolinus,NA,Calotomus carolinus,219076,219076,accepted,NA,"(Valenciennes, 1840)",Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Scaridae,Calotomus,0,0,1
KY421809,Cheilinus fasciatus,NA,species,Cheilinus fasciatus,Cheilinus fasciatus,NA,Cheilinus fasciatus,218940,218940,accepted,NA,"(Bloch, 1791)",Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Cheilinus,0,0,1
KY421810,Hipposcarus harid,NA,species,Hipposcarus harid,Hipposcarus harid,NA,Hipposcarus harid,219090,219090,accepted,NA,"(Forsskål, 1775)",Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Scaridae,Hipposcarus,0,0,1
KY436758,Schizothorax eurystomus,NA,species,Schizothorax eurystomus,Schizothorax eurystomus,NA,Schizothorax eurystomus,1383086,1383086,accepted,NA,"Kessler, 1872",Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Schizothorax,1,0,1
KY436760,Aspiorhynchus laticeps,NA,species,Aspiorhynchus laticeps,Aspiorhynchus laticeps,NA,Aspiorhynchus laticeps,1017931,1017931,accepted,NA,"(Day, 1877)",Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Aspiorhynchus,1,0,1
KY464952,Sphyrna mokarran,NA,species,Sphyrna mokarran,Sphyrna mokarran,NA,Sphyrna mokarran,105817,105817,accepted,NA,"(Rüppell, 1837)",Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,0,0,1
KY464954,Squatina squatina,NA,species,Squatina squatina,Squatina squatina,NA,Squatina squatina,105928,105928,accepted,NA,"(Linnaeus, 1758)",Animalia,Chordata,Elasmobranchii,Squatiniformes,Squatinidae,Squatina,0,0,1
KY465995,Discogobio longibarbatus,NA,species,Discogobio longibarbatus,Discogobio longibarbatus,NA,Discogobio longibarbatus,280566,280566,accepted,NA,"Wu, 1977",Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Discogobio,0,0,1
KY471356,Pseudolaubuca sinensis,NA,species,Pseudolaubuca sinensis,Pseudolaubuca sinensis,NA,Pseudolaubuca sinensis,1015718,1015718,accepted,NA,"Bleeker, 1864",Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Pseudolaubuca,1,0,1
KY471393,Xenotoca variata,NA,species,Xenotoca variata,Xenotoca variata,NA,Xenotoca variata,1019792,1019792,accepted,NA,"(Bean, 1887)",Animalia,Chordata,Teleostei,Cyprinodontiformes,Goodeidae,Xenotoca,1,0,1
KY486515,Squalidus multimaculatus,NA,species,Squalidus multimaculatus,Squalidus multimaculatus,NA,Squalidus multimaculatus,1012027,1012027,accepted,NA,"Hosoya & Jeon, 1984",Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Squalidus,1,0,1
KY486516,Squalidus multimaculatus,NA,species,Squalidus multimaculatus,Squalidus multimaculatus,NA,Squalidus multimaculatus,1012027,1012027,accepted,NA,"Hosoya & Jeon, 1984",Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Squalidus,1,0,1
KY486521,Squalidus multimaculatus,NA,species,Squalidus multimaculatus,Squalidus multimaculatus,NA,Squalidus multimaculatus,1012027,1012027,accepted,NA,"Hosoya & Jeon, 1984",Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Squalidus,1,0,1
KY486524,Squalidus multimaculatus,NA,species,Squalidus multimaculatus,Squalidus multimaculatus,NA,Squalidus multimaculatus,1012027,1012027,accepted,NA,"Hosoya & Jeon, 1984",Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Squalidus,1,0,1
KY486526,Squalidus multimaculatus,NA,species,Squalidus multimaculatus,Squalidus multimaculatus,NA,Squalidus multimaculatus,1012027,1012027,accepted,NA,"Hosoya & Jeon, 1984",Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Squalidus,1,0,1
KY486537,Squalidus multimaculatus,NA,species,Squalidus multimaculatus,Squalidus multimaculatus,NA,Squalidus multimaculatus,1012027,1012027,accepted,NA,"Hosoya & Jeon, 1984",Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Squalidus,1,0,1
KY511122,Herzensteinia microcephalus,NA,species,Herzensteinia microcephalus,Herzensteinia microcephalus,NA,Herzensteinia microcephalus,1019592,1019592,accepted,NA,"(Herzenstein, 1891)",Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Herzensteinia,1,0,1
KY511123,Schizopygopsis pylzovi,NA,species,Schizopygopsis pylzovi,Schizopygopsis pylzovi,NA,Schizopygopsis pylzovi,1019586,1019586,accepted,NA,"Kessler, 1876",Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Schizopygopsis,1,0,1
KY513709,Somniosus microcephalus,NA,species,Somniosus microcephalus,Somniosus microcephalus,NA,Somniosus microcephalus,105919,105919,accepted,NA,"(Bloch & Schneider, 1801)",Animalia,Chordata,Elasmobranchii,Squaliformes,Somniosidae,Somniosus,0,0,1
