accession,taxonomy
NC_027495,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Botiidae;Botia;Botia_lohachata
NC_027448,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Cobitidae;;Misgurnus_anguillicaudatus_x_Paramisgurnus_dabryanus
NC_027447,root;Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes_thompsoni
NC_027446,root;Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes_trivittatus
NC_027445,root;Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes_steindachneri
NC_027444,root;Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes_minor
NC_027440,root;Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes_hubbsi
NC_027439,root;Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes_taczanowskii
NC_027438,root;Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes_vulpes
NC_027437,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Acheilognathidae;Rhodeus;Rhodeus_fangi
NC_027417,root;Eukaryota;Chordata;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;Acipenser_sturio
NC_027411,root;Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Thymallus;Thymallus_burejensis
NC_027410,root;Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Thymallus;Thymallus_yaluensis
NC_027409,root;Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Thymallus;Thymallus_tugarinae
NC_027408,root;Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Thymallus;Thymallus_pallasii
NC_027289,root;Eukaryota;Chordata;Actinopteri;Cichliformes;Cichlidae;Haplochromis;Haplochromis_burtoni
NC_027240,root;Eukaryota;Chordata;Actinopteri;Anguilliformes;Muraenidae;Gymnomuraena;Gymnomuraena_zebra
NC_027234,root;Eukaryota;Chordata;Actinopteri;Anguilliformes;Muraenidae;Enchelynassa;Enchelynassa_canina
NC_027291,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Gastromyzontidae;Beaufortia;Beaufortia_szechuanensis
NC_027281,root;Eukaryota;Chordata;Actinopteri;Centrarchiformes;Terapontidae;Terapon;Terapon_jarbua
NC_027277,root;Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Coregonus;Coregonus_autumnalis
NC_027273,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Leuciscidae;Rhynchocypris;Rhynchocypris_oxycephalus
NC_027270,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Gobionidae;Gnathopogon;Gnathopogon_taeniellus
NC_027255,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Gobionidae;Gnathopogon;Gnathopogon_imberbis
NC_027239,root;Eukaryota;Chordata;Actinopteri;Mugiliformes;Mugilidae;Planiliza;Planiliza_macrolepis
NC_027238,root;Eukaryota;Chordata;Actinopteri;Anabantiformes;Osphronemidae;Trichopodus;Trichopodus_microlepis
NC_027228,root;Eukaryota;Chordata;Actinopteri;Centrarchiformes;Sinipercidae;Siniperca;Siniperca_knerii_x_Siniperca_chuatsi
NC_026194,root;Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Lagocephalus;Lagocephalus_spadiceus
NC_027192,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Nemacheilidae;Barbatula;Barbatula_barbatula
NC_027189,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Nemacheilidae;Triplophysa;Triplophysa_bombifrons
NC_027182,root;Eukaryota;Chordata;Chondrichthyes;Rhinopristiformes;Pristidae;Pristis;Pristis_pectinata
NC_027175,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Botiidae;Ambastaia;Ambastaia_sidthimunki
NC_027171,root;Eukaryota;Chordata;Actinopteri;Centrarchiformes;Terapontidae;Scortum;Scortum_barcoo
NC_027169,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Sinocyclocheilus;Sinocyclocheilus_anshuiensis
NC_027168,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Sinocyclocheilus;Sinocyclocheilus_rhinocerous
NC_027167,root;Eukaryota;Chordata;Actinopteri;Siluriformes;Amblycipitidae;Liobagrus;Liobagrus_mediadiposalis
NC_027166,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Cobitidae;Kichulchoia;Kichulchoia_multifasciata
NC_027164,root;Eukaryota;Chordata;Actinopteri;Centrarchiformes;Sinipercidae;Coreoperca;Coreoperca_herzi
NC_027162,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Schizothorax;Schizothorax_lissolabiata
NC_027160,root;Eukaryota;Chordata;Actinopteri;Gobiiformes;Odontobutidae;Odontobutis;Odontobutis_yaluensis
NC_027107,root;Eukaryota;Chordata;Actinopteri;Siluriformes;Siluridae;Pterocryptis;Pterocryptis_cochinchinensis
NC_027098,root;Eukaryota;Chordata;Actinopteri;Lutjaniformes;Haemulidae;Plectorhinchus;Plectorhinchus_vittatus
NC_027097,root;Eukaryota;Chordata;Actinopteri;Lutjaniformes;Haemulidae;Plectorhinchus;Plectorhinchus_orientalis
NC_027088,root;Eukaryota;Chordata;Actinopteri;;Polynemidae;Polydactylus;Polydactylus_sextarius
NC_027084,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Acheilognathidae;Tanakia;Tanakia_himantegus
NC_027081,root;Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Carcharhinidae;Carcharhinus;Carcharhinus_brevipinna
NC_027070,root;Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Monacanthidae;Thamnaconus;Thamnaconus_hypargyreus
NC_027069,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Bangana;Bangana_tungting
NC_027062,root;Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Luciogobius;Luciogobius_pallidus
NC_026989,root;Eukaryota;Chordata;Actinopteri;Perciformes;Synanceiidae;Synanceia;Synanceia_verrucosa
NC_026973,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Acrossocheilus;Acrossocheilus_parallens
NC_026912,root;Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Coilia;Coilia_brachygnathus
NC_026902,root;Eukaryota;Chordata;Actinopteri;Gobiiformes;Eleotridae;Eleotris;Eleotris_oxycephala
NC_026873,root;Eukaryota;Chordata;Actinopteri;Characiformes;Bryconidae;Brycon;Brycon_henni
NC_026872,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Acheilognathidae;Acheilognathus;Acheilognathus_barbatus
NC_026846,root;Eukaryota;Chordata;Actinopteri;Siluriformes;Pimelodidae;Pseudoplatystoma;Pseudoplatystoma_corruscans
NC_026845,root;Eukaryota;Chordata;Actinopteri;Siluriformes;Pseudopimelodidae;Lophiosilurus;Lophiosilurus_alexandri
NC_026919,root;Eukaryota;Chordata;Actinopteri;;Scatophagidae;Selenotoca;Selenotoca_multifasciata
NC_026918,root;Eukaryota;Chordata;Actinopteri;Cichliformes;Cichlidae;Parachromis;Parachromis_managuensis
NC_026917,root;Eukaryota;Chordata;Hyperoartia;Petromyzontiformes;Petromyzontidae;Lampetra;Lampetra_aepyptera
NC_026904,root;Eukaryota;Chordata;Actinopteri;Atheriniformes;Melanotaeniidae;Melanotaenia;Melanotaenia_parkinsoni
NC_026899,root;Eukaryota;Chordata;Actinopteri;Centrarchiformes;Cheilodactylidae;Cheilodactylus;Cheilodactylus_variegatus
NC_026889,root;Eukaryota;Chordata;Actinopteri;Perciformes;Anoplopomatidae;Erilepis;Erilepis_zonifer
NC_026888,root;Eukaryota;Chordata;Actinopteri;Perciformes;Hexagrammidae;Hexagrammos;Hexagrammos_lagocephalus
NC_026887,root;Eukaryota;Chordata;Actinopteri;Perciformes;Hexagrammidae;Ophiodon;Ophiodon_elongatus
NC_026883,root;Eukaryota;Chordata;Actinopteri;;Pomacanthidae;Chaetodontoplus;Chaetodontoplus_conspicillatus
NC_026870,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;;;Cyprinus_carpio_specularis_x_Carassius_cuvieri
NC_026794,root;Eukaryota;Chordata;Actinopteri;Anabantiformes;Osphronemidae;Trichogaster;Trichogaster_fasciata
NC_026774,root;Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Triakidae;Hemitriakis;Hemitriakis_japanica
NC_026731,root;Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Epinephelus;Epinephelus_corallicola
NC_026725,root;Eukaryota;Chordata;Actinopteri;Anabantiformes;Osphronemidae;Trichopodus;Trichopodus_leerii
NC_026718,root;Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Decapterus;Decapterus_macarellus
NC_026717,root;Eukaryota;Chordata;Actinopteri;Siluriformes;Auchenipteridae;Ageneiosus;Ageneiosus_pardalis
NC_026714,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Nemacheilidae;Triplophysa;Triplophysa_strauchii
NC_026712,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Xenocyprididae;Pseudolaubuca;Pseudolaubuca_sinensis
NC_026709,root;Eukaryota;Chordata;Actinopteri;Synbranchiformes;Mastacembelidae;Sinobdella;Sinobdella_sinensis
NC_026696,root;Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Carcharhinidae;Carcharhinus;Carcharhinus_amboinensis
NC_026693,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Xenocyprididae;Hemiculterella;Hemiculterella_sauvagei
NC_026689,root;Eukaryota;Chordata;Actinopteri;Cichliformes;Cichlidae;Symphysodon;Symphysodon_discus
NC_026581,root;Eukaryota;Chordata;Actinopteri;Anabantiformes;Osphronemidae;Betta;Betta_splendens
NC_026578,root;Eukaryota;Chordata;Actinopteri;Perciformes;Bathydraconidae;Parachaenichthys;Parachaenichthys_charcoti
NC_026566,root;Eukaryota;Chordata;Actinopteri;Osmeriformes;Osmeridae;Hypomesus;Hypomesus_olidus
NC_026549,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Onychostoma;Onychostoma_gerlachi
NC_026545,root;Eukaryota;Chordata;Actinopteri;;Pomacanthidae;Pygoplites;Pygoplites_diacanthus
NC_026544,root;Eukaryota;Chordata;Actinopteri;Siluriformes;Bagridae;Tachysurus;Tachysurus_fulvidraco_x_Tachysurus_vachelli
NC_026543,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;;;Cyprinus_carpio_'Furong'_x_Carassius_auratus_red_var.
NC_026537,root;Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;;Oncorhynchus_mykiss_x_Salmo_salar
NC_026535,root;Eukaryota;Chordata;Actinopteri;Cichliformes;Cichlidae;Pterophyllum;Pterophyllum_scalare
NC_026533,root;Eukaryota;Chordata;Actinopteri;Perciformes;Percidae;Sander;Sander_lucioperca
NC_026528,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Catostomidae;Ictiobus;Ictiobus_cyprinellus
NC_026526,root;Eukaryota;Chordata;Actinopteri;Siluriformes;Pimelodidae;Pseudoplatystoma;Pseudoplatystoma_magdaleniatum
NC_026521,root;Eukaryota;Chordata;Actinopteri;;Pomacanthidae;Chaetodontoplus;Chaetodontoplus_mesoleucus
NC_026520,root;Eukaryota;Chordata;Actinopteri;;Pomacanthidae;Apolemichthys;Apolemichthys_kingi
NC_026519,root;Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Mugilogobius;Mugilogobius_chulae
NC_026467,root;Eukaryota;Chordata;Actinopteri;Beloniformes;Hemiramphidae;Hyporhamphus;Hyporhamphus_intermedius
NC_026464,root;Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Epinephelus;Epinephelus_coioides_x_Epinephelus_lanceolatus
NC_026458,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Xenocyprididae;Megalobrama;Megalobrama_pellegrini
NC_026455,root;Eukaryota;Chordata;Actinopteri;Osmeriformes;Salangidae;Neosalanx;Neosalanx_tangkahkeii
NC_026453,root;Eukaryota;Chordata;Actinopteri;;Pomacanthidae;Holacanthus;Holacanthus_clarionensis
NC_026451,root;Eukaryota;Chordata;Actinopteri;;Pomacanthidae;Centropyge;Centropyge_interrupta
NC_026307,root;Eukaryota;Chordata;Chondrichthyes;Rhinopristiformes;Pristidae;Anoxypristis;Anoxypristis_cuspidata
NC_026304,root;Eukaryota;Chordata;Actinopteri;;Pomacanthidae;Pomacanthus;Pomacanthus_imperator
NC_026303,root;Eukaryota;Chordata;Actinopteri;;Pomacanthidae;Pomacanthus;Pomacanthus_xanthometopon
NC_026294,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Schizothorax;Schizothorax_lantsangensis
NC_026285,root;Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Dasyatidae;Himantura;Himantura_microphthalma
NC_026284,root;Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Rhombosoleidae;Pelotretis;Pelotretis_flavilatus
NC_026236,root;Eukaryota;Chordata;Actinopteri;;Polynemidae;Polynemus;Polynemus_paradiseus
NC_026234,root;Eukaryota;Chordata;Actinopteri;Gerreiformes;Gerreidae;Gerres;Gerres_oyena
NC_026232,root;Eukaryota;Chordata;Actinopteri;Chaetodontiformes;Leiognathidae;Gazza;Gazza_minuta
NC_026229,root;Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Lagocephalus;Lagocephalus_suezensis
NC_026222,root;Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Atule;Atule_mate
NC_026221,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Bangana;Bangana_decora
NC_026217,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Labeo;Labeo_fimbriatus
NC_026216,root;Eukaryota;Chordata;Chondrichthyes;Lamniformes;Pseudocarchariidae;Pseudocarcharias;Pseudocarcharias_kamoharai
NC_026213,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Gastromyzontidae;Vanmanenia;Vanmanenia_pingchowensis
NC_026211,root;Eukaryota;Chordata;Actinopteri;Siluriformes;Pimelodidae;Sorubim;Sorubim_cuspicaudus
NC_026210,root;Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Potamotrygonidae;Taeniura;Taeniura_lymma
NC_026208,root;Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Dasyatidae;Maculabatis;Maculabatis_gerrardi
NC_026195,root;Eukaryota;Chordata;Actinopteri;Characiformes;Characidae;Grundulus;Grundulus_bogotensis
NC_026191,root;Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes_owstoni
NC_026130,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Botiidae;Leptobotia;Leptobotia_taeniops
NC_026129,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Spinibarbus;Spinibarbus_hollandi
NC_026128,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Botiidae;Parabotia;Parabotia_fasciatus
NC_026127,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Botiidae;Parabotia;Parabotia_banarescui
NC_026122,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Danionidae;Devario;Devario_laoensis
NC_026119,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Xenocyprididae;Sinibrama;Sinibrama_taeniatus
NC_026118,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Xenocyprididae;Megalobrama;Megalobrama_amblycephala_x_Megalobrama_hoffmanni
NC_026110,root;Eukaryota;Chordata;Actinopteri;Cichliformes;Cichlidae;Coptodon;Coptodon_zillii
NC_026109,root;Eukaryota;Chordata;Actinopteri;Cichliformes;Cichlidae;Oreochromis;Oreochromis_variabilis
NC_026100,root;Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes_longispinis
NC_026078,root;Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Soleidae;Brachirus;Brachirus_orientalis
NC_026075,root;Eukaryota;Chordata;Actinopteri;;Moronidae;Dicentrarchus;Dicentrarchus_punctatus
NC_026074,root;Eukaryota;Chordata;Actinopteri;;Moronidae;Dicentrarchus;Dicentrarchus_labrax
NC_025954,root;Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Mobula;Mobula_eregoodootenkee
NC_025953,root;Eukaryota;Chordata;Actinopteri;Chaetodontiformes;Chaetodontidae;Chelmon;Chelmon_rostratus
NC_025951,root;Eukaryota;Chordata;Actinopteri;Characiformes;Curimatidae;Curimata;Curimata_mivartii
NC_025950,root;Eukaryota;Chordata;Actinopteri;Characiformes;Prochilodontidae;Ichthyoelephas;Ichthyoelephas_longirostris
NC_025947,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Parasinilabeo;Parasinilabeo_assimilis
NC_025942,root;Eukaryota;Chordata;Chondrichthyes;Rajiformes;Arhynchobatidae;Atlantoraja;Atlantoraja_castelnaui
NC_025941,root;Eukaryota;Chordata;Actinopteri;Mugiliformes;Mugilidae;Oedalechilus;Oedalechilus_labiosus
NC_025939,root;Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Takifugu;Takifugu_flavidus_x_Takifugu_rubripes
NC_025937,root;Eukaryota;Chordata;Actinopteri;;Sciaenidae;Argyrosomus;Argyrosomus_amoyensis
NC_025935,root;Eukaryota;Chordata;Actinopteri;;Sillaginidae;Sillago;Sillago_aeolus
NC_025934,root;Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Euthynnus;Euthynnus_affinis
NC_025932,root;Eukaryota;Chordata;Actinopteri;Anabantiformes;Osphronemidae;Macropodus;Macropodus_opercularis
NC_025930,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;;;Cirrhinus_mrigala_x_Labeo_rohita
NC_025903,root;Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Samaridae;Samaris;Samaris_cristatus
NC_025785,root;Eukaryota;Chordata;Actinopteri;Perciformes;Percidae;Gymnocephalus;Gymnocephalus_cernua
NC_025771,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Choerodon;Choerodon_schoenleinii
NC_025770,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Procypris;Procypris_mera
NC_025767,root;Eukaryota;Chordata;Actinopteri;Characiformes;Anostomidae;Megaleporinus;Megaleporinus_piavussu
NC_025669,root;Eukaryota;Chordata;Actinopteri;Cichliformes;Cichlidae;Oreochromis;Oreochromis_niloticus_x_Oreochromis_aureus
NC_025665,root;Eukaryota;Chordata;Actinopteri;Scombriformes;Centrolophidae;Seriolella;Seriolella_porosa
NC_025650,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Diptychus;Diptychus_maculatus
NC_025648,root;Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Coregonus;Coregonus_ussuriensis
NC_025646,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Xenocyprididae;Ochetobius;Ochetobius_elongatus
NC_025644,root;Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Carangoides;Carangoides_equula
NC_025638,root;Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Ponticola;Ponticola_kessleri
NC_025632,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Nemacheilidae;Triplophysa;Triplophysa_robusta
NC_025631,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Gobionidae;Platysmacheilus;Platysmacheilus_nudiventris
NC_025590,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;;;Ctenopharyngodon_idellus_x_Elopichthys_bambusa
NC_025589,root;Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Hucho;Hucho_hucho
NC_025588,root;Eukaryota;Chordata;Actinopteri;;Siganidae;Siganus;Siganus_vulpinus
NC_025585,root;Eukaryota;Chordata;Actinopteri;Siluriformes;Doradidae;Platydoras;Platydoras_armatulus
NC_025584,root;Eukaryota;Chordata;Actinopteri;Siluriformes;Loricariidae;Hypostomus;Hypostomus_plecostomus
NC_025583,root;Eukaryota;Chordata;Hyperoartia;Petromyzontiformes;Petromyzontidae;Lethenteron;Lethenteron_appendix
NC_025578,root;Eukaryota;Chordata;Chondrichthyes;;Squatinidae;Squatina;Squatina_nebulosa
NC_025576,root;Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Coregonus;Coregonus_peled
NC_025565,root;Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Megalaspis;Megalaspis_cordyla
NC_025562,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Ageneiogarra;Ageneiogarra_imberba
NC_025555,root;Eukaryota;Chordata;Actinopteri;Cichliformes;Cichlidae;Oreochromis;Oreochromis_esculentus
NC_025553,root;Eukaryota;Chordata;Hyperoartia;Petromyzontiformes;Petromyzontidae;Ichthyomyzon;Ichthyomyzon_unicuspis
NC_025552,root;Eukaryota;Chordata;Hyperoartia;Petromyzontiformes;Petromyzontidae;Ichthyomyzon;Ichthyomyzon_fossor
NC_025519,root;Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Thunnus;Thunnus_atlanticus
NC_025517,root;Eukaryota;Chordata;Actinopteri;Lutjaniformes;Haemulidae;Plectorhinchus;Plectorhinchus_lineatus
NC_025515,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Acheilognathidae;Tanakia;Tanakia_limbata
NC_025512,root;Eukaryota;Chordata;Chondrichthyes;Torpediniformes;Narcinidae;Narcine;Narcine_entemedor
NC_025498,root;Eukaryota;Chordata;Chondrichthyes;Rajiformes;Rajidae;Beringraja;Beringraja_pulchra
NC_025337,root;Eukaryota;Chordata;Actinopteri;;Sillaginidae;Sillago;Sillago_asiatica
NC_025336,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Danionidae;Rasbora;Rasbora_trilineata
NC_025328,root;Eukaryota;Chordata;Chondrichthyes;;Squatinidae;Squatina;Squatina_formosa
NC_025326,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Acheilognathidae;Rhodeus;Rhodeus_sericeus
NC_025321,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Nemacheilidae;Homatula;Homatula_potanini
NC_025319,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Discogobio;Discogobio_yunnanensis
NC_025317,root;Eukaryota;Chordata;Actinopteri;Centrarchiformes;Sinipercidae;Siniperca;Siniperca_chuatsi_x_Siniperca_knerii
NC_025307,root;Eukaryota;Chordata;Actinopteri;;Sciaenidae;Nibea;Nibea_coibor
NC_025303,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Ptychobarbus;Ptychobarbus_kaznakovi
NC_025300,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Gobionidae;Xenophysogobio;Xenophysogobio_nudicorpa
NC_025298,root;Eukaryota;Chordata;Actinopteri;;Sillaginidae;Sillago;Sillago_indica
NC_025297,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Balitoridae;Metahomaloptera;Metahomaloptera_omeiensis
NC_025286,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Xenocyprididae;Nipponocypris;Nipponocypris_koreanus
NC_025242,root;Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Cottus;Cottus_czerskii
NC_025225,root;Eukaryota;Chordata;Actinopteri;Anabantiformes;Channidae;Channa;Channa_asiatica
NC_025199,root;Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Soleidae;Zebrias;Zebrias_zebrinus
NC_024940,root;Eukaryota;Chordata;Actinopteri;Characiformes;Serrasalmidae;Piaractus;Piaractus_mesopotamicus
NC_024953,root;Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Rhombosoleidae;Neoachiropsetta;Neoachiropsetta_milfordi
NC_024952,root;Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Citharidae;Lepidoblepharon;Lepidoblepharon_ophthalmolepis
NC_024951,root;Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Bothidae;Laeops;Laeops_lanceolata
NC_024950,root;Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Cyclopsettidae;Cyclopsetta;Cyclopsetta_fimbriata
NC_024948,root;Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Citharidae;Citharoides;Citharoides_macrolepidotus
NC_024941,root;Eukaryota;Chordata;Actinopteri;Characiformes;Bryconidae;Salminus;Salminus_brasiliensis
NC_024937,root;Eukaryota;Chordata;Chondrichthyes;Rhinopristiformes;Rhinobatidae;Zapteryx;Zapteryx_exasperata
NC_024934,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Acrossocheilus;Acrossocheilus_stenotaeniatus
NC_024921,root;Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Soleidae;Heteromycteris;Heteromycteris_japonicus
NC_024885,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Acheilognathidae;Rhodeus;Rhodeus_lighti
NC_024883,root;Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Chirostoma;Chirostoma_humboldtianum
NC_024881,root;Eukaryota;Chordata;Actinopteri;;Siganidae;Siganus;Siganus_canaliculatus
NC_024880,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Schizopygopsis;Schizopygopsis_malacanthus
NC_024879,root;Eukaryota;Chordata;Actinopteri;Centrarchiformes;Sinipercidae;Siniperca;Siniperca_scherzeri_x_Siniperca_chuatsi
NC_024876,root;Eukaryota;Chordata;Actinopteri;Centrarchiformes;Sinipercidae;Siniperca;Siniperca_chuatsi_x_Siniperca_scherzeri
NC_024862,root;Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Carcharhinidae;Carcharhinus;Carcharhinus_macloti
NC_024857,root;Eukaryota;Chordata;Actinopteri;Centrarchiformes;Cirrhitidae;Cirrhitichthys;Cirrhitichthys_aprinus
NC_024853,root;Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Tilodon;Tilodon_sexfasciatus
NC_024852,root;Eukaryota;Chordata;Actinopteri;Acropomatiformes;Howellidae;Howella;Howella_brodiei
NC_024851,root;Eukaryota;Chordata;Actinopteri;Centrarchiformes;Percichthyidae;Nannoperca;Nannoperca_variegata
NC_024848,root;Eukaryota;Chordata;Actinopteri;Centrarchiformes;Percichthyidae;Gadopsis;Gadopsis_bispinosus
NC_024847,root;Eukaryota;Chordata;Actinopteri;Centrarchiformes;Percichthyidae;Bostockia;Bostockia_porosa
NC_024846,root;Eukaryota;Chordata;Actinopteri;Centrarchiformes;Percichthyidae;Percilia;Percilia_irwini
NC_024844,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Acrossocheilus;Acrossocheilus_kreyenbergii
NC_024841,root;Eukaryota;Chordata;Actinopteri;;Pomacentridae;Amphiprion;Amphiprion_perideraion
NC_024837,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Gobionidae;Gnathopogon;Gnathopogon_polytaenia
NC_024836,root;Eukaryota;Chordata;Actinopteri;Aulopiformes;Synodontidae;Saurida;Saurida_umeyoshii
NC_024835,root;Eukaryota;Chordata;Actinopteri;Cichliformes;Cichlidae;Petenia;Petenia_splendida
NC_024834,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Xenocyprididae;Elopichthys;Elopichthys_bambusa
NC_024833,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Schizothorax;Schizothorax_pseudoaksaiensis
