accession,taxonomy
KY379967,root;Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Carangoides;Carangoides_praeustus
KY400011,root;Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Thunnus;Thunnus_obesus
KY404014,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Xenocyprididae;Culter;Culter_oxycephaloides
KY404235,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Sinocrossocheilus;Sinocrossocheilus_bamaensis
KY404236,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Nemacheilidae;Schistura;Schistura_fasciolata
KY406745,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Gymnocypris;Gymnocypris_przewalskii
KY419138,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Labeo;Labeo_catla
KY419201,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Nemacheilidae;Triplophysa;Triplophysa_pappenheimi
KY420179,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Gymnocypris;Gymnocypris_scleracanthus
KY421797,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Hemigymnus;Hemigymnus_melapterus
KY421798,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Cheilinus;Cheilinus_lunulatus
KY421799,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Epibulus;Epibulus_insidiator
KY421802,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Cheilinus;Cheilinus_lunulatus
KY421803,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Cheilinus;Cheilinus_abudjubbe
KY421805,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxycheilinus;Oxycheilinus_digramma
KY421807,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Calotomus;Calotomus_carolinus
KY421809,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Cheilinus;Cheilinus_fasciatus
KY421810,root;Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Hipposcarus;Hipposcarus_harid
KY436758,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Schizothorax;Schizothorax_eurystomus
KY436760,root;Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Aspiorhynchus;Aspiorhynchus_laticeps
KY464952,root;Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Carcharhinidae;Sphyrna;Sphyrna_mokarran
KY464954,root;Eukaryota;Chordata;Chondrichthyes;;Squatinidae;Squatina;Squatina_squatina
