"","taxa_query","taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","class","subclass","order","family","genus","species","wormsid_phylum","wormsid_class","wormsid_subclass","wormsid_order","wormsid_family","wormsid_genus","wormsid_species","authority","is_synonym","flags"
"1448","Crepipatella capensis","Crepipatella capensis","species",577415,31469,5856471,823256,"Crepipatella capensis","Crepipatella capensis","Crepipatella capensis","Crepipatella capensis (Quoy & Gaimard, 1835)","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Calyptraeidae","Crepipatella","Crepipatella capensis",51,101,224570,382213,141,234136,577415,"(Quoy & Gaimard, 1835)",FALSE,""
"1449","Crucibulum tenuis","Crucibulum tenuis","species",NA,31467,10274234,737408,NA,"Crucibulum tenuis","Crucibulum tenuis","Crucibulum tenuis","Mollusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"1450","Crucibulum scutellatum","Crucibulum scutellatum","species",532688,31466,5192760,536365,"Crucibulum scutellatum","Crucibulum scutellatum","Crucibulum scutellatum","Crucibulum scutellatum (Wood, 1828)","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Calyptraeidae","Crucibulum","Crucibulum scutellatum",51,101,224570,382213,141,160231,532688,"(W. Wood, 1828)",FALSE,""
"1451","Crucibulum","Crucibulum","genus",160231,6191,2301644,737388,"Crucibulum","Crucibulum (genus in Holozoa)","Crucibulum","Crucibulum Schumacher, 1817","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Calyptraeidae","Crucibulum",NA,51,101,224570,382213,141,160231,NA,"Schumacher, 1817",FALSE,""
"1452","Crucibulum radiata","Crucibulum radiata","species",NA,31463,10123270,737395,NA,"Crucibulum radiata","Crucibulum radiata","Crucibulum radiata","Mollusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"1453","Calyptraea aspersa","Calyptraea aspersa","species",NA,31462,9212562,783104,NA,"Calyptraea aspersa","Calyptraea aspersa","Calyptraea aspersa","Mollusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"1454","Bicatillus extinctorum","Bicatillus extinctorum","species",NA,31461,5856474,783103,NA,"Bicatillus extinctorum","Bicatillus extinctorum","Bicatillus extinctorum Lamarck, 1822","Mollusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"extinct_inherited, incertae_sedis"
"1455","Sigapatella tenuis","Sigapatella tenuis",NA,597429,NA,NA,111498,"Sigapatella tenuis","Sigapatella tenuis",NA,NA,"Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Calyptraeidae","Sigapatella","Sigapatella tenuis",51,101,224570,382213,141,391489,597429,"(Gray, 1868)",FALSE,""
"1456","Calyptraea conica-RC","Calyptraea conica-RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mollusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1457","Calyptraea chinensis","Calyptraea chinensis","species",138961,31458,2301629,681824,"Calyptraea chinensis","Calyptraea chinensis","Calyptraea chinensis","Calyptraea chinensis (Linnaeus, 1758)","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Calyptraeidae","Calyptraea","Calyptraea chinensis",51,101,224570,382213,141,137721,138961,"(Linnaeus, 1758)",FALSE,""
