"","taxa_query","found_taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","status","unacceptreason","is_synonym","flags","valid_authority","kingdom","class","order","family","genus","freshwater_only","terrestrial_only"
"5978","Polyascus","Polyascus","genus",463680,171949,4805872,1071368,"Polyascus","Polyascus","Polyascus","Polyascus Glenner, Lützen & Takahashi, 2003","Arthropoda","accepted",NA,FALSE,"","Glenner, Lützen & Takahashi, 2003","Animalia","Thecostraca",NA,"Polyascidae","Polyascus","0","0"
"5979","Calantica arcuata","Calantica arcuata","species",881981,799549,8644081,5791825,"Calantica arcuata","Calantica arcuata","Calantica arcuata","Calantica arcuata Chan & Haysashi, 2012","Arthropoda","accepted",NA,FALSE,"","Chan & Haysashi, 2012","Animalia","Thecostraca","Calanticomorpha","Calanticidae","Calantica","0","0"
"5980","Arcoscalpellum michelottianum","Arcoscalpellum michelottianum","species",106182,799540,2113915,2958009,"Arcoscalpellum michelottianum","Arcoscalpellum michelottianum","Arcoscalpellum michelottianum","Arcoscalpellum michelottianum (Seguenza, 1876)","Arthropoda","accepted",NA,FALSE,"","(Seguenza, 1876)","Animalia","Thecostraca","Scalpellomorpha","Scalpellidae","Arcoscalpellum","0","0"
"5981","Centropages orsinii","Centropages orsinii","species",220901,683108,2114721,2957262,"Centropages orsinii","Centropages orsinii","Centropages orsinii","Centropages orsinii Giesbrecht, 1889","Arthropoda","accepted",NA,FALSE,"","Giesbrecht, 1889","Animalia","Copepoda","Calanoida","Centropagidae","Centropages","0","0"
"5982","Undeuchaeta major","Undeuchaeta major","species",104342,503426,2115280,434175,"Undeuchaeta major","Undeuchaeta major","Undeuchaeta major","Undeuchaeta major Giesbrecht, 1888","Arthropoda","accepted",NA,FALSE,"","Giesbrecht, 1888","Animalia","Copepoda","Calanoida","Aetideidae","Undeuchaeta","0","0"
"5983","Sapphirina angusta","Sapphirina angusta","species",129041,503386,2110655,434171,"Sapphirina angusta","Sapphirina angusta","Sapphirina angusta","Sapphirina angusta Dana, 1849","Arthropoda","accepted",NA,FALSE,"","Dana, 1849","Animalia","Copepoda","Cyclopoida","Sapphirinidae","Sapphirina","0","0"
"5984","Labidocera pectinata","Labidocera pectinata","species",220923,799609,5720197,2955583,"Labidocera pectinata","Labidocera pectinata","Labidocera pectinata","Labidocera pectinata Thompson I.C. & Scott A., 1903","Arthropoda","accepted",NA,FALSE,"","Thompson I.C. & Scott A., 1903","Animalia","Copepoda","Calanoida","Pontellidae","Labidocera","0","0"
"5985","Lithotrya","Lithotrya","genus",203843,276279,2114059,579612,"Lithotrya","Lithotrya","Lithotrya","Lithotrya Sowerby, 1822","Arthropoda","accepted",NA,FALSE,"","Sowerby, 1822","Animalia","Thecostraca","Pollicipedomorpha","Lithotryidae","Lithotrya","0","0"
"5986","Euscalpellum squamosum","Euscalpellum squamosum","species",535162,NA,6468027,2958198,"Euscalpellum squamosum","Euscalpellum squamosum",NA,"Euscalpellum squamosum Hiro, 1937","Arthropoda","accepted",NA,FALSE,"","Hiro, 1937","Animalia","Thecostraca","Calanticomorpha","Calanticidae","Euscalpellum","0","0"
"5987","Trianguloscalpellum hirsutum","Trianguloscalpellum hirsutum","species",535416,799567,6128356,2958016,"Trianguloscalpellum hirsutum","Trianguloscalpellum hirsutum","Trianguloscalpellum hirsutum","Trianguloscalpellum hirsutum (Hoek, 1883)","Arthropoda","accepted",NA,FALSE,"","(Hoek, 1883)","Animalia","Thecostraca","Scalpellomorpha","Scalpellidae","Trianguloscalpellum","0","0"
"5988","Mormonilla","Mormonilla","genus",119816,799639,2114094,2959446,"Mormonilla","Mormonilla","Mormonilla","Mormonilla Giesbrecht, 1891","Arthropoda","accepted",NA,FALSE,"","Giesbrecht, 1891","Animalia","Copepoda","Mormonilloida","Mormonillidae","Mormonilla","0","0"
"5989","Octolasmis hawaiense","Octolasmis hawaiense",NA,NA,NA,NA,2957898,NA,"Octolasmis hawaiense",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
